LES PARFAITS DENGERS, THIRSIS ET VRANIE.	LES PARFAITS DENGERS, THIRSIS ET VRANIE.
Quand il achete des troupeaux, ils ſont aſſeurez d’auoir la toux & la clauelée dés le lendemain, ſi quelqu’vne de ſes brebis en rechappe, ce n’eſt ſinon pour auoir loiſir d’auorter:	Quand il achète des troupeaux, ils sont assurés d'avoir la toux et la clavelée dès le lendemain, si quelqu'une de ses brebis en rechappe, ce n'est sinon pour avoir loisir d'avorter:
maintenant que la roſée tombe indifferemment par tout, on diroit que Cerbere a eſcumé ſur ſes Iardins.	maintenant que la rosée tombe indifféremment par tout, on dirait que Cerbère a écumé sur ses Jardins.
Ie croy que les poiſſons ſe nayeroient ſi la riuie re eſtoit à luy, & que les mouſches à miel feroient de l’abſinthe s’il en fourniſſoit les ruches:	Je crois que les poissons se nayeraient si la rivie re voit à vertu, et que les mousches à miel feraient de l'absinthe s'il en fournissait les ruches:
pour abreger, c’eſt le plus mal-heureux de tous les hommes.	pour abréger, c'est le plus malheureux de tous les hommes.
D e fait encore qu’on ne remarque qu’vne paire de corbeaux à chaſque bourgade, ils ſe ramaſſent tous deſſus ſa maisõ, & y rẽgorgẽt leur voix funeſte l’vn à l’enuy de l’autre.	D eu fait encore qu'on ne remarque qu'une paire de corbeaux à chasque bourgade, ils se ramassent tous dessus sa maison, et y rẽgorgẽt leur voix funeste l'autre à l'envi de l'autre.
Ie m’imagine que c’eſt quelque Sorciere, qui le tourmẽte ainſi LICANDRE, Depuis quel temps?	Je m'imagine que c'est quelque Sorcière, qui le tourment ainsi LICANDRE, Depuis quel temps?
PHAON, Preſque depuis ſa naiſsãce.	PHAN, Presque depuis sa naissance.
LICANDRE, Tant pis, il y a plus d’apparence de mal-heur que d’enchantement.	LICANDRE, Tant pis, il y a plus d'apparence de malheur que d'enchantement.
A la premiere rencontre nous le diſcernerions mieux:	À la première rencontre nous le discernerions mieux:
ſi c’eſt le mal-heur, nos reſiſtances luy ſeront inutiles, ſi ce n’eſt qu’enchantement, nos remedes s’efforceront de le rompre, pour l’amour d’Yole & de toy.	si c'est le malheur, nos résistances un seront inutiles, si ce n'est qu'enchantement, nos remèdes s'efforceront de le rompre, pour l'amour d'Yole et de toi.
SCENE CINQVIESME.	SCÈNE CINQUIÈME.
LES BERGERS RETOVRNANS DV SACRIFICE.	LES BERGERS RÉTOURNANS DU SACRIFICE.
RIOPE, Nos gens ſortent de D la Chappelle, attendons les au B iij paſſage, ie ne ſuis pas de leur conſeil, ils ne mien iugent pas digne:	RIOPE, Nos gens sortent de D la Chapelle, attendons les au B iij passage, quelque ne suis pas de leur conseil, ils ne mien jugent pas digne:
auſſi ie me rapporte a ce qui en auiendra, ſi tant eſt que ie puiſſe executer ce que ie projette.	aussi personne me rapporte à ce qui en auiendra, si tant est que je puisse exécuter ce que ie projette.
Chorilas n’eſt il point icy, il y deuoit eſtre deuant moy, poſſible s’eſt il endormy aux pleus deces lauſes, aſlofis le chercher.	Chorilas n'est il point ici, il y devait être devant moi, possible s'est il endormi aux pleus décès lauses, aslofis le chercher.
Chorilas, Chorilas.	Chorilas, Chorilas.
ARISTEE, Compagnons voulez vous connoiſtre l’humeur de Driope?	ARISTE, Compagnons voulez -vous connaître l'humeur de Driope?
ne me ſuiuez qu’vn a vn, & en paſſant propoſez luy à mon exemple quelque choſe l’vn de l’autre, apres cachons nous pour eſcouter les diſcours qu’elle en tiendra lors qu’elle croira que nous n’y ſerons plus.	ne me suivez qu’ en a un, et en passant proposez deux à mon exemple quelque chose l'un de l'autre, après cachons nous pour écouter les discours qu'elle en tiendra lors qu'elle croira que nous n'y serons plus.
DRIOPE, Nous venons de Sacrifier à Venus & à l’Amour, pour impetrer d’eux l’vnion conjugale de Lhirſis & d’Vranie.	DRIOPE, Nous venons de Sacrifier à Venus et à l'Amour, pour impétrer d'eux l'union conjugale de Lhyris et d'Unie.
Tout le moir de auec inſtantes prieres, nommement Helenor noſtre Sacrificateur, de qui la deuotion a eſté fort exemplaire.	Tout le moir de avec instantes prières, nommément Hélénor notre Sacrificateur, de qui la dévotion a été fort exemplaire.
DRIOPE, Eſt il poſſible qu’en ſoixante ans qu’Helenor a ſur la teſte il n’ait pas encore eu loiſir d’auoir du iugement?	DRIOPE, Est -il possible qu'en soixante ans qu'Hélenor a sur la tête il n'ait pas encore eu loisir d'avoir du jugement?
on dit quelles mariages ſont pluſtoſt faits au Ciel qu’en la terre, quoy qu’il ſoit, la plus ſeure voye de les eſclaircir eſt de les conſommer.	on dit quelles mariages sont plutôt faits au Ciel qu'en la terre, quoi qu'il soit, la plus sûre voie de les éclaircir est de les consommer.
Ie tiens pourtant que les Dieux ne ſe meſlent gueres de nos amourettes, apres nous auoir donné vn cœur & des bras.	Je tiens pourtant que les Dieux ne se mêlent guères de nos amourettes, après nous avoir donné un cœur et des bras.
Les oraiſons ſont des paroles, & il eſt queſtion des effects.	Les oraisons sont des paroles, et il est question des effets.
Nos maieurs nous ont peint les prieres en Deeſſes boiteuſes, nous enſeignans par la qu’elles ne doiuent pas aller viſte:	Nos maïeurs nous ont peint les prières en Déesses boiteuses, nous enseignants par la qu'elles ne doivent pas aller vite:
poſé donc qu’elles arriuent où l’on les enuoye, c’eſt vn long voyage, i’aurois plus multiplié que Niobe auant qu’elles fuſſent de retour.	posé donc qu'elles arrivent où l'on les envoie, c'est un long voyage, j'aurais plus multiplié que Niobe avant qu'elles fussent de retour.
ARISTEE, Ma foy tu vaux trop, & Helenor en tient, ie l’auoüe.	ARISTE, Ma foi tu vaux trop, et Hélénor en tient, Seigneur l'auoüe.
AMARILLE, Driope, Ariſtée ſe rit des autres, & il luy en pend autant aux oreilles.	AMARILLE, Driope, Aristée se rit des autres, et il lui en pend autant aux oreilles.
DRTOTE, Alllaillie, Ariſtée t’aime ll	DRTOTE, Alllaillie, Aristée t'aime ll
A MARILLE, Nulſement.	À MARILLE, Nulsement.
DRIOPE, L’ayme tu?	DRIOPE, L'aime tu?
AMARILLE, Moins encore.	AMARILLE, Moins encore.
DRIOPE, C’eſt vne marque infaillible qu’il eſt peu de choſe, ſous ombre qu’il eſt chef de cette Prouince, & qu’il a l’authorité de nous y conſeruer, & d’empeſcher qu’il n’y ſur.	DRIOPE, C'est une marque infaillible qu'il est peu de chose, sous ombre qu'il est chef de cette Province, et qu'il a l'autorité de nous y conserver, et d'empêcher qu'il n'y sur.
uienne des deſordres, il affecte vne prud’homie pleine de chagrin & d’arrogance, ceſt vn reformateur, c’eſt vn eſpion qui n’eſt propre qu’à attirer ſur ſoy la haine publique.	uienne des ordres, il affecte une prud'homie pleine de chagrin et d'arrogance, cet réformateur, c'est un espion qui n'est propre qu'à attirer sur soi la haine publique.
AMARILLE, l’en tombe d’accord auec toy, tel eſtoit mon ſentiment.	AMARILLE, l'en tombe d'accord avec toi, tel était mon sentiment.
DRIOPE, Amarille tombe bien mieux d’accord auec Menalque qu’auec moy, teſmoin l’herbe foulée qui nous marque leur meſure.	DRIOPE, Amarille tombe bien mieux d'accord avec Ménalque qu'avec moi, témoin l'herbe foulée qui nous marque leur mesure.
Son eſprit eſt merueilleuſement ſouple & accommodant, elle eſt hypocrite auec Helenor, auſtere auec Ariſtée, enjoüée auec Thirſis, circonſpecte auec Vranie, & complaiſante à vn chacun.	Son esprit est merveilleusement souple et accommodant, elle est hypocrite auec Hélénor, austère avec Aristée, enjouée auec Thyris, circonspecte avec Vranie, et complaisante à un chacun.
PHAON, Et auec moy que ſeroit elle?	PHAN, Et avec moi que serait -elle?
DRIOPE, Et elle & toutes nos Berl.	DRIOPE, Et elle et toutes nos Berl.
geres ſeroient en bonne intelligence auec toy, n’eſtoit que tu es le forçat d’Yole.	gères seraient en bonne intelligence avec toi, n'était que tu es le forçat d'Yole.
PHAON, Yole n’eſt pas meilleure que les autres, auoüons le vray, deuant moy tu entreprendras ſa defence:	PHAN, Yole n'est pas meilleure que les autres, auoüons le vrai, devant moi tu entreprendras sa défense:
mais ſi ien’y eſtoispas?	mais si yeny estoispas?
DRIOPE, Ie ſouſtiendrois également qu’elle eſt fort aimable.	DRIOPE, Je soutiendrais également qu'elle est fort aimable.
PHAON, Que tu es flateuſe!	PHAN, Que tu es flatteuse!
DRIOPE, Ie ne la flatte pas, ſi Chorilas vouloit confeſſer la verité il ſçauroit bien qu’en dire.	DRIOPE, Je ne la flatte pas, si Chorilas voulait confesser la vérité il saurait bien qu'en dire.
Ce n’eſt pas vircomnondreprecnable, ny a qui elle vueille mal.	Ce n'est pas vircomnondreprecnable, ni à qui elle veuille mal.
OIReDIIE, DhOpe dome moy ton cœur.	OIReDIIE, Dépe dôme moi ton cœur.
DRIOPE, Et qu’en ferois tu?	DRIOPE, Et qu'en ferais -tu?
SIREINE, Ie le ſerrerois proprement dans vn panier de cliſſe à deſſein de m’en ſeruir contre mes ennemis:	SIREINE, Je le serrerais proprement dans un panier de clisse à dessein de m'en servir contre mes ennemis:
Car ie tiens qu’il n’y a point de matlere qui put produire tant de Gueſpes ny tant d’Anetons, pour leur jetter au viſage.	Car ie tiens qu'il n'y a point de matletère qui put produire tant de Guespes ni tant d'Anet, pour leur ter au visage.
DRIOPE, Tes compagnons ne me raillent pas de la ſorte, & ſans ta conſideration leur accortiſe courroit haſard de leur reuſſir.	DRIOPE, Tes compagnons ne me raillent pas de la sorte, et sans ta considération leur accortise courrait hasard de leur réussir.
SIREINE, Preſumeroient ils de te plaire à mon preiudice?	SIREINE, Presumeraient ils de te plaire à mon préjudice?
DRIOPE, Non pas cela.	DRIOPE, Non pas cela.
SIREINE, Autrement ils eſprouueroient que les combats naiſſent quelquefois de la ialouſie.	SIREINE, Autrement ils éprouveraient que les combats naissent quelquefois de la jalousie.
DRIOPE, Ie te prie que non;	DRIOPE, Je te prie que non;
quel deſeſpoir me ſeroit-ce de t’auoir mis en danger, pluſtoſt que de cauſer entre vous ce different, i’ayme mieux dés à preſent te rendre maiſtre de la place.	quel désespoir me serait-ce de t'avoir mis en danger, plutôt que de causer entre vous ce différent, j'aime mieux dès à présent te rendre maître de la place.
SIREINE, De ta parole te ſouuiẽne.	SIREINE, De ta parole te souvienne.
DRIOPE, A la bonne heure, il m’a entenduë, je le tiens, ie le poſſede, nous paſſerons tous deux de fort bonnes heures pendant qu’Vranie s’amuſera à ronger ſon frein.	DRIOPE, A la bonne heure, il m'a entendue, je le tiens, ie le possède, nous passerons tous deux de fort bonnes heures pendant qu’Unanie s'amusera à ronger son frein.
Mais à propos d’Vranie:	Mais à propos d'Unanie:
que Thirſis eſt innocent, & que la renommée eſt fole de le publier pour vne merueille.	que Tiris est innocent, et que la renommée est sole de le publier pour une merveille.
A quoy s’occupe-il?	À quoi s'occupe-il?
à deïfier le mépris & la rigueur, & à deplorer iour & nuict ſon infortune.	à défier le mépris et la rigueur, et à déplorer jour et nuit son infortune.
Le moyen de cõtinuer long-temps ceſte vie ſans s’exhaler tout à fait.	Le moyen de continuer longtemps cette vie sans s'exhaler tout à fait.
A la fin il mettra la cherté aux ſoûpirs, & il n'en reſtera plus pour les miſerables.	À la fin il mettra la cherté aux soupirs, et il n'en restera plus pour les misérables.
Au reſte, pour qui tout cela?	Au reste, pour qui tout cela?
pour vne qui ſe mocque de luy, & qui poſſible s’en mocque pource qu’il mendie ce qu’il deuroit prendre.	pour une qui se moque de belle, et qui possible s'en moque pource qu'il mendie ce qu'il devrait prendre.
Infailliblement elle ne le fait qu’à intention de l’attirer hors du chemin public, ſes refus ſont autant de aiiles mnaueciola d la violence.	Infailliblement elle ne le fait qu'à intention de l'attirer hors du chemin public, ses refus sont autant de aiiles ménaveciolà d la violence.
Qu'attend-il, qu’elle le prie ouuertement?	Qu'attend-il, qu'elle le prie ouvertement?
CHORILAS, Driope.	CHORILAS, Driope.
DRIOPE, Pareſſeux, il y a tantoſt vne heure que ie ſuis icy à t’attendre.	DRIOPE, Paresseux, il y a tantôt une heure que je suis ici à t'attendre.
CHORILAS,L’arriuée deLycandre m'a retardé, d’autant plus iuſteMhene qu'iine communiquolt lals fection qu’il te porte.	CHORILAS,L'arrivée deLycandre m'a retardé, d'autant plus justeMene qu'y communiquolt lals section qu'il te porte.
DRIOPE, Parlons de ton affaire.	DRIOPE, Parlons de ton affaire.
CHORILAS, Parlons dõc de la paſſion de Thirſis.	CHORILAS, Parlons dont de la passion de Tir.
N’es-tu pas toujours en volõté d’y preſter la main, & d’aider à ſa recherche, tu me l’as promis.	N'es-tu pas toujours en volonté d'y prêter la main, et d'aider à sa recherche, tu me l'as promis.
DRIOPE, Les expediens me manqueront, ou ie ne te manqueray point;	DRIOPE, Les expédient me manqueront, ou tu ne te manquerai point;
que pourrois-ie refuſer à mon frere d’alliance?	que pourrais-je refuser à mon frère d'alliance?
Mais quand ie t’appelle mon frere, ie pretends d’eſtre ſœur, afin d’eſtre ta Iunon.	Mais quand ici t'appelle mon frère, on prétends d'être sœur, afin d'être ta Junon.
CHORILAS, Cela s’entend.	CHORILAS, Cela s'entend.
SIREINE, Chorilas, dy que tu en tiens, elle t’appelle ſon frere d’alliance.	SIREINE, Chorilas, dis que tu en tiens, elle t'appelle son frère d'alliance.
Demande à ſes propres frerescomme elle les a traictez.	Demande à ses propres frèrescomme elle les a traités.
Onques Medée ne mit mieux en pieces Abſyrte qui eſtoit le ſien.	Onques Medée ne mit mieux en pièces Absyrte qui était le sien.
DRIOPE, Il m’aime, & il nous void enſemble, tu diſcernes aiſément vn amy d’auec vn jaloux.	DRIOPE, Il m'aime, et il nous voit ensemble, tu discernes aisément un ami d'avec un jaloux.
A vous deux pourtant le debat, car ie reſteray au plus habile.	À vous deux pourtant le débat, car je resterai au plus habile.
Au reſte, ſçais-tu qu’il y a?	Au reste, sais-tu qu'il y a?
