LES SECONDES OEVVRES POETITES ET TRAGIQVES de Iehan Preuoſt Aduocat en la baſſe Marche.	LES SECONDES OEUVRES POTITES ET TRAGIQUES de Jehan Preuost Aduocat en la basse Marque.
Latroupe des vaincus de la voûte azurée, Elle y eſt deuant moy, & de ces humbles vaux Ie contemple vainqueur daus le Ciel mes trauaux, De ces monſtres Iunon le Ciel a voulu peindre, Elle lestire au Ciel pour me les faire cramdre, Mais bien, ce m’eſttout vn, qu’elle face les Cieux Pires que n’eſt la terre & le lac ſtygieux, Que les moſtres y ſoient, qu’elle en couure leur face Elle ne peut garder que ie n’y trouue place.	Latroupe des vaincus de la voûte azurée, Elle y est devant moi, et de ces humbles vaux Je contemple vainqueur daus le Ciel mes travaux, De ces monstres Junon le Ciel a voulu peindre, Elle lestire au Ciel pour me les faire cramdre, Mais bien, ce m'esttout un, qu'elle face les Cieux Pires que n'est la terre et le lac stygieux, Que les môtres y soient, qu'elle en couvre leur face Elle ne peut garder que je n'y trouve place.
Mais ſi ie ſuus encore iudigne d’vn tel bien Apres auoir traiſné de l’Auerne ſon chien, Apres auoir vaincu tant d’execrables peſtes, Apres auoir ſiny tant de guorres funeſtes, Que Pelore ſe ioigne au bort Italien Que l’Itale aboutiſſe au mont Sicilæn Commende ſeulement qu’vu à l'autre s’aſſemble I'en chaſſeray la mer pour les reioindre enſemble Ie fairay s’il te plaiſt charroyer ſur les eaux Par vn nouueau ſentierles Attiques vaiſſeaux.	Mais si ici suus encore judigne d' tel bien Apres avoir traîné de l'Auerne son chien, Après avoir vaincu tant d'exécrables pestes, Après avoir siny tant de guorres funestes, Que Pelore se joigne au bort Italien Que l'Itale aboutisse au mont Sicilæn Commende seulement qu'une seule qu'autre s'assemble J'en chasserai la mer pour les rejoindre ensemble Je fairai s'il te plaît charroyer sur les eût Par un nouveau sentier Attiques vaisseaux.
La mer Ionienne aſſemblant à l’Egee.	La mer Ionienne assemblant à l'Ége.
Si tu veux de ce Tout la face eſtre changee Le Danube germain, le Scythe Tanais Iront changeants de cours baigner nouueaux payl Ti de tes Dieux au Ciel la garde tu me donnes, La part où ie ſeray ne faudra quelu tonnes, Ils ſeront aſſex forts, ſoit que i’aille gardant Ou le Pole englacé, ou bien le Pole ardant.	Si tu veux de ce Tout la face être changée Le Danube germain, le Scythe Tanais Iront changeants de cours baigner nouveaux pail Ti de tes Dieux au Ciel la garde tu me donnes, La part où tu serai ne faudra quelu tonnes, Ils seront assex forts, soit que j'aille gardant Ou le Pole englacé, ou bien le Pole ardant.
Tour vn ſerpent occis Paan a meritee Du celeſte pourpris la demeure voûtee, Et les remples de Cyrrhe, & moy qui ſuis plus fort Qui aytant de Pythons en l’Hydre mis à moro En doy-je eſtre banny?	Tour un serpent occis Pays à méritée Du celeste pourpris la demeure voûte, Et les remples de Cyrrhe, et moi qui suis plus fort Qui ayant de Pythons en l'Hydre mis à moro En dois-je être banni?
ia deſia i’eſt placee La race de Semele, & le ieune Perſee Au rang des immorteli, & qu’eſt ce que d’auoir L’onent ſeulemen rangi ſous ſon pouuoir Pour m’eſtre preferé, Qu'elle grande louange D’occire vne Gorgone au riuage du Gange?	ia déjà j'est placée La race de Sème, et le jeune Perse Au rang des immorteli, et qu'est ce que d'avoir L'onent seulemen rangi sous son pouvoir Pour m'être préféré, Qu'elle grande louange D'occire une Gorgone au rivage du Gange?
Quelenfant ta conceu ta femme ô lupiter, Qui peuſt par ſes vertus les aſtres meriter Reni moy, rens moy le Ciel, ie demande la charge Qu’autreiſois ie portayſur mon eſpaule large, Quand ſur monpuiſſant dos du porte Ciel Atlas Ie ſouſtins le farde iu ſoulageant ſon dos las.	Quelenfant ta conçu ta femme ô lupiter, Qui pût par ses vertus les astres mériter Reni moi, rends moi le Ciel, ie demande la charge Qu'autrefois ie portaisur mon épaule large, Quand sur monpuissant dos du porte Ciel Atlas Ie soustins le farde ju soulageant son dos las.
IOLE.	IOLE.
CHŒVR des dames Echaliennes.	CHŒUR des dames Échaliennes.
A V’heuriux eſt à mongré celuy qui voidrauie OD'vn meſme coup du Cielſa fortune & ſa vie, Car ce viure cheſtif qu’o traine en gemiſſant Au milieu des malheurs rien que mort ne reſſeut.	À V'heuriux est à mongré celui qui voidravie OD'un même coup du Cielsa fortune et sa vie, Car ce vivre chétif qu'ô traine en gémissant Au milieu des malheurs rien que mort ne ressut.
Quiconques ſous les pieds a mis les deſtinees Et le vaiſſeau dernier où les ombres menees Par le vieil nautonnier trauerſent les Enfert Celuy ne croiſe point ſes bras chargeZ de fers AttacheZ a ſon dos, ſon courage qui trompe L’eſpoir de ſon vainqueur n’accompaigne ſa pompe S’en deliur aut ſoy meſme, il, ſont touſiours contents Ceux qui peuuent mourir alors qu’il en eſt temps;	Quiconques sous les pieds a mis les destinées Et le vaisseau dernier où les ombres menées Parent le vieil nautonnier traversent les Enfert Celui ne croise point ses bras chargés de fers AttacheZ à son dos, son courage qui trompe L'espoir de son vainqueur n'accompagne sa pompe S'en délivres aut soi -même, il, sont toujours contents Ceux qui peuvent mourir alors qu'il en est temps;
S’ils, lotent parles eaux, & que la mer Egee Contre leur freſle nef ſe tempeſte enragee Que Zephire s’obſtine encontre Eure incertain Et que la bixe ſouffle oppoſee à l’Autain Qui peut la treſpaſſer, celiy là ne ramaſſe Le miſerable bris de ſa nacelle caſſe Pour trouuer vn riuage au milieu de la mer, Et n’atent les iumeaux qui la doiuent calmer.	S'ils, lotent parles eaux, et que la mer Ége Contre leur frêle nef se tempête enragée Que Zéphire s'obstine encontre Eur incertain Et que la bixe souffle oppose à l'Autain Qui peut la trépasser, celi là ne ramasse Le misérable bris de sa nacelle casse Pour trouver un rivage au milieu de la mer, Et n'attent les jumeaux qui la doivent calmer.
Bref celuy ne ſçauroit endurer de naufrage Qui peut rendre ſa vie au milieu de l’orage Ch.	Bref celui ne saurait endurer de naufrage Qui peut rendre sa vie au milieu de l'orage Ch.
Et nous dolent troupeau nous languiſſons en pleuru Reus laiſſons conſumer d’mutues douleurs.	Et nous dolent troupeau nous languissons en pleuru Reus laissons consumer d'mutues douleurs.
Com ne images de mort en ſont deſſigures.	Com ne images de mort en sont dessigures.
La poudre de nos murs qu’Hercule a renuerſez Salit piteuſement uos cheueux de ſlacez.	La poudre de nos murs qu'Hercule a renversez Salit piteusement os cheveux de slacés.
Que le fracaſſement de nos tours ruinees, Que le ſon peullant des ſlames obſtinees Ne nous engloutiſſoit!	Que le fracassement de nos tours ruinées, Que le son peullant des slames obstinées Ne nous engloutissait!
mort cruelle tu ſuis Le cheuiſ qui te ſuit, & l'heureux tu le ſuis, Quand il fuit deuant toy!	mort cruelle tu suis Le chevis qui te suit, et l'heureux tu le suis, Quand il fuit devant toi!
las nous viuons encort.	las nous vivons encort.
Nous viuons, & le feu noſtre cité deuore.	Nous vivons, et le feu notre cité dévore.
Eſclaues nous viuons, & deſormau n’aurons Champs, ne bois, ne deſert, où nous ne demeurons Sans demeure certaine Or nos Temp es ſuperbes Logeront d i bergers, ou ſe couuriront d’herbes.	Esclaves nous vivons, et désormau n'aurons Champs, ne bois, ne désert, où nous ne demeurons Sans demeure certaine Or nos Temp es superbes Logeront d ' ers, ou se couvriront d'herbes.
Les Dolopes gelez conduiront leur, troupeaux Sur les murs de la ville eſleuez en coupeaux Qui couuriront ſa perte.	Les Dolopes gelez conduiront leur, troupeaux Sur les murs de la ville élevez en coupeaux Qui couvriront sa perte.
& la belle Echalie Gira ſous ſa ruine, helas!	et la belle Échalie Gira sous sa ruine, hélas!
enſeuelie.	ensevelie.
L’erethrien paſteur d'vne indocte chanſon Plaignant de nos malheurs le lamentable ſon Aßu ſur nos portaux où ſes bœufi doiuent paiſtre Dira ce temps maudit d’vne ſleuſte champeſtre.	L'erethrien pasteur d'une indocte champêtre Plaignant de nos malheurs le lamentable son Assu sur nos portaux où ses bœufi doivent paître Dira ce temps maudit d'une sleute champêtre.
Les ſiecles tourneront, & ſe perdra tandis Le ſouueuir des lieux où nous fuſmes jadis.	Les siècles tourneront, et se perdra tandis Le souueuir des lieux où nous fûmes jadis.
Iol.	Jol.
Pourquoy mercheres ſœurs plobez vous vos poitriatt Pourquoy deſclurez vous vos ſaces iu iines?	Pourquoi merchez sœurs plobez vous vos poitriatt Pourquoi desclurez vous vos saces ju jines?
Las!	Las!
ne vous ge nez point moderez vos douleurs, Ne vous meurinſſez plus, donnez trefue à ces pleurs.	ne vous gê nez point modérez vos douleurs, Ne vous meurinssez plus, donnez trouve à ces pleurs.
C’eſt m'y qui dou pleurer, c'eſt moy qui dois ſans ceſſe Me bourreler de coups, miſerable Princeſſe, Moy qui duis exercer l’extremme cruauté De mes d leutes mains ſur ma tniſte beauté, vi a beanté dommage ible he!	C'est m'y qui dou pleurer, c'est moi qui dois sans cesse Me bourreler de coups, misérable Princesse, Moi qui duis exercer l'extrême cruauté De mes le leutes mains sur ma tniste beauté, vi a beanté dommage ible hé!
pourquoy l'i lumiere Qu à nes yeux, naiſſant, eſcl ura la premiers Ne fut mon derniertour?	pourquoi l'y lumière Qu à nés yeux, naissant, écl ura la premiers Ne fut mon derniertour?
Encores vous ſertex	Encores vous sertex
Daus la vile à voſtre aſſe & ne lamenteneg.	Dans la vile à votre asse et ne lamentèneg.
Aſonpere ue ſuſt mort dans ſe maiſon forcés, Et mon frere viuroit le mal-heureux Toxée.	Asonpère ue fût mort dans se maison forcès, Et mon frère vivrait le malheureux Toxée.
Ch.	Ch.
Nous debuons bien plor, peηυνειες nοις debuont Plaindre l’eſtat pitenx ous ores nous viugus Nous debuons bien gemir, nous deuons bien cluſtues Aſſoudir ces rochers denos plamtes capuues, Puis qu’il nous faut partir, qu’il nous faut deſormais Enſeruice languir eſclaues pouriamais.	Nous débuons bien plordi, ces rochers denuont Plaindre l'état pituenx ô ores nous viugus Nous débuons bien gémir, nous devons bien clustues Assoudir ces rochers denos plames capues, Puis qu'il nous faut partir, qu'il nous faut désormais Enseruice languir èsclaves pourjamais.
O beau ſciour natal, agreable demeure, Auant quete laiſſer ſace Dieu que ie meurQue ie treſpaſſe icy, que mon corps enſermé Repοſς en vieſme torre où il fut animé!	Ô beau sciour natal, agréable demeure, Avant que laisser sace Dieu que ici meurQue après trépasse ici, que mon corps ensermé Repοsς en vième torre où il fut animé!
Car oùdoyie traiuer mes plantes vagabondes, Ileureuſei'habitoy des campaignes fecondes, Oril ſaut habuer des antrescauerueux, Du ſteriles rocheri, & des bois eſpiueux Aupres des Alcyont, & encei lieux ſauuages Mes plaintes marier à leurs triſtes ramages.	Car oùdoyie traiuer mes plantes vagabondes, Ileureusei-habitoi des campagnes fecondes, Oril saut habuer des antrescaverveux, Du stériles rocheri, et des bois espiueux Aupres des Alciont, et encei lieux sauvages Mes plaintes marier à leurs tristes ramages.
Que ſi le ſainct voulour deſes deſtins meilleurEn detourne quelqu'vne, & le conduit ailleurs Elle ma cultiuer les Inochides nues Qui baignent en fuyant les campaignes Argiues.	Que si le saint voulour des destins meilleurEn détourne quelqu'une, et le conduit ailleurs Elle ma cultiver les Inochides nues Qui baignent en fuyant les campagnes Argives.
Ou les champs Dirceans, ou Iſmene gliſſant Coule d’vnpied tardif ſon pleuue languiſſant.	Ou les champs Dircans, ou Ismene glissant Coule d'Unpied tardif son pleuve languissant.
Lapnt naiſſance Hercule, & auxriues d’iſminSuça petit enfant les mammeles d'Alcmene, Iol Mais mal-heureuſe moy, qui ne plaius ſeulemens Nos temples renuerſez deſpuis le ſondement, Les foyeri atvouſez du ſang des domeſtiques, Les temples conſondus aux ſepuloes antiques, Lepere & les enſants d’vn meſme ſeu bruſez, Les hommes & les Dieux confuſement meſiez.	Lapnt naissance Hercule, et auxrives d'isminSuça petit enfant les mamèles d'Alcène, Jol Mais malheureuse moi, qui ne plaius seulements Nos tempos renversez despuis le sondement, Les foyeri atvousez du sang des domestiques, Les temples consondus aux sépuloes antiques, Lépère et les ensants d'un même brûres, Les hommes et les Dieux confusément mesiez.
Ie ne plains les mal-heurs ui la perte commune Meipleuri en autre part appellent ma fortune,	Je ne plains les malheurs ui la perte commune Mipleuri en autre part appellent ma fortune,
Le riģoureux deſtin qui me vient tourmenter Me fait autre ruine, autre mal lamenter.	Le rioureux destin qui me vient tourmenter Me fait autre ruine, autre mal lamenter.
Que plaindray-ie premier, ou ſiniront mes plaintia Ie veux diſtribuerpar tont mes larmes ſainctes.	Que plaindrai-je premier, ou siniront mes plaintia Je veux distribuer tont mes larmes sainte.
Si le Ciel permeitoit à mes coups inhumaines Batrecent eſſomacs de cent diuerſes mains, Cent & cent yeux encore à mes douleurs cuiſantei Ne ſcauroient pas fournir de larmes ſuffiſantes.	Si le Ciel permeitait à mes coups inhumaines Battrecent èsomacs de cent diverses mains, Cent et cent yeux encore à mes douleurs cuisante Cuisante scauroient pas fournir de larmes suffisantes.
I’ay ven chetiue helas!	J'ai ven chétive hélas!
I’ay veu mon pere cher, Ie l’ay veu miſcrable à la mort treibucher.	J'ai vu mon père cher, Je l'ai vu misable à la mort treibucher.
Ie l’ay ven demembrer, ainſy comme ecartelle Le milan vn poulet ſous ſa gnffe mortelle.	Je l'ai ven démembrer, ainsy comme ectelle Le milan un poulet sous sa gnffe mortelle.
Helas!	Hélas!
mon geniteur ſi le Ciel euſt permis Que mon pieux debuoir au tombeau vous ent mis, Qu’il vous falloit chercher, combien vos membres pala Semez de tous coſtez ſouilloient l'or de vos ſalles, Tant vous eſtiez broyé tant voſtre corps eſpars Ciſoit cuellement rompu de toutes pars.	mon géniteur si le Ciel eût permis Que mon pieux débuoir au tombeau vous ent mis, Qu'il vous fallait chercher, combien vos membres pála Semez de tous côtés souillaient l'or de vos sales, Tant vous étiez broyé tant notre corps épars Cisait cuellement rompu de toutes pars.
Et toy mon frere, & toy qui ne laiſſois eſpandre Encore vn filet d’or ſur ton viſage tendre, Que le ſang bovillonnant ne rendoit aſſez fort Thexée de quel œil ay-je peu voir ta mort?	Et toi mon frère, et toi qui ne laissais épandre Encore un filet d'or sur ton visage tendre, Que le sang bouillonnant ne rendait assez fort Thexée de quel œil ai-je pu voir ta mort?
Atais pourquoy mes parents d’vne voix lamentable Pleure-je le treſpas qui vous ſut equitable.	Atais pourquoi mes parents d'une voix lamentable Pleure-je le trépas qui vous sut équitable.
Vous eſtes par la mort aff anchis de mal heurs Moy ie vy pour languir en mortelles douleurs, Ceſte onde qui deſcend de mes yeux continue Pour mes propres mal heurs doit eſtre retenue, C’eſt moy qui doygemir.	Vous êtes par la mort as rechis de mal heurs Moi ? Qui pour languir en mortelles douleurs, Cette onde qui descend de mes yeux continue Pour mes propres mal heurs doit être retenue, C'est moi qui doygemir.
& le lagubre eſmoy Que ie mene pour vous le retenir pour moy.	et le lagubre émoi Que ie mene pour vous le retenir pour moi.
De Roine que j’eſtois ie ſuis faicte vn eſclaue Pour ſeruir aux plaiſirs d’vne maiſtreſſe braue, Ses ſignes eſcouter, & d’vn pouce mouillé Toumer inceſſemment ſon lin enquenouillé.	De Roine que j'étais ie Ami faicte un esclave Pour servir aux plaisirs d'une maîtresse brave, Ses signes écouter, et d'un pouce mouillé Toumer incessemment son lin enquenouillé.
