Par J.	Par Y.
I’ay faya la Catin à eſtre liberala, Aſſi y ne refuze à perſonna ſa grala, A prende ſou plaiſi j’ay faya la Françon, Aſſi que qu’on diſey elhen pren du garçon.	J'ai faya la Catin à être libérala, Assi y ne refuze à personna sa grala, A prende sou plaisi j'ai faya la Françon, Assi que qu'on disei elle hen du garçon.
I’ay faya l’Izabel à eſtte una gromanda, Aſſi y mige crua la chair de recommanda.	J'ai fayza l'Isabel à estte una gromanda, Assi y mige crua la chair de recommanda.
101 J’ay faya à changié de jour en jour dami, Le fille du quartié de Megar l’endormi, Eſſa vont pratiquan d’amourette nouvelle, Veyqui perque Beſſon contr’elle s’eycervelle.	101 J'ai faya à changié de jour en jour dami, Le fille du quartié de Megar l'endormi, Essa vont pratiquan d'amourette nouvelle, Véiqui perque Besson contr'elle s'écervelle.
I’ay faya à charchié perqui ley paradi Le fille du quartié de Gerento l’hardi, Aſſi ne povon pa choma à la Pereiri, Inco ben que Dupon brame per la charreiri.	J'ai fayza à charchié perqui ley paradi Le fille du quartié de Gérento l'hardi, Assi ne povon paya chôma à la Pèreiri, Inco ben que Dupon brame per la charreiri.
I’ay faya à bonheur, & pleiſi quotidien, Le fille du quartié de Marnais lo gardien, Aſfi dedin lour cour lo feu d’amour s’attiſe, Puis que Piarre Michié jour & not le courtiſe.	J'ai fayza à bonheur, et pleisi quotidien, Le fille du quartié de Marnais lo gardien, Asfi dedin lour cour lo feu d'amour s'attise, Puis que Piarre Michié jour et not le courtise.
I’ay faya à ploura lo morcel delicat, Le fille du quartié de Bernard l’Advocat, Aſſi de n’avey point d’home lou groin ſe moille, Et lo petit Patron ſen rit tant qu’u l’eiboille.	J'ai fayza à ploura lo morcel délicat, Le fille du quartié de Bernard l'Avocat, Asssi de n'avei point d'home lou groin se moille, Et lo petit Patron sen rit tant qu'u l'iboille.
J’ay faya à malheur & veuva de Darbon, Le fille du quartié de Charancy lo bon, Aſſi en lourz amour elle ſont malheyrouſe A veuglei & partia fene devant qu’eipouſe.	J'ai faya à malheur et veuva de Darbon, Le fille du quartié de Charancy lo bon, Assi en lourz amour elle sont malhéirouse A veuglei et partia fène devant qu'eipouse.
I’ay faya à joyé comme lou Caſcarin Le fille du quartié du Procureur Perrin, Aſſi font de l’amour un jeu de carabaſſa, Et font que lourz aman prenon l’alleuta baſſa.	J'ai faya à joyé comme lou Cascarin Le fille du quartié du Procureur Perrin, Assi font de l'amour un jeu de carabassa, Et font que lours aman prenon l'aleuta bassa.
J’ay faya à avey lo corſageo mignon Le fille du quartié du bravo Calignon, Aſſi i ſont mignonne & rendon de lou tailli Amoirou lou Segnou juſqu’à la refatailli.	J'ai fayza à avoui lo corsageo mignon Le fille du quartié du bravo Calignon, Assi y sont mignonne et rendon de lou tailly Amoirou lou Segnou jusqu'à la réfatailli.
I’ay faya à couri aprés lou bon meina Le fille du quartié de Baſſer lo bien na, Aſſi duz amoirou elle ſont follinelle, Et lou couron aprés afin qu’on le fornelle.	J'ai faya à couri après lou bon meina Le fille du quartié de Basser lo bien na, Assi duz amoirou elle sont follinelle, Et lou couron après afin qu'on le fornelle.
l'ar I'ay faya à ſçavey danſié & bricola Le fille du cartié du re mi fa ço la, Aſſi à tou lou bal couron celle caſiotte, Se viron cey & ley, danſon comme mariotte.	l'ar J'ai fa à savei dansié et bricola Le fille du cartié du re mi fa ço la, Assi à tou lou bal couron celle casiotte, Se viron cei et ley, dans comme mariotte.
I’ay faya un gro Eſleu qui porte un gro ſalat, A fare jour & not branda lou mey ſolar, Auſſi quand u fat dieta, & qu’un Medecin réves V minge tant de gnot & de crozet qu’u crève.	J'ai faya un gro Esleu qui porte un gro salât, A sare jour et not branda lou me solar, Aussi quand u fat diéta, et qu'un Medecin réves V inge tant de gnot et de crozet qu'u crève.
Enfin j’en ai faya ſet à ben ſet à ma, Mille que je n’ai pa leyzi de vo nomma.	Enfin j'en ai fayza set à ben set à ma, Mille que je n'ai pa leis de vo nomma.
2 Puiſque per un vioulet où gnat piera ni crotta, Et me faut retourna du couſtié de ma crotta Afin d’y aſſema un banquet à mon tour  A le Faye qui ſont u rochié d’alentour.	2 Puisque per un vioulet où gnat piera ni crotta, Et me faut retourna du coûté de ma crotta Afin d'y assema un banquet à mon tour A le Faye qui sont u rochié d'alentour.
E vo ſuſfira donq que ce que je prononſo Arrive à la façon que je voz u annonſo, Afin que vo pœiſſi recougneutre qui gnat Magicien, feiturié, livro ni armagnat Qu’en ſçache tant que mi, & qu’aprés la natura L’on veye que je ſeu meitrà de l’aventura.	E vo susfira donc que ce que je pronononso Arrive à la façon que je voz annonso, Afin que vo pœissi recougneutre qui gnat Magicien, feiturié, livro ni armagnat Qu'en sache tant que mi, et qu'après la natura L'on vue que je me meitrà de l'aventura.
CHANSON.	CHANSON.
J'Eicy lo Mey que tout cambade, V Comme lou Chourot & Lapin, Et que deſſu louz Aubepin Lo Roſſignon donne d’aubade:	J'Eici lo Mei que tout cambade, V Comme lou Chour et Lapin, Et que dessu louz Aubepin Lo Rossignon donne d'aubade:
Car ſen ſommeillié not ni jour V charmele de l’amour.	Car sen sommeillié not ni jour V charmele de l'amour.
2 ¶ Lo tem ét ſi dou que tout chante La graci de ceſteu Printem, Et ſavore lo paſſatem 5181 V boey où la Lhauda m’enchante:	2 2 Lo tem ét si dou que tout chante La grâti de ceteu Printem, Et savore lo passate 5181 V oey où la Lhauda m'enchante:
Tont lo inondo lui lo vetdou	Tont lo inondo lui lo vétou
Se ſçat beiſié ormi nou dou.	Se sçat beisié ormi nouveau.
Tou lou izeyu en lour ramageo, De dou en dou & bec à bec, S’accordon mieu que lo rebec, En ſe ſempeillan lo plumageo, Mais la Lhauda que j’amo tan Ne vou pas que j’en faſſe autan.	Tou loue izeyu en lour ramageo, De dou en dou et bec à bec, S'accordon mieu que lo rebec, En se sempeillan lo plumageo, Mais la Lauda que j'amo tan Ne vou pas que j'en fasse autan.
¶ Eilli vou pro que je la danſo V ſon de quoque flajolet, Mais quand je foey lo marjolet, I ne vou pas que je pidanſo Sou beiſié dou per reſpira, Inco que m’enten ſoupira.	Ô Eilli vou pro que je la danso V son de quoque flajolet, Mais quand je foètei lo marjolet, I ne vou pas que je pidanso Sou beisié dou per ira, Inco que m'enten soupira.
Quoque fey à la deyrobada Ie luy en attrapo quoqu’un, Lou garçon ( comme dit chacun) Ne font jamey l’amour debada;	Quoque fey à la deyrobada Je lui en attrapo qu'un, Lou garçon ( comme dit chacun) Ne font jami l'amour debada;
Ineo qu’un beiſié gaſconna N’ét pas ſi dou que lou donna.	Ineo qu'un béisié gâconna N'est pas si dou que lou donna.
Vau mieu s’eybaudi à la courſa Que de demoura rebeuti, Ceu ét tout à fat abruti, Qui mort de ſey prés de la ſourſa, Iamay, jamay lou vergognou En amour ne ſont grand Seignou.	Vau mieu s'eybaudi à la coursa Que de demoura rebeuti, Ceu est tout à fat abruti, Qui mort de sey prés de la soursa, Iamai, jamai lou vergognou En amour ne sont grand Seignou.
I Et vau ben mieu prendre per forci Lou beiſié, que ne beiſié pa, Louz hontou y perdon lour pa, Et comme l’abro ſen eycorcy.	I Et vau ben ie prendre per forci Lou beisié, que ne beisié paya, Louz hontou y on lour pa, Et comme l'abro sen eicorci.
Devenon ſec, quand la toſa Refuſe de louz arroſa.	Devenon sec, quand la tosa Refuse de louz arrosa.
J E faut donqua que je ſolageo Mon amour de mille beiſié;	 J faut doncqua que je solageo Mon amour de mille beisié;
Et quand i debvriet m’eygruyſié, I'eybrandarey ſon pucelageo;	Et quand y debvriet m'eygruysié, J'ébrandarei son pucelage;
Auſſi ben lo chatel moin fort Ne ſe rend jamey qu'a Icyioit.	Aussi ben ô chatel moin fort Ne se rend jami qu'a Iciait.
ACTE PREMIER.	ACTE PREMIER.
SCENETREMIENE.	SCENETREMIENE.
JANIN.	JANIN.
LHAUDA.	LHAUDA.
ANIN.	ANIN.
At bon fare l’amour ore que lou roſié I Rogeon tout de roſe, & que lou cireyſié Sont deyja tou claffi de bouchet de cireyſe:	At bon sare l'amour ore que lou rosié I Rogeon tout de rose, et que lou cireysié Sont déjà tou claffi de bouchet de cireyse:
Ore pe lou vergié tout lo mondo ſe beiſe.	Ore pe lou vergié tout lo mondo se beise.
Lou meyna & le fille auſſi chau qu’un mey d’Ou, Ont moyen de ſe vey ſoulet de dou en dou :	Lou meina et le fille aussi chau qu'un me d’Ou, Ont moyen de se vey doulet de dou en dou :
Et s’u lont quoqu’envey de faire la beſougni, Lou boiſſon ſont foilla per cachié lour vergougni.	Et s'u lont quoqu'envei de faire la besougni, Lou boisson sont failla per cachié lour vergougni.
Perſonna ne lou vet, louz abro ſolamen Provon eſtre téinoin de lour contentamen.	Personna ne lou vêt, louz abro solamen Provon être téinoin de lour contentamen.
Que fat bon folata deſſu l’herba nouvella, 2 Tandi que le gen vieu ſe tompon la cervella, Lon taſte du pleiſi que fat virié lou eyu, 2 Et pœiſſe l’on s’endort ſur lo chant duz izeyu.	Que fat bon folâta dessu l'herba nouvela, 2 Tandi que le gén vieu se tompon la cervela, Lon tâte du pleisi que fat virié lou eyu, 2 Et pœisse l'on s'endort sur lo chant duz eyu.
Mais qui ne voudtiet to eſti’à cellouz affate, Ore que l’on ne pot ſe chateni du fare:	Mais qui ne voudtiét to esti'à celouz affate, Ore que l'on ne pot se chati du sare:
Ceu iqui ſariet ladre & four du jugimen, Qui n’auriet de l’amour quoque reſſentimen, Veyre lo paſſerat affichou per coll’oura E fariet eytirié una poura manora.	Ceu iqui sarichet ladre et four du jugen, Qui n'auriét de l'amour quoque ressentimen, Veire lo passerat affichou per coll'oura E fariét eytirié una pour manora.
Quand ſariet un Hermita u ſarier ſi tenta	Quand sariet un Hermita u sarier si tenta
Qu'u ſe deyfraquariet, per un po folata.	Qu'u se deyfraquariet, per un pô folata.
Per mi je ſeu ſi dru, que ſito qu’una filli M’approche, un limaſon en ſort de ſa coquilli, Comm’un joeine poillen à poin de travaillié, Per me fare ginga me faut pa gatillé:	Per mi je seu si dru, que sito qu'una filli M'approche, un limason en sort de sa coquilli, Comm'un joène poill à poin de travaillié, Per me sare ginga me faut pa gatillé:
Ne ſeu pa eictivain, & ſi porto la pluma:	Ne seu pa eictain, et si porto la pluma:
Ne ſeu pa mareicha, & ſi fiero l’encluma:	Ne seu pa mareicha, et si fiero l'encluma:
Ne ſeu pa pellatié, & ſi ſçavo fourta:	Ne seu pela pellatié, et si sçavo fourta:
E ne ſeu pa baſtié, & ſçavo rembourra:	E ne seu pa bastié, et sçavo rembourra:
Comme noſtron fournié ſegon Sardanapala, Ie ſçavo ben mena lo mancho de la pala, Ie n’entrepreno ren que n’en veneyſo about, Inco qué je n’ay ren apprey je ſçavo tout.	Comme nostron fournié ségon Sardanapala, Je sais ben a lo mancho de la pála, Je n'entrepreno ren que n'en veneyso about, Inco qué je n'ai ren appréi je savo tout.
La Thoni, la Margot, la Bertha, la Lorenci, Ont desja eyſaya la maita de ma ſcienci, Et je lour ay ſi bien apprey bedinbedot, Qu’elle volon toûjour fichié dedin lo pot.	La Thoni, la Margot, la Bertha, la Lorenci, Ont déjà eisaya la maita de ma scienci, Et je lour ai si bien appréi bedinbedot, Qu'elle volon toûjour fichié dedin lo pot.
Elle volon toûjour lo fu à lour colagmi, Ren ne lour fache tant que lo tour & l'eychagni, Pleſtadieu que la Lhauda à qui ét tout mon cour Et à qui je voudrin fate ſemblablo tour, Voluſſe ſen tarda ſçavey ce que je ſçavo, Ie moyro ſi ſon corp du men je n’appeyſavo, A mon avi fariet bon couchié aver ley, Parce que lhat louz eyu auſſi clat qu’un ſolley, Lo na, lo front, lou peyu biau ſur toute le fille, Eilli nat ren de nier que le deu ſureſſille, Son tein ét auſſi fraiz qu’un ilo qui florit, Eillat en chaque jauta un pertu quand i rit.	Elle volon jour lo fu à l' abolagmi, Ren ne lour fache tant que lo tour et l'échagni, Plestadieu que la Lhauda à qui est tout mon cour Et à qui je voudrin fate semblablo tour, Volusse sen tarda sçavey ce que je sçavo, Je moyro ne son corp du men je n'appeysavo, QUI mon avi fariet bon couchié aver lei, Parce que lhat ouz eiv aussi clat qu'un solley, Lo na, lo front, lou peyu biau sur toute le fille, Es nat ren de nier que le de vi, Son tein aussi fraiz un ô qui florit, Eillat en chaque jauta un pertu quand y rit.
Sou dou tetet ſon du, & ron comm’una bola, (Ce qu’ayde à gitta lo mureſſon din lola.	Sou dou tet son du, et ron comm'una bola, (Ce qu'aide à gitta lo muresson din lola.
Eill’ér de la grandou per jaugié lo gojon,	Éill'er de la grandou per jaugié lo jon,
Son corp que j’amo tant ét auſſi dret qu’un jon, Vl’et dou comm’un gan, & net comma veiſſella, Enſin ét afeyta comm’una Dameiſella.	Son corp que j'amo tant est aussi dret qu'un jon, Vl'et dou comm'un gan, et net comma veissella, Ensin est afeita comm'una Dameisela.
N’ai-je pa donq reiſon ſi j’en ſeu amoirou, Si je povin l’avey que je ſarin heirou;	N'ai-je paya donc réison si j'en seu amoirou, Si je pouvin l'avouei que je sarin héirou;
Lo Rey qu’ét grand Monſien ſariet pa mon comparo Et pui ne faudriet pa que mon revou de pare Me commandiſſe ren, car je n’u farin pa, I’amarin mey cen fey avey lou bra couppa.	Lo Rei qu'est grand Monsien sariét pa mon comparo Et puy ne faudriet pay que mon revou de pare Me commandisse ren, car je n'u farin pa, J'amarin me cen fey au ou bra coupa.
Et que je manquarin à ſi bella maiſtraiſſa?	Et que je manquarin à si bella maîtraissa?
Non pa quand tout fariet en la plus granda preſſa:	Non pa quand tout fariet en la plus granda pressa:
Ni meſme quand lou lou qui vont courant per tout Debvrion migié me boye & me chieure à tour.	Ni même quand lou lou qui vont courant per tout Débrion migié me boie et me chièvre à tour.
I’amo mey mou pleiſi que tout lo ben du mondo.	J'amo me mou pleisi que tout lo ben du mondo.
Mais n’ét-il pa iley?	Mais n'est-il pays il?
je veyo ſou peyu blondo:	je vio sou péiu blondo:
Eyet mon arma ley, car veiqui ſouz agneu, Que bien ame de loing ſez amour recogneu, Voih je m’eytiro ben dou vinto que je bado E't ſigno que je ſeu de ſon amour malado.	Eiet mon arma lei, car véiquis souz agnu, Que bien âme de loing sez amour reconnu, Voih je m'éitiro ben dou vinto que je bado Et signo que je seu de son amour malado.
Comman pourrai-j’alla luy dire Dieu ſeyſet Et faut que l’approcheyzo hazar ſet queyque ſer.	Comman pourrai-j'alla pu dire Dieu seyset Et faut que l'approcheyzo hasard set queique ser.
Vn amoirou hontou n’a jamay bell’amia.	Un amoirou hontou n'a jamai bell'amia.
La veiqui aſſetta eilli ſet endormia.	La veiqui assetta eilli set endormia.
Debvo-je l’yveillié ou la leiſſié dormi, No no é luy faut fare icy un tour d’ami, La leiſſié repoſa puiſqu’eillet à ſon eiſo.	Débo-je l'yveillié ou la lissié dormi, No nô nô lui faut sare ici un tour d'ami, La leissié reposa puisqu'eillet à son éviso.
Pamoin qu’ey qu’arrivey é faut que je la beiſo Que la lat bon beitle;	Pamoin qu'y qu'arrivei é faut que je la béiso Que la t bon beitle;
