A PARIS, Chez PIERRE DAVID, ſur le Perron en entrant dans la grande Salle du Palais.	À PARIS, Chez PIERRE DAVID, sur le Perron en entrant dans la grande Salle du Palais.
le deplaiſir de Diane ſe voyant contrainte d’eſpouſer Paris & de quitter Siluandre qu’elle aymoit, faict le commencement du quatrieſme acte, où Siluandre ſe reſout à mourir, puis qu’il ne peut poſſeder Diane:	le déplaisir de Diane se voyant contrainte d'épouser Paris et de quitter Silvandre qu'elle aimait, fait le commencement du quatrième acte, où Siluandre se résout à mourir, puis qu'il ne peut posséder Diane:
ceſte reſolution touche tellement ſa bergere, qu’elle ayme mieux mourir que d’eſpouſer Paris.	cette résolution touche tellement sa bergère, qu'elle aime mieux mourir que d'épouser Paris.
Cependant Leonide ſous pretexte de charme deſcouure à Aſtree qu’Alexis eſt Celadonmais Aſtree irritee de la tromperie commande à Celadon de mourir, pour expter ſon crime & le laiſſe, reſolu auſſi de faire le meſme.	Cependant Léonide sous prétexte de charme découvre à Astre qu'Alexis est Céladonmais Astrée irritée de la tromperie commande à Céladon de mourir, pour expter son crime et le laisse, résolu aussi de faire le même.
Dans cette reſolution elle eſt rencontree de Diane, & toutes deux enſemble vont à la fontaine de la verité d’amour, où la force de l’enchantement les endort:	Dans cette résolution elle est rencontrée de Diane, et toutes deux ensemble vont à la fontaine de la vérité d'amour, où la force de l'enchantement les endort:
Siluandre ſur le poinct de ſe precipiter eſt arreſté par Celadon qui s’en alloit à la fõtaine de la verité d’amour pour finir la vie, & l’emmenant quand & luy, rencontrent leurs bergeres endormies, apres quelque diſcours, ils paſſent ouure PREFACE.	Silvandre sur le point de se précipiter est arrêté par Céladon qui s'en allait à la fõtaine de la vérité d'amour pour finir la vie, et l'emmenant quand et lui, rencontrent leurs bergères endormies, après quelque discours, ils passent ouvre PRÉFACE.
contre les lyõs & les licornes, en ce temps Adamas, Paris, Leonide, Hilas & Bellinde arriuent, & voyent le changement qui ſe fait, l’air ſe trouble, & apres les eſclairs & la foudre l’air ſe raſſerenant, Amour paroiſt:	contre les lions et les licornes, en ce temps Adamas, Paris, Léonide, Hilas et Bellinde arrivent, et voient le changement qui se fait, l'air se trouble, et après les éclairs et la foudre l'air se rassérénant, Amour paraît:
qui commande qu’on remporte les corps de ces bergers & de ces bergeres qui ſembloyent morts, de marier Celadõ auec Aſtree, Diane auec Paris, & de luy ſacrifier le lẽdemain Siluandre par les mains d’Adamas, l’execution de ce rigoureux commandement, eſt le ſubiect du dernier Acte où Siluandre ſur le poinct d’eſtre ſacrifié, eſt recognu pour fils d’Adamas & pour le vray Paris, & Paris pour Ergaſte fils de Bellinde, & frere de Diane, ainſi s’accordent les oracles, & la volonté des Dieux eſt executee, Celadon eſpouſe Aſtree, Diane eſt mariee auec Paris, Ergaſte auec Leonide.	qui commande qu'on remporte les corps de ces bergers et de ces bergères qui semblaient morts, de marier Céladion avec Astre, Diane avec Paris, et de Seigneur sacrifier le lẽdemain Silvandre par les mains d'Adamas, l'exécution de ce rigoureux commandement, est le sujet du dernier Acte où Silandre sur le point d'être sacrifié, est reconnu pour fils d'Adamaste le vrai le et Paris, et Paris pour Égaste fils de Bellinde, et frère de Diane, ainsi s'accordent les oracles, et la volonté des Dieux est exécutée, Celadon épouse Rés, Diane et la auec Paris, Ergaste auecLeonide.
Voila Lecteur, tout mon ſubiect, qui veritablement eſt grãd, & que ſans doute, i’auroy iineur cruicté ſi le theatre ne m’auoit contrainct.	Voilà Lecteur, tout mon sujet, qui véritablement est grande, et que sans doute, j'aurai iineur cruité si le théâtre ne m'avait contraint.
PRIVILEGE DV ROY.	PRIVILÈGE DU ROI.
OVIS par la grace de Dieu Roy de France & de Nauarre.	OUÏS par la grâce de Dieu Roi de France et de Navarre.
A * noz amez & feaux Conſeillers, les gens tenans nos Cours de Parlemens, Baillifs, Seneſchaux, Preuoſts, ou leurs Lieutenans, & autres nos officiers qu’il appartiendra, SALVT.	À * noz âmez et féaux Conseillers, les gens tenants nos Cours de Parlements, Baillifs, Sénéchaux, Prévôts, ou leurs Lieutenants, et autres nos officiers qu'il appartiendra, SALUT.
Noſtre bien amé Nicolas Beſſin Marchand Libraire demeurant à Paris, nous a fait remonſtrer qu’il a recouuert vn liure intitulé, Tragicomedie Paſtorale, où les Amours d’Aſtree & de Celadon, ſont meſlee à celles de Diane, & de Siluandre & de Paris, auec les inconſtances d'Hilas, & autres poëſies, compoſees par le ſieur Rayſſiguier Aduocat, qu’il deſire faire imprimer & mettre en vente, s’il nous plaiſt luy actroyer nos lettres à ce neceſſaires.	Notre bien amé Nicolas Bessin Marchand Libraire demeurant à Paris, nous a fait remontrer qu'il a recouvert un livre intitulé, Tragicomédie Pastorale, où les Amours d'Astre et de Céladon, sont mêlée à celles de Diane, et de Siluandre et de Paris, avec les inconstances d'Hilas, et autres poësies, compose par le sieur Raissiguier Aduocat, qu'il désire faire imprimer et mettre en vente, s'il nous plaît à cetroyer nos lettres à ne lettres.
A CES CAVSES deſirant fauorablement traitter ledit expoſant & qu’il ne ſoit fruſtré de ſon labeur, luy auõs permis & octroyé, permettõs & octroyõs par ces preſentes, imprimer ou faire imprimer ledit liure, en telle marge & caractere que bon luy ſemblera, l’expoſer & mettre en vente durant le temps de ſix ans, à commencer du iour qu’il ſera acheué d’imprimer.	À CES CAUSES désirant favorablement traiter ledit exposant et qu'il ne soit frustré de son labeur, lui avons permis et otroyé, permettõs et octroyons par ces présentes, imprimer ou faire imprimer ledit livre, en telle marge et caractère que bon main semblera, l'exposer et mettre en vente durant le temps de six ans, à commencer du jour qu'il sera achevé d'imprimer.
Faiſant deffence à tous autres Libraires & Impriméurs, eſtrangers, ou autres dependant de noſtre Royaume, de quelque qualité qu’ils ſoient, de l’imprimer ny faire imprimer, vendre ny debiter pendant ledit temps, ſans le conſentemẽt dudit expoſant ou de ceux qui auront charge de luy à peine de mille liures d’amende & de confiſcation des liures, auec tous deſpens, dommages & intereſts.	Faisant défense à tous autres Libraires et Impriméurs, étrangers, ou autres dépendant de notre Royaume, de quelque qualité qu'ils soient, de l'imprimer Seigneur faire imprimer, vendre ici débiter pendant ledit temps, sans le consentement dudit exposant ou de ceux qui auront charge de lui Seigneur de mille livres d'amende et de confiscation des livres, avec tous dépens, dommages et intérêts.
Si vous mandons que du contenu au preſent Priuilege, vous faſſies iouïr & vſer ledit expoſant plainement & paiſiblement, ſans ſouffrir qu’il luy ſoit fait * - aucun trouble en aucune façon que ce ſoit.	Si vous mandons que du contenu au présent Privilège, vous fassies jouir et user ledit exposant plainement et paisiblement, sans souffrir qu'il a soit fait * * aucun trouble en aucune façon que ce soit.
A la charge qu’il mettra en noſtre Biblioteque publique deux exemplaires dudit liure à peine d’eſtre deſcheu du preſent Priuilege.	À la charge qu'il mettra en notre Biblioteque publique deux exemplaires dudit livre à peine d'être déchu du présent Privilège.
Car tel eſt noſtre plaiſir.	Car tel est notre plaisir.
Donné à Paris le vingt ſixieſme iour de Ianuier mil ſix cens trente, & de noſtre regne le vingtieſme, par le Roy en ſon Conſeil,	Donné à Paris le vingt sixième jour de Janvier mil six cens trente, et de notre règne le vingtième, par le Roi en son Conseil,
LE C.	LE Ç.
0Q Signé, DE VILLEMONTEE.	U0 Signé, DE VILLEMONTE.
	
ACTEVRS.	ACTEURS.
CELADON, Berger.	CÉLADON, Berger.
ASTREE,	ASTRE,
DIANE,	DIANE,
PARIS,	PARIS,
HILAS,	HILAS,
TRAGICOMEDIE paſtoralle.	TRAGICOMEDIE pastoralle.
ACTE PREMIER.	ACTE PREMIER.
Celadon, Siluandre, Aſtree, Diane, Paris, Hilas.	Céladon, Silvandre, Astre, Diane, Paris, Hilas.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
Celadon, Siluandre, Celadon ſeul.	Céladon, Silvandre, Céladon seul.
2 M Aras N fin ſans eſtre oui ie puis faire ma plainte, Et pleurer mon malheur ſans aucune contrainte, En fin ie puis icy ſouſpirer librement Durant le temps fatal de mon banniſſement, Et ſans craindre l’abord d’vne troupe importune, Employer tous mes iours à plaindre ma fortune.	2 M Aras NAT fin sans être oui ie puis faire ma plainte, Et pleurer mon malheur sans aucune contrainte, En fin à puis ici soupirer librement Durant le temps fatal de mon bannissement, Et sans craindre l'abord d'une troupe importune, Employer tous mes jours à plaindre ma fortune.
L’Astre de qui l’aspectm'eſt ſi fort ennemi, S’il m’euſt laiße mourir ne m’euſt nuy qu’à demi:	L'Astre de qui l'aspectm'est si fort ennemi, S'il m'eût laisse mourir ne m'eût nuis qu'à demi:
Mes maux euſſent fini lors qu’ils venoient de netre, Sans me donner le temps de les pouuoir cognetre:	Mes maux eussent fini lors qu'ils venaient de netre, Sans me donner le temps de les pouvoir cognetre:
Mais il n’a prolongé ma vie, qu'à deſſein De porter tous les iours mille morts dans mon ſein, Comme en ce lieu deſert, où ma triſte memoire Remet deuant mes yeux la perte de ma gloire, Et les mots rigoureux de ce commandement, Qui me donna les loix de mon eſloignement.	Mais il n'a prolongé ma vie, qu'à dessein De porter tous les jours mille morts dans mon sein, Comme en ce lieu désert, où ma triste mémoire Remet devant mes yeux la perte de ma gloire, Et les mots rigoureux de ce commandement, Qui me donna les lois de mon éloignement.
Alors que ma Bergere iniuſtement eſmeue, Sur les bords de Lignon s’eſloigna de ma veuë, Ordonnant qu'à ſes yeux ie ne me fiſſe voir, Que ſon commandement ne me l’euſt fait ſçauoir:	Alors que ma Bergère injustement émue, Sur les bords de Lignon s'éloigna de ma vue, Ordonnant qu'à ses yeux ie ne Se fisse ur, Que son commandement ne me l'eût fait savoir:
Alors le deſespoir ſegliſſant en mon ame, Ie me iettay dans l’eau pour amortir ma flame, Croyant qu'elle pourtoit auttques ja froideur, En finiſſant mes iours esteindre mon ardeur;	Alors le désespoir séglissant en mon âme, Je me jetait dans l'eau pour amortir ma flamme, Croyant qu'elle pourtait autques ja froideur, En finissant mes jours éteindre mon ardeur;
Mais le dieu de Lignon pour moy trop pitoyable, Contre ma volonté me ietta ſur le ſable, De peur que la grandeur du feu de mon amour, Ne changeaſt en guerets ſon humide ſeiour.	Mais le dieu de Lignon pour moi trop pitoyable, Contre ma volonté me jeta sur le sable, De peur que la grandeur du feu de mon amour, Ne changeast en guérets son humide séjour.
Ah!	Ah!
que le ciel encor m'euſt esté fauorable, S’il n’euſt point eu le ſoin de ce corps miſerable;	que le ciel encor m'eût été favorable, S'il n'eût point eu le soin de ce corps misérable;
Que ce ſoin toutesfois m’a causé des ennuis, Et que i’euſſe paßé de malheureuſes nuits, Si, ſans que Galathee en peuſt eſtre aduertie L’on n’euſt fauorisé ma ſecrete ſortie, Et donné le moyen de me cacher icy, Ou ma melancholie entretient mon ſoucy, Ou d’arbres enlacez i’ay faict le ſacré Temple, Ou les beautez d’Aſtree en portraict ie contemple.	Que ce soin toutefois m'a causé des ennuis, Et que j'eusse passé de malheureuses nuits, Si, sans que Galathe en pût été avertie L'on n'eût favorisé ma secrète sortie, Et donné le moyen de me cacher ici, Ou ma mélancolie entretient mon souci, Ou d'arbres enlacés j'ai fait le sacré Mo, Ma les beauté d'Astre en portrait ie contemple.
Et ſoubs le nom couuert d’vne diuinité I’adore ſans ſoupçon ſa cruelle beauté.	Et sous le nom couvert d'une divinité J'adore sans soupçon sa cruelle beauté.
Mais du coſté du bois il me ſemble d’entendre Quelqu'vn qui vient à moy, c’eſt le beger Siluandre, Qui ne vient pas icy ſans deſſein deuant iour:	Mais du côté du bois il me semble d'entendre Quelqu'un qui vient à moi, c'est le béger Silvandre, Qui ne vient pas ici sans dessein devant jour:
Me cachant ie ſçauray s’il eſt conduit d’amour.	Me cachant apprendre saurai s'il est conduit d'amour.
ANAGTCOMEDIE, SILVANDRE.	ANAGTCOMEDIE, SILVANDRE.
Que l’aſtre qui vit ma naiſſance, Euſt vn aſpect malicieux, Quand par la volonté des cieux, Mon ame reſſentit l’inuincible puiſſance Qu'amour a dans ſes yeux, Depuis i’ay peruerti l’vſage, Du doux ſilence de la nuict, Depuis quand le Soleil nous luict, Et qu’il reiouït tout auec ſon beau viſage, La triſteſſe me ſuit.	Que l'astre qui vit ma naissance, Eut un aspect malicieux, Quand par la volonté des cieux, Mon âme ressentit l'invincible puissance Qu'amour a dans ses yeux, Depuis j'ai perverti l'usage, Du doux silence de la nuit, Depuis quand le Soleil nous luict, Et qu'il réjouit tout avec son beau visage, La tristesse me suit.
Que ce iour me ſera funeſte, Que ie vi la rare beauté, Puis qu’en perdant là liberté Le bien plus precieux que mõ ame eust de reſte.	Que ce jour me sera funeste, Que ie Que la rare beauté, Puis qu'en perdant là liberté Le bien plus précieux que mon âme eût de reste.
Ie ſuis ſi mal traitté.	Je suis si mal traité.
I’allege toutesfois ma flame, En ſon entretien tous les iours, Et trouue parmi ſes diſcours, Pour ſi grande queſoit la douleur de mon ame, Quelque peu de ſecours.	J'allège toutefois ma flamme, En son entretien tous les jours, Et trouve parmi ses discours, Pour si grande quésait la douleur de mon âme, Quelque peu de secours.
Mais que ce ſecours eſt barbare, Au lieu de me rendre plus ſain, Il m’ouure plus auant le ſein, Et parmi ſes faueurs Diane trop auare, Limnjaunaija	Mais que ce secours est barbare, Au lieu de me rendre plus sain, Il m'ouvre plus avant le sein, Et parmi ses faveurs Diane trop avare, Limnjàunaijà
