TRAGICOMEDIE PASTORALLE,	TRAGICOMEDIE PASTORALLLE,
ceſte reſolution touche tellemẽt ſa bergere, qu’elle ayme mieux mou rir que d’eſpouſer Paris.	cette résolution touche tellement sa bergère, qu'elle aime mieux mou rir que d'épouser Paris.
Cependant Leonide ſous pretexte de charme deſcouure à Aſtree qu’Alexis eſt Celadon:	Cependant Léonide sous prétexte de charme découvre à Astre qu'Alexis est Céladon:
mais Aſtree irritee de la tromperie commande à Celadon de mourir, pour expier ſon crime & le laiſſer reſolu auſſi de faire le meſme.	mais Astre irritée de la tromperie commande à Céladon de mourir, pour expier son crime et le laisser résolu aussi de faire le même.
Dans ceſte reſolutiõ elle eſt rencontree de Dianc, & toutes deur enſemble vont à la fontaine de la veriré d'amour, où la force de l’enchantement les endort:	Dans cette résolution elle est rencontre de Dianc, et toutes devr ensemble vont à la fontaine de la vériré d'amour, où la force de l'enchantement les endort:
Siluandre ſur le poinct de ſe precipiter eſt arreſté par Celadon qui s’en alloit à la font taine de la verité d’amour pour finir la vie, & l’emmenant quand & luy, ren contren leurs bergeres endormies, apres quelque diſcours, ils paſſent outre contre les lyons & les licornes, en ce temps Adamas, Paris, Leonide, Hilas & Bellinde arriuent, & voyent le changement qui ſe fait, l’air ſe trouble, & apres les eſclairs & la foudre l’air ſe raſſerenant, Amour paroiſt, qui commande qu’on remporte les corps de ces bergers & de ces bergeres qui ſembloient morts, de marier Celadon auec Aſtree, Diane auec Paris, & de luy ſacrifier le lendemain Siluandre par les mains d’Adamas, l’execution de ce rigoureux commandement, eſt le ſubiect du dernier Acte où Siluandre ſur le poinct d’eſtre ſacrifié, eſt recogneu pour fils d’Adamas & pour le vray Paris, & Paris pour Ergaſte fils de Bellinde, & frere de Diane, ainſi s’accordent les oracles, & la volonté des Dieux eſt executee, Celadon efpouſe Aſtree;	Siluandre sur le point de se précipiter est arrêté par Céladon qui s'en allait à la font taine de la vérité d'amour pour finir la vie, et l'emmenant quand et Seigneur, ren contren leurs bergères endormies, après quelque discours, ils passent outre contre les lions et les licornes, en ce temps Adamas, Paris, Léonide, Hil et Bellinde arrivent, et voient le changement qui se fait, l'air se trouble, et après les éclairs et la foudre l'air se rassérénant, Amour paraît, qui commande qu'on remporte les corps de ces bergers et de ces bergeres qui et morts, de marier Ce auec Astree, Diane auec Paris, et de lui sacrifier le lendemain Siluandre par les mains Adamas, exécution de ce rigoureux commandement, est le subiect du dernier Acte Siluandre sur le poinct être sacrifié, est recogneu pour fils Adamas et pour le vrai Paris, et Paris pour Ergaste fils de Bellinde, et frère de Diane, ainsi accordent les oracles, et la volonté des Dieux est exécutée, Celadon épouse Astreeg
Diane eſt mariee auec Paris, Ergaſte auec Leonide.	Diane est mariée après Paris, Érgaste avec Léonide.
Voila Lecteur, tout mon ſubiect, qui veritablement eſt grand, & que ſans doute, i’auroy mieux traicté ſi le theatre ne m’auoit contrainct.	Voilà Lecteur, tout mon sujet, qui véritablement est grand, et que sans doute, j'aurais mieux traité si le théâtre ne m'avait contraint.
PRIVILEGE DV ROY	PRIVILÈGE DU ROY
OVIS par la grace de Dieu Roy de France & de Nauarre.	OUÏS par la grâce de Dieu Roi de France et de Navarre.
A noz amez & feaux Conſeillers.	À nous âmez et féaux Conseillers.
les gens tenans nos Cours de Parlemans, Baillifs, Seneſchaux, Preuoſts, où leurs Lieutenans, & autres nos officiers qu’il appartiendra.	les gens tenants nos Cours de Parlemants, Baillifs, Sénéchaux, Prévôts, où leurs Lieutenants, et autres nos officiers qu'il appartiendra.
SALVT, Noſtre bien amé Nicolas Beſſin Marchand Libraire demeurant à Paris, nous a fait remonſtrer qu’il a Recouuert vn liure intitulé, Tragicomedie Paſtorale, où les Amours d'Aſtree & de Celadon, ſont meſlees à celles de Diane, de Siluandre & de Paris, auec les inconſtances d' Hilas, & autres poëſies, compoſees par le ſieur Rayſſeguier Aduocat, qu’il deſire faire imprimer & mettre en vente, s’il nous plaiſt luy octroyer nos lettres à ce neceſſaires.	SALUT, Notre bien amisé Nicolas Bessin Marchand Libraire demeurant à Paris, nous a fait remontrer qu'il a Recouvert un livre intitulé, Tragicomédie Pastorale, où les Amours d'Astre et de Céladon, sont mêlées à celles de Diane, de Siluandre et de Paris, était les inconstances d' Ilas, et autres poèsies, compose par le sieur Raysseguier Aduocat, qu'il désire faire imprimer et mettre en vente, s'il nous plaît à ce ne lettres à ce nécessaires.
A CES CAVSES deſirant fauorablement traitter ledit expoſant, & qu’il ne ſoit fruſtré de ſon labeur, luy auons permis & octroyé, permettons & oetroyons par ces preſentes, imprimer ou faire imprimer ledit liure, en telle marge & caractere que bon luy ſemblera, l’expoſer & mettre en vente durant le temps de ſix ans, à commencer du iour qu’il ſera acheué d’imprimer.	À CES CAUSES désirant favorablement traiter ledit exposant, et qu'il ne soit frustré de son labeur, lui avons permis et otroyé, permettons et ojetroyons par ces présentes, imprimer ou faire imprimer ledit livre, en telle marge et caractère que bon lui semblera, l'exposer et mettre en vente durant le temps de six ans, à commencer du jour qu'il sera achevé d'imprimer.
Faiſant deffence à tous autres Libraires & Imprimeurs, eſtrangers, ou autres dependant de noſtre Royaume, de quelque qualité qu’ils ſoient, de l’imprimer ny faire imprimer, vendre ny debiter pendant ledit temps, ſans le conſentement dudit expoſant ou de ceux qui auront charge de luy à peine de mille liures d’amende & de confiſcation des liures, auec tous deſpens dommages & intereſts.	Faisant défense à tous autres Libraires et Imprimeurs, étrangers, ou autres dépendant de notre Royaume, de quelque qualité qu'ils soient, de l'imprimer ni faire imprimer, vendre ni débiter pendant ledit temps, sans le consentement dudit exposant ou de ceux qui auront charge de lui peine de mille livres d'amende et de confiscation des livres, auec mille dépens dommages et intérêts.
Si voys mandons que du contenu au preſent Priuilege, vous faſſies iouïr & vſer ledit expoſant plainement & paiſiblement, ſans ſouffrir qu’il luy ſoit fait aucun trouble en aucune façon que ce ſoit.	Si vois mandons que du contenu au présent Privilège, vous fassies jouir et user ledit exposant plainement et paisiblement, sans souffrir qu'il a soit fait aucun trouble en aucune façon que ce soit.
A la charge qu’il mettra en noſtre Biblioteque publique deux exemplaires dudit liure à peine d’eſtre deſcheu du preſent Priuilege.	À la charge qu'il mettra en notre Biblioteque publique deux exemplaires dudit livre à peine d'être déchu du présent Privilège.
Car tel eſt noſtre noſtre plaiſir, Donné à Paris te viugemieime iour de Ianuiet mil ſix cens trente, crut reuit regne le vingtieſme, par le Roy en ſon Conſeil, LE cOQ Signé,	Car tel est notre nôtre plaisir, Donné à Paris te vivemieime jour de Janviet mil six cens trente, crut ré gne le vingtième, par le Roi en son Conseil, LE cOQ Signé,
DE VILLEMONTEE.	DE VILEMONTE.
ACTEVR s	ACTEUR s
CELADON, Berger.	CÉLADON, Berger.
ASTREE, Bergere.	ASTRE, Bergère.
DIANE, PARIS, CHOEVR des Bergers.	DIANE, PARIS, CHOEUR des Bergers.
SILVANDRE, Berger incogneu.	SILVANDRE, Berger inconnu.
Bergere.	Bergère.
Fils d’Adamas.	Fils d'Adamas.
HILAS, Berger inconſtant.	HILAS, Berger inconstant.
ADAMAS, Grand Druide.	ADAMAS, Grand Druide.
LEONIDE, Nimphe & niece d’Adamas Le VACIE, Ou grand Preſtre.	LENIDE, Nymphe et nièce d'Adamas Le VACIE, Ou grand Prêtre.
BELLINDE, Mere de Diane.	BÉLINDE, Mère de Diane.
PREMIRE.	PREMIRE.
Celadon, Siluandre, Celadon ſeul.	Céladon, Silvandre, Céladon seul.
N fin ſans eſtre oui ie puis faire ma plainte, Et pleurer mon malheur ſans aucuné contrainte, En fin ie puis icy ſouspirer librement Durant le temps fatal de mon banniſſement, Et ſans craindre l’abord d'vne troupe importune, Employer tous mes iours à plaindre ma fortune.	N fin sans être oui ie puis faire ma plainte, Et pleurer mon malheur sans aucuné contrainte, En fin quelque puis ici soupirer librement Durant le temps fatal de mon bannissement, Et sans craindre l'abord d'une troupe importune, Employer tous mes jours à plaindre ma fortune.
2 L’Aſtre de qui l’aſpect m’eſt ſi fort ennemi, S’il m’euſt laißé mourir ne m’euſt nuy qu’à demi:	2 L'Astre de qui l'aspect m'est si fort ennemi, S'il m'eût laisse mourir ne m'eût nuis qu'à demi:
Mes maux euſſent fini lors qu’ils venoient de netre Sans me donner le temps de les pouuoir cognetre:	Mes maux eussent fini lors qu'ils venaient de netre Sans me donner le temps de les pouvoir connaître:
Mais il n’a prolongé ma vie, qu’à deſſein De porter tous les iours mille morts dans mon ſein, Comme en ce lieu deſert, où ma triste memoire Remet deuant mes yeux la perte de ma gloire, Et les mots rigoureux de ce commandement, Qui me donna les loix de mon eſloignement.	Mais il n'a prolongé ma vie, qu'à dessein De porter tous les jours mille morts dans mon sein, Comme en ce lieu désert, où ma triste mémoire Remet devant mes yeux la perte de ma gloire, Et les mots rigoureux de ce commandement, Qui me donna les lois de mon éloignement.
Alors que ma Bergere iniuſtement eſmeuë, Sur les bords de Lignon s’eſloigna de ma veuë, Ordonnant qu'à ſes yeux ie ne me fiſſe voir, Que ſon commandement ne me l’euſt fait ſçauoir:	Alors que ma Bergère injustement émue, Sur les bords de Lignon s'éloigna de ma vue, Ordonnant qu'à ses yeux ie ne Se fisse ur, Que son commandement ne me l'eût fait savoir:
Alors le deſeſpoir ſe gliſſant en mon ame, Ie me iettay dans l’eau pour amortir ma flame, Croyant qu’elle pourroit auecques ſa froideur, En finiſſant mes iours eſteindre mon ardeur;	Alors le désespoir se glissant en mon âme, Je me jetai dans l'eau pour amortir ma flamme, Croyant qu'elle pourrait manques sa froideur, En finissant mes jours éteindre mon ardeur;
Mais le dieu de Lignon pour moy trop pitoyable, Contre ma volonté me ietta ſur le ſable, De peur que la grandeur du feu de mon amour, Ne changeaſt enguerets ſon humide ſeiour.	Mais le dieu de Lignon pour moi trop pitoyable, Contre ma volonté me jeta sur le sable, De peur que la grandeur du feu de mon amour, Ne changeast enguerets son humide séjour.
Aht que le ciel encor m’euſt eſté fauorable, S’ũ n’euſt point eu le ſoin de ce corps miſerable;	Aht que le ciel encor m'eût été favorable, S'un n'eût point eu le soin de ce corps misérable;
Que ce ſoin toutesfois m’a causé des ennuis, Et que i’euſſe paßé de malheureuſes nuits, Si, ſans que Galathee en peuſt eſtre aduertie, L’on n’euſt fauorisé ma ſecrete ſortie, Et donné le moyen de me cacher icy, Ou ma melancholie entretient mon ſoucy, Ou d’arbres enlacez i’ay faict le ſacré Temple, Ou les beautez d’Aſtree en portraict ie contemple.	Que ce soin toutefois m'a causé des ennuis, Et que j'eusse passé de malheureuses nuits, Si, sans que Galathe en pût été avertie, L'on n'eût favorisé ma secrète sortie, Et donné le moyen de me cacher ici, Ou ma mélancolie entretient mon souci, Ou d'arbres enlacés j'ai fait le sacrèré Temple, Ou les té d'Astre en portraict ie contemple.
Et ſoubs le nom couuert d’vne diuinité I’adore ſans ſoupçon ſa cruelle beauté.	Et sous le nom couvert d'une divinité J'adore sans soupçon sa cruelle beauté.
Mais du coſté du bois il me ſemble d’entendre Quelqu'vn qui vient à moy, c’eſt le berger Siluãdre, Qui ne vient pas icy ſans deſſein deuant iour:	Mais du côté du bois il me semble d'entendre Quelqu'un qui vient à moi, c'est le berger Siluãdre, Qui ne vient pas ici sans dessein devant jour:
Me cachant ie ſçauray s’il eſt conduit d’amour.	Me cachant apprendre saurai s'il est conduit d'amour.
Siluandre.	Silvandre.
Que l’aſtre qui vit ma naiſſance, Euſt vn aſpect malicieux, Quand par la volonté des cieux, Mon ame reſſentit l’inuincible puiſſance Qu'amour a dans ſes yeux.	Que l'astre qui vit ma naissance, Eut un aspect malicieux, Quand par la volonté des cieux, Mon âme ressentit l'invincible puissance Qu'amour a dans ses yeux.
Depuis i'ay peruerti l’yſage, Du doux ſilence de la nuict, Depuis quand le Soleil nous luict, Et qu’il reiouït tout auec ſon beau viſage, La triſteſſe me ſuit.	Depuis j'ai perverti l'ysage, Du doux silence de la nuit, Depuis quand le Soleil nous luict, Et qu'il réjouit tout avec son beau visage, La tristesse me suit.
Que ce iour me ſera funeſte, Que ie vi la rare beauté, Puis qu’en perdant la liberté Le bien plus precieux que mon ame eust de reſte, Ie ſuis ſi mal traitté.	Que ce jour me sera funeste, Que Que vi la rare beauté, Puis qu'en perdant la liberté Le bien plus précieux que mon âme eût de reste, Je suis si mal traité.
I’allege toutesfois ma flame, En ſon entretien tous les iours, A ij Et trouua parmi ſes diſcours, Pour ſi grande que ſoit la douleur de mon ame, Quelque peu de ſecours.	J'allège toutefois ma flamme, En son entretien tous les jours, A j Et trouva parmi ses discours, Pour si grande que soit la douleur de mon âme, Quelque peu de secours.
Mais que ce ſecours est barbare, Aulieu de me rendre plus ſain, Il m’ouure plus auant le ſein, Et parmi ſes faueurs Diane trop auare, Trauerſe mon deſſein.	Mais que ce secours est barbare, Aulieu de me rendre plus sain, Il m'ouvre plus avant le sein, Et parmi ses faveurs Diane trop avare, Traverse mon dessein.
Le Soleil ne vient point encore luire au monde, Bria Lune deſia ſe cache deſſous l’onde, Il faut que malgré moy i’arreſte icy mes pas, Cedant au froids pauots du frele du trespas.	Le Soleil ne vient point encore luire au monde, Bria Lune déjà se cache dessous l'onde, Il faut que malgré moi j'arrête ici mes pas, Cédant au froids pauots du frêle du trépas.
Celad.	Célad.
Siluandre tu n’es plus comme autrefois, capable, D’ayder vn innocent qu’on estime coupable, Maintenant que l’amour t’a ſouſmis à ſa loy, Tes cõſeils ſont sãs fruict & pour nous & pour toy, Que viens tu donc chercher en ce lieu ſolitaire, Des malheurs où ie ſuis l’aimable ſecretaire?	Silvandre tu n'es plus comme autrefois, capable, D'aider un innocent qu'on estime coupable, Maintenant que l'amour t'a sousmis à sa loi, Tes cõseils sont sans fruit et pour nous et pour toi, Que viens tu donc chercher en ce lieu solitaire, Des malheurs où tu suis l'aimable secrétaire?
