JULIE, Fille d’Oronte.	JULIE, Fille d'Oronte.
à beyre un Marit cruel meſpreſa touto l’ardou que yeu ay perery ce me laiſſa ſenſſe cap de pietat abandounado à las mourſeles domious que yeu fenenty de luo pernuos accius,	à béire un Marit cruel mépresa touto l'ardou que yeu ai péreri ce me laissa sensse cap de piétât abandounado à las mourses domious que yeu fennenti de luo pernuos accius,
ORONTE.	ORONTE.
Je ne ſçaurois m’empeſcher de pleurer.	Je ne saurais m'empêcher de pleurer.
Allez, vous eſtes un méchant Homme.	Allez, vous êtes un méchant Homme.
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
je ne comoj nemuteut cecy.	je ne comj nemuteut ceci.
SCENE VIII.	SCÈNE VIII.
ADIeINL n riendes mo oniiE, ORONTE, M.	ADIeINL n riendes mo oniE, ORONTE, M.
POURC.	POURC.
NERINE.	NERINE.
A H je n’en pis plus, je ſis toute eſſoflée.	À H je n'en pis plus, je sis toute essoflée.
Ah finPY faron, tu m’as bien fait courir, tu ne m’écaperas inie.	Ah finPY faron, tu m'as bien fait courir, tu ne m'écaperas inie.
juitice, juitiée;	juitice, juitiée;
je boute empeſchement au Mariage.	Je boute empêchement au Mariage.
Cheſt mon Mery, Monſieur, & je veux faire pindre che bon pindar-la.	Chest mon Mery, Monsieur, et je veux faire pindre che bon pindar-la.
Encor!	Encor!
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
ORONTE.	ORONTE.
Quel diable d’Homme eſt-ce-cy?	Quel diable d'Homme est-ce-cy?
LUCETTE.	LUCETTE.
Et que boulés-bous dire, ambe boſtre empachomen, & boſtro pendarié?	Et que boulés-bous dire, ambe botre empachomen, et bostro pendarié?
Quaquel Homo es boſtre Marit?	Quaquel Homo es botre Marit?
NERINE.	NERINE.
Ouy, Medeme, & je ſis ſa Femme.	Oui, Mème, et je sis sa Femme.
BACETIE.	BACETIE.
Aquo es faus, aquos yeu que ſoun ſa Fenno;	Aquo es faus, aquos yeu que soun sa Fenno;
& ſe deû eſtre pendut, aquo lera yeu que lou faray penda.	et se dévu être pendut, aquo lera yeu que lou sarai penda.
NERINE.	NERINE.
Je n’entains mie che baragoin-là.	Je n'entains mie che baragoin-là.
Lu CETTE.	Lu CETTE.
Yeu bous diſy que yeu ſoun ſa Fenno.	Yeu bous dis que yeu soun sa Fenno.
Sa Femme?	Sa Femme?
NERINE.	NERINE.
Oy.	Oi.
LUCETTE.	LUCETTE.
NERINE.	NERINE.
Je vous dis que cheſt my, encor in coup, qui le ſis.	Je vous dis que chêt mi, encor in coup, qui le sis.
LUCETTE.	LUCETTE.
Et yeu bous ſouſteni yeu, qu’aquos yeu.	Et yeu bous souteni yeu, qu'aquos yeu.
le la l lil di.	le la l il di.
Il y a quetre ans qu’il m’a époſée.	Il y a quetre ans qu'il m'a éposée.
LUCETTE.	LUCETTE.
Et yeu ſet ans ya que m’a preſo per Fenno.	Et yeu set ans ya que m'a preso per Fenno.
I ERINE.	I ÉRINE.
j'aj des ganlomis de tout ce que je dy.	j'aj des ganlomis de tout ce que je dis.
LUCETTE.	LUCETTE.
Tout ion Iais iod laps	Tout ion Iais yod laps
NERINE.	NERINE.
No Ville en eſt temoin.	No Ville en est témoin.
LUCETTE.	LUCETTE.
Tout Pezenas a biſt noſtre mariatge.	Tout Pezenas a bît notre mariatge.
NERINE.	NERINE.
Tout Chin Quentin a aſſiſté à no Noce.	Tout Chin Quentin a assisté à nô Ce.
Dde xiIs.	Dde xiIs.
Nou ya res de tan beritable.	No ya rés de tan béritable.
NERINE.	NERINE.
Il gn’y a rien de plus chertain.	Il gn'y a rien de plus chertain.
LUCETTE.	LUCETTE.
Auſos-tu dire lou contrari, avaliſquos?	Aus-tu dire lou contrari, avalisquos?
n E a llrn.	n' Y a llrn.
Eſt-che que tu me démaintiras, méchaint Homme?	Est-che que tu me démaintiras, méchaint Homme?
M.	M.
POURCBAUGNAC.	POURCBAUGNAC.
Il eſt auſſi vray l’un que l’autre.	Il est aussi vrai l'un que l'autre.
LUCETTE.	LUCETTE.
Quaign’inpudenſſo!	Quaign'inpudensso!
Et couſſy, miſerable, nou te ſoubenes plus de la pauro Françon, & del paure Jeanet, que ſoun lous fruits de noſtre mariatge?	Et coussy, misérable, nouve te soubenes plus de la pauro Françon, et dél aure Jeanet, que soun ous fruits de notre mariatge?
NERINE.	NERINE.
Bayez un peu l’inſolence.	Bayez un peu l'insolence.
Quoy, tu ne te ſouviens 3 mie mie de chette pauvre ainfain, no petite Madelaine, que tu m’as laichee pour gaige de ta foy?	Quoi, tu ne te souviens 3 mie mie de chette pauvre ainfain, nô petite Madelaine, que tu m'as laichée pour gaige de ta foi?
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
Voila deux impudentes carognes !	Voilà deux impudentes carognes !
L'UCETTE.	L'UCETTE.
Beny Françon, beny Jeanet, beny touſtou, beny tountoune, peny fayie beyle dun rayjio dénaturat, la duretat quel a per nautres.	Béni Françon, béni Jeanet, béni tous, béni tountoune, peni saisie beinle dun rayjio dénaturat, la duretat quel a per nautres.
NERINE.	NERINE.
Venez Madelaine, men’ainfain, venez-veſen ichy fane nonte à vo Pere de l’inpudainche qu’il a.	Venez Madelaine, m'enfain, venez-vênesen chi fane nonte à vo Père de l'inpudainche qu'il a.
EA.	EA.
FAN.	FAN.
MAG.	MAG.
Aiil mon Tapa, momrapa mon Papa.	Aiil mon Tapa, momrapa mon Papa.
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
Diantre ſoit des petits Fils de Putains.	Diantre soit des petits Fils de Putains.
LUCETTE.	LUCETTE.
Couſſy, trayte, tu nou ſios pas dins la darniere confuſiu, de reſſaupre à tal tous Enfans, & de ſerma l’aureillo à la tendreſſo paternello?	Coussi, traite, tu nou sios pas dins la darnière confusiv, de ressaupre à tal tous Enfants, et de serma l'aureillo à la tendresso paternello?
Tu nou m’eſcaperas pas, infame, yeu te boly ſeguy per tout, & te reproucha ton crime juſquos à tant que me ſio benjado, & que t’ajo fayt penja, couqui, te boly fayre penja.	Tu nou m'écaperas pas, infâme, y te boli segui père tout,as te reproucha ton crime jusquos à tant que me si benjado, et que t'aj à penja, couqui, te bol faire penja.
NERINE.	NERINE.
Ne rougis-tu mie de dire ches mots-là, & d’eſtre inſainſible aux caireſſes de chette pauvre ainfain?	Ne rougis-tu mie de dire chez mots-là, et d'être insainsible aux cairesses de chette pauvre ainfain?
Tu ne te lauveras iiiie de mes pates;	Tu ne te lauveras jiie de mes pates;
& en dépit de tes dains, je feray bien voir que je ſis ta Femme, & je te feray peindre.	et en dépit de tes dains, je ferai bien voir que je sais ta Femme, et je te ferai peindre.
Les Enfans tous enſemble.	Les Enfants tous ensemble.
Mon Papa, mon Papa, mon Papa.	Mon Papa, mon Papa, mon Papa.
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
Au ſecours, au ſecours, où fuiray-je?	Au secours, au secours, où fuirai-je?
je n’en puis plus.	je n'en puis plus.
ORONTE.	ORONTE.
Allez, vous ferez bien de le ſaire punir, & il merite d’eſtre pendu.	Allez, vous ferez bien de le zaïre punir, et il mérite d'être pendu.
SCE	SCE
DCDeVnIX.	DCDeUnIX.
SBRIGANI.	SBRIGANI.
E conduis de l’œil toutes choſes, & tout cecy ne ra pus ier.	E conduis de l'œil toutes choses, et tout ceci ne ra pus jer.
Nous fatiguerons tant noſtre Provincial, qu'il laudra, ma Ioy, qu’il degueiphſe.	Nous fatiguerons tant notre Provincial, qu'il laudra, ma Joi, qu'il dégueiphse.
SCENE X.	SCÈNE X.
M.	M.
POURCEAOGNAC, SBRIGANI.	POURCEAGNAC, SBRIGANI.
Aua.	Ava.
Ao unonnduinc.	Ao unonnduinc.
H je ſuis aſſommé.	H je suis assommé.
Quelle peine!	Quelle peine!
quelle mauN dite Ville!	quelle mauN dite Ville!
Aſſaſſiné de tous coſtez!	Assassiné de tous côtés!
SBRIGANI.	SBRIGANI.
Qu’eſt-ce, Monſieur, eſt-il encor arrivé quelque choſe?	Qu'est-ce, Monsieur, est-il encor arrivé quelque chose?
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
Ouy.	Oui.
Il pieut en ce Iuis des Femmes & des Lavemens.	Il pieut en ce Juis des Femmes et des Lavements.
BRIGANI.	BRIGANI.
Comment donc?	Comment donc?
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
Deux Carognes de baragoüinneuſes me ſont venu accuſer de les avoir épouſé toutes deux, & me ihenatent de la juinee	Deux Carognes de baragouineuses me sont venu accuser de les avoir épousé toutes deux, et me ihenatent de la juinée
SRRIGANI.	SRRIGANI.
Voila une méchante affaire, & la Juſtice en ce Païs-cy eſt rigoureuſe en diable contre cette ſorte de crime.	Voilà une méchante affaire, et la Justice en ce Pays-cy est rigoureuse en diable contre cette sorte de crime.
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
Ouy:	Oui:
Mais quand il y auroit Information, Ajournement, Decret & Jugement obtenu par ſurpriſe, Defaut & Contumace, j’ay la voye de Conflit de Juriſdiction, pour temporiſer & venir aux Moyens de nullité qui ſeront dans les Procedures.	Mais quand il y aurait Information, Ajournement, Décret et Jugement obtenu par surprise, Défaut et Contumace, j'ai la voie de Conflit de Juridiction, pour temporiser et venir aux Moyens de nullité qui seront dans les Procedures.
SBRIGANI.	SBRIGANI.
Voila en parler dans tous les termes;	Voilà en parler dans tous les termes;
& l’on voit bien, Monſieur, que vous eſtes du meſtier.	et l'on voit bien, Monsieur, que vous êtes du métier.
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
Moy, point du tout, je ſuis Gentilhomme.	Moi, point du tout, je suis Gentilhomme.
BRIGANI.	BRIGANI.
niaut bien pou parſer amn, que vous ayez étudié la Pratique.	niaut bien pou parser amn, que vous ayez étudié la Pratique.
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
Point, ce n’eſt que le ſens commun qui me fait juger que je ſeray toujours receu à mes Faits juſtificatifs, & qu’on ne me ſçauroit condamner ſur une ſimple accuſation, ſans un recollement & confronsation avet lnes Pailles.	Point, ce n'est que le sens commun qui me fait juger que je serai toujours reçu à mes Faits justificatifs, et qu'on ne me saurait condamner sur une simple accusation, sans un recollement et confronsation avet letnes Pailles.
SBRIGANI.	SBRIGANI.
En voila du plus fin encore.	En voilà du plus fin encore.
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
Ces mots-là me viennent ſans que je les ſçache.	Ces mots-là me viennent sans que je les sçache.
SBRIGANI.	SBRIGANI.
Al iie leiibie que le lens coimiun d’un Gentilhomme peut bien aller à concevoir ce qui eſt du droict & de l’ordre de la Juſtice;	Al jie lejibie que le lents coimiun d'un Gentilhomme peut bien aller à concevoir ce qui est du droit et de l'ordre de la Justice;
mais non pas à ſçavoir les vrays termes de la Chicane.	mais non pas à savoir les vrais termes de la Chicane.
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
Ce ſont quelques mots que j’ay retenus en liſant les Romans.	Ce sont quelques mots que j'ai retenus en lisant les Romans.
SBRIGANI.	SBRIGANI.
An lolt blen.	An lolt blen.
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
Pour vous montrer que je n’entens rien du tout à la Chicane, je vous prie de me mener chez quelque Avocat pour conſulter mon Affaire.	Pour vous montrer que je n'entends rien du tout à la Chicane, je vous prie de me mener chez quelque Avocat pour consulter mon Affaire.
BRIGANI.	BRIGANI.
Je le veux, & vais vous conduire chez deux Hommes fort habiles;	Je le veux, et vais vous conduire chez deux Hommes fort habiles;
mais j’ay auparavant à vous avertir de n’eſtre point ſurpris de leur maniere de parler;	mais j'ai auparavant à vous avertir de n'être point surpris de leur manière de parler;
ils ont contracté du Barreau certaine habitude de DeclaDeclamation, qui fait que l’on diroit qu’ils chantent, & vous prendrez pour Muſique tout ce qu’ils vous diront.	ils ont contracté du Barreau certaine habitude de DeclaDeclamation, qui fait que l'on dirait qu'ils chantent, et vous prendrez pour Musique tout ce qu'ils vous diront.
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
Qu’importe comme ils parlent, pourveu qu’ils me diient ce que je veda Iaron.	Qu'importe comme ils parlent, pourvu qu'ils me diient ce que je véda Jaron.
SCENE XI.	SCÈNE XI.
SBRIGANI, M.	SBRIGANI, M.
POURCEAUGNAC, DEUX AVOCATS Muſiciens, dont l'un parle fort lentement, & l’autre fort viſte, accompagnez	POURCEAUGNAC, DEUX AVOCATS Musiciens, dont l'un parle fort lentement, et l'autre fort vite, accompagnés
L’Avocat traînant ſes paroles.	L'Avocat traînant ses paroles.
A Polygamie eſt un cas, Eſt un cas pendable.	À Polygamie est un cas, Est un cas pendable.
L’Avocat bredoüilleur.	L'Avocat bredouilleur.
Voſtre fait Eſt clair & net, Et tout de droit Sur cet endroit Conclut tout droit.	Votre fait Est clair et net, Et tout de droit Sur cet endroit Conclut tout droit.
Si vous conſultez nos Autheurs, Legiſtateurs & Gloſſateurs, Juſtinian, Papinian, Ulpian & Tribonian, Fernand, Rebuffe, Jean Imole, Pumns cupmy Julian, Barthole, Jaſon, Alciat & Cujas, Ce grand Homme ſi capable;	Si vous consultez nos Auteurs, Légistateurs et Glossateurs, Justinian, Papinian, Ulpian et Tribonian, Fernand, Rebuffe, Jean Imole, Pumns cupm Ian, Barthole, Jason, Alciat et Cujas, Ce grand Homme si capable;
La Polygamie eſt un cas 19i in cas pendable.	La Polygamie est un cas 19i in cas pendable.
Tous les Peuples policez, Et bien ſenſez;	Tous les Peuples policez, Et bien sensé;
Les François, Anglois, Hollandois, Danois, Suedois, Polonois,	Les Français, Anglais, Hollandais, Danois, Suedais, Polonais,
Portugais, Eſpagnols, Flamans, taliens, Allemans, Sur ce fait tiennent loy ſemblable, Et l’affaire eſt ſans embarras;	Portugais, Espagnols, Flamants, taliens, Allemands, Sur ce fait tiennent loi semblable, Et l'affaire est sans embarras;
La Polygamie eſt un cas, Ljt un ca pendaole.	La Polygamie est un cas, Léjt un ca endaole.
Monſieur Pourceaugnac les bat.	Monsieur Pourceaugnac les bat.
Deux Procureurs & deux Sergens dancent une Entrée, qui finit l'Acte.	Deux Procureurs et deux Sergents dancent une Entrée, qui finit l'Acte.
ACTE	ACTE
ACTE III.	ACTE III.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
ERASTE, SBRIGANI.	ERASTE, SBRIGANI.
SBRIGANI.	SBRIGANI.
Uy, les choſes s’acheminent où nous voulons:	Oui, les choses s'acheminent où nous voulons:
Et comme ſes lumieres ſont fort petites, & ſon ſens le plus borné du monde, je luy ay fait prendre une frayeur ſi grande de la ſeverité de la Juſtice de ce Païs, & des apreſts qu’on faiſoit déja pour ſa mort, qu’il veut prendre la fuite;	Et comme ses lumières sont fort petites, et son sens le plus borné du monde, je lui ai fait prendre une frayeur si grande de la sévérité de la Justice de ce Pays, et des apprêts qu'on faisait déjà pour sa mort, qu'il veut prendre la fuite;
& pour ſe dérober avec plus de facilité aux Gens que je luy ay dit qu’on avoit mis pour l’arreiter aux Portes de la Ville, il s’eſt reſolu à ſe déguiſer, & le déguiſement qu’il a pris eſt l’habit d’une Femme.	et pour se dérober avec plus de facilité aux Gens que je voula dit qu'on avait mis pour l'arreiter aux Portes de la Ville, il s'est résolu à se déguiser, et le déguisement qu'il a pris est l'habit d'une Femme.
ERASTE.	ERASTE.
Je voudrois bien le voir en cet équipage.	Je voudrais bien le voir en cet équipage.
SRIGANI.	SRIGANI.
Songez de voſtre part à achever la Comedie:	Songez de votre part à achever la Comédie:
& tandis que je joueray mes Scenes avec luy, allezvous-en.	et tandis que je jouerai mes Scène avec lui, allezvous-en.
vous entendez bien?	vous entendez bien?
Ouy.	Oui.
ERASTE.	ERASTE.
SBRIGANI.	SBRIGANI.
Et lors que je lauray ims ou je veux.	Et lors que je laurai ims ou je veux.
Fort bien.	Fort bien.
ERASTE.	ERASTE.
SBRIGANI.	SBRIGANI.
Et quand le Pere aura eſté averti par moy.	Et quand le Père aura été averti par moi.
ERASTE.	ERASTE.
Cela va le mieux du monde.	Cela va le mieux du monde.
SBRIGANI.	SBRIGANI.
Voici noſtre Delionenle;	Voici notre Délionenle;
ulien tinte;	ulien tinte;
qu’il ne nous voye enſemble.	qu'il ne nous voit ensemble.
SCE.	SCE.
SCENE II.	SCÈNE II.
M.	M.
POURCEAUGNAC en Femme, ODRICANI.	POURCEAUGNAC en Femme, ODRICANI.
BRIGANI.	BRIGANI.
y Our moy je ne croy pas qu’en cet état on puiſſe jamais vous connontie, & vous avez la mine comme cela, d’une Femme de condition.	y Our moi je ne crois pas qu'en cet état on puisse jamais vous connontie, et vous avez la mine comme cela, d'une Femme de condition.
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
Voila qui m’étonne, qu’en ce Païs-cy les formes de la Juſtice ne ſoient point obſervées.	Voilà qui m'étonne, qu'en ce Pays-cy les formes de la Justice ne soient point observées.
BRIGAN I.	BRIGAN I.
Ouy, je vous Pay deja dit, ils commencent icy par faire pendre un Homme, & puis ils luy font lon Proces.	Oui, je vous Pai déjà dit, ils commencent ici par faire pendre un Homme, et puis ils lui font lon Proces.
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
Voila une Juſtice bien injuſte.	Voilà une Justice bien injuste.
BRIGANI.	BRIGANI.
ene ele le vere comme tous les Diaoles, particulierement ſur ces ſortes de crimes.	ene éle le vere comme tous les Diaoles, particulièrement sur ces sortes de crimes.
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
Mais quand on eſt innocent?	Mais quand on est innocent?
BRIGANI.	BRIGANI.
N’importe, ils ne s’enqueſtent point de cela;	N'importe, ils ne s'enquêtent point de cela;
& puis ils ont en cette Ville une haine effroyable pour les Gens de voſtre Païs, & ils ne ſont point plus ravis que de voir pendre un Limoſin.	et puis ils ont en cette Ville une haine effroyable pour les Gens de votre Pays, et ils ne sont point plus ravis que de voir pendre un Limosin.
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
Qu’eſt-ce que les Limoſins leur ont fait?	Qu'est-ce que les Limosins leur ont fait?
BRIGANI.	BRIGANI.
Ce ſont des brutaux, ennemis de la gentilleſſe & du merite des autres Villes.	Ce sont des bruts, ennemis de la gentillesse et du mérite des autres Villes.
Pour moy je vous avouë que je ſuis pour vous dans une peur épouvantable;	Pour moi je vous avoue que je suis pour vous dans une peur épouvantable;
& je ne me conſolerois de ma vie, ſi vous veniez à eſtre pendu.	et je ne me consolerais de ma vie, si vous veniez à être pendu.
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
Ce n’eſt pas tant la peur de la mort qui me fait fuir, que de ce qu’il eſt fâcheux à un Gentilhomme d’eſtre pendu, & qu’une preuve comme celle-là feroit tort à nos Titres de Nobleſſe.	Ce n'est pas tant la peur de la mort qui me fait fuir, que de ce qu'il est fâcheux à un Gentilhomme d'être pendu, et qu'une preuve comme celle-là ferait tort à nos Titres de Noblesse.
BRIGANI.	BRIGANI.
Vous avez raiſon, on vous conteſteroit aprés cela le Titre d’Eſcuyer.	Vous avez raison, on vous contesterait après cela le Titre d'Écuyer.
Au reſte, étudiez-vous, quand je vous meneray par la main, à bien marcher comme une Femme, & prendre le langage & toutes les manieres d’une Perſonne de qualité.	Au reste, étudiez-vous, quand je vous mènerai par la main, à bien marcher comme une Femme, et prendre le langage et toutes les manières d'une Personne de qualité.
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
Laiſſez moy faire, j’ay veu les Perſonnes du bel air;	Laissez -moi faire, j'ai vu les Personnes du bel air;
tout ce qu’il y a, c’eſt que j’ay un peu de barbe.	tout ce qu'il y a, c'est que j'ai un peu de barbe.
BRIGANI.	BRIGANI.
Voſtre barbe n’eſt rien, & il y a des Femmes qui en ont autant que vous.	Votre barbe n'est rien, et il y a des Femmes qui en ont autant que vous.
çà, voyons un peu comme vous ferez.	çà, voyons un peu comme vous ferez.
Bon.	Bon.
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
Allons donc, mon Caroſſe;	Allons donc, mon Carosse;
où eſt-ce qu’eſt mon Caione?	où est-ce qu'est mon Caione?
Mon bieu, qu’on eſt miſerable, d’avoir des Gens comme cela!	Mon bieu, qu'on est misérable, d'avoir des Gens comme cela!
Eſt-ce qu’on me fera attendre toute la journée ſur le pave, & qu’on ne me fera point venir mon Caroſſe?	Est-ce qu'on me fera attendre toute la journée sur le pave, et qu'on ne me fera point venir mon Carosse?
Fort bien.	Fort bien.
SBRIGANI.	SBRIGANI.
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
Hola ho, Cocher, petit Laquais.	Hola ho, Cocher, petit Laquais.
Ah petit fripon, que de coups de foüet je vous feray donner tantoit!	Ah petit fripon, que de coups de fouet je vous ferai donner tantait!
Petit Laquais, petit Laquais;	Petit Laquais, petit Laquais;
où eſt-ce donc qu’eſt ce petit Laquais?	où est-ce donc qu'est ce petit Laquais?
ce petit Laquais ne ſe trouvera-t-il point?	ce petit Laquais ne se trouvera-t-il point?
ne me fera-t-on point venir ce petit Laquais?	ne me fera-t-on point venir ce petit Laquais?
eſt-ce que je n’ay point un petit Laquais dans le monde?	est-ce que je n'ai point un petit Laquais dans le monde?
SERIGANI.	SERIGANI.
Voila qui va à merveille:	Voilà qui va à merveille:
mais je remarque une choſe, cette Coiffe eſt un peu trop déliée, j’en vais C 7 quequerir une un peu plus épaiſſe, pour vous mieux cacher le viſage, en cas de quelque rencontre.	mais je remarque une chose, cette Coiffe est un peu trop déliée, j'en vais Ç 7 quequérir une un peu plus épaisse, pour vous mieux cacher le visage, en cas de quelque rencontre.
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
Que deviendray-je cependant?	Que deviendrai-je cependant?
BRIGANI.	BRIGANI.
Attendez-moy là, je ſuis à vous dans un moment;	Attendez-moi là, je suis à vous dans un moment;
vous n’avez qu’a vous promener.	vous n'avez qu'a vous promener.
SCENE III.	SCÈNE III.
DEOA E S, M.	DÉOA E S, M.
POURCEAUGNAC.	POURCEAUGNAC.
I.	I.
SUISSE.	SUISSE.
A Llons dépeſchons, Camerade, ly faut allair tout deux nous à la Creve pour regarter un peu chouſticier ſti Monſiu de Pourcegnac qui l’a eſté contané par Ortonnance à l’eſtre pendu par ſon cou.	À Llons dépêchons, Camerade, li faut allair tout deux nous à la Crève pour regarter un peu chouticier sti Monsieur de Pourcegnac qui l'a été contané par Ortonnance à l'être pendu par son cou.
2.	2.
SUISSE.	SUISSE.
Ly faut nous loër un feneſtre pour foir ſti Chouitiee.	Ly faut nous loer un fenêtre pour soir sti Chouitie.
1.	1.
SUISSE.	SUISSE.
Ly diſent que l’on fait téja planter un grand potence tout neuve pour ly acrocher ſti Porcegnac.	Ly disent que l'on fait téjà planter un grand potence tout neuve pour li acrocher sti Porcegnac.
2.	2.
SUISSE.	SUISSE.
Ly ſira, ma foy, un grand plaiſir, dy regarter pendre ſti Limoſin.	Li sira, ma foi, un grand plaisir, dis régarter pendre sti Limosin.
I.	I.
SUISSE.	SUISSE.
Ouy, de ly foir gambiller les pleus en haut tevant tout le monde.	Oui, de li soir gambiller les pleus en haut tevant tout le monde.
2.	2.
SUISSE.	SUISSE.
Ly eſt un plaiſant drole, ouy;	Li est un plaisant drôle, oui;
ly diſent que c’eſtre marié troy foye.	li disent que c'être marié troy ie.
I.	I.
SUISSE.	SUISSE.
Sti diable ly vouloir troy Femmes à ly tout ſeul;	Sti diable li vouloir trois Femmes à li tout seul;
Iy eſt bien aſſez t’une.	Ii est bien assez t'une.
2.	2.
SUISSE.	SUISSE.
2.	2.
SUISSE.	SUISSE.
Ah pon chour, Mameſene.	Ah pon chour, Mamesene.
SUISSE.	SUISSE.
Que faire fous là tout ſeul ?	Que faire fous là tout seul ?
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
J’attens mes Gens, Meſſieurs.	J'attends mes Gens, Messieurs.
2.	2.
odI0GE.	odI0GE.
Ly eſt belle, par mon foy.	Li est belle, par mon foi.
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
Doucement, Meſſieurs.	Doucement, Messieurs.
P.	P.
SUISSE.	SUISSE.
10ue.	10ue.
Mameſelle, fouloir finir réchoüir fous à la Creve?	Mameselle, fouloir finir réchoüir fous à la Creve?
nous faire foir à fous un petit pendement pien cnoiy.	nous faire soir à fous un petit pendement pien coini.
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
Je vous rens grace.	Je vous rends grâce.
2.	2.
SUISSE.	SUISSE.
L’eſt un Gentilhoume Limoſſin qui ſera pendu chantiment à un grand potence.	L'est un Gentilhoume Limossin qui sera pendu chantiment à un grand potence.
me ſouRennuddAc.	me souRennuddAc.
Je n’ay pas de curioſité.	Je n'ai pas de curiosité.
LSUTSSL.	LSUTSL.
Ly eſt là un petit teton qui l’eſt drole.	Ly est là un petit téton qui l'est drôle.
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
Tout-beau.	Toutbeau.
I.	I.
SUISSE.	SUISSE.
Mon foy, moy couchair pien avec fous.	Mon foi, moi couchair pien avec fous.
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
An ç en eit trop, & ces ioites d’ordures-là ne ſe diſent point à une Femme de ma condition.	An ç en eit trop, et ces joites d'ordures-là ne se disent point à une Femme de ma condition.
2.	2.
SUISSE.	SUISSE.
Laiſſe-toy, l’eſt moy qui le veut couchair avec elle.	Laisse-toi, l'est moi qui le veut couchair avec elle.
SuISSE.	SuISSE.
Moy ne vouloir pas laiſſer.	Moi ne vouloir pas laisser.
2.	2.
SUISSE.	SUISSE.
Moy ly vouloir, moy.	Moi li vouloir, moi.
1.	1.
SUISSE.	SUISSE.
1I.	1I.
SUISSE.	SUISSE.
Ils le tirent avec violence.	Ils le tirent avec violence.
Moy ne faire rien.	Moi ne faire rien.
2.	2.
SUISSE.	SUISSE.
Toy l’avoir menty.	Toi l'avoir menti.
I.	I.
SUISSE.	SUISSE.
Toy l’avoir menty toy-meſme.	Toi l'avoir menti toi-même.
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
Au ſecours, à la force.	Au secours, à la force.
SCENE IV.	SCÈNE IV.
ON EXEMPT, 2.	ON EXEMPT, 2.
ARCHERS, I.	ARCHERS, I.
& 2.	et 2.
SUISSES, M.	SUISSES, M.
POURC.	POURC.
L’EXEMPT.	L'EXEMPT.
U’eſt-ce?	OÙ'est-ce?
quelle violence eſt-ce-là?	quelle violence est-ce-là?
& que  voulez-vous faire à Madame?	et que voulez-vous faire à Madame?
Allons, que I’on ſorte de là, ſi vous ne voulez que je vous mette en priſon.	Allons, que J'on sorte de là, si vous ne voulez que je vous mette en prison.
da o d les de Party pon, toy ne l’avoir point.	da ô dès les de Parti pon, toi ne l'avoir point.
2.	2.
SUISSE.	SUISSE.
Party pon auſſi, toy ne l’avoir point encore.	Parti pon aussi, toi ne l'avoir point encore.
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
Je vous ſuis bien obligée, Monſieur, de m’avoir delivrée de ces inſolens.	Je vous suis bien obligée, Monsieur, de m'avoir délivrée de ces insolents.
MiRT MIT.	MiRT MIT.
Oüay, voila un viſage qui reſſemble bien à celuy que l’onm'a depeint.	Oui, voilà un visage qui ressemble bien à celui que l'onm'a dépeint.
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
Ce n’eſt pas moy, je vous aſſure.	Ce n'est pas moi, je vous assure.
L’EXEMPT.	L'EXEMPT.
Ah, ah, qu’eſt-ce que je veux dire?	Ah, ah, qu'est-ce que je veux dire?
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
Je ne ſçay pas.	Je ne sais pas.
L’EXEMPT.	L'EXEMPT.
Pourquoy donc dites-vous cela?	Pourquoi donc dites-vous cela?
M.	M.
POHE	POHÉ
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
