A MONSEIGNEVR DE MONTMORENCY, Duc, Pair, & prallu frullhrar de France, &c.	À MONSEIGNEUR DE MONTMORENCY, Duc, Pair, et prallu frullhrar de France, etc.
Metcdemr ounapatntor incparite, On eſt bien eſloigné d’en poſſeder le tout.	Metcdemr ounapatntor incarite, On est bien éloigné d'en posséder le tout.
PHILENE.	PHILENE.
Et bien enſeigne moy quelque nom qui te plaiſe, Et duquel ie te puiſſe appeller deſormais.	Et bien enseigne moi quelque nom qui te plaise, Et duquel ie te puisse appeler désormais.
3	3
YLVIE.	YLVIE.
uſppaueney eyeute, uppeut incy mauuaiſe, Mais de ces noms d’Amour ne m'en parle iamais.	usppaueney eute, uppeut inci mauvaise, Mais de ces noms d'Amour ne m'en parle jamais.
PHILENE.	PHILENE.
Que le Ciel me feroit vn bien ineſtimable, Si pour eſtre inſenſible il me faiſoit rocher!	Que le Ciel me ferait un bien inestimable, Si pour être insensible il me faisait rocher!
LVIE.	LVIE.
Philene en cet eſtat me ſeroit plus aimable, Car ie l’aimerois mieux de roche que de chair.	Philène en cet état me serait plus aimable, Carris l'aimerais mieux de roche que de chair.
PHILENE.	PHILENE.
Dieux!	Dieux!
tout cõtre le port ie treuueplus d’orage, Et plus d aneuglement aupres de mon ſambeau.	tout commette le port nom trouveplus d'orage, Et plus d aneuglement auprès de mon sambeau.
SYLVIE.	SYLVIE.
E:	E:
Pourquoy donc imprudent me ſuy-tu dauantage Si tu ſçais que mon œil te met dans le tombeau?	Pourquoi donc imprudent me suis-tu davantage Si tu sais que mon œil te met dans le tombeau?
PHILENE.	PHILENE.
darqerent tc deſdasingrate, quele vaime, Me forçant par tes yeux à rechercher ma mort.	darqueèrent t desdasingrate, quele vaime, Me forçant par tes yeux à rechercher ma mort.
YLVIE.	YLVIE.
Doncques de ton malheur n’accuſe que toy meſ me, Ou commande à tes yeux d’en accuſer le ſort.	Donc de ton malheur n'accuse que toi mes me, Ou commande à tes yeux d'en accuser le sort.
a ll laa Reo Il eſt vray que tous deux me rendent miſerable, Mais le coup de la mort me vient de ta beauté.	à lêl la Réo Il est vrai que tous deux me rendent misérable, Mais le coup de la mort me vient de ta beauté.
LVIE.	LVIE.
Ainſi les imprudens font le Soleil coulpable De leur aueuglement que cauſe ſa clarté.	Ainsi les imprudents font le Soleil coulpable De leur aveuglement que cause sa clarté.
PHILENE.	PHILENE.
A la fin ie voy bien qu’il faudra que ie meure Sans teſmoignage aucun que de ta cruauté.	À la fin fin assez bien qu'il faudra que personne meure Sans témoignage aucun que de ta cruauté.
C iij	Ç Cijà
SYLVIE.	SYLVIE.
Qui n’attend que la mort doit mourir de bonne En retarder le coup, c'eſt vne laſchete.	Qui n'attend que la mort doit mourir de bonne En retarder le coup, c'est une lâcheté.
heure.	heure.
PHILENE.	PHILENE.
Quoy!	Quoi!
tu n’auras donc pas pitié de la conſtance D'vn pauure cœur qui meurt de tõ amour eſpris.	tu n'auras donc pas pitié de la constance D'un pauvre cœur qui meurt de tendre amour épris.
SYLVIE.	SYLVIE.
D itincart c'eſt infcinent, lt fuit tapentienee Du crime qu’il a fait d’auoir trop entrepris.	 Ditincart c'est infinent, lt fuit tapentiene Du crime qu'il a fait d'avoir trop entrepris.
PHILENE.	PHILENE.
Tu veux bien pour le moins auant ma ſepulture D'vn baiſer ſeulement ma douleur appaiſer.	Tu veux bien pour le moins avant ma sépulture D'un baiser seulement ma douleur apaiser.
SYLVIE.	SYLVIE.
ſture, Sans perdre en meſme temps l’vn’ ou l’autre naLes glaces & les feux ne ſe peuuent baiſer.	sture, Sans perdre en même temps l'un ou l'autre naLes glaces et les feux ne se peuvent baiser.
PHILENE.	PHILENE.
O cœur!	Ô cœur!
mais bien rocher touſiours couuert d’orage, Où mon amour ſe perd auec trop de rigueur!	mais bien rocher toujours couvert d'orage, Où mon amour se perd auec trop de rigueur!
SYLYIE.	SYLYIE.
On touche le rocher où l’on fait le naufrage, Mais iamais ton amour ne m’a touché le cœur.	On touche le rocher où l'on fait le naufrage, Mais jamais ton amour ne m'a touché le cœur.
PHILENE.	PHILENE.
Diſons pour mieux parler d’vne choſe ſi rare, vi te n'eſt vn rocher que c eſt vn diamant.	Disons pour mieux parler d'une chose si rare, vi te n'est un rocher que c' est un diamant.
LVIE.	LVIE.
Ne t’eſtonne donc pas ſi ma rigueur auare A cauſe de ſonprix le garde cherement.	Ne t'étonne donc pas si ma rigueur avare A cause de sonprix le garde chèrement.
PHILENE.	PHILENE.
4 Tnes daunmiume que te conqnes fuis ut its mains diutAu defaut d’vn baiſer recompenſe ma foy.	4 Tits daunmivme que te conqnes fuis ut mains diutAu défaut baiser recompense ma foi.
LVIE.	LVIE.
Tu n’en peux eſperer que les ſeules eſpines, Car ie garde les fleurs pour vn autre que toy.	Tu n'en peux espérer que les seules épines, Car ie garde les fleurs pour un autre que toi.
PHILENE.	PHILENE.
Ityre O Dieux!	Ityre Ô Dieux!
ſoyez teſmoins que ie ſouffre vn mar.	soyez témoins que ici souffre un mar.
Qui fait fendre le tronc de ce cheſne endurçy.	Qui fait fendre le tronc de ce chaîne endurçi.
LVTE.	LUTE.
Il faut croire pluſtoſt qu'il s’eſclatte de rire Oyant les ſots diſcours que tu me fais icy.	Il faut croire plutôt qu'il s'éclatte de rire Oyant les sots discours que tu me fais ici.
PHILENE.	PHILENE.
Tu t’en vas donc Syluie, ô Syluie, ô mon amel Eſt-ce là le loyer que merite ma flame?	Tu t'en vas donc Syluie, ô Syluie, ô mon amel Est-ce là le loyer que mérite ma flamme?
Reuiens belle, reuiens, non pour me ſecourir,	Reviens belle, reviens, non pour me secourir,
Mais pour m'entẽdre plaindre & pour me voir mourir.	Mais pour m'entendre plaindre et pour me voir mourir.
Orgueilleuſe Bergere, ingrate fugitiue, Puiſque ta cruauté ne veut pas que ie viue Ie luy veux obeyr, arreſte encore vn peu, Ie n’ay plus à pouſſer qu’vn petit traict de feu.	Orgueilleuse Bergère, ingrate fugitive, Puisque ta cruauté ne veut pas que sans vive Je lui veux obéir, arrête encore un peu, Je n'ai plus à pousser qu'un petit trait de feu.
Mais c’eſt former en vain vn diſcours à la nüe, Elle eſt deſia ſi loing que ie la perds de veüe, Et comme ſi ſes pieds approuuoient ſon deſdain L’inhumaine s’enfuit plus legere qu’vn dain.	Mais c'est former en vain un discours à la nue, Elle est déjà si loin que sans la perds de vue, Et comme si ses pieds approuvaient son dédain L'inhumaine s'enfuit plus légère qu'un dain.
Rochers, arbres, ruiſſeaux, belles fleurs, ſolitude Qui voyez ma conſtance & ſon ingratitnde, Quel eſprit aujourd’huy ſous l’amoureuſe loy A moins de recompenſe & plus de mal que moy?	Rochers, arbres, ruisseaux, belles fleurs, solitude Qui voyez ma constance et son ingratitnde, Quel esprit aujourd'hui sous l'amoureuse loi A moins de récompense et plus de mal que moi?
On a veu deux moiſſons depuis l’heure premiere Qu'elle mit en ſes fers mon ame priſonniere;	On a vu deux moissons depuis l'heure première Qu'elle mit en ses fers mon âme prisonnière;
Depuis ie n’ay ceßé de luy faire la cour Auec des compliments de reſpect & d’amour:	Depuis ici n'ai cessé de Seigneur faire la cour Avec des compliments de respect et d'amour:
I'ay cent fois repoußé le loup de ſon herbage, Cẽt fois i’ay pris le ſoin de lui faire vn ombrage, Teſmoin vn cabinet tout tapißé de ver Juert, Fait de mes propres mains pour la mettre à couMeſmes dernierement ie luy fis vne planche En vn certain paſſage où ce ruiſſeau s’eſpanche.	J'ai cent fois repoussé le loup de son herbage, Cẽt fois j'ai pris le soin de lui faire un ombrage, Témoin un cabinet tout tapi de de Juert, Fait de mes propres mains pour la mettre à couMesmes dernièrement ie cy fis une planche En un certain passage où ce ruisseau s'épanche.
Mais pourquoy rapporter ces ſoins officieux, Puiſque ſa cruauté ne m’en traicte pas mieux?	Mais pourquoi rapporter ces soins officieux, Puisque sa cruauté ne m'en traite pas mieux?
Au contraire on diroit que ſa rigueur augmenté Lors que ma paßion deuient plus vehemente.	Au contraire on dirait que sa rigueur augmenté Lors que ma passion devient plus véhémente.
N’importe, ſi faut-il mourir en ce deſſein, Außi bien ie ne puis me l’arracher du ſein:	N'importe, si faut-il mourir en ce dessein, Aussi bien ici ne puis me l'arracher du sein:
Ie croy que le bonheur ſuiura noſtre eſperance, Et qu'elle aura pitié de ma perſeuerance:	Je crois que le bonheur suivra notre espérance, Et qu'elle aura pitié de ma persévérance:
En tout cas ie verray ferme dans mon tourment 11quanau nomumneut peus pouſſer un amante	En tout cas Prince verrai ferme dans mon tourment 11quanau nomumneut peus pousser un amante
SCENE III.	SCÈNE III.
MELIPHILE.	MELIPHILE.
THELAME.	THÉLAME.
SYLVIE.	SYLVIE.
MELIPHILE.	MELIPHILE.
JOicy l’heure à peu prés qu’en habit de bocage Mon frere doit paſſer dedans ce iardinage, La curioſité me preſſe grandement	JOici l'heure à peu près qu'en habit de bocage Mon frère doit passer dedans ce jardinage, La curiosité me presse grandement
De ſçauoir le ſujet de ce deſguiſement:	De sçauoir le sujet de ce déguisement:
Son humeur depuis peu ſe plaiſt à la campagne, Sans vouloir toutefois ſouffrir qu’on l’accõpagne.	Son humeur depuis peu se plaît à la campagne, Sans vouloir toutefois souffrir qu'on l'accõpagne.
Et contre ſa couſtume il ne fait que ſonger:	Et contre sa coutume il ne fait que songer:
Ie l’apperçois qui vient en habit de Berger, En fin ie vous y prends, l’eſtat où ie vous treuue De vos intentions m’eſt vne claire preuue, L’eſprit le moins rusé ſeroit trop eſclaircy De l’amoureux deſſein qui vous amene icy;	Je l'aperçois qui vient en habit de Berger, En fin tu vous y prends, l'état où ie vous trouve De vos intentions m'est une claire preuve, L'esprit le moins rusé serait trop éclair De l'amoureux dessein qui vous amène ici;
Il n’en faut pas rougir, en de ſmblables choſes Amour fait biẽ ſouuẽt d’autres metamorphoſes, Bien long temps deuant vous on nous dit que les Dieux En habits empruntez ſont deſcendus des Cieux.	Il n'en faut pas rougir, en de smblables choses Amour fait bien souuẽt m'autres métamorphoses, Bien long temps devant vous on nous dit que les Dieux En habits empruntés sont descendus des Cieux.
*venyon,ne traigne apoint a enſeigner vn myſtere A qui ſçait comme il faut & parler & ſe taire.	*venyon,ne traigne apoint à enseigner un mystère A qui sait comme il faut et parler et se taire.
THELAME.	THÉLAME.
Cõme on permet le mal qu’on ne peut empeſcher Il faut bien deſcouurir ce qu’on ne peut cacher.	Comme on permet le mal qu'on ne peut empêcher Il faut bien découvrir ce qu'on ne peut cacher.
MELIPHILE.	MELIPHILE.
Peut eſtre ma franchiſe vn peu trop curieuſe & cau japiname demeaiiarseajes	Peut être ma franchise un peu trop curieuse et cau jappiname demeaiiarseajes
THELAME.	THÉLAME.
Nullement, tant s’en faut, que mon plus grand regret Eſt de t’auoir caché ſi lon temps mon ſegret.	Nullement, tant s'en faut, que mon plus grand regret Est de t'avoir caché si lon temps mon ségret.
MELIPHILE.	MELIPHILE.
Si vous me faictes part de cette confidence, Croyez qu'aſſeurémẽt mes ſoins & ma prudẽce e eu ppourront fermir, outre que deſcharge D’vn ſecret important l’eſprit eſt allegé.	Si vous me faites part de cette confidence, Croyez qu'assurément mes soins et ma prudence e eu pourront fermir, outre que décharge D'un secret important l'esprit est allégé.
HELAME.	HÉLAME.
Sçache donc, chere ſœur, que ce cœur inſenſible, Ce cœur qu'on a tenu ſi long temps inuincible, Que tant de beaux objects dont ſe pare la Cour na dureunt peu teure encor ſuſcepnvie d'amour, De libre où il eſtoit inceſſamment ſouſpire, Eſclaue deuenu de l’amoureux empire.	Sache donc, chère sœur, que ce cœur insensible, Ce cœur qu'on a tenu si long temps invincible, Que tant de beaux objets dont se pare la Cour na dureunt peu ture encor suscepnvie d'amour, De libre où il était incessamment soupire, Esclave devenu de l'amoureux empire.
MELIPHILE.	MELIPHILE.
Ce n'eſt pas d’aujourd’hui que i’ay deu me douter Du ſujet du diſcours que ie viens d’eſcouter, A voir les mouuemens de voſtre inquietude, Et comme voſtre humeur aimoit la ſolitude, Il eſtoit bien aisé de faire vn iugement Conforme à la raiſon de voſtre changement.	Ce n'est pas d'aujourd'hui que j'ai dev me douter Du jet du discours que ie viens d'écouter, A voir les mouvements de votre inquiétude, Et comme votre humeur aimait la solitude, Il était bien aisé de faire un jugement Conforme à la raison de votre changement.
Mais quelle eſt la Beauté qui ſe donne la gloire De remporter ſur vous vne telle victoires	Mais quelle est la Beauté qui se donne la gloire De remporter sur vous un telle victoires
THELAME.	THÉLAME.
Vne que tu pourrois à peine imaginer Si tu n’es bien ſçauante en l’art de deuiner.	Une que tu pourrais à peine imaginer Si tu n'es bien savante en l'art de deviner.
MELIPHILE.	MELIPHILE.
Ie ne ſçay, mab au moins te croy que c’en eſt vne Digne de voſtre amour & de voſtre fortune.	Je ne sais, mab au moins te crois que c'en est une Digne de votre amour et de votre fortune.
THELAME.	THÉLAME.
Aſſeurément.	Assurément.
MELIPHILE.	MELIPHILE.
I'entends vne qui ſoit de rang Et de condition ſortable à voſtre ſang.	J'entends une qui soit de rang Et de condition sortable à votre sang.
THELAME.	THÉLAME.
Ie ne te tiendray pas dauantage en balance, Icy ma paßion implore ton ſilence, Icy ie te coniure au nom de l’amitié De tenir ce depos plus cher de la moitié Que ton propre intereſt, ou que ta propre vie.	Je ne te tiendrai pas davantage en balance, Ici ma passion implore ton silence, Ic ie te conjure au nom de l'amitié De tenir ce dépos plus cher de la moitié Que ton propre intérêt, ou que ta propre vie.
O Dieux!	Ô Dieux!
ſans me paſmer puis-ie nõmer Syluiel C’eſt elle qui m’arreſte en des liens doreZ Qui meſme par vn Dieu deuroiẽt eſtre adorez:	sans me pâmer puis-je nommer Sylviel C'est elle qui m'arrête en des liens dorés Qui même par un Dieu devraient être adorés:
Les dons d’ame & de corps dont elle eſt bien pourueuë Charmẽt à meſme temps & l’eſprit & la veuë, Son viſage où iamais ne s’appliqua le fard Ignore les attraits qu’on emprunte de l’art, On n’y voit point blanchir la ceruſe & leplâtre Comme en ceux qu’aujourd’huy noſtre Cour idolatre:	Les dons d'âme et de corps dont elle est bien pourvue Charma à même temps et l'esprit et la vue, Son visage où jamais ne s'appliqua le fard Ignore les attraits qu'on emprunte de l'art, On n'y voit point blanchir la céruse et leplâtre Comme en ceux qu'aujourd'hui notre Cour idolatre:
Diane dans les bois, Arethuſe dans l’eau, N’eurẽt iamais le teint ni plus frais ni plus beau, C’eſt le plus noble cœur, l’humeur la plus docile, MR TIJNM Au reſte s’il y a quelque ſouuerain bien, On ne le doit chercher que dans ſon entretien.	Diane dans les bois, Arethuse dans l'eau, N'eurẽt jamais le teint ni plus frais ni plus beau, C'est le plus noble cœur, l'humeur la plus docile, MR TINM Au reste s'il y a quelque souuerain bien, On ne le doit chercher que dans son entretien.
MELIPHILE.	MELIPHILE.
Les belles qualiteZ qui la rendent aimable Font que dans voſtre chois vous n'eſtes point blãmable, Il eſt certain qu'elle a des attraits aſſeZ doux Pour oſter la raiſon à tout autre qu'à vous:	Les belles qualités qui la rendent aimable Font que dans votre chois vous n'êtes point blãmable, Il est certain qu'elle a des attraits assez doux Pour ôter la raison à tout autre qu'à vous:
