A.	A.
Phaler cela s’entend des inclinations & non des accidens, les maux qui nous viennent a cauſe de nous, peuuent eſtre aucunement euitez de nous, encorqu’il n’appartiẽt qu’aux ames du tout fortes de reſiſter à ſes cauſes internes, qui perpetuellement lone uum ihains B ij auec noſtre vertu, laquelle ne peut que trop difficilement eſtre touſiours en garde, mais des coups repentins, les ſubits accidens nous en portent premier que nous nous puiſſions roidir contre’eux, & bien que nous voyos venir le torrent qui nous va entrainer quelque choſe de ſecretclouë nos pieds & nous laiſſez emporter à ce que les autres eſtiment que nous pouuions euiter) ie vay taſcher de parler à Philandre à qui i’ay des-ia dict quelquechoſedece que ie vous viens de daclarer:	Phaler cela s'entend des inclinations et non des accidents, les maux qui nous viennent à cause de nous, peuvent être aucunement évitez de nous, encorqu'il n'appartiẽt qu'aux âmes du tout fortes de résister à ses causes internes, qui perpétuellement lone um ihains B ij toujours notre vertu, laquelle ne peut que trop difficilement être toujours en garde, mais des coups repentins, les sujets accidents nous en portent premier que nous nous puissions roidir contreeux, et bien que nous puis si le on qui nous ra entraîner quelque con de secretclouë et que et nous voyez emporter ce nir le autres estiment qui nous va éviter)aine vay tâcher que parler Philandre que çay dese de quelquechosedece que ie lou viens de daclarer:
de là iray voir Terganté, pour auec ſon aduis rerneurera cc	de là irai voir Terganté, pour avec son avis retreurera cent
aflalrrear.	aflalrrear.
Nerine, Mais n’y a il point moien de ſauuer Phenice?	Nerine, Mais n'y a il point moyen de sauver Phénice?
Phalerine) non, les Dieux ſeuls peuuẽt re nouer ſa trame, i’ay recogneu enſon viſage tous les ſignes de mort.	Phalerine) non, les Dieux seuls peuvent re nouer sa trame, j'ai reconnu enson visage tous les signes de mort.
Nerine) mais quoy?	Nerine) mais quoi?
elle eſt encoreſibelle (Phalerine l’amour ne deſemparera de ſes yeux, que par la mort, sy ſon image eſt capable de toucher de paſſion.	elle est encoreibelle (Phalerine l'amour ne désemparera de ses yeux, que par la mort, sy son image est capable de toucher de passion.
Pourquoy veux tu que ce chef d’œuure de nature perde ſes atraits ſãs la vie?	Pourquoi veux -tu que ce chef d'œuvre de nature perde ses atraits chang la vie?
Nerine) Ie ſuis reſolue de t’accompagner (Phalecine) ce me ſera vne extreme conſolation, allons.	Nerine) Je suis résolue de t'accompagner (Phalecine) ce me sera une extrême consolation, allons.
B.	B.
iii.	ji.
Angeralde.	Angeralde.
Philandre.	Philandre.
Les diſcours que tu me fis l’autre iour.	Les discours que tu me fis l'autre jour.
Ton viſage, mes ſonges & ces preſages prodigieux que le Ciel m’enuoie, & grauët en moy iene ſcayquelle terreur, que i’ay touſiours remarquee preceder tous mes accidens, sy le commandement de Phenice ne mobligeoit à attendre icy ſon retour, bien que ſes letres m’aſſeurent de ſa ſanté, ſil’on peut apeller ainſi vne moderation de douleur, ie l’irois trouuer.	Ton visage, mes songes et ces présages prodigieux que le Ciel m'envoie, et gravait en moi iene scayquelle terreur, que j'ai toujours remarque précéder tous mes accidents, sy le commandement de Phénice ne mobligeait à attendre ici son retour, bien que ses letres m'assurent de sa santé, s'on peut appeler ainsi ainsi modération de douleur, je l'irais trouver.
Car le cœur me preſaige ie ne neu quoy de ſiniſtre, O dieux deſtournés ceſt orage, ou s’il eſt ordonné que ie ſouffre que mes maux ſoient purementmies & non cauſes par la perte ou lemal de ceque vous cognoiſſes que i’aime plus que moy meſme:	Car le cœur me presaige ie ne nu quoi de sinistre, Ô dieux destournés cest orage, ou s'il est ordonné que sans souffre que mes maux soient purementmies et non causes par la perte ou lemal de ceque vous cognoisses que j'aime plus que moi -même:
l’ançès vos dards ſur moy, & me receués pour victime:	l'ançès vos dards sur moi, et me recevez pour victime:
que mon ſang & mes larmes eſtaignet le feu de voſtre courroux:	que mon sang et mes larmes étaignet le feu de votre courroux:
aies moy pour butte de voſtre rigueur, & elle pour but de vos e graces & faueurs, qu’elle viue & que ie meure;	aies -moi pour butte de votre rigueur, et elle pour but de vos grâces et faveurs, qu'elle vive et que A meure;
car auſſi bien n’aurois ie point de vie, qui ne fuſt vne continuelle mort, ſi i’eſtois priue de celle pour qui ſeulle i’ayme, cheris & conſerue mõ eſtre (Philandre) Voſtre repos n’eſt qu’vne B.	car aussi bien n'aurais croire point de vie, qui ne fût une continuelle mort, si j'étais prive de celle pour qui seulle j'aime, chéris et conserve men être (Philandre) Votre repos n'est qu'une B.
iiij continuelle agitation, les hõmes ſages attendent les malheurs, & vous leur courés au de uant, l’on les euitte, vous les cerchés, l’on taſche à dimi nuer leur rigueur, & ce les repreſente lon moindres, vous les allez cercher dans le futur, pour les accompagner à voſtre ruine cen leur haut appareil.	iiij on agitation, les hommes sages attendent les malheurs, et vous leur courez au de Zwant, l'on les évitte, vous les cerchez, l'on tâche à dimi nuer leur rigueur, et ce les représente lon moindres, vous les allez cercher dans le futur, pour les accompagner à votre ruine cen leur haut appareil.
Nous auons aſſez de peines reelles, ſenſibles & veritables, ſans nous en forger d’iluſoires:	Nous avons assez de peines revelles, sensibles et véritables, sans nous en forger d'ilusoires:
vous n’eſtes pas content de chargervoſtre memoire de ce dont vn chacun taſche à ſoulager la ſiene:	vous n'êtes pas content de chargervôtre mémoire de ce dont un chacun tâche à soulager la siene:
il faut que voſtre imagination vous porte dans l’auenir, pour y conſiderer des fleaux deſquels vous ne ſerez peut eſtre iamais affligé.	il faut que votre imagination vous porte dans l'avenir, pour y considérer des fléaux desquels vous ne serez peut être jamais affligé.
Ceſſés, ceſſés, ô Angeralde, de viure ennemy de vous meſme, & de vous rendre malheureux auant le temps:	Cessez, cessez, ô Angalde, de vivre ennemi de vous même, et de vous rendre malheureux avant le temps:
mon viſage ne peut eſtre gay, le voſtre eſtant l’image dela triſteſſe, mes paroles ſont ſans deſſeing de vous aſfltger, & moy ſans cognoiſſance de choſe qui vous en puiſſe donner aucun ſubiect pour les ſonges, le penſer ſeulement à ce que l’on a ſongé eſt indigne d’vn eſprit ſerieux & bien inſtitué Angeralde) Sutu auois paſſé B v E nehrche tes iours ſoubs la dominatiõ d’Amour de la fortune & d’vne femme, tu ne blaſmerois pas sy aigrement mes doutes.	mon visage ne peut être gai, le vôtre étant l'image déla tristesse, mes paroles sont sans desseing de vous asfltger, et moi sans connaissance de chose qui vous en puisse donner aucun sujet pour les songes, le penser seulement à ce que l'on a songé est indigne d'un esprit sérieux et bien institué Angeralde) Sutu avais passé B v TES jours tes iours sous la domination d'Amour de la fortune et d'une femme, tu ne blâmerais pas sy aigrement mes doutes.
Et ſi au calme où tu es le ſonge que i’ay fait t’eſtoit aduenu d’vne perſonne chere;	Et si au calme où tu es le songe que j'ai fait t'était avenu d'une personne chère;
tu douterois de ſon ſalut, & en receuerois ie m’aſſeure de l’afflictio.	tu douterais de son salut, et en receverais a pprassure de l'afflictio.
Pourquoy donc veux tu que ie n’aye point d’alarmes ſi c’eſt de ce que tu ſçais que i’aime mieux que moy meſme, que ces soges ſemblent me preſagier la perte?	Pourquoi donc veux -tu que ici n'aie point d'alarmes si c'est de ce que tu sais que j'aime mieux que moi -même, que ces soges semblent me presquagier la perte?
donne moy loiſir de te le raconten.	donne moi loisir de te le raconten.
C’eſtoit ſur le point que la mante de Cephale deſcontoit le lour, 4 Beſejpere.	C'était sur le point que la mante de Céphale descontait le lour, 4 Besejpere.
& que la Region du catay ſemee de roſes & de lis commẽçoit à chaſſer les tenebres, & faire reluire ſur ſon orizon, vne ie ne ſçay quelle clarté sẽblable à peu pres à ces Arcs en Ciel artificiels, que tu as veuquelque fois des grottes, dont l’eau ſe teinct par la reflectiõ du ſoleil, heure où l’on dict que le ſonge entre en nous, par la porte d’yuoire, & en laquelle l’on tient quẽ noſtre eſprit comme deſchargé des plus craſſes exalaiſonsque luy enuoie l’eſtomac, eſt plus capable derecepuoirl’impreſſion des choſes que le corps cache à ſa veue penetrante:	et que la Region du catai semée de roses et de lis commençait à chasser les ténèbres, et faire reluire sur son orison, un ie ne sais quelle clarté sẽblable à peu pres à ces Arcs en Ciel artificiels, que tu as vuquelque fois des grottes, dont l'eau se teinct par la reflectiõ du soleil, heure où l'on dit que le songe entre en nous, par la porte d'yvoire, et en laquelle l'on tient quẽ nôtre esprit comme déchargé des plus crasses exalaisonsque lui envoie l'estomac, est plus capable deimpression l' es que le corps cache saveuepénétrante:
le mien trauail de ces continuelles inquietudes commençoit a ſe laiſſer empor ter au ſommeil mes yeux alangouris tant de temps inac ceſſibles au ſome, & deſpuis peu auec tous mes ſens rendus plus capables de leurs fonctions naturelles eſtoient à demi clos, quand ie penſe voir pres de mon lict Phenice, non telle qu’elle a touſiours ſemblé à mes yeux;	le mien travail de ces continuelles inquiétudes commençait à se laisser empor ter au sommeil mes yeux alangouris tant de temps inac cessibles au some, et despuis peu avec tous mes sens rendus plus capables de leurs fonctions naturelles étaient à demi clos, quand a pense voir près de mon lit Phénice, non telle qu'elle a toujours semblé à mes yeux;
mais palle, & portant ſur la face l’horreur & les traicts de la mort, qui ouurant ſes leucutis lis auoient chaſſé les roſes, me diſt Angeralde, le Ciel vangeur de l’iniure que i’ay faict a ta fidelité me retire, &nemepermet d’amender par mes bons offices la faute que i’ay comiſe en ton endroit, ie te prie de me le pardonner, & de receuoir l’offrande de mon affection pour le ſacrifice que t’auoit voué mon cœur, de tout ce que pouuoit ma perſonne pour les communs delices de noſtre Amour, à Dieu:	mais pale, et portant sur la face l'horreur et les traits de la mort, qui ouvrant ses leucutis lis avaient chassé les roses, me dît Angeralde, le Ciel vengeur de l'injure que j'ai fait a ta fidélité me retire, etnemepermet d'amender par mes bons offices la faute que j'ai compise en ton endroit, Madame te prie de me le pardonner, et de recevoir l'offrande de mon affection pour le sacrifice que t'avait voué mon cœur, de tout ce que pouvait ma personne pour les communs délices de sa Amour, à Dieu:
ſouuiens toy de moy, & ſi tu dois aymer par ſi apres, que le ſubject ſeroit ſi digne, qu’il n’offence mon merite ny le tien, ie lete en ce moment les bras vers elle, & m’eſueille en ce mouuement;	souviens toi de moi, et si tu dois aimer par si après, que le sujet serait si digne, qu'il n'offense mon mérite ni le tien, je lète en ce moment les bras vers elle, et m'éveille en ce mouvement;
les yeux pleins de larmes, le corps de ſu .	les yeux pleins de larmes, le corps de su .
C .	Ç .
A a- .	A a- .
G03 MT Cues eur &tremblant, & le cœur sy alarmé, qu’il ſembloit ſe vouloir faire vn paſſage pour ſortir de mon miſerable corps.	G03 MT Cues eur ettremblant, et le cœur sy alarmé, qu'il semblait se vouloir faire un passage pour sortir de mon misérable corps.
Philandre) vous auez l’eſprit tellemẽt attaché au ſuiet que vous cheriſés, il vous a ſi cruellement traicté depuis vn an, ſa maladie vous eſt ſi preſente, & voſtre imagination eſt tellement preoccupee de Fhabitude que nous auès fait en la triſteſſe, que vos ſonges ne peuuent manquer à tenir des cauſes de vos malheurs paſſés, & de vos aprehenſions prrrtirrpes procedans de ces cauſes ils ne ſont de ceux aqui l’on peut adiouter quelque Dejejpere.	Philandre) vous avez l'esprit tellement attaché au sujet que vous chérisez, il vous a si cruellement traité depuis un an, sa maladie vous est si présente, et votre imagination est tellement préoccupe de Fhabitude que nous avez fait en la tristesse, que vos songes ne peuvent manquer à tenir des causes de vos malheurs passés, et de vos appréhensions prrrtirrpes procedans de ces causes ils ne sont de ceux aqui l'on peut ajouter quelque Dejejpere.
foy, ſi nous en pouuonsauoir en ce qui eſt la plus vaine, fantaſtique & menſongere choſe du monde.	foi, si nous en pouuonsauoir en ce qui est la plus vaine, fantastique et mensongère chose du monde.
