Voſtre tres-humble & tres.	Votre très-humble et très.
DIOCLETIAN Ne nous deuoit-il pas du moins ce qu’il a fait?	DIOCLETIAN Ne nous devait-il pas du moins ce qu'il a fait?
CLAVDE S’il vous deuoit beaucoup il a bien ſatisfair.	CLAUDE S'il vous devait beaucoup il a bien satisfair.
Evdecette pemcea prelenle le ile urere, Que mon honneur eſt quitte, & que Rome eſt ingratte.	Évecette pemcea prenle le île ure, Que mon honneur est quitte, et que Rome est ingrate.
DIOCLETIAN La ſçauroit-on blâmer d’haïr vn Apoſtat?	DIOCLETIAN La saurait-on blâmer d'haïr un Apostat?
CLAVDE.	CLAUDE.
Mon corps, comme mes biens, dépend de voſtre Etat!	Mon corps, comme mes biens, dépend de votre État!
Mais mon ame, Seigneur, qui du Ciel tient ſon eſtre.	Mais mon âme, Seigneur, qui du Ciel tient son être.
ii voitre uuuionte ne ſe doit pas ſoûmettre.	ji voitre uvionte ne se doit pas soumettre.
DIOCLETIAN Mon pouuoir n’eſt-il pas à celuy des Dieux ioint?	DIOCLETIAN Mon pouvoir n'est-il pas à celui des Dieux joint?
MAXIME.	MAXIME.
C’eſt, en diſant des Dieux, dire n’en auoir point.	C'est, en disant des Dieux, dire n'en avoir point.
mipie:	mipie:
oles-tu bien me tenir ce langage?	oles-tu bien me tenir ce langage?
MAXIME Le ſouuerain pouuoir iamais ne ſe partage.	MAXIME Le souuerain pouvoir jamais ne se partage.
Multiplier les Dieux, c’eſt raiſonner tres-mal, L’vn n’eſt pas ſouuerain, où l’eſt ſur ſon égal;	Multiplier les Dieux, c'est raisonner très -mal, L'un n'est pas souverain, où l'est sur son égal;
S’il l’eſt il détruit l’autre, & n’a point de ſemblable.	S'il l'est il détruit l'autre, et n'a point de semblable.
SVSANNE velgneur, ce ſentiment n'eſt-il pas raiſonnable?	SUSANE velgneur, ce sentiment n'est-il pas raisonnable?
Et ne pourroit-il point vous retirer d’erreur?	Et ne pourrait-il point vous retirer d'erreur?
CLAVDE Vn Empire, Seigneur, n’admet qu’vn Empereur?	CLAUDE Un Empire, Seigneur, n'admet qu'un Empereur?
Comme il eſt tout-puiſſant, il faut qu’il ſoit vnique.	Comme il est tout-puissant, il faut qu'il soit unique.
DIOCLETIAN Ce beau raiſonnement, où voſtre eſprit s’applique, N’eſt point aſſez preſſant pour faire conceuoir, Qu’il ne ſoit qu’vn ſeul Dieu, de ſouuerain pouuoir.	DIOCLETIAN Ce beau raisonnement, où votre esprit s'applique, N'est point assez pressant pour faire concevoir, Qu'il ne soit qu'un seul Dieu, de souuerain pouvoir.
Lors que Rome offre aux ſiens de pieux ſacrifices, Pour ſelon ſes beſoins ſe les rendre propices;	Lors que Rome offre aux siens de pieux sacrifices, Pour selon ses besoins se les rendre propices;
Elle croid que chacun diſpoſe abſolument, De l'état des mortels;	Elle crois que chacun dispose absolument, De l'état des mortels;
mais c’eſt diſtinctement.	mais c'est distinctement.
L’vn domine la mer, l’autre régit la terre, Celuy cy regne en paix, l’autre preſide en guerre, Et dans leurs fonctions, chacun d’eux agiſſant, N’en détruit poinct vn autre & paroît tout-puiſſant.	L'un domine la mer, l'autre régit la terre, Celui cy igné en paix, l'autre préside en guerre, Et dans leurs fonctions, chacun d'eux agissant, N'en détruit point autre et paraît tout-puissant.
C’eſt inutilement que tu viens de nous dire Qu'vn vnique Empereur diſpoſe d’vn Empire:	C'est inutilement que tu viens de nous dire Qu'un unique Empereur dispose d'un Empire:
Vn autre en ſon Empire eſt-il moins ſouuerain, Parce que ie le ſuis dans l’Empire Romain?	Un autre en son Empire est-il moins souverain, Parce que je le suis dans l'Empire Romain?
CLAVDE Ha!	CLAUDE Ha!
les foibles raiſons que voſtre eſprit oppoſe!	les faibles raisons que votre esprit oppose!
Celuy là peut il tout qui ne peut qu’vne choſe?	Celui là peut -il tout qui ne peut qu'une chose?
Et ne faites vous pas de ridicules Dieux, Quand vous les limités par les temps & les lieux?	Et ne faites -vous pas de ridicule Dieux, Quand vous les limités par les temps et les lieux?
Quel pouuoir aura donc ſur la terre Neptune?	Quel pouvoir aura donc sur la terre Neptune?
Sur la mer Iupiter?	Sur la mer Jupiter?
voſtre Dieu de fortune.	votre Dieu de fortune.
Aquoy s’occupe Mars dans la tranquilité?	Aquoi s'occupe Mars dans la tranquillité?
Et le Dieu de la paix, quand Mars eſt agité?	Et le Dieu de la paix, quand Mars est agité?
Ce monde ſe partage entre vn grand nombre d’hommes Parce que déffaillans & foibles que nous ſommes, Rien n’eſt par nous regi, conduit & gouuerné, Que proportionnément à noſtre eſprit borné.	Ce monde se partage entre un grand nombre d'hommes Parce que défaillants et faibles que nous sommes, Rien n'est par nous régi, conduit et gouverné, Que proportionnément à notre esprit borné.
Mais, Dieu, qui créa tout par ſa ſeule parole, Qui voit inceſſemment de l’vn à l’autre Pole, Qui des Cieux aſurés regle les mouuemens, Qui fait ſubſiſter l’ordre entre les Elemens, Dont la Iuſtice éclatte au profond des abîmes, Et là miſericorde aux lieux les plus ſublimes;	Mais, Dieu, qui créa tout par sa seule parole, Qui voit incessemment de l'un à l'autre Pole, Qui des Cieux assurés règle les mouvements, Qui fait subsister l'ordre entre les Éléments, Dont la Justice éclate au profond des abîmes, Et là miséricorde aux lieux les plus sublimes;
De tant d’Etas diuers compoſe vn ſeul Etat, Duquel il ſe fait voir l’auguſte Potentat.	De tant d'Étas divers compose un seul État, Duquel il se fait voir l'auguste Potentat.
MAXIME Seigneur, cette raiſon vous met hors de defence;	MAXIME Seigneur, cette raison vous met hors dé fors;
Peut on admettre vn Dieu qui ne ſoit pas immenſe?	Peut on admettre un Dieu qui ne soit pas immense?
Et comment établir en luy l’immenſité, Si par les droits d’vn autre il eſtoit limité?	Et comment établir en lui Madimmensité, Si par les droits d'un autre il était limité?
Apperceués, Seigneur, quelle erreur eſt la voſtre, Et ne conteſtés plus que l’vn detruiroit l’autre:	Apercevez, Seigneur, quelle erreur est la vôtre, Et ne contestez plus que l'un détruirait l'autre:
Qu’il faut qu’il ſoit vnique;	Qu'il faut qu'il soit unique;
& que c’eſt l’vnité Qui faitit iondement de la diuinité, Dont l’extreme puiſſance & ſageſſe infinie De tout cet vniuers entretient l’armonie.	et que c'est l'vnité Qui faitit iondement de la divinité, Dont l'extrême puissance et sagesse infinie De tout cet univers entretient l'armonie.
Et pour abréuier ce que nous en dirons, C’eſt le Dieu des Chrétiens, lequel nous adorons.	Et pour abréuier ce que nous en dirons, C'est le Dieu des Chrétiens, lequel nous adorons.
DIOCLETIAN	DIOCLETIAN
DIOCLETIAN C’eſt aſſes diſcouru;	DIOCLETIAN C'est asses discouru;
que de leur chair roſtie, L'on faſſe ſacrifice aux Dieux, au Port d’Oſtie:	que de leur chair rôtie, L'on fasse sacrifice aux Dieux, au Port d'Ostie:
Et leurs cendres eſtant indignes du Tombeau, Pour n’en reſeruer rien, qu’on les iette dans l’eau.	Et leurs cendres étant indignes du Tombeau, Pour n'en réserver rien, qu'on les jette dans l'eau.
Vous, reſtés au Palais, auec l’Imperatrice.	Vous, restez au Palais, avec l'Impératrice.
Heureuſe tirannie!	Heureuse tyrannie!
ClAvDE	ClAvDE
MAXIME Agréable iniuſtice!	MAXIME Agréable injustice!
SVSANNE Courage mes amis, c’eſt le chemin des Cieux, Ha!	SUSANE Courage mes amis, c'est le chemin des Cieux, Ha!
que de voſtre ſort l’on doit eitre endieux!	que de votre sort l'on doit eitre endieux!
CLAVDE canoit ce les norreuis n'on nen qui m'intimide.	CLAUDE canait ce les norreuis n'on nen qui m'intimide.
YSANNÉ Plût à Dieu deuſſe ie vous y ſeruir de guide.	YSANN Plût à Dieu dusse ie vous y servir de guide.
MAXIME Vous le faites Madame, pres Dieu nous deurons, Avos ſoins tout le bien que nous en receurons.	MAXIME Vous le faites Madame, pres Dieu nous devrons, Avos soins tout le bien que nous en recevrons.
Emmenés les.	Emenez -les.
DiodeEenia	DiodeEénia
LE PREVOSI Marchés.	LE PREUOSI Marchés.
DIOCLETIAN Leur conſtance m'irfite.	DIOCLETIAN Leur constance m'irfite.
CLAVDE Dans le chemin du Ciel peur on aller trop vîté	CLAUDE Dans le chemin du Ciel peur on aller trop vîté
SVSANNE Aumoins ſouuenés vous eſtant en ce ſainct lieu, l'offrir en ma faueur vos ſacrés veux à Dieu.	SUSANNE Aumoins souvenez vous étant en ce saint lieu, l'offrir en ma faveur vos sacrés veux à Dieu.
MAXIME, s’en allant.	MAXIME, s'en allant.
l'our oubſier ce ſoin il eſt trop legitime.	l'our oubsier ce soin il est trop légitime.
DIOCLETIAN Voſtre beauté, ma fille, excuſe voſtre crime.	DIOCLETIAN Votre beauté, ma fille, excuse votre crime.
Allons.	Allons.
SVSANNE Ta!	SUSANE -Ta!
que i’aurois de funeſtes appas Si i’euitois par eux vn ſemblable trepas,	que j'aurais de funestes appas Si j'évitais par eux un semblable trépas,
SOLILOQVE de	SOLILOQUE de
MAXIMIAN Doux & charmant deſir, eſperance flatteuſe, Qui cauſés les tranſports de mon ame amoureuſe, Aquoy la portés vous d’vn violent effort?	MAXIMIAN Doux et charmant désir, espérance flatteuse, Qui causez les transports de mon âme amoureuse, Aquoi la portés vous d'un violent effort?
N’eſt-ce pas à pourſuiure ardamment voſtre mort?	N'est-ce pas à poursuivre ardamment votre mort?
Ouelques impreſſions que vous faſſiés en elle, C’eſt agir contre vous, leur fin vous eſt mortelle.	Ouelques impressions que vous fasiez en elle, C'est agir contre vous, leur fin vous est mortelle.
Vous n’eſtes que les fleurs dont elle attend les fruicts.	Vous n'êtes que les fleurs dont elle attend les fruits.
Peut-elle vous aimer que pour vous voir détruits?	Peut-elle vous aimer que pour vous voir détruits?
Genereux mouuemens, auſſi deués vous croire Qu’vne pareille fin aſſeure voſtre gloire:	Généreux mouvements, aussi devez vous croire Qu'une pareille fin assure votre gloire:
C’eſt le plus beau deſtin où vous ſoyés ſoumis, Qui vous fait triompher de vos fiers ennemis.	C'est le plus beau destin où vous soyez soumis, Qui vous fait triompher de vos fiers ennemis.
Tres heureux qui paruient au but de ſon enuie!	Très heureux qui parvient au but de son envie!
Cette mortrout tuite vne honteuſe vie.	Cette mortrout tuite une honteuse vie.
Donc nobles Paſſions qui venés m’émouuoir!	Donc nobles Passions qui venez m'émouvoir!
Par vn dernier effort môntrés vôtre pouuoir.	Par un dernier effort môntrés votre pouvoir.
Impatient deſir & flateuſe eſperance!	Impatient désir et flatteuse espérance!
L’on ne vous ſatis fait que par la ioüiſſance, Et puis qu’elle vous eſt vn digne monument, Mourés, pour voſtre gloire & mon contentement.	L'on ne vous satî fait que par la jouissance, Et puis qu'elle vous est un digne monument, Mourz, pour votre gloire et mon contentement.
TROISIESME ENTRETIEN.	TROISIÈME ENTRETIEN.
CVRCE, MAXIMIAN.	CURÉE, MAXIMIAN.
CVRCE Ie viens vous anoncer d’agreables nouuelles;	CURÉE Je viens vous anoncer d'agréables nouvelles;
Dé Suſanne, Seigneur, ce miracle des belles:	Dé Susanne, Seigneur, ce miracle des belles:
LEmpereur, au Palais vient de la retenir, Pour en voſtre faueur la faire entretenir.	LEmpereur, au Palais vient de la retenir, Pour en votre faveur la faire entretenir.
,	,
MAXIMIAN Et les nouueaux Chreſtiens?	MAXIMIAN Et les nouveaux Chrétiens?
CYNCE Seigneur, Claude & Maxime Par la flamme bien-toſt vont expier leur crime.	CYNCE Seigneur, Claude et Maxime Par la flamme bientôt vont expier leur crime.
MAXIMIAN O vous!	MAXIMIAN Ô vous!
de nos ſaints vœux les éternels objets, De qui les plus puiſſans ne ſont qu’humbles ſuiets!	de nos saints vœux les éternels objets, De qui les plus puissants ne sont qu'humbles sujets!
Voyez que mon amour a des effets ſublimes, De luy vous receuez de célébres victimes, Sa gloire fait la voſtre, & vos ſacrez Autels N’eurent iamais le ſang de plus dignes mortels.	Voyez que mon amour a des effets sublimes, De lui Vous recevez de célèbres victimes, Sa gloire fait la vôtre, et vos sacrez Autels N'eurent jamais le sang de plus dignes mortels.
Si l’on vous peut toucher par ces grands ſacrifices, Regardez qui les fait & luy ſoyez propices.	Si l'on vous peut toucher par ces grands sacrifices, Regardez qui les fait et ton soyez propices.
Inſpirez à Suſanne vn ſentiment plus doux;	Inspirez à Susanne un sentiment plus doux;
En me fauoriſant vous agiſſez pour vous, Nos intereſts ſont ioints;	En me favorisant vous agissez pour vous, Nos intérêts sont joints;
ſi nous n’auons le meſme, Dieux!	si nous n'avons le même, Dieux!
elle vous adore à l’inſtant qu’elle m’aime.	elle vous adore à l'instant qu'elle m'aime.
L’amour confondles cœurs, en compoſe vn de deux, Par la conformité de deſirs & de vœux:	L'amour confondles cœurs, en compose un de deux, Par la conformité de désirs et de vœux:
Si mon feu la réchaufe & qu’elle y participe, Les noſtres agiront par vn meſme principe, Et le mien demeurant à vous ſeruir conſtant, Sans doute obligera le ſien d’en faire autant.	Si mon feu la réchauffe et qu'elle y participe, Les nôtres agiront par un même principe, Et le mien demeurant à vous servir constant, Sans doute obligera le sien d'en faire autant.
Allons à ſa froideur expoſer noſtre flame;	Allons à sa froideur exposer notre flamme;
Dieux, faites que des yeux elle pénetre à l’ame.	Dieux, faites que des yeux elle pénetre à l'âme.
QVATRIESME ENTRETIEN.	QUATRIÈME ENTRETIEN.
SVSANNE, SERENE.	SUSANE, SERENE.
SVSANNE Madame, ces faueurs ſurprennent ma raiſon.	SUSANE Madame, ces faveurs surprennent ma raison.
Ie trouue le refuge au lieu de la priſon, Ce qui ſembloit ma perte a diſſipé ma crainte, Pour me faire idolâtre on employe vne ſaincte.	Je trouve le reste au lieu de la prison, Ce qui semblait ma perte a dissipé ma crainte, Pour me faire idolâtre on emploie une sainte.
Et ces éuénemens, ſi grands, ſi merueilleux, Sont des ſecrets de Dieu, lequel i’adore en eux.	Et ces événements, si grands, si merveilleux, Sont des secrets de Dieu, lequel j'adore en eux.
SERENE Nous conoiſſons combien ſa bonté ſouueraine A de moyens couuerts à la prudence humaine.	SERENE Nous conaissons combien sa bonté souveraine A de moyens couverts à la prudence humaine.
D’vn mal tout apparent il tire vn bien caché, Et cét ordre inconû ne peut eſtreempeſché.	D'un mal tout apparent il tire un bien caché, Et cet ordre inconu ne peut estreempesché.
Noſtre foibleſſe en vain à ſes deſſeins s’oppoſe, Il détruit les projects que l’homme ſe propoſe:	Notre faiblesse en vain à ses desseins s'oppose, Il détruit les projéts que l'homme se propose:
Et celuy-cy reſtant dans la ſtupidité, Impute vn coup du Ciel à la fatalité.	Et celui-cy restant dans la stupidité, Impute un coup du Ciel à la fatalité.
L’Empereur étonné que voſtre reſiſtance Ait généreuſement épuiſé ſa puiſſance, Apres auoir tenté iuſqu’au dernier effort, Ne ſçait qui quereller, ou ſes Dieux, ou le ſort, Il n’oſe pas blâmer les premiers d’iniuſtice.	L'Empereur étonné que votre résistance Ait généreusement épuisé sa puissance, Apres avoir tenté jusqu'au dernier effort, Ne sait qui quereller, ou ses Dieux, ou le sort, Il n'ose pas blâmer les premiers d'injustice.
L’autre eſt, dit-il, aueugle & fait tout par caprice, Confond les qualitez, & ſans dicernement, Rend maiſtre le hazard de chaque éuenement.	L'autre est, dit-il, aveugle et fait tout par caprice, Confond les qualités, et sans dicernement, Rend maître le hasard de chaque événement.
Helas!	Hélas!
s’il s’éleuoit au deſſus de ſoy-meſme, Qu’il portât ſon eſprit vers cét Eſtre ſupréme, Duquel la volonté n’eſt iamais ſans effet, Qu’il raiſonneroit bien autrement qu’il ne fait!	s'il s'élevait au dessus de soi-même, Qu'il portât son esprit vers cet Être suprême, Duquel la volonté n'est jamais sans effet, Qu'il raisonnerait bien autrement qu'il ne fait!
SVSANNE Mais durant ce repos, dont mon eſprit ſe flatte, Ie dois apprehender que ſon courroux éclatte;	SUSANE Mais durant ce repos, dont mon esprit se flatte, Je dois appréhender que son courroux éclatte;
Madame, vous ſçauez que peut vn Empereur, Qui pour loy ſeule admet celle de ſa fureur.	Madame, vous savez que peut un Empereur, Qui pour loi seule admet celle de sa fureur.
Encét heureux état ie demeure en balance:	Encet heureux état mieux demeure en balance:
l’eſpere en vos bontez, & crains ſa violence.	l'espère en vos bontés, et crains sa violence.
SERENE Cette crainte, ma fille, à preſent doit finir, Ayant préueu le mal, i’ay ſçeu le préuenir:	SERENE Cette crainte, ma fille, à présent doit finir, Ayant prévu le mal, j'ai su le prévenir:
Ie vous ay deuant luy tellement abaiſſée, Qu’il ne vous luge pitis dignle de la pemnee.	Je vous ai devant Seigneur tellement abaissée, Qu'il ne vous luge pitis dignle de la pemnée.
Et par ces feints mépris ſon eſprit diuerty, forme vn nouueau deſſein pour vn autre party.	Et par ces feints mépris son esprit diverti, forme un nouveau dessein pour un autre parti.
Vous pouuez librement aller chez voſtre pere.	Vous pouvez librement aller chez votre père.
SVSANNE Le rémunerateur, auquel mon ame eſpere, Pour vous recompenſer de ſi rares bien-faits, Veüille accomplir les vœux que pour vous ie luy faits.	SUSANNE Le rémunérateur, auquel mon âme espère, Pour vous récompenser de si rares bienfaits, Veuille accomplir les vœux que pour vous ie luy faits.
D iij	 Dijà
CINQVIESME ENTRETIEN.	CINQUIÈME ENTRETIEN.
MAXIMIAN, SERENE, SVSANNE.	MAXIMIAN, SERENE, SUSANNE.
MAXIMIAN Si ie vous interromps en cette conférence, Ne me condemnez pas ſans ouſl ina derence:	MAXIMIAN Si ici vous interromps en cette conférence, Ne me condemnez pas sans ousl ina derence:
Traitez ma paſſion d’égal à mon reſpect.	Traitez ma passion d'égal à mon respect.
SERENE Ne craignez pas, Monſieur, de nous eſtre ſuſpect, Noſtre entretien n’a rien que l’on ne vous partage.	SEIGNEUR , craignez pas, Monsieur, de nous être suspect, Notre entretien n'a rien que l'on ne vous partage.
MAXIMIAN Madame, ſi chacun aime ſon auentage, Si le malade doit chercher ſa gueriſon, Ie ne vous interromps qu’auec double raiſon;	MAXIMIAN Madame, si chacun aime son aventage, Si le malade doit chercher sa guérison, Je ne vous interromps qu'avec double raison;
Puis que l’vne de vous poſſede le remede, Que ie n’oſe eſperer, ſi l’autre n’intercede.	Puis que l'une de vous possède le remède, Que tu n'ose espérer, si l'autre n'interçède.
SVSANNE Mioneur, voitte dicotns a de robieunte;	SUSANE Mioneur, voitte dicotns a de robieunte;
L’on n’intercede point qu’en inégalité:	L'on n'intercede point qu'en inégalité:
C’eſt le moindre au plus grand qui fait demander grace, Et peut-on rencontrer quelqu’vn qui vous ſurpaſſe?	C'est le moindre au plus grand qui fait demander grâce, Et peut-on rencontrer quelqu'un qui vous surpasse?
MAXIMIAN A quelque ſi haut rang que le Deſtin m’ait mis, Mon cœur fait vanité de vous eſtre ſoûmis, Et croid ne ſe pouuoir montrer plus magnanime, Qu’en oſant déſirer l’honneur de voſtre eſtime:	MAXIMIAN À quelque si haut rang que le Destin m'ait mis, Mon cœur fait vanité de vous être soumis, Et croid ne se pouvoir montrer plus magnanime, Qu'en osant désirer l'honneur de votre estime:
Il la pourſuit, Madame, & s’il la peut gaigner, Sa gloire eſt préférable à celle de regner.	Il la poursuit, Madame, et s'il la peut gagner, Sa gloire est préférable à celle de régner.
Approuuez les tranſports de ce cceur qui ſoûpire, ingez digne de vous ce qui l'eſt de l'Empite Et ſi vous mépriſez l’Empire & la grandeur, Au moins loyez leniipie à ma noeſle ardeur.	Approuvez les transports de ce coeur qui soupire, ingez digne de vous ce qui l'est de l'Empite Et si vous méprisez l'Empire et la grandeur, Au moins loyez leniipie à ma noèle ardeur.
SVSANNE En ce premier aſpect, où ie vous conſidere, Il eſt iuſte, Monſieur, que chacun vous réuére:	SUSANE En ce premier aspect, où je vous considère, Il est juste, Monsieur, que chacun vous révère:
Au titre de Ceſar, illuſtre & ſomptueux, On vous doit regarder d’vn œil reſpectueux:	Au titre de César, illustre et somptueux, On vous doit regarder d'un œil respectueux:
Ce droit vous elt acquis, aucui le le conteſte;	Ce droit vous elt acquis, aucui le le conteste;
Mais ne m’obligez point à vous répondre au reſte.	Mais ne m'obligez point à vous répondre au reste.
MAXIMIAN Traitez-vous mon amour de cette indignité?	MAXIMIAN Traités-vous mon amour de cette indignité?
SVSANNE Pouuez-vous aim er bien, eſtant ſans Charité?	SUSANE Pouvez-vous aim er bien, étant sans Charité?
MAXIMIAN rouuez-vous n'aimer pas entant n'Charitable?	MAXIMIAN rouvez-vous n'aimer pas entant n'Charitable?
SVSANNE Qui ſe vante d’aimer doit en eſtre capable.	SUSANE Qui se vante d'aimer doit en être capable.
MAXIMIAN Quelle incapacité découurez-vous en moy?	MAXIMIAN Quelle incapacité découvrez-vous en moi?
SIEMAMCE Le veritable amour préſupoſe la foy.	SIEMCE Le véritable amour présupose la foi.
MAXIMIAN Mon amoura pour but la foy du Mariage.	MAXIMIAN Mon amoura pour but la foi du Mariage.
SVSANNE Celle-là n’vnit pas ceux que l’autre partage.	SUSANE Celle-là n'unit pas ceux que l'autre partage.
Commancez par la foy pour la Diuinité;	Commancez par la foi pour la Divinité;
L’vnion ne ſe fait que par ſon vnité:	L'union ne se fait que par son unité:
Aimez le Créateur auant la créature.	Aimez le Créateur avant la créature.
MAXIMIAN Mon amour eſt trop fort pour changer de Nature.	MAXIMIAN Mon amour est trop fort pour changer de Nature.
SVSANNE On ne peut aimer mieux qu’aimant tout en ſon Dieu.	SUSANE On ne peut aimer mieux qu'aimant tout en son Dieu.
D iiij	 Dijà
MAXIMIAN Aimer parfaitement, c’eſt aimer lans milieu.	MAXIMIAN Aimer parfaitement, c'est aimer lans milieu.
SVSANNE Sans ce milieu, Monſieur, voſtre Pourpre Romaine Receura mes reſpects, & voſtre amour ma haine.	SUSANE Sans ce milieu, Monsieur, votre Pourpre Romaine Recra mes respects, et votre amour ma haine.
SERENE Changez, ne la pouuant à vos deſirs ranger.	SERENE Changez, ne la pouvant à vos désirs ranger.
Al friliſ Pirre gen allant, Oüy, Madame, bien-toſt l’on me verra changer,	Al frilis Pyrre gen allant, Oui, Madame, bientôt l'on me verra changer,
SERENE Dieu, pour voſtre repos, veüille qu’il vous mépriſe!	SERENE Dieu, pour votre repos, veuille qu'il vous méprise!
SCOANSNVE.	SOCANSNVE.
Et toûjours ſa bonté vos deſſeins fauoriſe.	Et toujours sa bonté vos desseins favorise.
CINQVIESME PARTIE, REMIER ENTRETIEN.	CINQUIÈME PARTIE, REMIER ENTRETIEN.
DIOCLETIAN, MACEDONE, CVRCE,	DIOCLETIAN, MACEDONE, CURÉE,
DIOCLETIAN On eſprit agité de mouuemens étranges, MApeine à ſe reſoudre en de ſi grands mélanges.	DIOCLETIAN On esprit agité de mouvements étranges, MApeine à se résoudre en de si grands mélanges.
Si ie dois pour les Dieux punir l’impieté;	Si ici dois pour les Dieux punir l'impiété;
La Nature qui veut conſeruer ſa beauté, De toute ſa vigueur à ce deſſein s’oppoſe, Et me fait balancer en faueur de ſa cauſe.	La Nature qui veut conserver sa beauté, De toute sa vigueur à ce dessein s'oppose, Et me fait balancer en faveur de sa cause.
L’intereſt de l’Empire eſt meſme partagé Son pouuoir mépriſé voudroir eſtre vengé.	L'intérêt de l'Empire est mesme partagé Son pouvoir méprisé voudroir avoir vengé.
Mais auſſi pourroit Il ſe venger ſans ſe nuire?	Mais aussi pourrait Il se venger sans se nuire?
Ce qu’il a de plus beau, l’oſeroit-il détruire?	Ce qu'il a de plus beau, l'oserait-il détruire?
Et porter à tel poinct cette ialouſe ardeur, D'éteindre en ſe vengeant l’éclat de ſa ſplendeur.	Et porter à tel point cette jalouse ardeur, D'éteindre en se vengeant l'éclat de sa splendeur.
Faites vne action doublement glorieuſe, Dieux, ſouffrez qu’elle viue & la rendez pieuſe:	Faites une action doublement glorieuse, Dieux, souffrez qu'elle vive et la rendez pieuse:
Ou, Nature, reprens ces charmes les plus doux, Pour laiſſer librement agir noſtre courroux.	Ou, Nature, reprends ces charmes les plus doux, Pour laisser librement agir notre courroux.
Empire, à cét objet abrégé de merueilles, A l’vſage des yeux préfére les aureilles:	Empire, à cet objet abrégé de merveilles, A l'usage des yeux préfère les oreilles:
ourde d’eſtre cbiouy par ſes diuiſis appas, Pour eſtre incorruptible, entends & ne vois pas.	ourde d'être cbiouy par ses divis appas, Pour être incorruptible, entends et ne vois pas.
MACEDONE Seigneur, ces ſentimens qui partagent voſtre ame, Sont, ſi ie l’oſe dire, vn peu dignes de blâme.	MACEDONE Seigneur, ces sentiments qui partagent avoir âme, Sont, si toujours l'ose dire, un peu dignes de blâme.
L'honneur qu’on doit aux Dieux leur eſtant refuſé Ce crime abſolument ne peut eſtre excuſé, Ettout doit concourir à venger leur iniure:	L'honneur qu'on doit aux Dieux leur étant refusé Ce crime absolument ne peut être excusé, Étout doit concourir à venger leur injure:
Sivous conſiderez les droicts de la Nature, Ne iugerez-vous pas ſoûmiſe aux Dieux qu’elle eſt Qu'elle ne peut, Seigneur, prendre d’autre intereſt?	Sivous considérez les droits de la Nature, Ne jugerez-vous pas soumise aux Dieux qu'elle est Qu'elle ne peut, Seigneur, prendre d'autre intérêt?
Nul à leurs volontez ne ſe montre rebelle, Suiuant ſes mouuemens & ſans agir contre elle:	Nul à leurs volontés ne se montre rebelle, Suivant ses mouvements et sans agir contre elle:
Car les Dieux à l’inſtant de ſa création, Par vne merueilleuſe & douce impreſſion, Mirent deſſus ſon front vn ſacré caractere, Lequel nous éfaçons en oſant leur déplaire.	Car les Dieux à l'instant de sa création, Par une merveilleuse et douce impression, Mirent dessus son front un sacré caractère, Lequel nous éfaçons en osant leur déplaire.
Pour l’Empire, Seigneur, s’il balançoit au choix, Il ne luy faudroit plus, ny de Dieux, ny de Loix.	Pour l'Empire, Seigneur, s'il balançait au choix, Il ne était faudrait plus, ni Se Dieux, ni de Lois.
Il doit abhorer ceux qui ſont ſi temeraires De refuſer le culte à ſes Dieux tutélaires, Et ſans délibérer, lors que le crime eſt tel, Si-toſt qu’il eſt commis, punir le criminel.	Il doit abhorer ceux qui sont si téméraires De refuser le culte à ses Dieux tutélaires, Et sans délibérer, lors que le crime est tel, Sitôt qu'il est commis, punir le criminel.
Partoutes ces raiſons, le deuoir vous obliger.	Partoutes ces raisons, le devoir vous obliger.
DIOCLET IAN Ie veux m’en acquiter, & ce deuoir m’afflige.	DIOCLET IAN Je veux m'en acquitter, et ce devoir m'afflige.
Ie reſpecte les Dieux, ſenſible à ſes appas, Ie la plains, il eſt vray, mais ne l’excuſe pas:	Je respecte les Dieux, sensible à ses appas, Je la plains, il est vrai, mais ne l'excuse pas:
Et quoy qu’auec ardeur, pour eux ie m’intéreſſe Sa beauté, ie l’auoüe, excite ma tendreſſe:	Et quoi qu’avec ardeur, pour eux -je m'intéresse Sa beauté, toujours l'avoue, excite ma tendresse:
Sa perte, à mon auis, eſt vn commun mal-heur, La Nature y conſent, mais c’eſt auec douleur, Et l’Empire qui void qu’elle n’a point d’égale, Sçait blen en la perdant, que fon pria le rutlaſe:	Sa perte, à mon avis, est un commun malheur, La Nature y consent, mais c'est avec douleur, Et l'Empire qui voit qu'elle n'a point d'égale, Sait blen en la perdant, que son pria le rutlase:
Sans doute par ſa chûte il déchoit de ſon rang, Et ne peut refuſer des larmes à ſon ſang.	Sans doute par sa chute il déchoit de son rang, Et ne peut refuser des larmes à son sang.
CVRCE Outre encore, Seigneur, que ſon crime eſt énorme Sila beauté réſide en la plus noble forme, S’il eſt vray que l’eſprit l’emporte ſur le corps, L’on peut facilement ajuſter ces diſcords.	CURÉE Outre encore, Seigneur, que son crime est énorme Sila beauté réside en la plus noble forme, S'il est vrai que l'esprit l'emporte sur le corps, L'on peut facilement ajuster ces discords.
Quand la Nature veut par le concours des cauſes, Nous porter du néant iuſqu’à l’eſtre des choſes;	Quand la Nature veut par le concours des causes, Nous porter du néant jusqu'à l'être des choses;
