LA DRIADE AMOVREVSE, PASTORALLE.	LA DRYADE AMOUREUSE, PASTORALLE.
Non-eſt-pas, ear encor i’ay dequoy vous payer.	Nonest-pas, épar encor j'ai dequoy vous payer.
Et pour vous repartir ſans long-temps dillayer.	Et pour vous répartir sans longtemps dillayer.
Dittes moy ne faut-il pas enſuyuir les ſages, Qui ſont de la vertu les viuantes images:	Dites -moi ne faut-il pas ensuivir les sages, Qui sont de la vertu les vivantes images:
Et croire pour tres-bon ce que leur bel eſprit A trouué profitable & la-ßé par eſcrit Pour l’vſage de viure:	Et croire pour très-bon ce que leur bel esprit A trouvé profitable et la-ssé par écrit Pour l'usage de vivre:
& ce qui n'eſt a faire Et qui pourroit aux Dieux ennuyer & deſplaire.	et ce qui n'est a faire Et qui pourrait aux Dieux ennuyer et déplaire.
Certes ils n’ont-point dit & n’a-ton entendu, Que ce plaiſir ſoit d’eux repris ou deffendu.	Certes ils n'ont-point dit et n'a-ton entendu, Que ce plaisir soit d'eux repris ou défendu.
Au contraire ils l’ont dit vtile & neceſſarre Pour de la dure mort le pilloge refaire.	Au contraire ils l'ont dit utile et nécessarre Pour de la dure mort le pilloge refaire.
Mnis il faut neantmoins ſagement en vſer, Et non comme d’aueuns, villains en abuſer:	Mnis il faut néanmoins sagement en user, Et non comme d'aveuns, villains en abuser:
Il faut estre ſecrets, en ſorte que perſonne N’en puiſſe rien ouyr qui apres en raiſonne.	Il faut être secrets, en sorte que personne N'en puisse rien ouïr qui après en raisonne.
Et voil à belle tout, voila tout le danger Qui s’y peut cencontrer:	Et voilà à belle tout, voilà tout le danger Qui s'y peut cencontrer:
Ne craignez a changer Pour celà le vouloir que vous auez de viure Chaste parmy ces bois, & n’ayez peur de ſuyure Cupidon pour Diane, & me faites l’honneur De m’appeller du nom de vostre ſeruiteur.	Ne craignez a changer Pour celà le vouloir que vous avez de vivre Chaste parmi ces bois, et n'ayez peur de suivre Cupidon pour Diane, et me faites l'honneur De m'appeler du nom de votre serviteur.
La Dryade.	La Dryade.
Ie ne vous croiray pas, ie ne ſuis ſi legere D’abandonner ma foy à choſe menſongere Comme eſt vostre claiol caut a ſophistiſer, Pource cherchez ailleurs ſubiet a deuiſer.	Je ne vous croirai pas, ie ne suis si légère D'abandonner ma foi à chose mensongère Comme est votre claiol caut a sophistiser, Pource cherchez ailleurs sujet a deviser.
Vous me preſchez en vain & perdez vostre peine,	Vous me prêchez en vain et perdez votre peine,
Le oilualſ.	Le oiluals.
Cõmẽt demeurrez-vous donc touſiours inhumaine?	Comment demeurrez-vous donc toujours inhumaine?
La Dryade.	La Dryade.
Adieu c’eſt trop tardé, il m’en faut en aller.	Adieu c'est trop tardé, il m'en faut en aller.
Le Siluain.	Le Siluain.
Belle que ie vous puiſſe encor vn mot parler.	Belle que je vous puisse encor un mot parler.
Celidon.	Celidon.
J ous n’estes-pas menteurs, amants qui par ves carmes Souſpirez chaque iour les cruelles alarmes, Dont amour vous aſſaut armé d’vue beauté, Qui tant plus que l’aymez durcit en cruauté:	 Jous n'êtes-pas menteurs, amants qui par vez carmes Souspirés chaque jour les cruelles alarmes, Dont amour vous assaut armé d'une beauté, Qui tant plus que l'aimez durcit en cruauté:
Ce n’est-pas fiction le mal qui vous martyre, Ia gayeté du cœur ne vous le fait eſcrire Ainſi que ie penſois, ignorant de l’amour, Que fißiez ſeullement par forme de diſcour, Alors que vostre ſang bouillonne de ieuneſſe, Pour de vos beaux eſprits monſtrer la gentilleſſe.	Ce n'est-pas fiction le mal qui vous martyre, Ia gayeté du cœur ne vous le fait écrire Ainsi que je pensais, ignorant de l'amour, Que fiviez seullement par forme de discour, Alors que votre sang bouillonne de jeunesse, Pour de vos beaux esprits montrer la gentillesse.
Ainſi le caſanier iuge des faits de Mars, Sans auoir eſprouué vn ſeul de ſes hazars:	Ainsi le casanier juge des faits de Mars, Sans avoir éprouvé un seul de ses hasards:
De meſme le pasteur qui par les champs habite, Iugé de ceux qui vont flottant ſur Amphitrits:	De même le pasteur qui par les champs habite, Jugé de ceux qui vont flottant sur Amphitrits:
De meſme l’ignorant qui n’a iamais appris, Veut iuger du labeur des plus doctes eſpris:	De même l'ignorant qui n'a jamais appris, Veut juger du labeur des plus doctes épris:
Et le ſain & gaillard qui ne fut onc malade, De celuy que le mal à tout' heure bourade.	Et le sain et gaillard qui ne fut onc malade, De celui que le mal à tout heure bourade.
Ainſi moy n’ayant-point eſprouué le pouuoir De ce petit archer, ie le crois n’en auoir Sur les autres, non-plus qu’il auoit ſur moy-mejme, Tant i’auois l’eſprit plain d’vne lourdiſe extreſme:	Ainsi moi n'ayant-point éprouvé le pouvoir De ce petit archer, était le crois n'en avoir Sur les autres, non-plus qu'il avait sur moi-même, Tant j'avais l'esprit plain d'une lourdise extrême:
Faiſant comme beaucoup des hommes du iourdhuy, Qui par leurs actions iugent celles d’autruy, Penſant que tout ainſi qu’eſt bien fait le viſage, Que de meſme le ſoit le perfide courage, Dont à bon droit Momus reprit le dieu Vulcan (Des Cyclopes fameux le chef maiſtre de cam) Quand ſon homme il bastit de ce qu’en la poictrino Il ne luy fit vn trou couuert d’vne verrine, Pour iuger à trauers ce qu’il tenoit caché Alentour de ſon cœur de bon, ou de peché, Or ie cognoyma faute, & la peine i’en porte, Pour auoir fait dl’Amour iugement de la ſorte, Il enſlame mon cœur, contre-moy deſpité, Et me fait exprimer que c’eſt trop verité De ce que maint amant, bleßé de ſa pointure, A chanté de ſes dards, d’vne belle eſcriture.	Faisant comme beaucoup des hommes du jour, Qui par leurs actions jugent celles d'autrui, Pensant que tout ainsi qu'est bien fait le visage, Que de même le soit le perfide courage, Dont à bon droit Momus reprit le dieu Vulcan (Des Cyclopes fameux le chef maître de cam) Quand son homme il bâtit de ce qu'en la poictrino Il ne lui fit un trou couvert d'une verrine, Pour juger à travers ce qu'il tenait caché Alentour de son cœur de bon, ou de peché, Or ie cognoyma faute, et la peine en porte, Pour auoir fait Amour iugement de la sorte, Il enslame mon cœur, contre-moi de, Et me fait exprimer que est bo verité De ce que maint amant, ou de sa pointure, A chanté de ses dards, belle écriture.
I’autre iour que i’eſtois au ſeruice de Pan, (Au grand que l’on luy fait à la fin de chaqu’an) Ie vis vne beauté, des belles la plus belle, Qui captiua mon cœur auparauant rebelle:	J'autre jour que j'étais au service de Pan, (Au grand que l'on avait fait à la fin de chaqu'an) Je vis une beauté, des belles la plus belle, Qui captiva mon cœur auparavant rebelle:
Amour eſtoit logé dans ſes yeux reluiſans, Qui lança dans les miens ſes brandons plus cuiſſans?	Amour était logé dans ses yeux reluisants, Qui lança dans les miens ses brandons plus cuissants?
Sy que depuis ce temps au fond de mon courage Ie n’ay point d’autre bien qu’adorer ſon image.	Si que depuis ce temps au fond de mon courage Je n'ai point d'autre bien qu'adorer son image.
M’egarer au penſer de ſes perfections, Et pour elle combatire vn hot de paßions Qui me fait à tous coups penſer vn artifice, De luy pouuoir offrir mon fidelle feruite.	M'égarer au penser de ses perfections, Et pour elle combatire un hot de passions Qui me fait à tous coups penser un artifice, De deux pouvoir offrir mon fidèle feruite.
Iuy dire comme amour pour elle me tient pris, Et pour ce qu’elle n’ait mon ſeruage à meſpris.	Jui dire comme amour pour elle me tient pris, Et pour ce qu'elle n'ait mon servage à mépris.
Mais quoy?	Mais quoi?
Celidon, quoy?	Celidon, quoi?
veux-tu doncques te rẽdre A ce premier aſſaut ſans vn peute deffendre?	veux-tu donc te rendre À ce premier assaut sans un peute défendre?
Le genereux guerrier ne je rend au plus fort, Sans auoir fait premier maint belliqueux effort,	Le généreux guerrier ne je rend au plus fort, Sans avoir fait premier maint belliqueux effort,
Teſmoing de la vertu qui dans ſon cœur demeure.	Témoing de la vertu qui dans son cœur demeure.
Que ſçais tu ſi l’amour qui te point à cetteheure, Continura touſiours d’eſtre victorieux, Voyant que de te vaincre il t’eſt laborieux?	Que sais tu si l'amour qui te point à cetteheure, Continura toujours d'être victorieux, Voyant que de te vaincre il t'est laborieux?
Conſerue ta franchiſe & ne te laiſſe faire De ce fils de Venus eſclane tributaire.	Conserve ta franchise et ne te laisse faire De ce fils de Venus éclane tributaire.
Maint peuple au temps-paßé a mieux aymé mourir Ou combatre voillant, que la laiſſer perir.	Maint peuple au temps-passé a mieux aimé mourir Ou combattre voillant, que la laisser périr.
Et toy du premier coup, à la moindre menace De ce Roy des amants tu perdras ton audace:	Et toi du premier coup, à la moindre menace De ce Roi des amants tu perdras ton audace:
Non-fay:	Non-fay:
mais bien plus-toſt d’vn ſaut Lucadien Estoufe promptement ſon flambeau Paphien.	mais bien plustôt d'eau saut Lucadien Étouffe promptement son flambeau Paphien.
Celidon que dis-tu?	Celidon que dis-tu?
aurois-tu la puiſſance D’vne ſi belle amour ſuffoquer la naiſſance, Dont les Dieux ont l’oluiet de beauté tant orné, Qu’il ne peut estre à nul d’icy parangonné.	aurais-tu la puissance D'une si belle amour suffoquer la naissance, Dont les Dieux ont l'olvet de beauté tant orné, Qu'il ne peut être à nul d'ici parangonné.
Suis l’Amour, ſuis l’Amour, & mets ton industrie] A conquerir le cœur de ta belle damie.	Suis l'Amour, suis l'Amour, et mets ton industrie] A quérir le cœur de ta belle damie.
Tu viuras plus content deſſous ſes douces leis, Qu'a chaſſer les cheureuils & les cerfs dans ces bois, Car peut-estre qu’ayant ton amour entenduë, Elle ſeræ pour toy d'Amour tout' eſperduë, Et ſera toute fiere & contente dequoy Elle aura rencontré vn tel amant que toy, 2 Qui n’eſt-point trop lourdaut, ny d’vn lieu mecauique Estant iadis extrait d’vne race heroique.	Tu vivras plus content dessous ses douces leis, Qu'a chasser les cheureuils et les cerfs dans ces bois, Car peut-être qu'ayant ton amour entendue, Elle seræ pour toi d'Amour tout esperduë, Et sera toute fière et contente dequoy Elle aura rencontré un tel amant que toi, 2 Qui n'est-point trop lourdaut, ni d'un lieu mecauique Étant jadis extrait hé race héroïque.
Poncy ventr mntin,jincſfente ufſeoars, Car il ne prend plaiſir d’ouyr parler d’amours:	Ponci ventr menntin,jinfente ufseoars, Car il ne prend plaisir ouïr parler amours:
Ains c’est tout ſon plaiſir que folement ſe rire De ceux qu’il voit eſpris de ce plaiſant martyre.	Ain c'est tout son plaisir que folèrement se rire De ceux qu'il voit épris de ce plaisant martyre.
Mirtin.	Mirtin.
Pan te gard Celidon, comment te porte-tu?	Pan te gard Celidon, comment te porte-tu?
Celidon.	Celidon.
Fort bien pour te ſeruir, & toy.	Fort bien pour te servir, et toi.
M.	M.
bien.	bien.
C.	Ç.
où vas-tu?	où vas-tu?
Mirtin Ie te venois chercher.	Mirtin Je te venais chercher.
Cel.	Cel.
tu és donc hors de peipe, Me voicy pour ton bien.	tu es donc hors de pipe, Me voici pour ton bien.
M.	M.
Ie croy que quelque haine Tu couues contre moy, ayant bien tant eſté De temps de ton Mirtin, triſtement abſenté, 81Juu pui f vounduimommeque tc monde, Pour la ſainte vortu qui dans ton cœur abonde.	Je crois que quelque haine Tu couves contre moi, ayant bien tant été De temps de ton Mirtin, tristement absenté, 813u puy f vounduimommeque t monde, Pour la sainte vortu qui dans ton cœur abonde.
Celidon.	Celidon.
De la hayne, Mirtin, ie n’en pourrois auoir Contre vn qui comme toy à ſur moy tout pouuoir, Et que i’ayme plus fort que Damon ſon Pitie, Et qui est de mon cœur la plus grande partie, Pource tu me ſais tort de me parler ainſi.	De la haine, Mirtin, je n'en pourrais avoir Contre un qui comme toi à sur moi tout pouvoir, Et que j'aime plus fort que Damon son Pitie, Et qui est de mon cœur la plus grande partie, Pource tu me sais tort de me parler ainsi.
Mais c’eſt toy, mon Mirtin, qui n’as plus de ſoucy De moy ton Celidon.	Mais c'est toi, mon Mirtin, qui n'as plus de souci De moi ton Celidon.
Mir.	Mir.
Que dis-tu ma chere ame, Comment voudrois-tu bien me donner vn tel blaſme?	Que dis-tu ma chère âme, Comment voudrais-tu bien me donner un tel blâme?
Plustost aux bas enfers regnera la pitié, Que de voir alterer iamais mon amitié.	Plutôt aux bas enfers régnera la pitié, Que de voir altérer jamais mon amitié.
Mais changeons de propos, & me dy mon fidelle, Depuis nostre depart quelque neufue nouuelle.	Mais changeons de propos, et me dis mon fidèle, Depuis notre départ quelque neuve nouvelle.
Celidon.	Celidon.
Ma foy ie ne ſçay rien qui vaille le conter.	Ma foi ici ne sais rien qui vaille le conter.
Mais toy mon cher Miltin.	Mais toi mon cher Miltin.
Mili feie renx rtines Vye choſe qui m'est depuis peu ſuruenuë, Qui de beaucoup de gens est à préſent cognuë.	Mili feie renx rtines Vye chose qui m'est depuis peu survenue, Qui de beaucoup de gens est à présent connue.
Ie perdy l’autre iour, courant parmy ce bois Aprez vn petit fan, mon arc & mon carquois:	Je perdi l'autre jour, courant parmi ce bois Aprez un petit fan, mon arc et mon carquois:
Mais le Destin aprez me fit ſous vne eſpine Trouuer ce bel eſpieu d’vne trempe bien fine, Que ie crois contenir en ſoy quelque verta, Pour en auoir vn Ours ſans trauail abatu Herſoir, comme Phœbus panchoit dedans ſa couche Sans auoir contre luy qu’vne ſeule eſcarmouche.	Mais le Destin apprès me fit sous une épine Trouver ce bel épieu d'une trempe bien fine, Que ie crois contenir en soi quelque verta, Pour en avoir un Ours sans travail abattu Hersoir, comme Phœbus penchait dedans sa couche Sans avoir contre lui Qu'une seule escarmouche.
Pour mon arc, l’on m’a dit que le Berger Terpin Le trouua l’autre iour acroché ſous vn pin, Mais qu’il n’a pas deſir de iamais me le rendre, Si de force chez luyie ne le vois reprendre.	Pour mon arc, l'on m'a dit que le Berger Terpin Le trouva l'autre jour acroché sous un pin, Mais qu'il n'a pas désir de jamais me le rendre, Si de force chez luyie ne le vois reprendre.
Celidon.	Celidon.
Qui, Terpin ce Berger, eſt-il bien ſi hardy De s'ataquer à toy.	Qui, Terpin ce Berger, est-il bien si hardi De s'ataquer à toi.
M.	M.
Croy ce que ie te dy.	Crois ce que Seigneur te dis.
Celidon.	Celidon.
Cj.	Cj.
ingeniui gattana, o Dieu qu’il est pauure hõme De t’offenſer ainſi.	ingeniui gattana, ô Dieu qu'il est pauvre homme De t'offenser ainsi.
M.	M.
Il faut que ie l’aſomme, Pour ſeruir d’vn exemple aux Paſteurs aduenir.	Il faut que ici l'asomme, Pour servir d'un exemple aux Pasteurs avenir.
Celidon.	Celidon.
Iaiſſe men faire, haſſi ie le puis tenir, Ie luy feray porter du bois à la cuiſine.	Jaisse men faire, hâsi ie le puis tenir, Je lui ferai porter du bois à la cuisine.
Mirtin.	Mirtin.
Ce n'est-plus des Pasteuts que fraude, que rapine, I'on oità tous les coips ces plane;	Ce n'est-plus des Pasteuts que fraude, que rapine, J'on oità tous les coips ces plane;
& cesbos Retentir ſous le ſon de la plaintiue vois De ceux a qui leurs mains ont fait quelque pillage, Hier encore Herlin couché deſſous l’ombrage De l’arbreconſacre à la mere des Dieux, Ronflant le doux ſommeil coulé dedans ſes yeux, Entendit ſon matin iaper à gorge plaine Apres vn larronneau, qu’on nomme tire-laine, Qui derroboit ſa loure, & fuyant l’emportoit, Herlin courut apres, mais vo yant qu’il haſtoit Ses pas trop viſtement, entrecourt aux parolles, Qui font les prononçant les roches estre molles.	et cesbos Retentir sous le son de la plaintive vois De ceux à qui leurs mains ont fait quelque pillage, Hier encoreChin couché dessous l'ombrage De l'arbreconsacre à la mère des Dieux, Ronflant le doux sommeil coulé dedans ses yeux, Entendit son matin japer à gorge plaine Après un larronneau, qu'on nomme tire-laine, Qui derrobait sa loure, et fuyant l'emportait, Herlin ut après, mais vo vant qu'il hâtait Ses pas trop vitement, entrecourt aux parole, Qui font les prononçant les résêtre molles.
