LE DICTATEVR ROMAIN.	LE DICTATEUR ROMAIN.
Et de cette main propre appreſter la Couronne A ce ieune Heros à qui le Ciel vous donne, Ce vainqueur triomphant, à qui le Dictateur Veut bien deuoir ſonChar, & ſa Fille, & ſon cœur, Dont la victoire, au lieu de luy dõner ombrage, Eſt l’effect de nos vœux, comme de ſon courag, A qui ſon Empereur, loing de la diſputer, Pour l’intereſt d’vn Gendre y voudroit âjoûter.	Et de cette main propre apprêter la Couronne À ce jeune Héros à qui le Ciel vous donne, Ce vainqueur triomphant, à qui le Dictateur Veut bien devoir sonChar, et sa Fille, et son cœur, Dont la victoire, au lieu de donner dõner ombrage, Est l'effet de nos vœux, comme de son courag, A qui son Empereur, loin de la disputer, Pour l'intérêt d'un Gendre y voudrait âjoûter.
PAPYRIE.	PAPYRIE.
Papyre eſt trop couuert de lauriers & de gloire, Pour vouloir luy rauir la premiere Metoire.	Papire est trop couvert de lauriers et de gloire, Pour vouloir lui ravir la première Métoire.
CAMILLE.	CAMILLE.
Croyons-le:	Croyons-le:
mais vn autre y pretend bonne part Eet pour vous en parler ſans enuie & ſans fard, Valere m’encerit fort à fon auantage, Et s’il ne ſe la donne, au moins il la partage:	mais un autre y prétend bonne part Eet pour vous en parler sans envie et sans fard, Valère m'encérit fort à son avantage, Et s'il ne se la donne, au moins il la partage:
Saus ordre de P'apyre ayant craint d’auancer Dans le pre nier combat, de peur de l’offenſer, La premiere victoire auſſi fut imparfaite.	Saus ordre de P'apire ayant craint d'avancer Dans le pré nier combat, de peur de l'offenser, La première victoire aussi fut imparfaite.
Mais, où des ennemis fut l’entiere defaite, vo june nuttre du fecond l’aîle qu’il commandoit, Auec elle il percea tout ce qu’il deffendoit.	Mais, où des ennemis fut l'entière défaite, vo june nuttre du fond l'elle qu'il commandait, Avec elle il percea tout ce qu'il défendait.
Et par vn ſtratagéme à iamais memorable.	Et par un stratagème à jamais mémorable.
SCENE II.	SCÈNE II.
GARDE, CAMILLE, LVCILLE, PAPYRIE.	GARDE, CAMILLE, LUCILLE, PAPYRIE.
GARDE.	GARDE.
COmine attend, Seigneur.	COmine attend, Seigneur.
CAMILLE.	CAMILLE.
Comine?	Comine?
eſt-il croyable?	est-il croyable?
Vn Tribun de l’Armée.	Un Tribun de l'Armée.
Et tu dis qu’il attend.	Et tu dis qu'il attend.
GARDE.	GARDE.
Pour vous voir & vous dire vn ſecret important.	Pour vous voir et vous dire un secret important.
CAMILLE.	CAMILLE.
Nous l’entendrons:	Nous l'entendrons:
Qu’il entre:	Qu'il entre:
Et ce ſera luy-meſme Qui vous déduira mieux ce nouueau ſtratagéme, Qu’il croit faire paſſer icy pour vn ſecret.	Et ce sera toujours-même Qui vous déduira mieux ce nouveau stratagème, Qu'il croit faire passer ici pour un secret.
Ie ne m’oppoſe point par vn zele indiſcret A ce choix glorieux que Papyre a pû faire:	Je ne m'oppose point par un zèle indiscret À ce choix glorieux que Papire a pu faire:
I’eſtime fort Fabie, & i’ayme auſſi Valere:	J'estime fort Fabie, et j'aime aussi Valère:
Ie ſçay qu’ils ſont tous deux vertueux cir ente, Tous deux grands:	Je sais qu'ils sont tous deux vertueux cir ente, Tous deux grands:
mais l’vn ieune, & l’autre dé-ja fait, Dans les charges formé, puiſſant, & Conſulaire, Ie ne vous parle donc qu’en faueur de Valere:	mais l'un jeune, et l'autre déjà fait, Dans les charges formé, puissant, et Consulaire, Je ne vous parle donc qu'en faveur de Valère:
Deuant à ſon merite autant qu’à l’amitié, De peur d’eſtre ſuſpect, i’en tairay la moitié;	Devant à son mérite autant qu'à l'amitié, De peur d'être suspect, j'en tairai la moitié;
Sa derniere action que nous allons entendre Le rend digne de tout, quoy qu’il vueille pretendre.	Sa dernière action que nous allons entendre Le rend digne de tout, quoi qu'il veuille prétendre.
LVCILLE.	LUCILE.
Liadies le pras uigne encer, ce lans ueradt, S’il pretend ſur Fabie, il faut aller bien-haut.	Liadies le pras uigne encer, ce lans uéradt, S'il prétend sur Fabie, il faut aller bienhaut.
CAMILLE.	CAMILLE.
Si haut s’il eſt beſoin, que l’action connuë, Fera voler ſa gloire au deſſus de la nuë, Eleuera ſon nom iuſques dedunt 1et creux.	Si haut s'il est besoin, que l'action connue, Fera voler sa gloire au dessus de la nue, Élevera son nom jusques dédunt 1et creux.
Mais voicy qui pourra vous la dépeindre mieux:	Mais voici qui pourra vous la dépeindre mieux:
Et ie ſçay quevoſtre ame en doit eſtre charmée.	Et ici sais quevotre âme en doit être charmée.
SCENE III.	SCÈNE III.
COMINE, LVCILLE, PAPYRIE, CAMILLE.	COMINE, LUCILLE, PAPYRIE, CAMILLE.
COMINE.	COMINE.
Nuoyé par Fabie arriué de l’Armée.	Nuoyé par Fabie arrivé de l'Armée.
LVCILLE.	LUCILE.
Fabie?	Fabie?
eſt-il à Rome?	est-il à Rome?
COMINE.	COMINE.
Ouy, depuis vn moment;	Oui, depuis un moment;
Et ie viens de ſa part vous faire compliment, Cependant qu’vn deuoir plus fort & neceſſaire Preſt de venir icy l’arréte chez ſon Pere.	Et petit viens de sa part vous faire compliment, Cependant qu'un devoir plus fort et nécessaire Prêt de venir ici l'arrète chez son Père.
PAPYRIE.	PAPYRIE.
Rome ne deuoit voir ce Vainqueur glorieux, Qu’en vn char qui porta ſi ſouuent ſes Ayeux:	Rome ne devait voir ce Vainqueur glorieux, Qu'en vn char qui porta si souvent ses Aïeux:
C’eſt ce qu’il deuſt attendre, & c’eſt ce qu’il merite.	C'est ce qu'il dût attendre, et c'est ce qu'il mérite.
LVCILLE.	LUCILE.
Cette gloire deuſt eſtre à ſes trauaux preſcrite:	Cette gloire dût été à ses travaux prescrite:
Mais cét honneur ſi grand & ſi bien merité, A ſon retour ſans bruit ainſi precipité, Luy peut-eſtre ſans doute enuié par Valere.	Mais cet honneur si grand et si bien mérité, À son retour sans bruit ainsi précipité, Lui peut-être sans doute envié par Valère.
CAMILLE.	CAMILLE.
Pour inſtruire Lucille, autant que pour me plaire Ne nous déguiſez rien;	Pour instruire Lucille, autant que pour me plaire Ne nous déguisez rien;
Amy, ſans paſſion Parlez-nous de Valere, & de ſon action.	Ami, sans passion Parlez-nous de Valère, et de son action.
COMINE.	COMINE.
Que diray-je apres tout?	Que dirai-je après tout?
que pouuez-vous apprendre,	que pouvez-vous apprendre,
CAMILLE.	CAMILLE.
Des merueilles, ma Sœur, que vous allez entendre.	Des merveilles, ma Sœur, que vous allez entendre.
COMINE.	COMINE.
Puis que dé-ja dans Rome on la ſçait, on la dit, C’eſt trop.	Puis que déjà dans Rome on la sait, on la dit, C'est trop.
diſpenſez moy d’en faire vn vain recit.	dispensez moi d'en faire un vain récit.
Cir na li ni.	Cir na li ni.
Vn Amy de Valere ainſi doncque s’excuſe?	Un Ami de Valère ainsi doncque s'excuse?
Ie prie en ſa faueur, & Comine refuſe?	Je prie en sa faveur, et Comine refuse?
COMINE.	COMINE.
Amy iuſqu’à ce point, qu’il n’oſe publier.	Ami jusqu'à ce point, qu'il n'ose publier.
CAMILLE.	CAMILLE.
vhleucuen notudle, ee quilemole cuuier,	vhleucuen notudle, ce quilemole cuvier,
COMINE.	COMINE.
Pour ne diuulguer pas le mal qui l’a ſuiuie, Ie la tay par reſpect, & non point par enuie.	Pour ne divulguer pas le mal qui l'a suivie, Je la tai par respect, et non point par envie.
CAMILLE.	CAMILLE.
Quel mal?	Quel mal?
de quel reſpect le penſez-vous couurir?	de quel respect le pensez-vous couvrir?
COMINE.	COMINE.
114o me lulicouurir?	114o me lulicouvrir?
Mais forcé d’obeyr, lors que ie le raconte, Excuſez mon deuoir, auſſi bien que ſa honte.	Mais forcé d'obéir, lors que deux le raconte, Excusez mon devoir, aussi bien que sa honte.
LVCILLE.	LUCILE.
Voila pour vn effet glorieux & charmant Certes vn aſſez triſte & froid commencement,	Voilà pour un effet glorieux et charmant Certes un assez triste et froid commencement,
COMINE.	COMINE.
Par vn reſpect des Dieux qu’il croyoit malpropices Le Dictateur allant reprendre les auſpices, Fabie eut dans le Camp tout pouuoir, hors ce poinct Iuſques à ſon retour de ne combattre point:	Par un respect des Dieux qu'il croyait malpropices Le Dictateur allant reprendre les auspices, Fabie eut dans le Camp tout pouvoir, hors ce point Jusques à son retour de ne combattre point:
L’abſence de Papyre en l’vne & l’autre Armée Ainſi qu’vn haut myſtere eſtoit deſia ſemée, Et tenoit ſans combattre inutiles & vains Le Camp des Ennemis & celuy des Romains?	L'absence de Papire en l'une et l'autre Armée Ainsi qu'un haut mystère était déjà semée, Et tenait sans combattre inutiles et vains Le Camp des Ennemis et celui des Romains?
Sçachans du Dictateur & l’ordre & la deffenſe Les Samnites montoient iuſques à l’inſolence;	Sachant du Dictateur et l'ordre et la défense Les Samnites montaient jusques à l'insolence;
Abandonnez au ieu, noyez dans le feſtin, Dans nul ordre, ils ſembloient moins vn Camp qu’vn butin;	Abandonnez au jeu, noyez dans le festin, Dans nul ordre, ils semblaient moins un Camp qu'un butin;
Et les moins diſſolus, ſãs craindre les approches, Nous lançoient iuſqu’au camp des traits & des reproches.	Et les moins dissolus, sans craindre les approches, Nous lançaient jusqu'au camp des traits et des reproches.
Quand Fabie à la fin de colere enflamé, Honteux comme vn lyon de ſe voir enfermé, Preſſé des Ennemis, animé par Valere Alluma ſon courage au feu de ſa colere, Et par vn grand combat heureux & non permis Forcea leur Camp, deffit, chaſſa les Ennemis:	Quand Fabie à la fin de colère enflammé, Honteux comme un lyon de se voir enfermé, Pressé des Ennemis, animé par Valère Alluma son courage au feu de sa colère, Et par un grand combat heureux et non permis Forcea leur Camp, défit, chassa les Ennemis:
A cét exploit fameux, ſa valeur animée Meſme n’employa pas la moitié de l’Armée;	À cet exploit fameux, sa valeur animée Même n'employa pas la moitié de l'Armée;
Ie tins hors du combat dans ces occaſions Et la Cauallerie, & quelques Legions, Que Fabie eſpargnoit comme vn Corps de reſerue Touſiours preſt à dõner qui ſans rien faire ſerue:	Je tins hors du combat dans ces occasions Et la Cavallerie, et quelques Légions, Que Fabie épargnait comme un Corps de réserve Toujours prêt à dõner qui sans rien faire serve:
Mais qui n’eſtoit plutoſt dans vn combat doutedi Qu’vne embûche à ſa gloire, vn obſtacle honteux Que Valere tenoit dreſſé contre Fabie, Enuieux de ſon rang, & meſme de ſa vie.	Mais qui n'était plutôt dans un combat doutedi Qu'une embûche à sa gloire, un obstacle honteux Que Valère tenait dressé contre Fabie, Envieux de son rang, et même de sa vie.
CAMILLE.	CAMILLE.
Pouuez-vous luy donner ce lâche mouuement?	Pouvez-vous cause donner ce lâche mouvement?
Sçauez-vous?	Savez-vous?
COMINE.	COMINE.
Ie ſçay tout;	Je sais tout;
mais eſcoutez comment.	mais écoutez comment.
Peu deuant ce combat qui paſſa pour furie, Valere ſeul en teſte à la Caualerie Auecque tout ce Corps faiſant ferme à ma voix Par ordre de Fabie & que ie luy portois;	Peu devant ce combat qui passa pour furie, Valère seul en tête à la Cavalerie Avec tout ce Corps faisant ferme à ma voix Par ordre de Fabie et que de lui portais;
M’expoſe noſtre faute, & montre en confidence D’vn ieune General l’inſolente imprudence Qui ſe portant ſans crainte au combat deffendu Meritoit ſa diſgrace, & d’eſtre ſeul perdu;	M'expose notre faute, et montre en confidence D'un jeune Général l'insolente imprudence Qui se portant sans crainte au combat défendu Meritait sa disgrâce, et d'être seul perdu;
Qu’à ne combattre point nous ſauuions noſtre eſtime, Pour nous purger tous deux & de honte & de crime;	Qu'à ne combattre point nous sauvions notre estime, Pour nous purger tous deux et de honte et de crime;
De honte, ſi l’on perd, iettant tout ſur l’auteur.	De honte, si l'on perd, jetant tout sur l'auteur.
Comme en gagnant de crime enuers le Dictateur.	Comme en gagnant de crime envers le Dictateur.
Pour ce coup ſes raiſons grandes & ſpecieuſes Me parurent d’eſprit, & non pas enuieuſes :	Pour ce coup ses raisons grandes et spécieuses Me parurent d'esprit, et non pas envieuses :
De ſon deſſein caché ce voile me deceut:	De son dessein caché ce voile me déçut:
Vn Amy les donnoit, vn Amy les receut:	Un Ami les donnait, un Ami les reçut:
Mais au dernier combat, où pourſuiuant ſa pointe Fabie à leur Armée auoit la noſtre jointe, Et poufſant les fuyards des champs Pycehiens Auoit trouué plus loin les derniers Samhiens, Vingt-mille, & retranchez aſſez proche d’Ortone, Où pour dernier effort la bataille ſe donne:	Mais au dernier combat, où poursuivant sa pointe Fabie à leur Armée avait la vôtre jointe, Et poussant les fuyards des champs Pycehiens Avait trouvé plus loin les derniers Samhiens, Vingt-mille, et retranchez assez proche d'Ortone, Où pour dernier effort la bataille se donne:
A tous ſes intereſts me croyant attaché Valere à cette fois m’en montre vn plus cache, Me Me découure ſon cœur, me fait lire en ſon ame Ses vœux pour Papyrie, & ſa jalouſe flame:	À tous ses intérêts me croyant attaché Valère à cette fois m'en montre un plus cache, Me Me découvre son cœur, me fait lire en son âme Ses vœux pour Papirie, et sa jalouse flamme:
Qu’vne égale fureur contre ſon General I’embrazoit iuſtement & contre ſon Riual;	Qu'une égale fureur contre son Général J'embrasait justement et contre son Rival;
Qu’auteur de la premiere & ſeconde bataille Pour le faire perir à toute heure il trauaille A deſſein de le perdre en cette ieune ardeur Ou dedans les combats, où pres du Dictateur.	Qu'auteur de la première et seconde bataille Pour le faire périr à toute heure il travaille A dessein de le perdre en cette jeune ardeur Ou dedans les combats, où pres du Dictateur.
LVCILLE.	LUCILE.
tuene crannon, idotnement oundte , Appellez ſtratagéme encor ſa perfidie.	tuène crannon, idotnement oundte , Apelez stratagème encor sa perfidie.
PAPYRIE.	PAPYRIE.
O cœur vrayement Romain!	Ô cœur vraiment Romain!
ô noble amour auſſi !	ô noble amour aussi !
e AMILLE, Q'entends-je?	e AMYLE, Q'entends-je?
Et le combat?	Et le combat?
acheüez.	achevez.
COMINE.	COMINE.
Le voicy.	Le voici.
PAPYRIE.	PAPYRIE.
Il ne combattra point, voila le ſtratagéme.	Il ne combattra point, voilà le stratagème.
COMINE.	COMINE.
Il me pria de vray de faire encor de meſme:	Il me pria de vrai de faire encor de même:
Mais dedans le combat il me vit bien changer.	Mais dedans le combat il me vit bien changer.
Rome eſtoit en peril, & Fabie en danger:	Rome était en péril, et Fabie en danger:
B Quand i’eus ordre, au ſecours de ſon Infanterie D’aller faire auancer noſtre Caualerie:	 Quand j'eus ordre, au secours de son Infanterie D'aller faire avancer notre Cavalerie:
L’aîle gauche deux fois, comme tout ſe perdoit Où comme Lieutenant Valere commandoit, Contre vn gros d’Ennemis qui commençoit de craindre Fit quelques vains efforts, & teſmoigna de feindre, Alors n’eſpargnant plus mes ſoins, ny mes trauaux Ie fis oſter par tout les brides aux Cheuaux, Et les faiſant pouſſer d’vne horrible furie, Tout plia, tout fit iour à la Caualerie.	L'aîle gauche deux fois, comme tout se perdait Où comme Lieutenant Valère commandait, Contre un gros d'Ennemis qui commençait de craindre Fit quelques vains efforts, et témoigna de feindre, Alors n'épargnant plus mes soins, sans mes travaux Je fis ôter par tout les brides aux Chevaux, Et les faisant pousser d'une horrible furie, Tout plia, tout fit jour à la Calerie.
