ACTEVRS.	ACTEURS.
conſacrons noſtre vie, LA cette heureuſe fin, dontlelle eſt pourſuiuie, A la gloire de Dieu, qui nous a creé ça bas, Glorifié des Saincts, en leur heureux treſpas:	consacrons notre vie, LA cette heureuse fin, dontlelle est poursuivie, À la gloire de Dieu, qui nous a cré ça bas, Glorifié des Saints, en leur heureux trépas:
De ſes diuins rayons mon ame eſt éclairée, Et celle de mon pere en eſt trop écartée.	De ses divins rayons mon âme est éclairée, Et celle de mon père en est trop écartée.
O foy indigne foy, qui luy voile les yeux, L’empeſchant de ſçauoir ce beau Soleil des Cieux, Qui éclaire nos ſens, & nous donne à connoiſtre P'ar laſoy, qu'il eſ pien de Nanre maſtre.	Ô foi indigne foi, qui lui voile les yeux, L'empêchant de Savoir ce beau Soleil des Cieux, Qui éclaire nos sens, et nous donne à connaître P'ar lasoi, qu'il es pien de Nanre montre.
Si mon pere m’ahit, c’eſt pour ſa fauſſe foy, Ie le deſobeis pour vne ſaincte loy.	Si mon père m'ahit, c'est pour sa fausse foi, Je le désobéis pour une sainte loi.
Ie n'en craindray des Druydes artifices ny charmes, Ny de tous leurs creans les menaces ny armes, Renonçons donc ces Dieux priuez de ſentimens, Organes des demons les humains deceuans, Par leurs illuſions ſe font faire des feſtes, Et deſſus leurs Autels ils immolent des beſtes:	Je n'en craindrai des Druides artificesrit charmes, Ni de tous leurs créants les menaces ni armes, Renonçons donc ces Dieux privez de sentiments, Organes des démons les humains décevants, Par leurs illusions se font faire des fontes, Et dessus leurs Autels ils immolent des bêtes:
Algeride pluſtoſt inuocquons que la mort Nous ſuruienne pour Dieu en mille & mille effort, A l’imitation de ces eſprits qui volent, Depuis la terre au Ciel en briZant les Idoles, Iouiſſans des lauriers tout à fait precieux, Regnans pour vn touſiours en l’eſtre glorieux, Par échange de vie à la ioy immortelle, En trtompne tu naut de ta gloire eternelle, Et leur mort icy bas nous enſeignant aſſeZ Le chemin aſſeuré par où ils ſont paſſeZ	Alger plustost invocquons que la mort Nous survienne pour Dieu en mille et mille effort, A l'imitation de ces esprits qui volent, Depuis la terre au Ciel en brizant les Idoles, Jouissants des lauriers tout à fait précieux, Regnans pour un toujours en l'être glorieux, Par échange de vie à la joi immortelle, En trtompne tu naut de ta gloire éternelle, Et leur mort ici bas nous enseignant assez Le chemin assuré par où ils sont passez
AGERIDE.	AGERIDE.
Reine ie connois bien que voſtre ame fidelle, Voudroit ia éprouner la fureur paternelle, Et ie vois que du moins la fiere impieté, Av gtonnera tamais voſtre fincerite.	Reine grande connais bien que votre âme fidèle, Voudrait ja éprouner la fureur paternelle, Et deux vois que du moins la fière impiété, Av onnera tamais votre sincérité.
REINE.	REINE.
C’eſt vn diuin obiet, quand vne ame auiſee S’induit pour noſtre foy au tranchant de l’épée.	C'est un divin objet, quand une âme avisée S'induit pour notre foi au tranchant de l'épée.
ALGERIDE.	ÀLGERIDE.
Mais auſſi bien ſouuant on a peur de mourir.	Mais aussi bien souvant on a peur de mourir.
REINE.	REINE.
Ie me reſous pourtant ſans effroy de ſouffrir Les ſanglots du treſpas, pluſtoſt qu’vn Idolâtre, Me range ſous les loix de ſes Dieux faits de plâtre;	Je me résous pourtant sans effroi de souffrir Les sanglots du trépas, plutôt qu'un Idolâtre, Me range sous les lois de ses Dieux faits de plâtre;
Smn traindre ſon couroue, teſins ionte de ſoy.	Smn traindre son couroue, tesins ionte de soi.
11 Par le nom de Chreſtienne à mon ſouuerain Roy, Que i’ay appis ſucçant le laict de ma Nourrice, Q du Ciel a receu cette illuſtre notice.	11 Par le nom de Chrétienne à mon souverain Roi, Que j'ai appis suçant le lait de ma Nourrice, Q du Ciel a reçu cette illustre notice.
ASTHERE.	ASTHÉRE.
entre.	entre.
Niepce, l’on vous appelle au ſeruice des Dieux, Où les reſpects d’encens s’enfument iuſques aux Cieux, Vous differez touſiours par mépris d’aſſemblée, Où deuriez la premiere eſtre la plus zelée:	Niepce, l'on vous appelle au service des Dieux, Où les respects d'encens s'enfument jusques aux Cieux, Vous différez toujours par mépris d'assemblée, Où devriez la première être la plus zélée:
Comportez-vous vn peu auec diſcreſſion, Et vous releuez toſt de l indeuotion, Puis que les Aliſiens vous nomment leur premiere Es meſme rangs d’honnenrs ,ou eſtoit voſtre mere.	Comportez-vous un peu après discression, Et vous relevez tôt de l' indeuotion, Puis que les Alisiens vous nomment leur première Es même rangs d'honnenrs ,ou était votre mère.
REINE.	REINE.
Refuſans ces honneurs, accuſez-moy du nom, De deſobeiſſante à voſtre Nation, Et ſçachez en vn mot que ſi l’on me dit Reine, I'aymerois beaucoup mieux qu'on m'appellaſt Chreſtienne, Vous donnant à penſer que i’adreſſe mes vœux, Au ſeul Dieu Createur de la terre & des Cieux.	Refusant ces honneurs, accusez-moi du nom, De désobéissante à votre Nation, Et sachez en un mot que si l'on me dit Reine, J'aimerais beaucoup mieux qu'on m'appelât Chrétienne, Vous donnant à penser que j'adresse mes vœux, Au seul Dieu Createur de la terre et des Cieux.
ASTHERE.	ASTHÉRE.
Niepce?	Niepce?
Niepce tout beau, il ne faut vous diſtraire D en Tere derinent.	Niepce tout beau, il ne faut vous distraire D en Tere derinent.
REINE.	REINE.
Il ne ſçait pas la gloire, Que la foy me promet en conſeruant mes vœux.	Il ne sait pas la gloire, Que la foi me promet en conservant mes vœux.
ASTHERE.	ASTHÉRE.
Rien ne vous doit toucher de ſi prés que nos Dieux, Et par les Druydes jumncis nous celebrons la feſte Du grand Moritaſgus ſur ſes hautes conqueſtes.	Rien ne vous doit toucher de si prés que nos Dieux, Et par les Drides jumncis nous célébrons la fête Du grand Moritâgus sur ses hautes conquêtes.
REINE.	REINE.
Ses progrés ſans vertus ſont au nombre des morts, Luy-meſme eſt aux Enfers oppreſſés de remords.	Ses progrès sans vertus sont au nombre des morts, Lui-même est aux Enfers oppressés de remords.
ASTHERE.	ASTHÉRE.
Ah Reine!	Ah Reine!
penſes-vous des immortels meſdire, Helas pour voſtre temps!	penses-vous des immortels médire, Hélas pour votre temps!
helas que ie ſoupire!	hélas que personne soupire!
Que pluſtoſt a vos pieds me ſuruienne la mort, Que de voir decocher ſur vous vn ſeul effort De grace, s’il vous plaiſt, vne foy detractable.	Que plutôt à vos pieds me survienne la mort, Que de voir décocher sur vous un seul effort De grâce, s'il vous plaît, une foi détractable.
Vous peut-elle engager au ſort ſi miſerable, Que de vous ſeparer ainſi de vos parens, Et vous precipiter en la fleur de vos ans, Qu'vn Seigneur ſignalé comme on voit voſtre Pere, Vous chaſſe de ſa venë, & luy eſt ſi chera:	Vous peut-elle engager au sort si misérable, Que de vous séparer ainsi de vos parents, Et vous précipiter en la fleur de vos ans, Qu'un Seigneur signalé comme on voit votre Père, Vous chasse de sa venue, et lui est si chera:
O Niepce que ie dis miracle des beautez, Conſeruez de vos iours les aymables clartez, Et ſans temerité permetteZ que ie touche Voſtre main de la mienne, & la porte à ma bouche.	Ô Niepce que Rome dis miracle des beautés, Conservez de vos jours les aimables clartés, Et sans témérité permettez que personne touche Votre main de la mienne, et la porte à ma bouche.
REIRE.	REIRE.
Non ne me touchez point, en vn mot le réfus Me priut de clarté de ne vous reuoir plus.	Non ne me touchez point, en un mot le réfus Me priut de clarté de ne vous revoir plus.
ASTHERE.	ASTHÉRE.
Ce ſeroit vous taxer & ſerions-nous en peine, De vous ſentir contraire où le deuoir nous meine, Eſtre de ſang illuſtre & en degentrer, Car d’offencer nos Loix c’eſt ne vouloir regner, Et difficilement pardonne-t’on tel crime, Niepce?	Ce serait vous taxer et serions-nous en peine, De vous sentir contraire où le devoir nous mène, Être de sang illustre et en dégentrer, Car d'offenser nos Lois c'est ne vouloir régner, Et difficilement pardonne-t-on tel crime, Nièce?
il vaut bien mieux conſeruer voſtre eſtime.	il vaut bien mieux conserver vôtre estime.
REINE.	REINE.
Toutes les qualitez deſirées icy bas, Eſmiſes à vos grandeurs ne me ſeduiront pas, Ie ne me plaiſt iamais à vos magnificences, Faiſans vn plus grand prix des ſainctes ioüiſſances, Ne m'importunez donc, & me laiſſez icy.	Toutes les qualités désirées ici bas, Esmises à vos grandeurs ne me séduiront pas, Je ne me plaît jamais à vos magnificences, Faisans un plus grand prix des saintes jouissances, Ne m'importunés donc, et me laissez ici.
ASTHERE.	ASTHÉRE.
On vous diuertira de ce faſcheux ſoucy, faut-il que ie ſois par vos chanſons coupable, Rapporteur?	On vous divertira de ce fâcheux souci, faut-il que je sois par vos chansons coupable, Rapporteur?
malgré moy?	malgré moi?
de tant & tant de fable, Et faut-il auiourd huy oublier la pitié, Et qu'on ſçache de vous toute infidelité.	de tant et tant de fable, Et faut-il auiourd appui oublier la pitié, Et qu'on sache de vous toute infidélité.
Que ie meure pinſtat.	Que personne meure pinstat.
REINE.	REINE.
Viuez, & allez dire, Que i’attend pour mon Dieu volontiers le martyre.	Vivez, et allez dire, Que j'attend pour mon Dieu volontiers le martyre.
ASTHERE.	ASTHÉRE.
Demeure un peu en ſuſpend.	Demeure un peu en suspend.
Helas beauté du iour voulez-vous éclipſer, Et vous bellt Algeride oſez vous accorder, Qu'en l’eſtat des Chreſtiens ſoit ainſi accroupie, Sans croire que bien-toſt ne tombe en reſuerie.	Hélas beauté du jour voulez-vous éclipser, Et vous belât Alger osez vous accorder, Qu'en l'état des Chrétiens soit ainsi accroupie, Sans croire que bientôt ne tombe en rêverie.
ALGERIDE.	ÀLGERIDE.
Monſieur ce n'eſt reſuer de vous dire qu’aux Cieux, Il y a vn Autheur bien autre que vos Dieux, Et la ſeule raiſon nous fait aſſeZ connoiſtre Le Createur du monde, & des enfers le maiſtre, Auoüez donc auſſi qu’on le doit confeſſer Dieu ſeul, veritable, & les voſtres traſſer.	Monsieur ce n'est rêver de vous dire qu'aux Cieux, Il y a un Auteur bien autre que vos Dieux, Et la seule raison nous fait assez connaître Le Créateur du monde, et des enfers le maître, Avez donc aussi qu'on le doit confesser Dieu seul, véritable, et les vôtres trasser.
F.	F.
2 ASTHERE.	2 ASTHÉRE.
Lesſiltes olcinjonnemt des oanttes prejnmnent , Et leurs eſprits legers des feux volages allument, ParleZ tout autrement, & ſçachez que ie puis, Vous apprendre comment les crimes ſont punis.	Lessiltes olcinjonnemt des oanttes prejnmnent , Et leurs esprits légers des feux volages allument, Parlez tout autrement, et sçachez que on puis, Vous apprendre comment les crimes sont punis.
ALGERIDE.	ÀLGERIDE.
Puis que la verité entre-nous vous offence, RerireZ-vous de nous & oraignez ſa puiſſance, Par l’eſpoir d'vn grand bien qu'en terre il a promis, Nous attendrons pied coy les coups des ennemis:	Puis que la vérité entrenous vous offense, Rérirez-vous de nous et oragnez sa puissance, Par l'espoir d'un grand bien qu'en terre il a promis, Nous attendrons pied coi les coups des ennemis:
Nos ſoins ſont deſcouuerts à receuoir les pointes D’acier ou autrement, voyez- nous donc ſans crainté Sous ce grand Protecteur dont la benignité, Eſteutt eſteue les Martyrs à la felicité.	Nos soins sont découverts à recevoir les pointes D'acier ou autrement, voyez-nous nous donc sans crainté Sous ce grand Protecteur dont la bénignité, Esteutt estève les Martyrs à la félicité.
ASTHERE.	ASTHÉRE.
Ie proteſte à ce coup vne iuſte colere, Si vous ne confeſſeZ le Dieux que le reuere.	Je proteste à ce coup une juste colère, Si vous ne confesseZ le Dieux que le révère.
REINE.	REINE.
La diſpute n’eſt rien au prix d’vn vray combat, Ce propos encore moins, s’il ne rend quelque éclat.	La dispute n'est rien au prix d'un vrai combat, Ce propos encore moins, s'il ne rend quelque éclat.
ASTHERE.	ASTHÉRE.
Vn deffit vous retient dedans vos arrogances?	Un défit vous retient dedans vos arrogances?
On vous apprendra toſt des traits d’obeiſſances.	On vous apprendra tôt des traits d'obéissances.
SCENE III.	SCÈNE III.
ASTHERE, GLEMEII, PROTINE, AMELIN.	ASTHÉRE, GLEMEI, PROTINE, AMELIN.
ASTHERE.	ASTHÉRE.
E demeure confus ſur ce déreiglement, TReine ne veut ouyr voſtre commandement.	E demeure confus sur ce dérèglement, TReine ne veut ouïr votre commandement.
CLEMENT.	CLEMENT.
Elle m’obeïra, ou qu’au lieuie prriſe, Qu'elle quitte ſa loy, ou bien qu'on l'a puniſſe.	Elle m'obéira, ou qu'au lieuie prise, Qu'elle quitte sa loi, ou bien qu'on l'a punisse.
TROTINE.	TROTINE.
Rappellez la plus doux a ſes humbles deuoirs.	Rappelez la plus doux à ses humbles devoirs.
CLEMENT.	CLEMENT.
Elle neglige trop l’accent de nos vouloirs.	Elle néglige trop l'accent de nos vouloirs.
Il l’ayme, ie le ſçay.	Il l'aime, Seigneur le sais.
L’on m'en a bien parlé, ie le connois parfait, Comme ie l’aggrée fort au bien qui me regarde, Mlais la trop longue erren de Rene me retare	L'on m'en a bien parlé, Seigneur le connais parfait, Comme ici l'aggrée fort au bien qui me regarde, Mlais la trop longue erren de Rene me retare
ASTHERE.	ASTHÉRE.
Traictons d’vn autre point touchant le mariage.	Traitons d'un autre point touchant le mariage.
Paulias eſt eſpris des traits de ſon viſage.	Paulias est épris des traits de son visage.
Il ayme voſtre fille.	Il aime votre fille.
Et l’obſtination eſt encore à punir, Ma fille deſormais s’en pourra repentir, Puis que le temps en vain y confomme vos peines.	Et l'obstination est encore à punir, Ma fille désormais s'en pourra repentir, Puis que le temps en vain y confomme vos peines.
PROTINE.	PROTINE.
Et vous connoiſtrez des pourſiites non vaines, Vous diſant qu’il vaut mieux d’vn viſage ſerain La rappeller;	Et vous connaîtrez des poursiites non vaines, Vous disant qu'il vaut mieux d'un visage serain La rappeler;
mais non?	mais non?
