A LA REYNE ANNE DAVSTRICHE	À LA REINE ANNE DAUSTRICHE
Et ſi de quelque choſe on n’a pu laſſouuir, C’eſt de la paßion qu’elle a de vous ſeruïr.	Et si de quelque chose on n'a pu lassouvir, C'est de la passion qu'elle a de vous servir.
Que ſi par vos bontez dignes qu'on les adore Ie puis de quelque bien vous requerir encore, Ie ne demande pas la deſpou lle des morts, Vos graces m’ont comble d’honneurs & de treſors, mlom emque ponnmnsanpenſer temeraire Pardonnez, moy grand Prince vn tyran me fait taire.	Que si par vos bontés dignes qu'on les adore Je puis de quelque bien vous requérir encore, Je ne demande pas la dépou le des morts, Vos grâces m'ont comble d'honneurs et de trésors, mlom emque ponnmnsanpenser téméraire Pardonnez, moi grand Prince un tyran me fait taire.
Quel tyran!	Quel tyran!
ALMAZAN	ÀLMAZAN
ALCANDRE.	ÀLCANDRE.
Le reſpect, ce faſcheux ennemy Ne me laiſſe e chaler ma flame qu’a demy Clarimonde en vn mot que i’ayme & que i’adore Eſt le iuſte ſuiect pour qui ie vous implore, Nous ſommes deux captifs ſoubs de diuere liens, Son corps eſt dans vos fers, mon ame eſt dans les ſiens, Et quand cette beauté qui vous eſt aßeruic Deuroit cauſer ma mort, ie demande ſa vie.	Le respect, ce fâcheux ennemi Ne me laisse e aler ma flamme qu'a demi Clarimonde en un mot que j'aime et que j'adore Est le juste sujet pour qui suis vous implore, Nous sommes deux captifs soubs de divère liens, Son corps est dans vos fers, mon âme est dans les siens, Et quand cette beauté qui vous est a Deuroit causer ma mort, je demande sa vie.
Aſſez de vos fareurs les tonnerres lancez.	Assez de vos fareurs les tonnerres lancés.
Ont vangé le courroux de vos Dieux offenſez;	Ont vengé le courroux de vos Dieux offensez;
Sonpere ſent l'effort de la mainqui le braue, Ses peuples ſont vaincus, elle meſme eſteſclaue, Que voulez vous de plus ?	Sonpère sent l'effort de la mainqui le brave, Ses peuples sont vaincus, elle -même estesclaue, Que voulez -vous de plus ?
il eſt temps d'arreſter Le coup que voſtre haine eſt preſte a luy porter:	il est temps d'arrêter Le coup que votre haine est prête a tu porter:
Meſlant a la iuſtice vn acte de clemence, D'vne illuſtre Princeſſe eſpargnez l’innocence, Grand Roy ie vous enprie, & ie ne veux ceſſer Iuſqu'a tant.	Mêlant à la justice un acte de clémence, D'une illustre Princesse épargnez l'innocence, Grand Roi Roi vous enprie, et Seigneur ne veux cesser Jusqu'a tant.
ALMAZAN.	ÀLMAZAN.
C’eſt aſſez, leue toy cher Alcandre Tu ſçais qu’a tes deſirs ie ne puis rien deffendre, Mais contente en ce poinct mon eſprit curieux Depuis quand reſſens-tu le pouuoir de ſes yeux?	C'est assez, lève toi cher Alcandre Tu sais qu'a tes désirs ie ne puis rien défendre, Mais contente en ce point mon esprit curieux Depuis quand ressens-tu le pouvoir de ses yeux?
ALCANDRE.	ÀLCANDRE.
Bien que ie ſoit certain, Monarque magnanime, Que mon affection doibt paſſer pour vncrime, Deux mots feront cognoiſtre a voſtre Majeſté, Et mon obeiſſance & ma temerité.	Bien que Dieu soit certain, Monarque magnanime, Que mon affection doibt passer pour vncrime, Deux mots feront connaître à votre Majesté, Et mon obéissance et ma témérité.
Trois ans ſont expirez depuis l’heure fatale Que malgré mes deffauts voſtre grandeur royale Alupres de Solimont voulut me deputer Sur des poincts importants qui s’offroient à traictert La par d’extremes ſoings, ie m’efforçay d’eſtaindre Les mal’heurs que ce Prince auoit ſuiet de crainMais jevy Clarimonde & ſes charmants attrait, Me liurerent la guerre en parlant de la paix Cette beauté diumne encharmes ſi puiſſante Alluma dans mon cœuru ne ſlame innocente, Mais de qui le pou toir eſt ſi iuſte & ſi fort Qu’il vaincra la rigueur du temps & de la mort Ie comparaycent ſois ma fortune a la ſienne, Ie meſuray mon ſanga ſa race ancienne, Maus l'Amour ſe mocquade ces reſpects humains Et pour luy reſiſtermes combats furent vains.	Trois ans sont expirés depuis l'heure fatale Que malgré mes défauts votre grandeur royale Alupres de Solimont voulut me députer Sur des points importants qui s'offraient à traiter La par d'extrêmes soins, sans m'efforçai d'étaindre Les malheurs que ce Prince avait sujet de crainMais jevi Clarimonde et ses charmants attrait, Me livrèrent la guerre en parlant de la paix Te beauté diumaine encharmes si puissante Alluma dans mon cœur ne splame innocente, Mais de qui le pou toir est si est et si fort uil vaincra la rigueur du re et de la et Ie comparaycent si ma fortune a la sienne, Ie mesurai mon sanga sa race ancienne, Maus l'Amour se de ces respects humainsUe ur du temps combats furent vains.
ALMAZAN Si tu l’aymas Alcandre elle t’ayma de meſme?	ÀLMAZAN Si tu l'aimas Alcandre elle t'aima de même?
ALCANDRE.	ÀLCANDRE.
Pour ne commettre pai vne impudence extreme Sure, ie puis iurer que cette vanité, Quelque eſclat qu'ell’ait eu ne m'a iamais flatté.	Pour ne commettre pai Roi impudence extrême Sure, je puis jurer que cette vanité, Quelque éclat qu'elle est eu ne m'a jamais flatté.
Il eſt vray qu’ayant ſceu mes amoureux ſupplices, Cette ieune merueille a ſouffert mes ſeruices:	Il est vrai qu'ayant su mes amoureux supplices, Cette jeune merveille a souffert mes services:
Mais c’eſt qu’ell’a iugé que veſtre affection Meſleueroit plus haut que ſon ambition, Et qu'eſtre aymé de vous valloit mieux qu’vn Empire.	Mais c'est qu'ell’a jugé que vite affection Mesleueroit plus haut que son ambition, Et qu'être aimé de vous vallait mieux qu'un Empire.
ALMAZAN.	ÀLMAZAN.
Ata proſperité toute choſe conſpire	Ata prospérité toute chose conspire
Eſelaue Eſclaue comme ell’eſt te pouuoir pa ſſi der.	Eselaue Esclave comme elle est te pouvoir pa ssi der.
Eſt le bien le plus grand qu’elle oſaſa demander.	Est le bien le plus grand qu'elle osasa demander.
Va donc rompre les fers de cette priſonniere, Rends luy puis qu’il me plaiſt ſa liberté premicre, Redonne ſon eſclat a cet obiect vainqueur, Et deliure ſon corps, mais arreſte ſon cœur Pourueu que ſon amour a la tienne reſponde, Vn Dieu ne te ſcauroit diſputer Clarimonde, Ie l'immole a ta gloire.	Va donc rompre les fers de cette prisonnière, Rends était puis qu'il me plaît sa liberté premicre, Redonne son éclat à cet objet vainqueur, Et délivre son corps, mais arrête son cœur Pourvu que son amour a la tienne réponde, Un Dieu ne te saurait disputer Clarimonde, Je l'immole a ta gloire.
MELIDOR a part.	MELIDOR à part.
Ah Dieux qu’ay-ie entendu?	Ah Dieux qu'ai-je entendu?
ALCANDRE.	ÀLCANDRE.
Grane Roy, par qui i’obtiens ce que i’ar pretendu, Queie baiſe cent fois ces mains victoriuſes, Puiſ que de vos faueurs les marques glorieaſes Ne me permettent pas d’exprimer aurrement Le verit able excés de mon rauiſſement.	Grane Roi, par qui j'obtiens ce que j'ar prétendu, Que baise cent fois ces mains victoriuses, Puis que de vos faveurs les marques glorieases Ne me permettent pas d'exprimer aurrement Le vérit able excès de mon ravissement.
Ie vay puisqu’il vous plaiſt reuoir cette captiue, Et luy rendre le bien dont ſa beauté me piuute, Ie vay, quoy que malade, eſtre ſa gueriſon, Et retirer des fers l’autheur de ma priſ-u	Je vais puisqu'il vous plaît revoir cette captive, Et tu rendre le bien dont sa beauté me pivte, Je vais, quoi que malade, être sa guérison, Et retirer des fers l'auteur de ma pris-tu
LMAZAN.	LMAZAN.
Va le Ciel à tes œux ſoit touſiours fauorable	Va le Ciel à tes œux soit toujours favorable
MELIDOR.	MELIDOR.
Ah parlons il eſt temps.	Ah parlons il est temps.
Monarque redoutable LrcuſeZmoncorout ſi conteſler Surl lIymon meſgat que lon vientdarreſ eu Aicaindre vautbeaucoup, mais ſi l’on conſidere Le ſaug de Clartmonde & le rang de ſenpere, On ne doit pas ſouffrir qu’il triompho d'vn bien Digne pluſtoſt d'vn Dieu que non pas d'eſtreſien.	Monarque redoutable Lrcusezmoncorout si contêler Surl lIymon mégat que lon vientdarres eu Aicaindre vautbeaucoup, mais si l'on considère Le saug de Clartonde et le rang de senpère, On ne doit pas souffrir qu'il triompho d'un bien Digne plutôt d'un Dieu que non pas d'estresien.
L'aſtue dout la ſplendeur donne le iour aumonde, Ne void rienſouhele Ciel d'eſgal a Clarimonde, Cecheſ ll'œaure des Dieux, ce merueilleunoblo l Merite vn Souuenain & non pas vn ſubiecí.	L'astue dout la splendeur donne le jour aumonde, Ne voit riensouhele Ciel d'égal a Clarimonde, Ceches l'œaure des Dieux, ce merveilleunoblo l Érite un Souuenain et non pas un subiecí.
mjeny memeiſtnt grand Prince, & qu’on n’eſperc Que la mort de la fille auec celle du pere.	méjeni memeistnt grand Prince, et qu'on n'esperc Que la mort de la fille avec celle du père.
Deuant qu’elle s’abbaiſſe à ſouffrir vn party Ou ſon illuſtre ſang puiſſe eſtre dementy.	Devant qu'elle s'abaisse à souffrir un parti Ou son illustre sang puisse être démenti.
ALMAZAN.	ÀLMAZAN.
A quel plus grand party pourroit elle s’attendre, Que de rauoiron ſceptre & d’eſpouſer Alcandre?	À quel plus grand parti pourrait -elle s'attendre, Que de ravoiron sceptre et d'épouser Alcandre?
Sçaches que C’antmmonde eſclaue comme ell eſt Doibt ployer ſoubs le ioug de iout ce qui me plaiſt.	Saches que C'antmonde esclave comme elle est Daibt ployer soups le jougt de jougt ce qui me plaît.
Monbras & les malheurs dont ell’eſt pourſuiuie, Ont mis en mon pouuoir & ſa mort & ſa vie, Ma ſeule volonte luy doibt ſeruir de loy, Ei jenetenon jan matne urpena uede may.	Monbras et les malheurs dont elle a poursuivie, Ont mis en mon pouvoir et sa mort et sa vie, Ma seule volonté aux doibt servir de loi, Éi jeneton jan matne urpena uede may.
MEL IDOR.	MEL IDOR.
Ouy, mais de ce pouuoir que ſon malheur vous donne N’vſer pas comme il faut, bleße voſtre couronne, Enfin ell’est Princeſſe, & pour vn ſang Royal Alc.	Oui, mais de ce pouvoir que son malheur vous donne N'user pas comme il faut, blesie votre couronne, Enfin él'est Princesse, et pour un sang Royal Alc.
indre eſt vnparty ce me ſemble ineſgal	indre est unparti ce me semble inégal
ALMAZAN Certain de ſon courage, & de ma bienueillance, Il peut plus haut encor porter ſon eſperance, Ceſſe d'en murmurer, & ne le blaſme point, Si letiltre de Prince a ſa vertu n’eſt ioint, uu dijperentcemnente mefemutu ott aa petife, Car sil ne l’est de ſang, il en a le merite.	ÀLMAZAN Certain de son courage, et de ma bienveillance, Il peut plus haut encor porter son espérance, Cesse d'en murmurer, et ne le blâme point, Si letitre de Prince à sa vertu n'est joint, u dijpérentcemnente mefemutu ôtait a petife, Car sil ne 'est de sang, il en a le mérite.
Mais Sire, MELIDOR.	Mais Sire, MELIDOR.
ALMAZAN.	ÀLMAZAN.
C’eſt aſſez, le ſort en eſt ietté.	C'est assez, le sort en est jeté.
En cela ſes deſirs reglent ma volonté, Et ie veux qu’auiourd huy ceſt hymen s'accompliſſe Qu'on ne m'en parle plus 2 i	En cela ses désirs règlent ma volonté, Et tu veux qu'aujourd ' en hymen s'accomplisse Qu'on ne m'en parle plus 2 y
MELIDOR.	MELIDOR.
O Ciel quelle iniuſtice!	Ô Ciel quelle injustice!
Mais auant que ſouffrir ce deſplaiſinmortel, Mon cœur allons tenter le hazaid dvn cartel, Allons mettre la plume & le feren vſage, Clarimonde ſçaura ce que peut mon courage, Et le R.	Mais avant que souffrir ce déplaisinmortel, Mon cœur allons tenter le hasaid dvn cartel, Allons mettre la plume et le seren usage, Clarimonde sçaura ce que peut mon courage, Et le R.
y pourra voir decider a ſes yeux Qui d’Alcandre ou de moy la merite le mieux.	y pourra voir décider à ses yeux Qui d'Alcandre ou de moi la mérite le mieux.
Toute-fois ce deſſein me paroit impoßiéle, Le Prince pour Alcandre eſt vn peu trop ſenſible:	Toute-fois ce dessein me parait impossiéle, Le Prince pour Alcandre est un peu trop sensible:
Si ie veux eſtouffer ce Monftre qui me nuit, Il le faut attaquer ſans teſmoins & ſansbruit.	Si grande veux étouffer ce Monftre qui me nuit, Il le faut attaquer sans témoins et sansbruit.
Fin du premier Acte	Fin du premier Acte
ACTE II SCENE TREMIERE CLARIMONDE, ALCANDRE, LYDIANE.	ACTE II SCÈNE TREMIERE CLARIMONDE, ALCANDRE, LYDIANE.
2 CLARIMONDE V me trõpes Alcandre en tenãt ce langage.	2 CLARIMONDE V me troupes Alcandre en tenants ce langage.
Ous’il faut que i’eſpere vn ſi grand auanεαηηα tage, Scaches que le deſtin ne m'eſteuebien haut, Que pour me voir tomber den plus ponible ſaut.	Ous'il faut que j'espère un si grand auanεαηηα tage, Scaches que le destin ne m'éteuebien haut, Que pour me voir tomber den plus ponible saut.
De mon Aſtre malin la fatale influence Nallumant mes deſirs eſteint mon eſperance, Le Dieu qui le regit ſe mocque de mes vœux, El fait ce qui lu y plaiſt non pas ce que ie veux.	De mon Être malin la fatale influence Nallumant mes désirs éteint mon espérance, Le Dieu qui le régit se moque de mes vœux, Él fait ce qui lu y plaît non pas ce que je veux.
A LCANDRE.	À LCANDRE.
Ce Dieu dont vous parlez amelli parmes larmes N a plus pour nous troubler de colere ny darmes, Mes pleurs ont deſtourné les traits de ſoncourroux Et ie n'ay deſormais acombattre que vous.	Ce Dieu dont vous parlez amelli parmes larmes N a plus pour nous troubler de colère ici darmes, Mes pleurs ont détourné les traits de soncourroux Et quelque n'ai désormais acombattre que vous.
Ie ſcay que pour le ſang dont le Ciel vous ſit naiſtre Quand de tout l’untuers ie me rendrois le maiſtre, Ie ſerois vn obiect indigne d’eſperer La gloire ou mes deſirs me forcent d’aſpirer;	Je sais que pour le sang dont le Ciel vous sit naître Quand de tout l'untuers te me rendrais le maître, Je serais un objet indigne d'espérer La gloire ou mes désirs me forcent d'aspirer;
Mais l’amour & la mort eſgalent tout le monde, Si ce Dieu qui me bleſſe a bleſſe Clarimonde, Cet obſtacle faſcheux ſe verra ſurmonté, Ou par voſtre infortune, ou par voſtre bonté:	Mais l'amour et la mort égalent tout le monde, Si ce Dieu qui me blesse a blesse Clarimonde, Cet obstacle fâcheux se verra surmonté, Ou par votre infortune, ou par votre bonté:
Courez belle Princeſſe ou ma foy vous conuie, Vous eſtes auiourd’huy l’arbitre de ma vie, Aton ſort eſt dans vos mains, & mon contents ment No depend de ſormais que d’vn mot ſeulement	Courez belle Princesse ou ma foi vous convie, Vous êtes aujourd'hui l'arbitre de ma vie, Aton sort est dans vos mains, et mon contents ment No dépend de sormais que d'un mot seulement
CLARIMONDE.	CLARIMONDE.
Helas las-tu beſoin du ſecours de ma bouche Pour ſcauoir a quel point ton intereſt me touche!	Hélas las-tu besoin du secours de ma bouche Pour savoir à quel point ton intérêt me touche!
Tes deſirs ſont les miens, tu le ſçais, tu le vois, Et mon cœurpar mes yeux te l’a dit mille fois.	Tes désirs sont les miens, tu le sais, tu le vois, Et mon cœurpar mes yeux te l'a dit mille fois.
Pourquoy donc auiourd huy veux tu que ie t’exprime L'excés de mon amour ou pluſtot de mon crime ?	Pourquoi donc aujourd' exprime tu veux que sans t'exprime L'excès de mon amour ou plutôt de mon crime ?
Et que dansce moment mon ſeu teſoit cogneu Par vnmot que la honte a touſiours retenu?	Et que dansée moment mon seu tesait connu Par vnmot que la honte a toujours retenu?
Et bien, puis qu’il le faut, & que c'eſt pour ta gloire, Eſcoute en ce ſeul mot l’arreſt de ta victoire.	Et bien, puis qu'il le faut, et que c'est pour ta gloire, Écoute en ce seul mot l'arrêt de ta victoire.
