LESSAT DES IEIRCED.	LÉSÂT DES IEIRCÉD.
Que ne vous rendez vous Madame la begueulle, eſt-ce qu'un maly comſe moy eſt à refuſer.	Que ne vous rendez vous Madame la begueulle, est-ce qu'un malis compse moi est à refuser.
COLOMBINE.	COLOMBINE.
Je voudrois bien étre mariée, mais je ne voudrois pas aller à l’armée.	Je voudrais bien être mariée, mais je ne voudrais pas aller à l'armée.
ARLEQUIN.	ARLEQUIN.
He bien l’armée vous viendra voir.	He bien l'armée vous viendra voir.
LE DCCIEOI.	LE DCIEOI.
Je ne crois pas étre mort, il m’a pourtant bleſſé, cependant je ne ſens point de mal.	Je ne crois pas être mort, il m'a pourtant blessé, cependant je ne sens point de mal.
SPINETIE.	SPINETIE.
Pourquoy avoir peur il eſt honneſte homme.	Pourquoi avoir peur il est honnête homme.
LE BCCIEOR Si il n’avoit pas deja tué ſes zo hommes où en eſtois-je, & ce qui me fait enrager c’eſt qu’il ſe moque de toy.	LE BCIEOR Si il n'avait pas déjà tué ses zo hommes où en étais-je, et ce qui me fait enrager c'est qu'il se moque de toi.
SPINETTE.	SPINETTE.
He bien laiſſés-moy eſpouſer Mezetin, & qu’au moins je puiſſe étre une fois mariée.	He bien laissez-moi épouser Mezetin, et qu'au moins je puisse être une fois mariée.
leLEsella Croyez moy chargez-Iuy un mary fur les eſpaules, quand les filles ſe ſont mis quelque choſe en teſte tous les diables du Chaſteau de biceſtre ne leur oſteroient pas.	leLEsella Croyez moi chargez-Iui un mari fur les épaules, quand les filles se sont mis quelque chose en tête tous les diables du Château de bicêtre ne leur ôteraient pas.
LE DOCTEUR.	LE DOCTEUR.
Mais Mezetin je croyois que ce ſeroit ton Maître qui eſpouſeroit ma fille.	Mais Mezetin je croyais que ce serait ton Maître qui épouserait ma fille.
MEZETIN.	MEZETIN.
Luy, & moy ſont la méme choſe, vous ignorés les manieres des gens de qualité, quand les Rois ſe marient ils envoyent un Ambaſladeur épouſer pour eux, & moy je repreſente non Maître.	Lui, et moi sont la même chose, vous ignorez les manières des gens de qualité, quand les Rois se marient ils envoient un Ambasladeur épouser pour eux, et moi je représente non Maître.
AReHHQVIN.	AReHHQVIN.
l’en ris tout mon ſqu.	l'en ris tout mon squ.
LE DOCIEUR.	LE DOCIEUR.
Mais encor.	Mais encor.
ARLEQUIN.	ARLEQUIN.
Je dis que la voila bien pourveüe, mais parde eu un coup de louet memporte le Cavtaliér, & que la vache, & le viau ne reſte au Docteur.	Je dis que la voilà bien pourveüe, mais parde eu un coup de louet memporte le Cavtaliér, et que la vache, et le viau ne reste au Docteur.
LE DOCTEUR.	LE DOCTEUR.
J’arnigué je ne le croit pas, Mezetin m’en tépond.	J'arnigué je ne le croit pas, Mezetin m'en tépond.
MEZETIN.	MEZETIN.
Pour cela ouy je ſuis preſt de vous en répondre devant toute la terre faite moy la venir.	Pour cela oui je suis prêt de vous en répondre devant toute la terre faite moi la venir.
ARLEQUIN.	ARLEQUIN.
Où eſt le Notaire pour paſſer le contrat de mariage.	Où est le Notaire pour passer le contrat de mariage.
MEZETIN.	MEZETIN.
Helas où en ſerions-nous, ſi en pareilles occaſions on ne ſe fioit pas ſur nôtre parole, les progrez que nous ferions en amour fetoient bien petits, il fuffit que je l’eſpouſe.	Hélas où en serions-nous, si en pareilles occasions on ne se fiait pas sur notre parole, les progrès que nous ferions en amour fétaient bien petits, il fuffit que je l'épouse.
ARLEQUIN chante Tout rit tout chante dans ces jours heureux, Souvent il enſuit d’autres qui ſont plus malheureux, Les Oiſeaux ne reſpirent que le retour dis printemps, Spinette tu dois ſouhaiter que l’hiver dure long temps.	ARLEQUIN chante Tout rit tout chante dans ces jours heureux, Souvent il ensuit d'autres qui sont plus malheureux, Les Oiseaux ne respirent que le retour dis printemps, Spinette tu dois souhaiter que l'hiver dure long longtemps.
MEZETIN.	MEZETIN.
Ne nous embarraſſons des choſes advenir, En les attendant il faut nous divertir.	Ne nous embarrassons des choses advenir, En les attendant il faut nous divertir.
IN.	IN.
