ARG MENT DE LATRAGICOMEDIE.	ARG MENT DE LATRAGICOMEDIE.
C’eſt trop, c’eſt trop tardé, qu’il meure le meſchant, Sus, bourreau, qu’on l’empoigne, & d’vn glaiue trenEntonche le paue de ſa coulpable teste.	C'est trop, c'est trop tardé, qu'il meure le méchant, Sus, bourreau, qu'on l'empoigne, et d'un glaigne trenntonche le pave de sa coulpable tête.
E chant	E chant
Le bourreau.	Le bourreau.
Deſpouillez ce pourpoint, ça viſte qu’on s’apreste De ſouffrir le tourment condigne à ton forfait.	Dépouillez ce pourpoint, ça vite qu'on s'apprête De souffrir le tourment condigne à ton forfait.
Thomas.	Thomas.
O quel valet de chambre!	Ô quel valet de chambre!
ô Dieu quel vent il fait!	ô Dieu quel vent il fait!
Fabrice.	Fabrice.
Grand Dieu l’obſeruateur des affaires mondaines, Fidelle ſcrutateur des penſees humaines, Là genoux Iuge ou dernier reſſort qui ſieds aux Parlemens, Qui entres aux conſeils, qui vois les iugemens, Puis que mon innocence à toy ſeul eſt cogneuë, Et qu’en ce iour le iour s’eclypſe de ma veuë, Ayez pitié de moy, permettez pere doux, Que ie meure en moy meſme afin de viure à vous, Ie ne crain point la mort, puis que l’ame immortelle Trouue en la mort du corps vne vie eternelle, Ie veux, ie veux mourir, pourueu mon Dieu, pourueu Qu’auiourd’huy mon eſpe it en vos mains ſoit reçeu.	Grand Dieu l'observateur des affaires mondaines, Fidèle scrutateur des pense humaines, Là genoux Juge ou dernier ressort qui sièds aux Parlements, Qui entres aux conseils, qui vois les jugements, Puis que mon innocence à toi seul est connue, Et qu'en ce jour le jour s'eclypse de ma vue, Ayez pitié de moi, permettez père doux, Que avoir meure en moi -même afin de vivre à vous, Je ne crain point la mort, puis que l'âme immortelle Trouve en la mort du corps une vie éternelle, Je veux, ie veux mourir, pourvu mon Dieu, pourvu Dauiourd’huy mon espe en ur m soit reçeu.
Obelle & ſaincte mort!	Obelle et sainte mort!
puis que par toy ie change La terre pour le ciel, la honte à la louange, Le tourment au plaiſir, & la peine au repos Mais toy meſchante femme, excrement du chaos, L’horreur de l’horreur meſme:	puis que par toi ie change La terre pour le ciel, la honte à la louange, Le tourment au plaisir, et la peine au repos Mais toi méchante femme, excrément du chaos, L'horreur de l'horreur même:
impudique maraſtre Penſes-tu qu’à ma mort ton eſprit idolastre Des ſales voluptez, ſe reſſente allegé?	impudique marâtre Penses-tu qu'à ma mort ton esprit idolâtre Des sales voluptés, se ressente allégé?
Non, celuy qui le droit de Suſanne à vangé Qui du chaſte Ioſeph fit voir la continence Me vangera de toy:	Non, celui qui le droit de Susanne à vengé Qui du chaste Joseph fit voir la continence Me vengera de toi:
& vous peſleuſe engeange Miſerable teſmoins, qui vos ames vendez, Et qui du ciel exclus vos portions perdez Pour vn bien periſſable, ah langues mentereſſes, Ne craignez vous que Dieu de ſes mains vangereſſes Vous aille punißant?	et vous pêleuse engeange Misérable témoins, qui vos âmes vendez, Et qui du ciel exclus vos portions perdez Pour un bien périssable, ah langues menteresses, Ne craignez vous que Dieu de ses mains vengeresses Vous aille punissant?
mais mais c’est trop arreſté, Amy fay ton deuoir, ià le ciel dilaté Iend à me receuoir.	mais mais c'est trop arrêté, Ami fais ton devoir, ià le ciel dilaté Iend à me recevoir.
Le Medecin.	Le Médecin.
Faites ſaincte iustice, Arrestez promptement cét iniuste ſupplice, Est-ce ainſi que deueZ la balance tenir?	Faites sainte justice, Arrêtez promptement cet injuste supplice, Est-ce ainsi que devez la balance tenir?
Voulez-vous l’innocent pour le fauteur punir?	Voulez-vous l'innocent pour le fauteur punir?
Ct que le veux prouuer, pourueu que l’aßiſtance Donne à mes vrays propos vn paiſible ſilence.	Ct que le veux prouver, pourvu que l'assistance Donne à mes vrais propos un paisible silence.
Le Iuge.	Le Juge.
ParleZ donc hardiment, toy ſupercede außi, Iuſques à tant quelle-ait noſtre doubte eſclarci.	Parlez donc hardiment, toi superce aussi, Jusqu' à tant quelle-ait notre doute éclarci.
Le Medecin.	Le Médecin.
Meßieurs vous cognoiſſez ſi depuis ma naiſſance I’ay touſiours cheminé au ſentier d’innocence, Si ie ſuis veritable, & ſi de vostre part Ie fus onc ſindiqué de faillir en mon art, Arbitres ie vous fay du progreZ de ma vie, Et ſi de quelque vice elle fut onc ſuiuie, TeneZ moy pour ſuſpect, & ne me croyeZ pas, Mais ſi à la vertu i’ay dirigé mes pas, Mon diſcours treſcertain ne reuoqueZ en doute, SçacheZ donc que ce traiſtre en qui malice toute.	Messieurs vous connaissez si depuis ma naissance J'ai toujours cheminé au sentier d'innocence, Si ie suis véritable, et si de votre part Je fus onc syndiqué de faillir en mon art, Arbitres se vous fais du progrès de ma vie, Et si de quelque vice elle fut onc suivie, TeneZ moi pour suspect, et ne me crois pas, Mais si à la vertu j'ai dirigé mes pas, Mon discours trescertain ne révoquez en doute, SçacheZ donc que ce traître en qui malice toute.
Pullule abondamment, harſoir en ma maiſon Demanda pour Madame vn violent poiſon, Et penſant par argent mon courage corrompre, Cent eſcus que voila tout à l’heure il me monstre, Moy craignant que quelqu'vn par cét or alleché Ne commiſt indiſcret cét enorme peché, Au lieu d'vn fort poiſon ie deliure à cét homme Vn ſuc opilatif qui prouoque le ſomme, Tel que le mandragore, ou le pſille mugueux, L’oppium corrigé, & le pauot viſqueux, Et pour mieux confirmer mon dire veritable, Deſſus le ſouple corps d’vne cire traitable Que ie fils distiller au bort de ce ſachet Voyez-y engraué le naïf du cachet, Que ce maraut encor en l’vn de ſes doigts porte,	Pullule abondamment, harsoir en ma maison Demanda pour Madame un violent poison, Et pensant par argent mon courage corrompre, Cent écus que voila tout à l'heure il me montre, Moi craignant que quelqu'un par cet or alleché Ne commît indiscret en énorme péché, Au lieu d'un fort poison esprit délivre à cet homme Un sujet opilatif qui provoque le somme, Tel que le mandragore, ou le paysille mugueux, L'oppium corrigé, et le pauot visqueux, Et pour mieux confirmer mon dire véritable, Dé le souple corps d cire traitable Que ie fils distiller au bort de ce sachet Voyez-y engraué le naïf du cachet, Que ce maraut encor en de ses doigts porte'
Approche done, Le Iuge.	Approche donce, Le Juge.
Thomas.	Thomas.
Monſieur, le grand diable m'emporte, S’il dit la verité, ah!	Monsieur, le grand diable m'emporte, S'il dit la vérité, ah!
ne le croyez pas, Il me prend pour vn autre, adieu pauure Thomas, Helas tu es perdu!	ne le croyez pas, Il me prend pour un autre, adieu pauvre Thomas, Hélas tu es perdu!
qui maintenant ie meure Si ie ſçay qu’el il est, ny quelle eſt ſa demeure.	qui maintenant beau meure Si ici sais qu'elle il est, ni quelle est sa demeure.
Le Medecin.	Le Médecin.
Ce n’est encor aſſez, s’il vous plaiſt tranſporter Au ſepulchre, où le corps d’Anthoine on fit porter, Ayant fait reueiller ſon ame apeſantie Du ſommeil pareſſeux qui la tient aſopie, Vous ſçaureZ de ſa voix comme tout s’eſt paßé, Et le cruel autheur du crime pour penſé.	Ce n'est encor assez, s'il vous plaît transporter Au sépulcre, où le corps d'Anthoine on fit porter, Ayant fait réveiller son âme apantie Du sommeil paresseux qui la tient asopie, Vous saurez de sa voix comme tout s'est passé, Et le cruel auteur du crime pour pensé.
Le Iuge.	Le Juge.
I’aprouue ce conſeil, allons & que de chaines Ces trois ſoyent garroteZils ſouffriront les peines Deuës à leur forfait, ha femme, fauſſe foy!	J'approuve ce conseil, allons et que de chaines Ces trois soient garrotezils souffriront les peines Deues à leur forfait, ha femme, fausse foi!
Implacable furie, ha cruelle!	Implacable furie, ha cruelle!
pourquoy A ce pauure innocent trouuois-tu cét encombre?	pourquoi À ce pauvre innocent trouvais-tu cet encombre?
Le Medecin.	Le Médecin.
C’’eſt icy tirez le de ceſte foſſe ſombre, Ces deux temples premier de cẽt onguent i’oindray Auisuuns ja voutne encor ceste edu reſpandray, Là ſes mobiles yeux dilatent leur paupiere.	Ç'est ici tirez le de cette fosse sombre, Ces deux temples premier de cent onguent j'oindrai Avis ja voutne encor cette édu répandrai, Là ses mobiles yeux dilatent leur paupière.
Anthoine.	Anthoine.
Qui fait que derechef ie perçoy la lumiere?	Qui fait que derechef ici perçais la lumière?
Quels phantoſmes trompeurs abuſent mes eſprits?	Quels phantômes trompeurs abusent mes esprits?
Hé quoy ne viens-ie pas du ſtigieux pourpris?	Hé quoi ne viens-je pas du stigieux pourpris?
Du craſſeux nautonnier n’ay-ie paßé la barque?	Du crasseux nautonnier n'ai-je passé la barque?
1ii le encores fentyte cixedu de laparque?	1i le encor fentyte cixédu de laparque?
Dieux ie tremble de peur, où vont ces gens icy?	Dieux , tremble de peur, où vont ces gens ici?
Pourquoy mes chers parens lamentez vous ainſi?	Pourquoi mes chers parents lamentez vous ainsi?
Le Iuge.	Le Juge.
Mon enfant ne crains point, arme toy de cour age Contre nous ſeulement, quel ſiniſtre breuuage Fit couler le ſommeil au centre de tes os?	Mon enfant ne crains point, arme toi de cour age Contre nous seulement, quel sinistre brevage Fit couler le sommeil au centre de tes os?
Marfilie.	Marfilie.
Laiſſez Meßieurs laiſſez cét enfant en repos, C’eſt moy, helas!	Laissez Messieurs laissez cet enfant en repos, C'est moi, hélas!
c’eſt moy, qui ſuis ſeulle coupable, Ie ſuis le ſeul agent de ce crime execrable, Amour en fut la cauſe, amour non pas amour Ains vn cruel demon de l’infernal ſeiour, Vne horrible megere, vne alecte cruelle, Qui faiſoit diſtiller au fonds de ma moüelle Le venin corrompu de ſes noirs couleureaux, Fit germer dans mon ſein mille petits bourreaux, Qui portoient cauteleux des amours laliurée, Si bien que du depuis par ſes pipeurs pipée, Foulant aux pieds l’honneur, limen, la chaſteté, Folle i’idolatrois la venuste beauté, De Fabrice innocent, dont la chaſte poictrine, Rebouchant tous les traicts du mol fils de Cypriue Ne voulut onc iamais s’enflamer de mon feu:	c'est moi, qui suis seulle coupable, Je suis le seul agent de ce crime exécrable, Amour en fut la cause, amour non pas amour Ains un cruel démon de l'infernal seiour, horrible mégère, une alecte cruelle, Qui faisait distiller au fonds de ma moule Le venin corrompu de ses noirs couleureaux, Fit germer dans mon sein mille petits bourreaux, Qui portaient cauteleux des amours laliurée, Si bien que du depuis par ses pipeurs pipée, Foulant aux pieds l'honneur, limen, la chasteté' Folle idolatrois la vénusté ur, De L' innocent, dont la chaste ur, Fo tous les traicts du mol j'de Cypriue Ne voulut onc ais la de mon lu:
De là vint que la hayne, accroiſſant peu à peu, Fit ce lubrique amour debuſquer de ſa place, Et puis pour me vanger tout ce mal-heur ie brace Faites moy donc ſouffrir mille torturemens, Inuentez mal ſur mal, tourmens deßus tourmens, Douleurs deſſus douleurs, ſuplices ſur ſuplices, Expiez iuſtement les horreurs de mes vices, Et ne foudroyez pas de voſtre œil courroucé Ces pauures ſeruiteurs qui n’ont point offencé.	De là vint que la haine, accroissant peu à peu, Fit ce lubrique amour débusquer de sa place, Et puis pour me venger tout ce malheur ie homme Faites moi donc souffrir mille torturements, Inuentez mal sur mal, tourments dessus tourmens, Douleurs dessus douleurs, suplices sur surplices, Expiez justement les horreurs de mes vices, Et ne foudroyez pas de votre œil courroucé Ces pauures serviteurs qui n'ont point offensé.
Le luges N’ont-ils pas recelé ton embuſche traiſtreſſe?	Le luges N'ont-ils pas recélé ton embûche traîtresse?
Marfilie.	Marfilie.
Las ils penſoyent ſauuer la vie à leur maiſtreſſe.	Las ils pensaient sauver la vie à leur maîtresse.
Le luge.	Le luge.
Iu jmntts instrumens de ta meſchanceté.	Ju jmntts instruments de ta méchanceté.
Marfilie.	Marfilie.
Sans qu’ils furent forcez ils ne l’euſſent eſté.	Sans qu'ils furent forcés ils ne l'eussent été.
Le Iuge.	Le Juge.
Deuoyent-ils adherer à ta meſchante enuie?	Devaient-ils adhérer à ta méchante envie?
Marfilie.	Marfilie.
Pour ſon maiſtre le ſerf doit expoſer ſa vie.	Pour son maître le serf doit exposer sa vie.
Le Iuge.	Le Juge.
On n’est point obligé d’executer vn mal, Oſtez la moy d’icy, que ce monstre infernal A iamais exilé auec ſes deux complices, Aille au gouffre d’Æthna trouuer ſes malefices, SequestreZ, arrachez ceſte peſie de nous, Et que Fabrice ſoit dés maintenant abſous.	On n'est point obligé d'exécuter un mal, Êtez la moi d'ici, que ce monstre infernal A jamais exilé avec ses deux complices, Aille au gouffre d’Æthna trouver ses maléfices, SequestreZ, arrachez cette pesie de nous, Et que Fabrice soit dès maintenant absous.
Thomas.	Thomas.
Adieu cuiſine, adieu, adieu graſſes marmites, Adieu broches, landiez, cueillers & lechefrites, Adieu douces vapeurs qui des pots s’exalloyent, Alors qu’au pres du feu par boüillons ſauteloyent, Adieu petits paſtez, adieu mainte verrée, De vin qui distilloit ſur ma langue alterée, Adieu, Thomas s’en va dedans vn bois reclus, Ou par eſtre trop ſaoul il ne pettera plus.	Adieu cuisine, adieu, adieu grâces marmites, Adieu broches, landiez, cueillers et lèchefrites, Adieu douces vapeurs qui des pots s'exallaient, Alors qu'au pres du feu par bannons sautelaient, Adieu petits pâtez, adieu te verrée, De vin qui distillait sur ma langue altérée, Adieu, Thomas s'en va dedans un bois reclus, Ou par être trop saoul il ne a plus.
Fabrice.	Fabrice.
Seigneur que tes ſecrets ſont cachez à nos yeux, N’agueres ie ſeruois de blanc à la fortune, Et n’ayant offencé les hommes & les Cieux, Les hommes & les Cieux tramoyent mon infortune.	Seigneur que tes secrets sont cachés à nos yeux, N'aguères avoir servais de blanc à la fortune, Et n'ayant offensé les hommes et les Cieux, Les hommes et les Cieux tramaient mon infortune.
Pour auoir ô mon Dieu chastement rebouché Les traits enſorcelez d’vne femme impudique, Comme ſi i’euſſe eſté tout pollu de peché, I’alloy ſubir l’effet d’vne ſentence inique.	Pour avoir ô mon Dieu chastement rebouché Les traits ensorcelez d'une femme impudique, Comme si j'eusse été tout pollu de péché, J'allais su jet d'une sentence inique.
Mais ainſi qu’au matin le ſolaire flambeau Dißipe les broüillards aux rais de ſon viſage, Tu mas ſauué, Seigneur, du lugubre Tombe aucnaſſant l'eſpeſſe nuict de ieur faux teſmoignage.	Mais ainsi qu'au matin le solaire flambeau Dipe les brouillards aux rais de son visage, Tu mas sauvé, Seigneur, du lugubre Tombe aucnassant l'épesse nuit de jeur faux témoignage.
Car toy voyant des Cieux l’arreſt de ces humains, Auancer de mes iours le periode extreſme, Tu as pris tout le droit de ma cauſe en tes mains, Et pour mieux la gaigner tu as plaidé toy meſme.	Car toi voyant des Cieux l'arrêt de ces humains, Avancer de mes jours le période extrême, Tu as pris tout le droit de ma cause en tes mains, Et pour mieux la gagner tu as plaidé toi -même.
Außi ie ne veux eſlre ingrat de ces bien faits, I’en veux la recompenſe ores faire paroiſtre, Helas!	Aussi ici ne veux eslre ingrat de ces bien faits, J'en veux la récompense ores faire paraître, Hélas!
pardonne moy, ie ploye ſous le faix, Le fini ne peut pas l’infiny recognoiſtre.	pardonne -moi, rien ploie sous le faix, Le fini ne peut pas l'infini reconnaître.
Supplée donc, mon Dieu, ſuplée à mon defaut, Et ſi chantant le los de ta toute puiſſance, I’ay trop baſſe la voix pour vn ſubiet ſi haut, Accuſe ta grandeur, & mon impuiſſance.	Supplée donc, mon Dieu, suplée à mon défaut, Et si chant le los de ta toute puissance, J'ai trop basse la voix pour un sujet si haut, Accuse ta grandeur, et mon impuissance.
Fin de la Tragi-comedie.	Fin de la Tragi-comédie.
