A MONSEIGNEUR MONSEIGNEUR LE CARDINAL DUC E RICHELIEU.	À MONSEIGNEUR MONSEIGNEUR LE CARDINAL DUC E RICHELIEU.
Ie rencontray Valere Et contre ſa couſtume il ne me pût déplaire, Il me parla d’amour ſans me donner d’ennuy, Ie ne m’apperceus pas que ie parlois à luy, Ie ne luy pûs monſtrer de meſpris ny de glace, Tout ce que ie voyois me ſembloit Curiace, Tout ce qu’on me diſoit me parloit de ſes feux, Tout ce que ie diſois l’aſſeuroit de mes vœux.	Je rencontrai Valère Et contre sa coutume il ne me put déplaire, Il me parla d'amour sans me donner d'ennui, Je ne m'aperçus pas que sans parlais à Seigneur, Je ne lui pûs montrer de mépris ni de glace, Tout ce que sans voyais me semblait Curiace, Tout ce qu'on me disait me parlait de ses feux, Tout ce que je disais l'assurait de mes vœux.
Le combat general auiourd’huy ſe hazarde, I’en ſceus hier la nouuelle, & ie n’y pris pas garde, Mon eſprit reiettoit ces funeſtes obiets Charmé des doux penſers d’Hymen & de la paix.	Le combat général aujourd'hui se hasarde, J'en su hier la nôtre, et un n'y pris pas garde, Mon esprit rejettait ces funestes objets Charmé des doux pensers d'Hymen et de la paix.
La nuict a diſſipé des erreurs ſi charmantes, Mille ſonges affreux, mille images ſanglantes, Ou pluſtoſt mille amas de carnage & d’horreur M’ont arraché ma ioye & rendu ma terreur.	La nuit a dissipé des erreurs si charmantes, Mille songes affreux, mille images sanglantes, Ou plutôt mille amas de carnage et d'horreur M'ont arraché ma joie et rendu ma terreur.
I’ay veu du ſang, des morts, & n’ay rien veu de falte, Vn ſpectre en paroiſſant prenoit ſoudain la fuite, lis s'enaçoient l’vn l’autre, & chaque illuſion Redoubloit mon effroy par ſa confuſion.	J'ai vu du sang, des morts, et n'ai rien vu de falte, Un spectre en paraissant prenait soudain la fuite, lis s'enaçoient l 'autre, et chaque illusion Rédoublait mon effroi par sa confusion.
VLIE.	VLIE.
C’eſt en contraire ſens qu’vn ſonge s'hiterprete.	C'est en contraire sens qu'un songe s'hiterprète.
CAMILLE.	CAMILLE.
le le don cront ami puis que le le ſouhaite, Mais ie me trouue en fin malgré tous me ſouhaits Au jour d’vne bataille, & non pas d’vne paix.	le le don cront ami puis que le le souhaite, Mais tu me trouve en fin malgré tous me souhaits Au jour d'une bataille, et non pas d'une paix.
IVLIE.	IVLIE.
Par là finit la guerre, & la paix luy ſuccede.	Par là finit la guerre, et la paix Seigneur succède.
CAMILLE.	CAMILLE.
Dure à iamais le mal s’il y faut ce reméde!	Dure à jamais le mal s'il y faut ce reméde!
Soit que Rome y ſuccomoe, ou qu'Aibe ait le deſ4 ſous, Cher Cher amant n’attend plus d’eſtre vn iour mon eſpous, (ſomme) Mon cœur (quelque grand feu qui pour toy le conNe veut ny le vainqueur, ny l’eſclaue de Rome.	Soit que Rome y succommo, ou qu'Aibe ait le des4 sous, Cher Cher amant n'attend plus d'être un jour mon épous, (somme) Mon cœur (quelque grand feu qui pour toi le conNe veut ni le vainqueur, ni l'esclave de Rome.
Mais quel obiet nouueau ſe preſente en ces lieux?	Mais quel objet nouveau se présente en ces lieux?
Eſt-ce toy Curiace?	Est-ce toi Curiace?
en cronay-le mes yeux?	en cronai-le mes yeux?
SCENE III.	SCÈNE III.
CVRIACE, CAMILLE, IVLIE.	CURICE, CAMILLE, IVLIE.
I CVRIACE.	I CURICE.
’En doutés point, Camille, & reuoyés vn homme Qui n’eſt ny le vainqueur, ny l’eſclaue de Rome:	Ç'En doutés point, Camille, et revoyez un homme Qui n'est ni le vainqueur, Seigneur l'esclaue de Rome:
Ceſſés p’aprehender de voir rougit mes mains Du poids honteux des fers ou du ſang des Romains, I’ay creu que vous aymiez aſſés Rome & la gloire Pour meſpriſer ma chaiſne & hayr ma victoire, Et comme eſgalement en cette extremité Ie craignois la victoire & la captiuité.	Cessez p'appréhender de voir rougit mes mains Du poids honteux des fers ou du sang des Romains, J'ai cru que vous aimiez assez Rome et la gloire Pour mépriser ma chaîne et haïr ma victoire, Et comme également en cette extrémité Je craignais la victoire et la captivité.
CAMILLE.	CAMILLE.
Curiace, il ſuffit, ie deuine le reſte, Tu fuis vne batille à tes vœus ſi funeſte.	Curiace, il suffit, Seigneur devine le reste, Tu fuis quelque batille à tes vœus si funeste.
Et ton cœur tout à moy pour ne me perdre pas Deſrobe à ton pays le ſecours de ton bras Qu’vn autre conſidere icy ta renommée, Et te blaſme s’il veut de m’auoir trop aymée, Ce n’eſt point à Camille à t’en mes-eſtimer, Plus ton amour paroiſt, plus elle doit t’aymer, Et ſi tu dois beaucoup aux lieux qui t’ont veu naiſtre, Plus tu quittes pour moy, plus tu le fais paroiſtre, Mais as-tu veu mon pere, & peut-il endurer Qu’ainſi dans ſa maiſon tu t’oſes retirer?	Et ton cœur tout à moi pour ne me perdre pas Desrobe à ton pays le secours de ton bras Qu'un autre considère ici ta renommée, Et te blâme s'il veut de m'avoir trop aimée, Ce n'est point à Camille à t'en mes-estimer, Plus ton amour paraît, plus elle doit t'aimer, Et si tu dois beaucoup aux lieux qui t'ont vu naître, Plus tu quittes pour moi, plus tu le fais paroistre, Mais as-tu vu mon père, et peut-il endurer Qu'ainsi dans sa maison tu oses retirer?
Ne prefere-t’il point l’Eſtat à ſa famille?	Ne préfère-t-il point l'État à sa famille?
Ne regarde t’il point Rome plus que ſa fille?	Ne regarde t'il point Rome plus que sa fille?
En fin noſtre bon heur eſt-il bien affermy?	En fin notre bon heur est-il bien affermi?
my?	mi?
Latnveu comme geudre ou bien comme enne	Latneu comme geudre ou bien comme enne
CVRIACE.	CURICE.
Il m’a veu comme gendre auec vne tendreſſe, Qui teſmoignoit aſſez vne entiere allegreſſe, Mais il ne m’a point veu par vne trahiſon Indigne de l’honneur d’entter dans ſa maiſon.	Il m'a vu comme gendre auectaît tendresse, Qui témoignait assez entière allégresse, Mais il ne m'a point vu par une trahison Indigne de l'honneur d'entter dans sa maison.
Ie n’abandonne point l’intereſt de ma ville, I'ayme encor mon honneur en adorant Camille;	Je n'abandonne point l'intérêt de ma ville, J'aime encor mon honneur en adorant Camille;
Tant qu’a duré la guerre on m’a veu conſtamment Auſſi bon citoyen comme fidelle amant.	Tant qu'a duré la guerre on m'a vu constamment Aussi bon citoyen comme fidèle amant.
D’Albe auec mon amour l’accordois la querelle, Ie ſouſpirois pour vous en combatant pour elle;	D'Albe avec mon amour l'accordais la querelle, Je soupirais pour vous en combattant pour elle;
Et s’il falloit encor que l’on en vint aux coups Ie combatrois pour elle en ſouſpirant pour vous.	Et s'il fallait encor que l'on en vint aux coups Je combatrais pour elle en soupirant pour vous.
Ouy, malgré les deſirs de mon ame charmée, Si la guerre duroit ie ſerois dans l’armée:	Oui, malgré les désirs de mon âme charmée, Si la guerre durait ici serais dans l'armée:
cés, C’eſt la paix qui chez vous me donne vn libre acLa paix à qui nos feux doiuent ce beau ſuccés.	cez, C'est la paix qui chez vous me donne un libre acLa paix à qui nos feux doivent ce beau succès.
CAMILLE.	CAMILLE.
La paix!	La paix!
& le moyen de croire vn tel miracle?	et le moyen de croire un tel miracle?
TVLIE.	TULIE.
Camille pour le moins croyez en voſtre oracle.	Camille pour le moins croyez en votre oracle.
Et ſçachons pleinement par quels heureux effets L’heure d’vne bataille a produit cette paix.	Et sachons pleinement par quels heureux effets L'heure d'une bataille a produit cette paix.
CVRIACE.	CURICE.
mées Dieux, qui l’euſt iamais creu!	mens Dieux, qui l'eût jamais cru!
Deſia les deux arD’vne eſgale chaleur au combat animées Se menaçoient des yeux, & marchant fierement N’attendoient pour donner que le cõmandement, Quand noſtre Dictateur deuant les rangs s’avance, Demande à voſtre Prince vn moment de ſilence, Et l’ayant obtenu.	Déjà les deux arD'une égale chaleur au combat animées Se menaçaient des yeux, et marchant fièrement N'attendaient pour donner que le commandement, Quand notre Dictateur devant les rangs s'avance, Demande à votre Prince un moment de silence, Et l'ayant obtenu.
Que faiſons-nous, Romains, Dit-il, & quel Demon nous fait venir aux mains?	Que faisons-nous, Romains, Dit-il, et quel Démon nous fait venir aux mains?
souffrons que la ranor eſelanle en ſin nos aines, Nous	souffrons que la ranor eselanle en sin nos aines, Nous
Nous ſommes vos voiſins, nos filles ſont vos femmes.	Nous sommes vos voisins, nos filles sont vos femmes.
nœuds Et l’Hymen nous a ioints par tant & tant de Qu’il eſt peu de nos fils qui ne ſoient vos neueux.	nœuds Et l'Hymen nous a joints par tant et tant de Qu'il est peu de nos fils qui ne soient vos neueux.
Nous ne ſommes qu’vn ſang, & qu’vn peuple en deux villes, Pourquoy nous deichirer par des guerres civiles, Où la mort des vaincus affoiblit les vainqueurs.	Nous ne sommes qu'Hommes sang, et qu'un peuple en deux villes, Pourquoi nous deichirer par des guerres civiles, Où la mort des vaincus affaiblit les vainqueurs.
Et le plus beau triomphe eſt arrouſé de pleurs?	Et le plus beau triomphe est arrousé de pleurs?
Nos ennemis communs attendent auec joye Qu'vn des partis deffait leur dõne l’autre en proye, Laſſé, demy rõpu, vainqueur, mais pour tout fruit Deſnué d’vn ſecours par luy meſme deſtruit.	Nos Ennemis communs attendent avec joie Qu'un des partis défait leur donné l'autre en proie, Lassé, demi répu, vainqueur, mais pour tout fruit Desnué d'autre secours par un même détruit.
Ils ont aſſes long temps ioüy de nos diuorces, Cõtre eux doreſnauant ioignons toutes nos forces Et noyons dans l’oubly ces petits differents Qui de ſi bons guerriers font de mauuais parents.	Ils ont asses long temps ioüy de nos divorces, Comtre eux dorénavant joignons toutes nos forces Et noyons dans l'oubli ces petits différents Qui de si bons guerriers font de mauvais parents.
Que ſi l’ambition de commander aux autres (ſtres, Fait marcher auiourd’huy vos troupes & les noPourueu qu’à moins de ſang nous voulions l’appaiſer, Elle nous vnira loin de nous diuiſer.	Que si l'ambition de commander aux autres (stres, Fait marcher aujourd'hui vos troupes et les noPourvu qu'à moins de sang nous voulions l'apaiser, Elle nous unira loin de nous diviser.
Nommons des combatans pour la cauſe cõmune, Que chaque peuple aux ſiens atrache ſa fortune, Et ſuiuant ce que d’eux ordonnera le ſort, Que le party plus foible obëiſſe au plus fort:	Nommons des combattants pour la cause commune, Que chaque peuple aux siens atrache sa fortune, Et suivant ce que d'eux ordonnera le sort, Que le parti plus faible obéisse au plus fort:
Mais ſans indignité pour des guerriers ſi braues, Qu’ils deuiennent fuiets ſans deuenir eſclaues, Sans honte, ſans tribur, & ſans autte rigeur, (queur.	Mais sans indignité pour des guerriers si braves, Qu'ils deviennent fuits sans devenir esclaues, Sans honte, sans tribur, et sans autte rigeur, (queur.
Que de ſuiure en tous lieux les drapeaux du vainIiinini nes deux Eſtats ne feront qu’vn Fmpire.	Que de suivre en tous lieux les drapeaux du vainIiini nés deux États ne feront qu'un Fmpire.
A ces mots il ſe taiſt, d’aiſe chacun fouſpire, Chacun iettant les yeux dans vn rang ennemy Recognoiſt vn beauftere, vn couſin, vn amy, Ils s’eſtonnent comment leurs mains de ſang auides Voloient ſans y penſer à tant de parricides, Et font paroiſtre vn front couuert tout à là fois D’horreur pour la bataille, & d’ardeur pour ce choix.	À ces mots il se taît, d'aise chacun fouspire, Chacun jetant les yeux dans un rang ennemi Recognoist un beauftère, un cousin, un ami, Ils s'étonnent comment leurs mains de sang avides Volaient sans y penser à tant de parricides, Et font paraître front couvert tout à là fois D'horreur pour la bataille, et d'ardeur pour ce choix.
En fin l’offre s’accepte, & la paix deſirée Sous ces conditions eſt auſſi-toſt iurée, (choiſir Trois combatront pour tous, mais pour les mieux Nos chefs ont voulu prendre vn peu plus de loiſir, Le voſtre eſt au Senat, le noſtre dans ſa tente.	En fin l'offre s'accepte, et la paix désirée Sous ces conditions est aussitôt jurée, (choisir Trois combattront pour tous, mais pour les mieux Nos chefs ont voulu prendre un peu plus de loisir, Le vôtre est au Sénat, le vôtre dans sa tente.
CAMILLE.	CAMILLE.
O Dieux, que ce diſcours rend mon ame contente!	Ô Dieux, que ce discours rend mon âme contente!
CVRIACE.	CURICE.
Dans deux heures au plus par vn commun accord Le ſort de nos guerriers reglera noſtre ſort, Cependant tout eſt libre attendant qu’on les nomme, (Rome, Rome eſt dans noſtre camp, & noſtre câmp dans D’vn & d’autre coſté l’accés eſtant permis Chacun va renouër auec ſes vieux amis Pour moy, ma Paſſion m’a fait ſuiure vos freres.	Dans deux heures au plus par un commun accord Le sort de nos guerriers réglera notre sort, Cependant tout est libre attendant qu'on les nomme, (Rome, Rome est dans notre camp, et notre câmp dans D'un et d'autre côté l'accès étant permis Chacun va renouer avec ses vieux amis Pour moi, ma Passion m'a fait suivre vos frères.
Et mes deſirs ont eu des ſuceeq ieproiperes, Que l’autheur de vos iours m’a promis à demain ubon neul lais pareiſ de vous donner la maiſl.	Et mes désirs ont eu des suçéeq ieproiperes, Que l'auteur de vos jours m'a promis à demain bon neul ais pareis de vous donner la maîl.
Vous ne deuiendrez pas rebelle à ſa puiſſance?	Vous ne deviendrez pas rebelle à sa puissance?
CAMILLE.	CAMILLE.
Le deuoir d’vne fille eſt en l’obeiſſance.	Le devoir d'une fille est en l'obéissance.
CVRIACE.	CURICE.
Venes donc receuoir ce doux commandement Qui doit mettre le comble à mon contentement.	Venes donc recevoir ce doux commandement Qui doit mettre le comble à mon contentement.
CAMILLE.	CAMILLE.
Ie vay ſuiure vos pas, mais pour reuoir mes freres, Et ſçavoir d’eux encor la fin de nos miſeres.	Je vais suivre vos pas, mais pour revoir mes frères, Et savoir d'eux encor la fin de nos misères.
IVLIE.	IVLIE.
Allés, & cependant au pied de nos autels I’iray rendre pour vous graces aux immortels.	Allez, et cependant au pied de nos autels J'irai rendre pour vous grâces aux immortels.
Fin du premier Acte.	Fin du premier Acte.
1.	1.
i.	y.
ACTE	ACTE
TRAGEDIE.	TRAGÉDIE.
ACTE II.	ACTE II.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
HORACE, CVRTACE.	HORACE, CURTACE.
CVRIACE.	CURICE.
Inſi Rome n’a point ſeparé ſon eſtime, Elle euſt creu faire ailleurs vn choix illegitime, (vous Cette ſuperbe ville en vos freres & Trouue les trois guerriers qu’elle prefere à tous, Et ne nous oppoſant d’autres bras que les voſtres D’vne ſeule maiſon braue toutes les noſtres:	Insi Rome n'a point séparé son estime, Elle eût cru faire ailleurs un choix illégitime, (vous Cette superbe ville en vos frères et Trouve les trois guerriers qu'elle préfère à tous, Et ne nous opposant d'autres bras que les vôtres D'une seule maison brave toutes les nôtres:
Nous croitons, la voyant toute entiere en vos mains, (mains:	Nous croitons, la voyant toute entière en vos mains, (mains:
Que hors les fils d’Horace il n’eſt point de RoCe choix pouuoit combler trois familles de gloire, Conſacrer hautement leurs noms à la memoire, Ouy, l’honneur que reçoit la voſtre par ce choix En pouuoit à bon tiltre immortaliſer trois, Et puiſque c’eſt chez vous que mon heur & ma flame M’ont faict placer ma ſœur, & choiſir vne femme, Ce que ie vous dois eſtre & ce que ie vous ſuis Me font y prendre part autant que ie le puis.	Que hors les fils d'Horace il n'est point de RoCe choix pouvait combler trois familles de gloire, Consacrer hautement leurs noms à la mémoire, Oui, l'honneur que reçoit la vôtre par ce choix En pouvait à bon titre immortaliser trois, Et puisque c'est chez vous que mon heur et ma flamme M'ont fait placer ma sœur, et choisir une femme, Ce que je vous dois être et ce que ie vous suis Me font y prendre part autant que ie le puis.
