A MADAMOISELLE DE BOVRBON.	À MADAMOISELLE DE BOURBON.
Poſſible eſtimez vous que le Prince des ſonges Change ce que les Roys oyent en des menſonges, Ou que ce beau Soleil qui brille dans les cieux Ne leur donne le iour que pour tromper leurs yeux.	Possible estimez -vous que le Prince des songes Change ce que les Rois aient en des mensonges, Ou que ce beau Soleil qui brille dans les cieux Ne leur donne le jour que pour tromper leurs yeux.
Non, ie ſçay que ce feu paſſe iuſqu’à l’extreme, Que vous l’aymez deſia bien plus qu’il ne vous ayme!	Non, Seigneur sais que ce feu passe jusqu'à l'extrême, Que vous l'aimez déjà bien plus qu'il ne vous aime!
O fille ſans raiſon, que ce peu de reſpect Donne de ton honneur vn iugement ſuſpect!	Ô fille sans raison, que ce peu de respect Donne de ton honneur un jugement suspect!
Dieux!	Dieux!
veillez qu’à ce mal plus de mal-heur n’arriue, Et qu'apres ce forfait vn plus grand ne s’enſuiue.	veillez qu'à ce mal plus de malheur n'arrive, Et qu'après ce forfait un plus grand ne s'ensuive.
Aymer mon ennemy!	Aimer mon ennemi!
dont le pere autrefois Meſpriſant ma Couronne aneantit mes Loix, Qui me voulut oſter du Thrône de mes peres, Apres auoir chaſſé d’vn bon-heur ſes miſeres, Aymer mon ennemy, dont l’ingrate maiſon Ne reüſſit iamais que dans la trahiſon, I'ayme mieux t’arracher le cœur hors des entrailles, Et commettre à des Ours tes noires funerailles.	dont le père autrefois Méprisant ma Couronne anéantit mes Lois, Qui me voulut ôter du Thrône de mes pères, Apres avoir chassé d'un bonheur ses misères, Aimer mon ennemi, dont l'ingrate maison Ne réussit jamais que dans la trahison, J'aime mieux t'arracher le cœur hors des entrailles, Et commettre à des Ours tes noires funérailles.
Trop brutale Princeſſe, indigne de ce nom, Dont la flâme deſtruit l’Empire du renom:	Trop brutale Princesse, indigne de ce nom, Dont la flamme détruit l'Empire du renom:
Tu deſmordras bien toſt ſi ie te fais apprendre Euonueul qut iu me nt e que iu me dois rendre.	Tu démordras bien tôt si tu te fais apprendre Euonveul qu' eut ju m e nô iu me dois rendre.
VRANIE.	VRANIE.
Helas!	Hélas!
tout eſt perdu, il n’en faut plus douter.	tout est perdu, il n'en faut plus douter.
Il s’en va furieux ſans vouloir m’eſcouter, I’ay leu deſſus ſon front pendant ceſte menace, La haine, le deſdain, la fureur, la diſgrace, Prince trop inhumain!	Il s'en va furieux sans vouloir m'écouter, J'ai lu dessus son front pendant cette menace, La haine, le dédain, la fureur, la disgrâce, Prince trop inhumain!
pere ſans amitié, Plus vuide de douceur qu’vn tygre de pitié, N’eſpere deſormais de ta fille Vranie Que les fruicts de ta rage & de ta tyranie?	père sans amitié, Plus vid de douceur qu'un tigré de pitié, N'espère désormais de ta fille Vranie Que les fruits de ta rage et de ta tyranie?
Ie ſçay quel eſt vn pere, & cognois ſon pouuoir, De qui la qualité demande le deuoir:	Je sais quel est un père, et connais son pouvoir, De qui la qualité demande le devoir:
Mais on ne peut preuuer ſans erreur & ſans blâme Qu’il poſſede aucun droict deſſus les droicts de l’ame.	Mais on ne peut preuuer sans erreur et sans blâme Qu'il possède aucun droit dessus les droits de l'âme.
Les Dieux tant ſeulement par des pouuoirs plus forts Ont vn Empire egal ſur l’ame & ſur le corps;	Les Dieux tant seulement par des pouvoirs plus forts Ont un Empire égal sur l'âme et sur le corps;
Et l’amour comme enfant n’entend pas cét vſage, De reſpecter les lieux, le temps, le parentage, Tout eſt indiferent à l’effort de ſes traits, C’eſt vn diuin Soleil de qui tout ſent les rais:	Et l'amour comme enfant n'entend pas cet usage, De respecter les lieux, le temps, le parentage, Tout est indiférent à l'effort de ses traits, C'est un divin Soleil de qui tout sent les rais:
Du moins mon cher amy ſi l’aymable Genie, A qui le Ciel commet l’heur de ta compagnie, Que le Deſtin fiſt Dieu pour auoir ſoin de toy, A tous les iours celuy de te monſtrer ma foy, Que ie viuray contente au milieu des trauerſes, et que i'auray de biens dans mes peines diuerſes!	Du moins mon cher ami si l'aimable Génie, À qui le Ciel commet l'heur de ta compagnie, Que le Destin fît Dieu pour avoir soin de toi, À tous les jours celui de te montrer ma foi, Que je vivrai contente au milieu des traverses, et que j'aurai de biens dans mes peines diverses!
SCENE II.	SCÈNE II.
MELANTE, TERSANGE, ALCANDRE.	MELANTE, TERSANGE, ALCANDRE.
MELANTE.	MELANTE.
T Reuuez quelque moyen qui puiſſe diuertir I L’agreable poiſon qu’il commence à ſentir, De moy ie cognois bien que l’auis d’vne femme Ne peut rien emporter deſſus ceſte ieune ame;	 Reuuez quelque moyen qui puisse divertir I J'agréable poison qu'il commence à sentir, De moi -même connais bien que l'avis d'une femme Ne peut rien emporter dessus cette jeune âme;
L’eſtrange paſſion qui le bruſle touſiours Ne gouſte qu’à regret mes importuns diſcours, l’Amour ſemble au palmier que la valeur careſſe, Qui s’eſleue plus haut lors que plus on le preſſe, Poſſible, que ſçait-on, vos puiſſantes raiſons Gaigneront plus ſur luy que toutes les ſaiſons;	L'étrange passion qui le brûle toujours Ne goûte qu'à regret mes importuns discours, l'Amour semble au palmier que la valeur caresse, Qui s'élève plus haut lors que plus on le presse, Possible, que sait-on, vos puissantes raisons Gagneront plus sur lui que notre les saisons;
Ie ſçay comme il vous ayme, & de quelle loüange Il ſçait auantager le genereux Terſange, Dites luy qu’il ſe pert en voulant s’embarquer, Qu'vn grand rocher attend ſa nef pour la choquer;	Je sais comme il vous aime, et de quelle lange Il sait avantager le généreux Tersange, Dites-même qu'il se pert en voulant s'embarquer, Qu'un grand rocher attend sa nef pour la choquer;
Faites luy voir encor qu'en ſa melancolie Sa plus grande ſageſſe eſt plus qu’vne folie;	Faites lui -moi encore qu'en sa mélancolie Sa plus grande sagesse est plus qu'une folie;
Qu’il treuue ſon débris penſant treuuer le port, Et qu’en cherchant l’Amour il treuuera la mort.	Qu'il trouvera la débris pensant trouver le port, Et qu'en cherchant l'Amour il trouva la mort.
Idolatrer ainſi la fille d’vn barbare?	Idolâtrer ainsi la fille d'un barbare?
Bien qu'elle ait dans ſes yeux quelque choſe derare, -- - Que ſon bon naturel ſoit aſſez inocent, Et qu’elle prenne part aux ennuis qu’il reſſent, Quand ie viens à penſer qu’elle eſt fille d’vn pere Qui n’a rien de l’humain, ie meurs, ie deſeſpere, Non que ie veuille auſſi l'empeſcher d’eſtre Amant, Sçachant qu’il eſt d’vn bois propre à ce feu charmant, Et que ce petit Dieu, Prince de la ieuneſſe, Meſme entre les plus vieux poſſede vn droit d’aineſſe;	Bien qu'elle ait dans ses yeux quelque chose derare, --là Que son bon naturel soit assez inocent, Et qu'elle prenne part aux ennuis qu'il ressent, Quand tu viens à penser qu'elle est fille d'un père Qui n'a rien de l'humain, tu meurs, sans désespère, Non que ie veuille aussi l'empêcher d'être Amant, Scachant qu'il est d'un bois propre à ce feu mant, Et que ce petit Dieu, Prince de la jeunesse, Même entre les plus vieux possède d' elle daînesse;
Que nature pour plaire à ce petit vainqueur, Naiſſant nous dõne Amour ſous la forme d’vn cœur.	Que nature pour plaire à ce petit vainqueur, Naissant nous donne Amour sous la forme d'un cœur.
Voſtre prudence aura le ſoin de cét affaire;	Votre prudence aura le soin de cet affaire;
TERSANGE.	TERSANGE.
I'auray bien de la peine à l'en pouuoir diſtraire:	J'aurai bien de la peine à l'en pouvoir distraire:
Madame aſſeurez vous que ce ieune ſeigneur Qui met dans ſes tourmens l’excez deſon bon heur, Perdra le ſouuenir du Ciel & de luy meſme Pour conſeruer celuy de la beauté qu’il ayme;	Madame assurez vous que ce jeune seigneur Qui met dans ses tourments l'excès des bon heur, Perdra le souvenir du Ciel et de lui mesme Pour conserver celui de la beauté qu'il aime;
Puis n’eſt-ce pas errer que de vouloir guerir Vn malade orgueilleux qui ſe plaiſt à ſouffrir, Qui ne vit que d’aymer, le deſſein de l’enuie,  L’en peut-il diuertir qu’en finiſſant ſa vie?	Puis n'est-ce pas errer que de vouloir guérir Un malade orgueilleux qui se plaît à souffrir, Qui ne vit que d'aimer, le dessein de l'envie, L'en peut-il divertir qu'en finissant sa vie?
De plus Ceſle Vranie a certes des appas Qui font que les amours s’en vont ſuiuant ſes pas.	De plus Césle Vranie a certes des appas Qui font que les amours s'en vont suivant ses pas.
Vous ſçauez bien qu’elle eſt l’eſpoir de la Phrigie, Eſtant petite fille à ce grand Origie, Qui iadis deſroba tous les traits du mal-heur, Et porta ſon courage à vaincre la valeur.	Vous savez bien qu'elle est l'espoir de la Phrigie, Étant petite fille à ce grand Origie, Qui jadis déroba tous les traits du malheur, Et porta son courage à vaincre la valeur.
De moy i'appreuue fort que le Prince ſouſpire Auet ceſte beaute le charme d'vn Empire.	De moi j'approuve fort que le Prince soupire Auet cette beauté le charme d'un Empire.
MELANTE.	MELANTE.
Mais fille d’vn cruel, dont les crimes errans Luy cherchent vne place au nombre des Tyrans, Qui recele en ſon cœur plus d’horribles carnages Que les rocs d’Heleſpont ne cauſent de naufrages, Lequel comme dijou te tres-age Damon Poſſede vn cœur de femme & l’ame d’vn Demon.	Mais fille d'un cruel, dont les crimes errants Lui cherchent une place au nombre des Tyrans, Qui recele en son cœur plus d'horribles carnages Que les rocs d'Helespont ne causent de naufrages, Lequel comme dijou te trèsage Damon Possède un cœur de femme et l'âme d'un Démon.
TERSANGE.	TERSANGE.
Ie cognois bien, Madame, autant qu’il m’eſt poſſible Que c’eſt auec raiſon que vous eſtes ſenſible Aux outrages diuers que Licandre a commis, Tant enuers vos eſtats que contre vos amis;	Je connais bien, Madame, autant qu'il m'est possible Que c'est avec raison que vous êtes sensible Aux outrages divers que Licandre a commis, Tant envers vos états que contre vos amis;
Que parmy les eſlans de ſes rudes atteintes La voix de la raiſon ſe plaignoit par vos plaintes.	Que parmi les élans de ses rudes atteintes La voix de la raison se plaignait par vos plaintes.
Mais tout incontinent que ie viens à penſer A ce qu’vn meſme dard les vient outrepercer, A quelle fin l'Amour en la mort ſe preſerue, Que dans l’inimitié l’amitié ſe conſerue, Comme des enuieux naiſt l’eſclat de la Cour, Que l’Hyuer fait l’Eſté, l’obcurité le iour, Ie dis que le deſtin pour vous oſter de peine, Veut qu’à ce coup l’Amour triomphe de la haine, Et penſe que le Ciel n’a verſé dans leur ſein Tous ſes feux amoureux ſans quelque grand deſſein:	Mais tout incontinent que ainsi viens à penser À ce qu'H mesme dard les vient outrepercer, A quelle fin l'Amour en la mort se preserve, Que dans l'inimitié l'amitié se conserve, Comme des envieux naît l'éclat de la Cour, Que l'Hiver fait l'Été, l'obcurité le jour, Je dis que le destin pour vous ôter de peine, Veut qu'à ce coup l'Amour triomphe de la haine, Et pense que le Ciel n'a versé dans leur sein Tint ses feux amoureux sans quelque grand dessein:
Mais d’où peut prouenir ce grand coup de tonnerre, C’eſt de l’inimitié du Ciel & de la terre;	Mais d'où peut prouvenir ce grand coup de tonnerre, C'est de l'inimitié du Ciel et de la terre;
Bons Dieux!	Bons Dieux!
elle fremit & ne ſubſiſte pas, L’image de la mort ſe peint deſſous mes pas, Le Soleil a perdu ce feu qui nous eſclaire A fin de ne voir pas le Ciel en ſa colere, Sans pluyes & ſans vents l’orage ſuruenu Semble nous menacer d’vn deſaſt re incognu.	elle frémit et ne subsiste pas, L'image de la mort se peint dessous mes pas, Le Soleil a perdu ce feu qui nous éclaire A fin de ne voir pas le Ciel en sa colère, Sans pluies et sans vents l'orage survenu Semble nous menacer d'un des dé connu.
Les Dieux aſſemblent ils encor leurs heritages, Se deliberent ils à de nouueaux partages!	Les Dieux assemblent ils encor leurs héritages, De délibèrent ils à de nouveaux partages!
D’où viennent ces Demons!	D'où viennent ces Demons!
ces importuns ſuiuants, Ces fantoſmes hideux, & ces Larues de vents?	ces importuns suivants, Ces fantômes hideux, et ces Larues de vents?
Comme ils vont murmurãt, voyez cõme ils paſliſſent, Deſia d’eſtonnement mes ſentimens fremißent;	Comme ils vont murmurants, voyez cõme ils pâlissent, Déjà d'étonnement mes sentiments frémissent;
Rentrez dans vos cachots eſprits priuez de corps, On n’a que faire icy du langage des morts!	Rentrez dans vos cachots esprits privés de corps, On n'a que faire ici du langage des morts!
Mais quel eſt ce vieillard qui ſortant d’vne flâme Apas lents & comptez approche de Madame?	Mais quel est ce vieillard qui sortant d'une flamme Apas lents et comptez approche de Madame?
Pourquoy l’enfume-t’il d'vne noire vapeur?	Pourquoi l'enfume-t-il d'une noire vapeur?
Helas!	Hélas!
mes ſentimens ſont tous glacez de peur, Et crains fort en voyant la Princeſſe en la ſorte Que cette ombre entretienne vne perſonne morte.	mes sentiments sont tous glacés de peur, Et crains fort en voyant la Princesse en la sorte Que cette ombre entretienne une personne morte.
ALCANDRE.	ÀLCANDRE.
Eſprits qui m’aſſiſtez en mes enchantements, Qui donnez tous vos ſoins à mes contentements, Portez ceſte Princeſſe au creux de la cauerne, Et qu’vn chacun de vous entre apres en ce cerne;	Esprits qui m'assistés en mes enchantements, Qui donnez tous vos soins à mes contentements, Portez cette Princesse au ciel de la caverne, Et qu'un chacun de vous entre après en ce cerne;
Il eſt temps de chaſſer cét aſſoupiſſement Pour luy faire eſcouter mon aduertiſſement.	Il est temps de chasser cet assoupissement Pour lui faire écouter mon avertissement.
TERSANGE.	TERSANGE.
Porter dans les enfers vne perſonne viue.	Porter dans les enfers une personne vive.
ALCANDRE.	ÀLCANDRE.
Melante, eſcoute moy d’vne oreille attentiue, Ne trauerſe ton fils en ſon affection, Que les Cieux veulent mettre en ſa perfection:	Mélante, écoute moi d'une oreille attentive, Ne traverse ton fils en son affection, Que les Cieux veulent mettre en sa perfection:
Mais il ne gouſtera de voluptez certaines Qu’apres beaucoup d’ennuis, d’accidents & de peines;	Mais il ne goûtera de volupté certaines Qu'après beaucoup d'ennuis, d'accidents et de peines;
