NCTEVRS.	NCTEURS.
ou vos bontez!	ou vos bontés!
Oüy oüy, ie la perdray cette ingrate que i’aime, Pluſtoſt que vos bontez & pluſtoſt que moy meſme.	Oui oui, ie la perdrai cette ingrate que j'aime, Plutôt que vos bontés et plutôt que moi -même.
Dorothée eſt ſon nom, tout proche eſt ſon logis.	Dorothée est son nom, tout proche est son logis.
Amour, pardonne moy, c’eſt pour toy que i’agis.	Amour, pardonne -moi, c'est pour toi que j'agis.
APRICE.	APPRICE.
Il ne faut pas pour l’heure en ſçauoir dauantage, Nous ſçaurons bien tantoſt quel ſera ſon courage.	Il ne faut pas pour l'heure en savoir davantage, Nous saurons bien tantôt quel sera son courage.
E vous ſçaureZ vous meſme à peu de temps d’icy Ce que ie puis pour vous & pour nos Dieux auſſi.	E vous saurez -vous même à peu de temps d'ici Ce que je puis pour vous et pour nos Dieux aussi.
SCENE IV.	SCÈNE IV.
CHRISTINE.	CHRISTINE.
CAEISIE.	CAEISIE.
ATRICE.	ATRICE.
* Q CHRISTINE.	* Q CHRISTINE.
Voy que ie ſois ialouſe autant que malheu-* En reuſe, Ie n’en dois par pourtant eſtre moins genereuſe.	Vois que ici sois jalouse autant que malheu-* En reuse, Je n'en dois par pourtant être moins généreuse.
Seigneur, eſcoute icy la voix de la douceur, Pluſtoſt que d’eſcouter cette cruelle ſœur.	Seigneur, écoute ici la voix de la douceur, Plutôt que d'écouter cette cruelle sœur.
CALISTE.	CALISTE.
Eſcoute, cher Amant, la voix de la Iuſtice, Pluſtoſt que cette lache & ſotte Protectrice.	Écoute, cher Amant, la voix de la Justice, Plutôt que cette lèche et sotte Protectrice.
Sçache.	Sache.
CHRISTINE,	CHRISTINE,
APRICE.	APPRICE.
Lenez vous donc.	Lenez vous donc.
CALISTE.	CALISTE.
Hé!	Hé!
ne l’eſcoute plus, Et que ſur l’amitié l’amour ait le deſſns.	ne l'écoute plus, Et que sur l'amitié l'amour ait le dessns.
APRICE.	APPRICE.
Les Dieux & l’Empereur, l’amour & la Iuſtice.	Les Dieux et l'Empereur, l'amour et la Justice.
Me rendent inciuil pour leur rendre ſernice.	Me rendent incivil pour leur rendre sernice.
Madame excuſez moy.	Madame excusez -moi.
* ie vay vous obeïr;	* ici vais vous obéir;
L’on ſraura vous aimer, ou ie ſtauray haïr.	L'on sraura vous aimer, ou ainsi staurai haïr.
SCE	SCE
6 DOROTHE'E TRAGEDIE.	6 DOROTHÉTHÉ TRAGÉDIE.
SCENE V.	SCÈNE V.
CHRISTEIEONLISIE.	CHRISTEIEONLISIE.
CHRISTINE.	CHRISTINE.
JA Tigreſſe, acheuer ta noire perfidie, VNe te contente pas qu’elle perde la vie, Va te deſalterer toy meſme de ſon ſang.	JA Tigresse, achever ta noire perfidie, VNe te contente pas qu'elle perde la vie, Va te désaltérer toi -même de son sang.
Ton Amant ou pluſtoſt ton miniſtre execrable, Tardera d’aſſouir ta rage deteſtable.	Ton Amant ou plutôt ton ministre exécrable, Tardera d'assouir ta rage détestable.
Eſpargne luy ce coup, taſche à l’y preuenir.	Épargne avait ce coup, tâche à l'y prévenir.
Sa maiſon n’eſt pas loin.	Sa maison n'est pas loin.
Qui peut te retenir?	Qui peut te retenir?
CALISTE.	CALISTE.
Arreſte, indigne ſœur & plus indigne Amante.	Arrête, indigne sœur et plus indigne Amante.
Hé!	Hé!
depuis quand de grace es-tu ſi violente?	depuis quand de grâce es-tu si violente?
Qui t’oblige à m’aigrir?	Qui t'oblige à m'aigrir?
Par quelle iniuſie loy Oſes-tu m’offenſer, lors que i’agis pour toy?	Par quelle injusie loi Oses-tu m'offenser, lors que j'agis pour toi?
Quelle aueugle fureur te pouſſe aux pieds d’Aprice, Pour me perdre au moment que ie te rends office?	Quelle aveugle fureur te pousse aux pieds d'Aprice, Pour me perdre au moment que Ne te rends office?
Et quel lache Demon te porte à m’inſulter Sur ce qu’en ta faueur ie viens d’executer?	Et quel lache Démon te porte à m'insulter Sur ce qu'en ta faveur ici viens d'exécuter?
Arreſte, indigne ſœur & plus indigne Amante?	Arrête, indigne sœur et plus indigne Amante?
Ou de ces lachetez ſi tu n'es pas contente, Ajouſte, ajouſtes-y quelque horrible ferfait Dont ton cœur criminel demeure ſatisfait.	Ou de ces lâcheté si tu n'es pas contente, Ajoute, ajoutes-y quelque horrible ferfait Dont ton cœur criminel demeure satisfait.
Mais non, puis qu’à ce point ce grand cœur ſe rauale, Qu’il le fait preferer à ta ſœur ta riuale, Fay plus pour elle encor, cede luy ton Amant, Va trauailler toy meſme à leur contentement.	Mais non, puis qu'à ce point ce grand cœur se ravale, Qu'il le fait préférer à ta sœur ta rivale, Fay plus pour elle encor, cède au ton Amant, Va travailler toi -même à leur contentement.
Va trop indigne ſœur & plus indigne Amante.	Va trop indigne sœur et plus indigne Amante.
Va, de leur paſſion rend toy la confidente.	Va, de leur passion rend toi la confidente.
CH	CH
CHRISTINE.	CHRISTINE.
Ne confond pas le vice auecque la vertu.	Ne confond pas le vice auecque la vertu.
Mon cœur eſt amoureux ſans en eſtre abatu, Et ma raiſon n’eſt pas tellement endormie, Que l’Amant criminel l’emporte ſur l’amie.	Mon cœur est amoureux sans en être abattu, Et ma raison n'est pas tellement endormie, Que l'Amant criminel l'emporte sur l'amie.
CALISTE.	CALISTE.
O ta bante verta at jouſpyir taenement.	Ô ta bante verta at joupir taenement.
Qu’vne orgueilleuſe amie ait gagnó ton Amant!	Qu'une orgueilleuse amie ait gagnés ton Amant!
CHRISTINE.	CHRISTINE.
Mais plus haute, de perdre vne amie trop belle, Afin de regagner un Amant infidelle!	Mais plus haute, de perdre une amie trop belle, Afin de regagner un Amant infidèle!
CALISTE.	CALISTE.
Ne feras-tu iamais, eſprit lache & ſans foy, Que de me reprocher ce que i’ay fait pour toy?	Ne feras-tu jamais, esprit lache et sans foi, Que de me reprocher ce que j'ai fait pour toi?
CHRISTTNE.	CHRISTTNE.
Ne feras-tu iamais, ame double & trompeuſe, Que de me rendre, helas!	Ne feras-tu jamais, âme double et trompeuse, Que de me rendre, hélas!
pariure ou malheureuſe?	parjure ou malheureuse?
ain d lo la Iay trop fait, i’ay trop fait, ingrate, pour ton bien.	ain du lo la Jay trop fait, j'ai trop fait, ingrate, pour ton bien.
ARDTINE.	ARDTINE.
Crimes & maux oſtez, va, ie ne te doy rien.	Crimes et maux ôtez, va, je ne te dois rien.
CALISTE.	CALISTE.
Camt paut uolejfeu replique à ton aiſnée.	Camt paut uolejeuf réplique à ton aînée.
CHRISTINE.	CHRISTINE.
le ien dois point anoir ponr une jorcence,	le yen dois point anoir ponr une jorcence,
CALISTE.	CALISTE.
Parle mieux inſolente.	Parle mieux insolente.
CHRISTINE.	CHRISTINE.
Inhumaine, agy mienx,	Inhumaine, agi mienx,
CALISTE.	CALISTE.
Digere icy ton fiel, ſonge à toy, ſonge aux Dieux.	Digère ici ton fiel, songe à toi, songe aux Dieux.
SCENE	SCÈNE
SCENE VI.	SCÈNE VI.
CHRISTINE ſeule.	CHRISTINE seule.
Eſtranges mouuemens mon ame eſt agitée!	Étranges mouvements mon âme est agitée!
D Ie ſens que la haine & l’amour Tfont dominer tour à tour Et Theophile & Dorothée.	D Je sens que la haine et l'amour Tfont dominer tour à tour Et Théophile et Dorothée.
L’amour que i’ay pour eux me les rend odieux;	L'amour que j'ai pour eux me les rend odieux;
Et par des effets incroyables, La haine que i’en ay les offrant à mes yeux Reciproquement plus aimables, Fait qu’en les haïſſant, ie les en aime mieux.	Et par des effets incroyables, La haine que j'en ai les offrant à mes yeux Reciproquement plus aimables, Fait qu'en les haïssant, elle les en aime mieux.
Oüy i’ayme Dorothée, oüy i’aime Theophile, Oüy ie hais également, Et cette amie & cet Amant M’eſprouuent & fiere & ſacile.	Oui j'aime Dorothée, oui j'aime Théophile, Ou ie hais également, Et cette amie et cet Amant M'éprouvent et fière et sacile.
Quand ie iette ſur l’vn des regards amoureux, L’autre n’en a que de colere :	Quand notre jette sur l'au des regards amoureux, L'autre n'en a que de colère :
Mon cœur en meſme tẽps trop doux, trop rigoureux, Trop pitoyable & trop ſeuere, Les voudroit voir enſemble heureux & malheureux.	Mon cœur en même temps trop doux, trop rigoureux, Trop pitoyable et trop sévère, Les voudrait voir ensemble heureux et malheureux.
Mais à de tels ſuccez ie ne ſçaurois pretendre:	Mais à de tels succès Qui ne saurais prétendre:
Dorothée m’ayant raui L’amant que i’auois aſſerui, Doit ou perir ou me le rendre.	Dorothée m'ayant ravi L'amant que j'avais asservi, Doit ou périr ou me le rendre.
Ha!	Ha!
non ce lache Amant m’ayant bien pû quitter Pour cette amie vn peutrop belle,	non ce lache Amant m'ayant bien pu quitter Pour cette amie un peutrop belle,
Ie ne dois plus ſur luy mesdeſirs arreſter;	Je ne dois plus sur Rome médesirs arrêter;
Luy ſeul doit m’eſprouuer cruelle, Et c’eſt contre luy ſeul que ie dois m’emporter.	Lui seul doit m'éprouver cruelle, Et c'est contre deux seul que je dois m'emporter.
Toute ffois il ne peut eſprouuer mieux ma rage, Qu’en voyant perir à ſes yeux L’objet aimable & gracieux, Qui pour moy l’a rendu volage.	Toute sois il ne peut éprouver mieux ma rage, Qu'en voyant périr à ses yeux L'objet aimable et gracieux, Qui pour moi l'a rendu volage.
Trop aueugle amitié, défere à ma fureur, Laiſſe immoler cette victime.	Trop aveugle amitié, défère à ma fureur, Laisse immoler cette victime.
Tu n’as plus de pouuoir, & ie n’ay plus de peur D’eſtre coûpable de ce crime, Qu'on doit n’attribuer qu’à ma cruelle ſœur.	Tu n'as plus de pouvoir, et notre n'ai plus de peur D'être coupable de ce crime, Qu'on doit n'attribuer qu'à ma cruelle sœur.
Ha Ti'en ſerois coûpable auſſi bien que complice!	Ha Ti'en serais coupable aussi bien que complice!
I'ay beau me flatter là deſſus.	J'ai beau me flatter là -dessus.
Haine, fureur, ie ne puis plus Vous écouter pour ſon ſupplice.	Haine, fureur, Madame ne puis plus Vous écouter pour son supplice.
L’amitié ſecouruë enfin de la vertu Remporte ſur vous la victoire.	L'amitié secourue enfin de la vertu Remporte sur vous la victoire.
muiobugue comte my?	muiobugue compte mi?
Mais, mon cœur, que veux-tu?	Mais, mon cœur, que veux-tu?
I'agis en cela pour ma gloire.	J'agis en cela pour ma gloire.
Je le dois, ie le veux, c’eſt aſſez combatu.	Je le dois, Seigneur le veux, c'est assez combattu.
NOTDII.	NOTDII.
CHRISTINE.	CHRISTINE.
CALISTE.	CALISTE.
ATEMODORE.	ATEMODORE.
THEOPHILE.	THÉOPHILE.
APRICE.	APPRICE.
DOROTHE’E.	DOROTHÉÉE.
SCENE I.	SCÈNE I.
CHRISTINE.	CHRISTINE.
CALISTE.	CALISTE.
CHRISTINE.	CHRISTINE.
Vy ie viens de le voir, ce lache Athemodore.	Vi ici viens de le voir, ce lâche Athémodore.
OQu’il tenoit ce portrait & s’eſcrioit encore:	OQu'il tenait ce portrait et s'écriait encore:
O portrait, qui rauis & l’eſprit & les ſens!	Ô portrait, qui ravis et l'esprit et les sens!
Qui pourroit reſiſter à tes traits tout puiſſans?	Qui pourrait résister à tes traits tout puissans?
Oùy ie ne doute point que Dorothée méme N'enuoye ce portrait à mon ingrat qu’elle aime;	Oùi ici ne doute point que Dorothée même N'envoie ce portrait à mon ingrat qu'elle aime;
Et que ce digne Agent de leur indigne amour, Penſant qu’il ſoit icy, n’y vienne faire vn tour, Soit qu’il l’ait eu deuant ou bien apres ſa priſe, Qu'elle cherche faueur ou qu’elle fauoriſe.	Et que ce digne Agent de leur indigne amour, Pensant qu'il soit ici, n'y vienne faire un tour, Soit qu'il l'ait eu devant ou bien après sa prise, Qu'elle cherche faveur ou qu'elle favorise.
Mais apres tout, ma ſœur, vn reſte de vertu Fait qu'encor de pitié mon cœur eſt combatu.	Mais après tout, ma sœur, un reste de vertu Fait qu'encor de pitié mon cœur est combattu.
CALISTE.	CALISTE.
Briſe ce mouuement pluſtoſt lache que tendre Par ce dernier forfait;	Brise ce mouvement plutôt lache que tendre Par ce dernier forfait;
mais allõs mieux l’apprẽdre.	mais allons mieux l'apprendre.
CALIS	CALIS
CHRISTINE.	CHRISTINE.
Helas!	Hélas!
qu’apprendrons-nous, qui dans vn tel malheur N'aggraus infiniment mon extreme douleur?	qu'apprendrons-nous, qui dans un tel malheur N'aggraus infiniment mon extrême douleur?
CALISTE.	CALISTE.
Eubuppronuronejan mnoms oiſteument leur crime, Et la vengence alors en ſera legitime.	Eubuppronuronejan ménoms oiteument leur crime, Et la vengence alors en sera légitime.
CHRISTINE.	CHRISTINE.
Lenr crime ſe voit trop pour mon affliction, Qui s’augmente pourtant de ſa punition.	Lenr crime se voit trop pour mon affliction, Qui s'augmente pourtant de sa punition.
CALISTE.	CALISTE.
Non non, quand ce forſait te ſera plus viſible, Elle en diminûra ſi tu n’es inſenſible.	Non non, quand ce forsait te sera plus visible, Elle en diminura si tu n'es insensible.
Mais voicy ce trompeur, qui ſera mon garant, Et mettra bien toſt fin à noſtre different.	Mais voici ce trompeur, qui sera mon garant, Et mettra bien tôt fin à notre différend.
SCENE II.	SCÈNE II.
ATHEMODORE.	ATHÉMODORE.
CALISTE.	CALISTE.
CHRISTINE.	CHRISTINE.
ATHEMODORE.	ATHÉMODORE.
D Jeu conduit bien mes pas!	DE Jeu conduit bien mes pas!
CABICIL.	CABICIL.
Hé bien, Athemodore, Digne agent de l’Amant que Dorothée adore, Tu vas bien l’obliger, ce glorieux Amant, Que de luy donner d’elle vn portrait ſi charmant.	Hé bien, Athémodore, Digne agent de l'Amant que Dorothée adore, Tu vas bien l'obliger, ce glorieux Amant, Que de lui donner d'elle un portrait si charmant.
ATHEMODORE.	ATHÉMODORE.
DétrompeZ vous, Madame, & ſçachez.	Détrompez -vous, Madame, et sachez.
CHRIS	CHRIS
pas.	pas.
CHRISTINE.	CHRISTINE.
* Ha!	* Ha!
le traiſtre!	le traître!
ATEMODORE.	ATEMODORE.
ourſui-* Que ce charmant portrait eſt celuy de mon Maiſtre, Que Dorothée enuoye à voſtre aimable ſœur.	oursui-* Que ce charmant portrait est celui de mon Maître, Que Dorothée envoie à votre aimable sœur.
OlMIO IB.	OlMIO IB.
Ie ne puis rien comprendre en ce diſcours trompeur.	Je ne puis rien comprendre en ce discours trompeur.
ATHEMODORE.	ATHÉMODORE.
Quelque trompeur qu’il ſemble, il eſt tres-venerable.	Quelque trompeur qu'il semble, il est très-vénérable.
CHRISTINE.	CHRISTINE.
Aotuormoninpaud eſt donc le ſeul coûpable.	Aotuormoninpaud est donc le seul coupable.
Ia nous menis:	Ia nous menis:
CALISTE.	CALISTE.
ATHEMODORE.	ATHÉMODORE.
Point du tout.	Point du tout.
CALISIE.	CALISIE.
Quoy, ce charmant portrait Eſt celuy de ton maiſtre?	Quoi, ce charmant portrait Est celui de ton maître?
MIMEMODORL.	MIMEMODORL.
Ouy, Madame, ce l’eſt.	Oui, Madame, ce l'est.
CALISTE.	CALISTE.
Et vient de Dorothée à ma ſœur?	Et vient de Dorothée à ma sœur?
ATHEMODORE.	ATHÉMODORE.
D’elle meſme.	D'elle même.
CALISTE.	CALISTE.
Elle hait donc ton Maiſtre?	Elle hait donc ton Maître?
ATHEMODORE.	ATHÉMODORE.
Au contraire elle l’aime, Et parce qu'elle l’aime & l'aime auec ardeur, Elle luy fait offrir ſon portraït & ſon cœur.	Au contraire elle l'aime, Et parce qu'elle l'aime et l'aime avec ardeur, Elle avait fait offrir son portraït et son cœur.
Ie vous aurois deſia preſenté l’vn & l’autre, Si tantoſt en venant de ſon logis au voſtre.	Je vous aurais déjà présenté l'un et l'autre, Si tantôt en venant de son logis au vôtre.
Ie n’euſſe prez d’icy rencontré le Prefet, Qui m’a fait par ſon ordre en retarder l’effet.	Je n'eusse prés d'ici rencontré le Préfet, Qui m'a fait par son ordre en retarder l'effet.
Car il m’a commandé d’aller chercher mon Maiſtre, Quelque affaire que i’euſſe ou qu’il m’euſ pû commettre, Afin de le prier qu'itje ronuipo onoc luy Pour vne tres-preſſante.	Car il m'a commandé d'aller chercher mon Maître, Quelque affaire que j'eusse ou qu'il m'eus pu commettre, Afin de le prier qu'itje ronuipo onoc lui Pour une très-pressante.
CHRDSTINE.	CHRDSTINE.
Et qui fait mon ennuy.	Et qui fait mon ennui.
CALISTE.	CALISTE.
Ton diſcours m’eſt touſiours plus incomprehenſible.	Ton discours m'est toujours plus incompréhensible.
li a ll l ur a ne leue *En voyant ce portrait, il vous ſera viſible.	li a lu lu ur a ne lève *En voyant ce portrait, il vous sera visible.
Receuez le Madame.	Recez le Madame.
CHRISIINE.	CHRISINE.
Ha!	Ha!
non, ie n’en veux point, Puis que ton lâche maiſtre eſt perfide à ce point.	non, notre n'en veux point, Puis que ton lâche maître est perfide à ce point.
ATHEMODORE.	ATHÉMODORE.
Rec it tondamneepus jans cuicette peinture Qui vous découurira ſon amour toute pure.	Rec it tondamènepus jans cuicette peinture Qui vous découvrira son amour toute pure.
CIRISTINL.	CIRISTINL.
Oüy bien pour Dorothée.	Oui bien pour Dorothée.
ATHEMODORE.	ATHÉMODORE.
