PAR MONSIEVR BORÉE,	PAR MONSIEUR BORE,
Car tu ne dois douter, que ceſte race vile, Admirant tes lauriers, ne te quitte la ville.	Car tu ne dois douter, que cette race vile, Admirant tes lauriers, ne te quitte la ville.
FOVLQVES au reſte est preſt, n’ayant point ton ſecours, D’abandonner honteux de ce ſiege le cours.	FOVLQVES au reste est prêt, n'ayant point ton secours, D'abandonner honteux de ce siège le cours.
AME'.	ÂME.
Quel bien-heureux Demon, ſi ſoigneux de ma gloire, Me promet d’emporter de Rhodes la victoire?	Quel bienheureux Démon, si soigneux de ma gloire, Me promet d'emporter de Rhodes la victoire?
De grace attens, belle Ombre:	De grâce attends, belle Ombre:
hé!	hé!
que i’aye ce biẽ.	que j'aie ce bien.
Mais, que peux-ie eſperer d’vne Ombre?	Mais, que peux-je espérer d'une Ombre?
ce n’eſt rien.	ce n'est rien.
Sus, ſus allons où c’eſt, que l’hõneur nous appelle, Teſmoignons au beſoin à ce coup noſtre zeles.	Sus, sus allons où c'est, que l'honneur nous appelle, Témoignons au besoin à ce coup notre zèles.
Monſtrõs au meſcreant, qu’il n’eſt riẽ de ſi fort Que ne vainque celuy, qui meſpriſe la mort, Que le Chrestien iamais au beſoin ne recule, Et qu’on trouue touſiours dans ma race vn Hercule;	Monstrons au mescreant, qu'il n'est rien de si fort Que ne vainque celui, qui méprise la mort, Que le Chrétien jamais au besoin ne recule, Et qu'on trouve toujours dans ma race un Hercule;
Choſe que ie deurois dés long-temps auoir faict, En laiſſant aux Nepueux vn memorable effect.	Chose que personne devrais dès longtemps avoir fait, En laissant aux Népueux un mémorable effet.
Et certes i’en ay tort, ores ie le confeſſe, Et ne peux qu’en blaſmer mon extreme pareſſe.	Et certes j'en ai tort, ores de le confesse, Et ne peux qu'en blâmer mon extrême paresse.
I’eſpere toutesfois faire voir toſt, ou tard, Au Geant les faueurs, que le Ciel me depart;	J'espère toutefois faire voir tôt, ou tard, Au Eant les faveurs, que le Ciel me départ;
Luy liurer iour & nuict tãt de dures alarmes, Qu'à la fin il faudra qu’il nous quitte les armes, Qu’il vienne proſterné nous requerir mercy, Ou qu’il aille regner au Royaume noircy.	Lui livrer jour et nuit tant de dures alarmes, Qu'à la fin il faudra qu'il nous quitte les armes, Qu'il vienne prosterné nous requérir merci, Ou qu'il aille régner au Royaume noirci.
Allons donc à ces fins compoſer vne armée, Qui ne puiſſe trouuer d’eſgale en renommée, Qui d’abord faſſe voir à ce maudit voleur, Ce que peut des Chreſtiens la guerriere valeur.	Allons donc à ces fins composer une armée, Qui ne puisse trouver d'égale en renommée, Qui d'abord fasse voir à ce maudit voleur, Ce que peut des Chrétiens la guerrière valeur.
SCENE DEVXIESME.	SCÈNE DEUXIÈME.
Cchomal Batimapreinersce leconte	Cchomal Batimapreinersce leconte
OTHOMAN.	OTHOMAN.
’Attens, mes compagnons, de voir voſtre vailT lance Extirper auiourd’huy des Chrestiens l’arrogãce;	’Attens, mes compagnons, de voir votre vailT lance Extirper aujourd'hui des Chrétiens l'arrogance;
Qu'elle les chaſſera ſi loing de nos rempars, Qu’ils n’oſeront iamais retenter les hazards:	Qu'elle les chassera si loin de nos rempars, Qu'ils n'oseront jamais retenter les hasards:
Semblables a celuy qu’à frappé le tonnerre, Qui ne trouue à ſa fuite aſſez grande la terre.	Semblables a celui qu'à frappé le tonnerre, Qui ne trouve à sa fuite assez grande la terre.
Ie l’eſpere, & le croy:	Je l'espère, et le crois:
la voix de Mahomet, Qui ne mãqua iamais, ce bon-heur nous promet:	la voix de Mahomet, Qui ne manqua jamais, ce bonheur nous promet:
Et quand ie n’en aurois vn aſſeuré preſage, Ie le cognoy d’ailleurs, & le ſçay par vſage:	Et quand ici n'en aurais un assuré présage, Je le connais d'ailleurs, et le sais par usage:
La crainte ſeulement, qu’ils portent ſur le front, Nous les aſſeure trop d’vn veritable affront:	La crainte seulement, qu'ils portent sur le front, Nous les assure trop d'un véritable affront:
Outre que vous auez, depuis leur arriuée, Leur valeur maintefois inutile esprouuée.	Outre que vous avez, depuis leur arrivée, Leur valeur maintefois inutile éprouvée.
Ne reſte, mes amis, que d’aller derechef Les combler à iamais d’vn extreme meſchef, Fondre ſur leurs ſcadrons, ainſi que la tempeſte.	Ne reste, mes amis, que d'aller derechef Les combler à jamais d'Un extrême mèches, Fondre sur leurs scadrons, ainsi que la tempête.
Quand des plus grands rochers elle eſcraze la teste.	Quand des plus grands rochers elle écrase la tête.
Nous pouuons aisément, auant qu’aucũ ſecours, Des bons commencémens interrompe le cours, Repouſſez ſi ſouuent & reduits à l’extreme:	Nous pouvons aisément, avant qu'aucomb secours, Des bons commencements interrompe le cours, Repoussez si souvent et réduits à l'extrême:
Auſſi n’attendent-ils que leur heure ſupreme, Ou de nous liberer du ſiege honteuſement, Qu’ils auoyent entrepris ſi temerairement:	Aussi n'attendent-ils que leur heure suprême, Ou de nous libérer du siège honteusement, Qu'ils avaient entrepris si témérairement:
Nous reſte donc encor de faire vne ſortie, Pour extirper du tout leur race peruertie.	Nous reste donc encor de faire une sortie, Pour extirper du tout leur race pervertie.
PREMIER BACHA.	PREMIER BÂCHA.
Monarque, le Phœnix des hõmes valeureux, Tu ne cognois que trop tes guerriers genereux.	Monarque, le Phœnix des hommes valeureux, Tu ne connais que trop tes guerriers généreux.
Commande ſeulement:	Commande seulement:
rien tant ne nous peut plaire, Que quand il faut aller affronter le Corſaire.	rien tant ne nous peut plaire, Que quand il faut aller affronter le Corsaire.
Mais ie te diray biẽ, que pour mieux s’aſſeurer, Il ne faut l’ennemy iamais deſeſperer:	Mais ici te dirai bien, que pour mieux s'assurer, Il ne faut l'ennemi jamais désespérer:
Maxime de tout temps pour Oracle tenuë, Et que les grands Guerriers ont touſiours recognuë?	Maxime de tout temps pour Oracle tenue, Et que les grands Guerriers ont toujours reconnue?
Outre ce qu’auõs veu, qu’en ces derniers eſtours Les Chrestiens ſont venus iuſqu’aux pieds de nes tours;	Outre ce qu'avons vu, qu'en ces derniers étours Les Chrestiens sont venus jusqu'aux pieds de nés tours;
Que peu s’en eſt fallu, ſans ton braue courage, Que nous n’ayons cogneu, ce que pouuoit leur rage;	Que peu s'en est fallu, sans ton brave courage, Que nous n'ayons connu, ce que pouvait leur rage;
Faſſaut, Qu’ils n’ayent prins la ville au penultieſme Dont tu cognois aſſez, d’où prouient le defaut.	Fassaut, Qu'ils n'aient prins la ville au pénultième Dont tu connais assez, d'où provient le défaut.
Attens doncques pluſtost, que mille Ianiſſaires Viennent pour chastier l’orgueil des temeraires, Et de le vueite pas jaus jheſtarmaauer, Qui peux touſiours aſſez leur deſſein retarder.	Attends donc plutôt, que mille Janissaires Viennent pour châtier l'orgueil des téméraires, Et de le veuite pas jaus jestarmaaver, Qui peux toujours assez leur dessein retarder.
OTHOMAN, Ces diſcours, truchemens de ton ame poltrõne, Meritent, que de mort ceſte main les guerdonne.	OTHOMAN, Ces discours, truchements de ton âme poltrõne, Méritent, que de mort cette main les guerdonne.
Mniturs uont quto, muticureua sexemple à tes conſors, Iefforts.	Mniturs ouvont quo, muticureua sexemple à tes consors, Jefforts.
Qui craindront des Chreſtiens les trop foibles	Qui craindront des Chrétiens les trop faibles
PREMIER BACHA.	PREMIER BÂCHA.
Hé!	Hé!
Monarque, mercy.	Monarque, merci.
OTHOMAN.	OTHOMAN.
Victime de la Parque, Tu l’impetreras mieux du tenebreux Monarque.	Victime de la Parque, Tu l'impétreras mieux du ténébreux Monarque.
PREMIER BACHA.	PREMIER BÂCHA.
Voila, voila que c’eſt de viure ſous des Roys.	Voilà, voilà que c'est de vivre sous des Rois.
OTHOMAN.	OTHOMAN.
On n’eſt iamais qu’heureux d’obeyr à leurs loix.	On n'est jamais qu'heureux d'obéir à leurs lois.
Or vous, que la vertu rend ſur tous memorable, Que vous-en ſemble-t’il?	Or -vous, que la vertu rend sur tous mémorable, Que vous-en semble-t-il?
SECOND BACHA.	SECOND BÂCHA.
Monarque incomparable, Ie trouue ton aduis ſi bon, que Iupiter N’en ſçauroit, le voulant, vn meilleur apporter, Fondé ſur le ſecours, qui ja tout preſt arriue, Soubs vn Chef apres toy le plus vaillant qui viue:	Monarque incomparable, Je trouve ton avis si bon, que Jupiter N'en sçauroit, le voulant, un meilleur apporter, Fondé sur le secours, qui ja tout prêt arrive, Soubs un Chef après toi le plus vaillant qui vive:
Chef, qui n’eut iamais peur des orages de Mars, Et qui l’a faict ſouuent paroiſtre en mille parts Achille des Chreſtiens, vray foudre de la guerre, Et dont le los deſia remplit toute la terre, Tout esprit, tout chaleur, nourry dãs les cõbats, Et qui ne veut ailleurs chercher d’autres esbats:	Chef, qui n'eût jamais peur des orages de Mars, Et qui ne veut ailleurs cherchent paraître en mille parts Achille des Chrétiens, vrai foudre de la guerre, Et dont le los déjà remplit toute la terre, Tout esprit, tout chaleur, nourri dans les confats, Et qui ne veut ailleurs chercher d'autres ébats:
Ie le ſçay, comme ayant frequente ja pruuince.	Je le sais, comme ayant fréquente ja preuince.
OTHOMAN.	OTHOMAN.
On l’a touſiours tenu pour vn valeureux Prince, Pareil à ſes ayeuls, qui mirent en effroy Si ſouuent le Soldan, du temps de Godefroy, Lors que Ieruſalem des Chreſtiens aſſiegée Se confeſſaſt encor à leur dextre obligée.	On l'a toujours tenu pour un valeureux Prince, Pareil à ses aïeuls, qui mirent en effroi Si souvent le Soldan, du temps de Godefroi, Lors que Jérusalem des Chrétiens assiégée Se confessât encor à leur dextre obligée.
Non, non, ie le cognois, auſſi bien que ſon ſort, C’est pourquoy nous cõuient preuenir ſon effort, Et perdre promptement ce reſte de canailles:	Non, non, je le connais, aussi bien que son sort, C'est pourquoi nous contuient prévenir son effort, Et perdre promptement ce reste de canailles:
Ainſi nous ſauuerõs de ſon bras nos murailles, Ou luy pourrõs au moins beaucoup mieux reſiſter, S’il eſt tant hazardeux que de les affronter.	Ainsi nous sauuerõs de son bras nos murailles, Ou lui pourrõs au moins beaucoup mieux résister, S'il est tant hasardeux que de les affronter.
Allons, le differer ne nous ſçauroit que nuire:	Allons, le différer ne nous saurait que nuire:
Nous vueille Mahomet heureuſemẽt cõduire.	Nous veuille Mahomet heureusement cõduire.
SCENE TROISIESME.	SCÈNE -TROISIÈME.
Foulques, grand Maiſtre.	Foulques, grand Maître.
Pagnat, Elion, Chedanels.	Pagnat, Élion, Chedanels.
OVLQ ES.	OULQ ES.
Rand Dieu, iuſte vengeur des courages T peruers, Qui tiẽs dedãs tes mains tout ce large Vniuers, Qui t’armes, quand tu veux, de foudre & de tonnerre, Qui cognois le deſſein d’vne ſi iuſte guerre, Perds-tu le ſouuenir de la ſorte des tiens?	Rand Dieu, juste vengeur des courages T pervers, Qui tiens dedans tes mains tout ce large Univers, Qui t'armes, quand tu veux, de foudre et de tonnerre, Qui connais le dessein d'une si juste guerre, Perds-tu le souvenir de la sorte des tiens?
Laiſſes-tu maintenãt ſans ſecours les Chreſtiẽs, Ton peuple ſi chery, qui rien plus ne reſpire Que l’vnique moyen d’aggrandir ton Empire?	Laissez-tu maintenants sans secours les Chrétiens, Ton peuple si chéri, qui rien plus ne respire Que l'unique moyen d'aggrandir ton Empire?
Iuſqu’icy teſmoignant vn fidelle deuoir, Nous auõs courageux faict tout noſtre pouuoir:	Jusqu'ici témoignant un fidèle devoir, Nous auõs courageux fait tout notre pouvoir:
La genereuſe mort de mes meilleurs gendarmes, Qui pour toy ſont reſtez aux plus fortes alarmes, Ne le preuuent que trop;	La généreuse mort de mes meilleurs gendarmes, Qui pour toi sont restez aux point fortes alarmes, Ne le preuent que trop;
& toutesfois ta main	et toutefois ta main
Nous refuſe à preſent vn ſecours ſouuerain.	Nous refuse à présent un secours souverain.
Veux-tu doncques ſouffrir, que ceste gent profane Prouigne iour & nuict la foy Mahometane?	Veux-tu donc souffrir, que cette gent profane Prouigne iour et nuit la foi Mahométane?
Qu'au lieu de tes Autels, qu’elle doit honorer, Elle faſſe vn peruers en ta place adorer?	Qu'au lieu de tes Autels, qu'elle doit honorer, Elle fasse un pervers en ta place adorer?
Un qui pour s’eſtablir authoriſa le vice, Ennemy de tous ceux qui te rendent ſeruice?	Un qui pour s'établir autorisa le vice, Ennemi de tous ceux qui te rendent service?
Qui malheureux Demon des Geans reuoltez Ua promettant le Ciel à mille impietez?	Qui malheureux Démon des Géants révoltez Ua promettant le Ciel à mille impiétés?
Et toy, ſon Fils aiſné, qui pour nous en Solyme Ouuris tãt de threſors de ton cœur magnanime:	Et toi, son Fils aîné, qui pour nous en Solyme Ouvris tant de trésors de ton cœur magnanime:
Qui nos crimes lauant de ton ſang precieux, Contraignis de plorer les citoyens des Cieux:	Qui nos crimes lavant de ton sang précieux, Contraignis de plorer les citoyens des Cieux:
Que fais-tu maintenant?	Que fais-tu maintenant?
Uoy-tu pas, qu’vn Barbare Furieux peu à peu de ton ſceptre s’empare?	OUoi-tu pas, qu'un Barbare Furieux peu à peu de ton sceptre s'empare?
Qu’il pourſuit iour & nuict ceux qu’honore ton Nom, Qui deuroyent le chaſſer ſeulement de renom?	Qu'il poursuit jour et nuit ceux qu'honore ton Nom, Qui devraient le chasser seulement de renom?
Eſt-ce dõc à preſent l’amour que tu nous portes?	Est-ce donner à présent l'amour que tu nous portes?
Nous auons veu iadis les Chreſtiennes cohortes	Nous avons vu jadis les Chrétiennes cohortes
Eſtouffer le Geant dans ſa ferocité, Extirper Aladin de la ſaincte Cité, Forcer auparauant Antioche à ſe rendre, Surmonter par aſſaut la ville d’Alexandre;	Étouffer le Geant dans sa ferocité, Extirper Aladin de la sainte Cité, Forcer auparavant Antioche à se rendre, Surmonter par assaut la ville d'Alexandre;
Et maintenant qu’auons ſi contraire le ſort, Tu conniues, ce ſemble, à ſon cruel effort.	Et maintenant qu'avons si contraire le sort, Tu connives, ce semble, à son cruel effort.
Et maintenant on voit, que ta main ſouueraine Encontre tes haineux ne ſe met plus en peine.	Et maintenant on voit, que ta main souveraine Encontre tes haineux ne se met plus en peine.
Certes depuis ce temps nous n’auons que malheurs, Dans les rets, tant s’en vaut, des barbares voleurs:	Certes depuis ce temps nous n'avons que malheurs, Dans les rets, tant s'en vaut, des barbares voleurs:
Ieruſalem a veu noſtre perte premiere, Où ceſt Ordre ſacré fut produict en lumiere:	Jerusalem a vu notre perte première, Où cette Ordre sacré fut produit en lumière:
Nous perdons Aſcalon, de Cypre dechaſſez, Nous ſouffrons mille maux l’vn ſur l’autre entaſſez;	Nous perdons Ascalon, de Cypre dechassez, Nous souffrons mille maux l'un sur l'autre entassés;
