A MONSIEVR DE MONTORON.	À MONSIEUR DE MONTORON.
Il eſt tard apres tout de m’en vouloir dédire, Auiourd’huy l’on s’aſſemble, auiourd’huy l’on conſpire, L’heure, le lieu, le bras ſe choiſit auiourd’huy, Et c’eſt à faire en fin à mourir apres luy.	Il est tard après tout de m'en vouloir dédire, Auiourd'hui l'on s'assemble, aujourd'hui l'on conspire, L'heure, le lieu, le bras se choisit aujourd'hui, Et c'est à faire en fin à mourir après avoir.
CINNA GENE III.	CINNA GENE III.
OIRNA, ÆMILIE, FVLVTE,	ÔIRNA, IMILIE, FULUTE,
ÆMILIE.	NEMILIE.
ais le voicy qui vient.	ais le voici qui vient.
Cinna, voſtre aſſemblée M Des grandeurs du peril n’eſt-elle point trouDerecomnoniez-vous au rront de vos amis (blée, Qu’ils ſoient preſts à tenir ce qu’ils vous ont pro	Cinna, votre assemblée M Es grandeurs du péril n'est-elle point trouDerecomnoniez-vous au ront de vos amis (blée, Qu'ils soient prêts à tenir ce qu'ils vous ont pro
CINNA.	CINNA.
Iamais contre vn tyran entrepriſe conceuë Ne permit d’eſperer vne ſi belle iſſuë, Iamais de telle ardeur on ne iura ſa mort, (mis?	Jamais contre un tyran entreprise conçue Ne permit d'espérer une si belle issue, Jamais de telle ardeur on ne jura sa mort, (mis?
Et iamais coniurez ne furent mieux d’accord:	Et jamais conjurés ne furent mieux d'accord:
Tous s’y monſtrent portez auec tant d’allegreſſe Qu lis ienibient comme moy ſeruir vne maiſtreſEt tous font éclatter vn ſi puiſſant courroux (ſe, Qu’ils ſemblent tous venger vn pere comme vous.	Tous s'y montrent portez avec tant d'allégresse Quélis ienibient comme moi servir une maîtresEt tous font éclater un si puissant courroux (se, Qu'ils semblent tous venger un père comme vous.
ÆMILIE.	NEMILIE.
Ie l’auois bien prêtieu que pour vir ter ouurage Cinna ſçauroit choiſir des hommes de courage, Et ne remettroit pas en de mauuaiſes mains L’intereſt d’Æmilie & celuy des Romains.	Je l'avais bien prêtieu que pour vir ter rage Cinna saurait choisir des hommes de courage, Et ne remettrait pas en de mauvaises mains L'intérêt d'Ilie et celui des Romains.
CINNA.	CINNA.
quel zele Pleuſt aux Dieux que vous meſme euſſiez veu de Cette troupe entreprend vne action ſi belle!	quel zèle Plût aux Dieux que vous -même eussiez vu de Cette troupe entreprend une action si belle!
Au ſeul nom de Céſar, d’Auguſte, & d’Empereur, Vous euſſiez veu leurs yeux s’allumer de fureur, Et dans vn meſme inſtant par vn effet contraire Leur front paſlir d’horreur & rougir de colere.	Au seul nom de César, d'Auguste, et d'Empereur, Vous eussiez vu leurs yeux s'allumer de fureur, Et dans un même instant par un effet contraire Leur front pâlir d'horreur et rougir de colère.
Amis, leur, ay-ie dit, voicy le iour heureux Qui doit conclurre en fin nos deſſeins genereux, Le Ciel entre nos mains a mis le ſort de Rome, Et ſon ſalut dépend de la perte d’vn homme, Si l’on doit le nom d’homme à qui n’a rien d’huA ce Tigre alteré de tout le ſang Romain.	Amis, leur, ai-je dit, voici le jour heureux Qui doit conclurre en fin nos desseins généreux, Le Ciel entre nos mains a mis le sort de Rome, Et son salut dépend de la perte d'un homme, Si l'on doit le nom d'homme à qui n'a rien d'huA ce Tigre altéré de tout le sang Romain.
main, Com	main, Com
Combien pour le reſpandre a-t’il formé de brigues?	Combien pour le répandre a-t-il formé de brigues?
Combien de fois changé de partis & de ligues, Tantoſt amy d’Antoine & tantoſt ennemy, Et iamais inſolent ny cruël à demy?	Combien de fois changé de partis et de ligues, Tantôt ami d'Antoine et tantôt ennemi, Et jamais insolent ni cruel à demi?
Là par vn long recit de toutes les miſeres Que durant noſtre enfance ont enduté nos peres, Renouuelant leur haine auec leur ſouuenir Ie redouble en leurs cœurs l’ardeur de le punir.	Là par un long récit de toutes les misères Que durant notre enfance ont enduté nos pères, Renouuelant leur haine avec leur souvenir Je redouble en leurs cœurs l'ardeur de le punir.
Ie leur fais des tableaux de ces triſtes batailles Où Rome par ſes mains déchiroit ſes entrailles, Où l’Aigle abatoit l’Aigle, & de chaque coſté Nos legions s’armoient contte leur liberté, Où le but des ſoldats & des chefs les plus braues C’eſtoit d’eſtre vainqueurs pour deuenir eſclaues, Où chacun trahiſſoit aux yeux de l’Vniuers Soy-meſme & ſon pays pour aſſeurer ſes fers, Et taſchant d’acquerir auec le nom de traiſtre L’abominable honneur de luy donner vn maiſtre, Romains contre Romains, parens contre parens Combatoient ſeulement pour le choix des tyrans.	Je leur fais des tableaux de ces tristes batailles Où Rome par ses mains déchirait ses entrailles, Où l'Aigle abattait l'Aigle, et de chaque côté Nos légions s'armaient compte leur liberté, Où le but des soldats et des chefs les plus braves C'était d'être vainqueurs pour devenir esclaues, Où chacun trahissait aux yeux de l'Univers Soi-même et son pays pour assurer ses fers, Et tâchant d'acquérir ait le nom de traître L'abominable honneur de lui donner un maître, Romains contre Romains, le contre parens Combatoient re pour le choix des tyrans.
I’adiouſte à ces tableaux la peinture effroyable De leur concorde affreuſe, horrible, impitoyable, Funeſte aux gens de bien, aux riches, au Senat, Et pour tout dire en fin de leur Triumuirat.	J'ajoute à ces tableaux la peinture effroyable De leur concorde affreuse, horrible, impitoyable, Funeste aux gens de bien, aux riches, au Sénat, Et pour tout dire en fin de leur Triumirat.
Mais ie ne trouue point de couleurs aſſez noires Pour en repreſenter les Tragiques hiſtoires.	Mais ici ne trouve point de couleurs assez noires Pour en représenter les Tragiques histoires.
Ie les peins dans le meurtre à l’enuy triomphans, Rome entiere noyée au ſang de ſes enfans, Les vns aſſaſſinez dans les places publiques, Les autres dãs le ſein de leurs dieux domeſtiques, Le méchant par le prix au crime encouragé, Le mary par ſa femme en ſon lict égorgé, Le fils tout degouttant du meurtre de ſon pere Et ſa teſte à la main demandant ſon ſalaire, Sans exprimer encore auecque tous ces traits Qu’vn crayon imparfait de leur ſanglante paix.	Je les peins dans le meurtre à l'en triomphans, Rome entière noyée au sang de ses enfants, Les uns assassinés dans les places publiques, Les autres dans le sein de leurs dieux domestiques, Le méchant par le prix au crime encouragé, Le mari par sa femme en son lit égorgé, Le fils tout dégouttant du meurtre de son père Et sa tête à la main demandant son salaire, Sans exprimer encore avec tous ces traits Qu'un crayon imparfait de leur sanglante paix.
Vous diray-ie les noms de ces grands perſonnages Dont i’ay dépeint les morts pour aigrir les courages Ces illuſtres proſcrits, ces demy- Dieux mortels Qu’on a ſacrifiez iuſques ſur les Autels?	Vous dirai-je les noms de ces grands personnages Dont j'ai dépeint les morts pour aigrir les courages Ces illustres proscrits, ces demi- Dieux mortels Qu'on a sacrifiez jusques sur les Autels?
Mais pourrois-ie vous dire à quelle impatience, A quels fremiſſemens, à quelle violence Ces indignes trépas, quoy que mal figurez, Ont porté les eſprits de tous nos coniurez?	Mais pourrais-je vous dire à quelle impatience, À quels frémissements, à quelle violence Ces indignes trépas, quoi que mal figurez, Ont porté les esprits de tous nos conjurés?
Ie n’ay point perdu temps, & voyant leur colere Au point de ne rien craindre, en eſtat de tout faire, I’adiouſte en peu de mots:	Je n'ai point perdu temps, et voyant leur colère Au point de ne rien craindre, en état de tout faire, J'ajoute en peu de mots:
Toutes ces cruautez, La perte de nos biens & de nos libertez, Le rauage des champs, le pillage des villes, Et les proſcriptions, & les guerres ciuiles, Sont les degrez ſanglans dont Auguſte a fait choix Pour mõter dans le trône & nous donner des loix.	Toutes ces cruautés, La perte de nos biens et de nos libertés, Le ravage des champs, le pillage des villes, Et les proscriptions, et les guerres civiles, Sont les degré sanglants dont Auguste a fait choix Pour monter dans le trône et nous donner des lois.
Rendons toutefois grace à la bonté celeſte Que de nos trois tyrans c’eſt le ſeul qui nous reſte, Et qui iuſte vne fois il s’eſt priué d’appuy (luy.	Rendons toutefois grâce à la bonté céleste Que de nos trois tyrans c'est le seul qui nous reste, Et qui juste une fois il s'est privé d'appui (lui.
Perdant pour regner ſeul deux meſchans comme Luy mort, noue n’auons point de vengeur ny de Auec la liberté Rome s’en va renaiſtre, (maiſtre, Et nous meriterons le nom de vrays Romains Si le ioug qui l’accable eſt briſé par nos mains.	Perdant pour régner seul deux méchants comme Lui mort, noue n'avons point de vengeur était de Avec la liberté Rome s'en va renaître, (maître, Et nous mériterons le nom de vrais Romains Si le joug qui l'accable est brisé par nos mains.
Prenons l’occaſion tandis qu’elle eſt propice, Demain au Capitole il fait vn ſacrifice, Qu’il en ſoit la victime, & faiſons en ees lieux Iuſtice à tout le monde à la face des Dieux:	Prenons l'occasion tandis qu'elle est propice, Demain au Capitole il fait un sacrifice, Qu'il en soit la victime, et faisons en ces lieux Justice à tout le monde à la face des Dieux:
Là preſque pour ſa ſuite il n’a que noſtre troupe, C’eſt de ma main qu’il prend & l’encens & la couEt ie veux pour ſignal que cette meſme main (pe, Luy donne au lieu d’encens d’vn poignard dans le Ainſi d’vn coup mortel la victime frappée (ſein.	Là presque pour sa suite il n'a que notre troupe, C'est de ma main qu'il prend et l'encens et la couEt mille veux pour signal que cette seule main (pe, Lui donne au lieu d'encens d'un poignard dans le Ainsi d'un coup mortel la victime frappée (sein.
Fera voir ſi ie ſuis du ſang du grand Pompée, Faites voir apres moy ſi vous vous ſouuenez Des illuſtres ayeux de qui vous eſtes nez.	Fera voir si on suis du sang du grand Pompée, Faites voir après moi si vous vous souvenez Des illustres aïeux de qui vous êtes nez.
A peine ay-ie acheué que chacun renouuelle Par vn noble ſerment le vœu d’eſtre fidelle, L’occaſion leur plaiſt;	À peine ai-je achevé que chacun renouvelle Par un noble serment le vœu d'être fidèle, L'occasion leur plaît;
mais chacun veut pour ſoy L’honneur du premier coup que i’ay choiſi pour moy :	mais chacun veut pour soi L'honneur du premier coup que j'ai choisi pour moi :
La raiſon reigle en fin l’ardeur qui les emporte, Maxime & la moitié s’aſſeurent de la porte, L’autre moitié me ſuit & doit l’enuironner, Preſte au moindre ſignal que ie voudray donner.	La raison règle en fin l'ardeur qui les emporte, Maxime et la moitié s'assurent de la porte, L'autre moitié me suit et doit l'environner, Preste au moindre signal que sans voudrai donner.
Voilà, belle Æmilie, à quel point nous en ſommes (mes, Demain i’attens la haine, ou la faueur des homLe nom de parricide, ou de liberateur, Céſar celuy de Prince, ou bien d’vſurpateur.	Voilà, belle Emmilie, à quel point nous en sommes (mes, Demain j'attends la haine, ou la faveur des homLe nom de parricide, ou de libérateur, César celui de Prince, ou bien d'usurpateur.
Du ſuccez qu’on obtient contre la tyrannie Dépend ou noſtre gloire, ou noſtre ignominie, Et le peuple inégal à l’endroit des tyrans, S’il les deteſte morts, les adore viuans.	Du succès qu'on obtient contre la tyrannie Dépend ou notre gloire, ou notre ignominie, Et le peuple inégal à l'endroit des tyrans, S'il les déteste morts, les adore vivants.
r our moy, ſoit que le Ciel me ſoit dur, ou propice, Qu’il m’éleue à la gloire, ou me liure au ſupplice, Que Rome ſe declare, ou pour, ou contre nous, Mourant pour vous ſeruir tout me ſemblera doux.	 our moi, soit que le Ciel me soit dur, ou propice, Qu'il m'ève à la gloire, ou me livre au supplice, Que Rome se déclare, ou pour, ou contre nous, Mourant pour vous servir tout me semblera doux.
ÆMILIE.	NEMILIE.
Ne crain point de ſuccez qui ſoüille ta memoire, Le bon & le mauuais ſont égaux pour ta gloire, Et dans vn tel deſſein le manque de bon-heur Met en peril ta vie & non pas ton honneur.	Ne crain point de succès qui soüille ta mémoire, Le bon et le mauvais sont égaux pour ta gloire, Et dans un tel dessein le manque de bonheur Met en péril ta vie et non pas ton honneur.
Regarde le mal-heur de Brute & de Caſſie, La ſplendeur de leurs noms en eſt-elle obſcurcie?	Regarde le malheur de Brute et de Cassie, La splendeur de leurs noms en est-elle obscurcie?
Ont-ils perdu celuy de derniers des Romains?	Ont-ils perdu celui de derniers des Romains?
Et ſont-ils morts entiers auecque leurs deſſeins?	Et sont-ils morts entiers avec leurs desseins?
Leur memoire dans Rome eſt encor precieuſe Autant que de Céſar la vie eſt odieuſe:	Leur mémoire dans Rome est encor précieuse Autant que de César la vie est odieuse:
Si leur vainqueur y regne, ils y ſont regrettez, Et par les vœux de tous leurs pareils ſouhaitez.	Si leur vainqueur y règne, ils y sont regrettez, Et par les vœux de tous leurs pareils souhaitez.
Va marcher ſur leurs pas où l’honneur te conuie, Mais ne pers pas le ſoin de conſeruer ta vie, Souuien-toy du beau feu dõt nous ſommes eſpris, Qu’auſſi bien que la gloire Æmilie eſt ton prix, Que tu me dois ton cœur, que mes faueurs t’attendent, (pendent.	Va marcher sur leurs pas où l'honneur te convie, Mais ne pers pas le soin de conserver ta vie, Souvien-toi du beau feu dõt nous sommes épris, Qu'aussi bien que la gloire Æmilie est ton prix, Que tu me dois ton cœur, que mes faveurs t'attendent, (pendent.
Que tes iours me ſont chers, que les miens en deEt que.	Que tes jours me sont chers, que les miens en deEt que.
Mais quel ſuiet méne Euandre vers nous?	Mais quel sujet mène Euandre vers nous?
SCENE IV.	SCÈNE IV.
CINNA, ÆMILIE, EVANDRE, FVLVIE.	CINNA, ÆMILIE, EVANDRE, FVLVIE.
EvhasrEs Ceigneur, Céſar vous mande, & Maxime auec S vous.	EvhasrEs Ceigneur, César vous mande, et Maxime avec S vous.
