RRII I TRAGEDIE.	RRII I TRAGÉDIE.
Heureuux au mel d'autruy celuy qui ſe corrige, Songeant an Roy d’Argos d'horreur le ſang me ſigePuis voyans apres luy Egirthe maſſacré, Lors qu’au port de ſalnt il penſoit eſtre encré:	Heurevux au mel d'autrui celui qui se corrige, Songeant an Roi d'Argos d'horreur le sang me sigechuis voyans après avoir Égirthe massacré, Lors qu'au port de salnt il pensait être encré:
Vous auez comme luy offenct cet Oreſts, Ie crains que comme à luy il ne vour ſoit ſuueſte, Pyrrhe.	Vous avez comme lui offenct cet Orêts, Je crains que comme à lui il ne vour soit sujet, Pyrrhe.
Oreſte eſt donc celuy qui vous fait auoir peur, Vrayment dece coſte ie m'eſtime bien ſeur:	Oreste est donc celui qui vous fait avoir peur, Vraiment déce côte assez m'estime bien sûr:
Croyez, tout fol qu’il eſt, qu'il n'est pas ſi mal ſage De venir m'aſſaillir & chercher ſon domage Si temerairemem.	Croyez, tout fol qu'il est, qu'il n'est pas si mal sage De venir m'assaillir et chercher son dommage Si temerairemem.
Non, non, ne craignez point, I'ay pour luy ceſte eſpée, & qui tranche, & qui point.	Non, non, ne craignez point, J'ai pour lui cette épée, et qui tranche, et qui point.
Et qui d'vn bras nerueux brauement ſonf lenne Au defaut du harnois ſçait trouuer la chair nuë:	Et qui d'un bras nerveux bravement sons lenne Au défaut du harnois ait trouver la chair nue:
Eulemepourmeuindu piitimuanuer, Aſin que ie luy face à ſon dam eſprouuer Siieſçay come il faus decomper les courayes, Pour couurir ſous le fer le corps de larges playes.	Eulemepourmeuindu piitimuanuer, Asin que ie mme face à son dam éprouver Siiesçai come il faus décomper les courayes, Pour couvrir sous le fer le corps de larges plaies.
Didaime.	Didaime.
Voſtre viue vertu vers cdluy voiu vandroit, Lequel à gnerne uuuerie auaquer vous viendroit.	Votre vive vertu vers cédui voi vandrait, Lequel à génerne uverie avaquer vous viendrait.
Mais ſi Oreſle vient il vous prendra en traiſtre, Et toute la vreleur de vostre force adeſtre Contre ſes trahiſous ne pourra proſiter.	Mais si Oresle vient il vous prendra en traître, Et toute la vreur de votre force adêtre Contre ses trahisous ne pourra prositer.
Egiſthe auoit moyen de Iuy bien reſiſter, Auſu lien comme vous, ſi à la décotuerte Ce felon eust oié entreprendre ſa perte:	Égisthe avait moyen de Jui bien résister, Ausu lien comme vous, si à la décotuerte Ce felon eût oié entreprendre sa perte:
Mais las!	Mais las!
le paiinii;	le paiini;
, ureuy puntautemoins, Se ſemus plustoſtmnt, que tombé entre ſes mains.	, ureuy puntautemoins, Se semus plustostmnt, que tombé entre ses mains.
Macaré.	Macaré.
Ne faut pas auoir peur qu’il puiſſe de la ſorta Pous ſaire ſuccomber par ſa fineſſe accorte:	Ne faut pas avoir peur qu'il puisse de la sorta Pous zaïre succomber par sa finesse accorte:
Cær nous ſomnnes trop bien maintenant aduiſez De ſes tours de renard, pour y eſtre abuſez.	Cær nous somnes trop bien maintenant avisés De ses tours de renard, pour y être abusés.
Pyrche.	Pyrche.
Qu'il vienne le meurtrier deteſtable & énormi, Qu’il s’en vienne vers moy deguisé en la ſorme D'vn porteur de nouuelle, afin de me tromper:	Qu'il vienne le meurtrier détestable et énormi, Qu'il s'en vienne vers moi déguisé en la sorme D'un porteur de nouvelle, afin de me tromper:
Il ſera bienſubtil, s'il ſe peut achaper, Et ſi en me penſant per ſa ruſe ancienne, Faire perdre la vie, il n’y laiſſe la ſunne.	Il sera biensubtil, s'il se peut achapper, Et si en me pensant per sa ruse ancienne, Faire perdre la vie, il n'y laisse la sunne.
Didaime.	Didaime.
O Iupiter helas!	Ô Jupiter hélas!
que la proſperité Enfle l’eſprit humain de fole vanité, Vous n’auez point de peur qu'Oreſte vous abuſe, Pource que vous ſçauez, ce dites-vous, la ruſe, Dont il a vers Egiſthe, & Clytemneſtre usé, N'auroit il qu’vn moyen d'eſtre traiſtre & rusé?	que la prospérité Enfle l'esprit humain de sole vanité, Vous n'avez point de peur qu'Oreste vous abuse, Pource que vous savez, ce dites-vous, la ruse, Dont il a vers Égisthe, et Clytemnêtre usé, N'aurait -il qu'un moyen d'être traître et rusé?
Las!	Las!
Pyrrhe mon cher fils, mon cœur, ie te ſupplie Prens, garde que ma peur ne ſoit point accomplie, Tu t'és deſià, dis-tu, bien trouué vne fois Du conſeil d’Helenin, alort que les Gregeois, Qui ne voulurent croire à ſonſaxe preſage, Aux rochers Capharez firent triſte naufrare.	Pyrrhe mon cher fils, mon cœur, ie te supplie Prends, garde que ma peur ne soit point accomplie, Tu t'ès déjà, dis-tu, bien trouvé une fois Du conseil d'Hélenin, alort que les Grégeois, Qui ne voulurent croire à sonsaxe présage, Aux rochers Capheurez firent triste naufrare.
Urois encor, ie te prie, à ſon aduis certain:	Urois encor, Seigneur te prie, à son avis certain:
Il dit que maintenant le malheureux deſtin Te menace le chef de quelque malencontre, Ainſi que le ciel meſme en ſonge nous demonſtre:	Il dit que maintenant le malheureux destin Te menace le chef de quelque malencontre, Ainsi que le ciel même en songe nous démonstre:
Garde toy de ſortir, ie te pri', que deuant Tu n’ares donné ordre au deſaſtre ſuiuant, Dont tu es menacé par quilque mauuais aſtre.	Garde toi de sortir, je te privant, que devant Tu n'ares donné ordre au désastre suivant, Dont tu es menacé par quilque mauvais astre.
I'unique & vray moyen d’éuiter ce deſaſtre, C'eſt de rendre Hermione à ſon premier eſpoux, Commedit Helenin, de peur que ſon courronx Ne te face tomber deſſous la ſepulture.	J'unique et vrai moyen d'éviter ce désastre, C'est de rendre Hermione à son premier époux, Commedit Hélenin, de peur que son courronx Ne te face tomber dessous la sépulture.
Voicy les propres mots, que ce ſatal augure Tranſporté hors de ſoy pour l'ardeur de Phœbus, Qui le tenoit ſaiſi, tantoſt nous a tenus.	Voici les propres mots, que ce satal augure Transporté hors de soi pour l'ardeur de Phœbus, Qui le tenait saisi, tantôt nous a tenus.
Si Pyrrhe ne rend toſt Hermione rauie, Comme à ſon pere, amour luy couſtera la vie	Si Pyrrhe ne rend tôt Hermione ravie, Comme à son père, amour toujours coûtera la vie
Pyrrhe.	Pyrrhe.
Quand bien elle dturoit la vie me couſter.	Quand bien elle durait la vie me coûter.
Et que i’en aurois meſme aduis par Iupiter, Qui me vinſt menacer de laſcher ſa iempeſte, Si ie nala rendoit, ſur ma coupable teſte:	Et que j'en aurais même avis par Jupiter, Qui me vint menacer de lâcher sa affété, Si grande nala rendait, sur ma coupable tête:
Ianiais, iamais pr irtant ie n’y conſentirois, Tant qu’au corps de mon ſang vne goutte i'æurois.	Janiais, jamais près irtant Seigneur n'y consentirais, Tant qu'au corps de mon sang une goutte j'æurais.
Que ſi i'auois deffr qu’apres la mort felonne On denſt à ce cruel rendre mon Hermione, Piroit tout maintenant luy plonger dans le ſein, Afin de l’empeſcher, vn poignard aſſaſin, Et le tirant apres hors ſon eſt mach bleſme, Ie me le planteroeïs iuſqu’aux gardes moy meſms, E pour ce ie vous pri' de ne m’en parler plus.	Que si j'avais deffr qu'après la mort félonne On dends à ce cruel rendre mon Hermione, Pyrait tout maintenant lui plonger dans le sein, Afin de l'empêcher, ainsi poignard assasin, Et le tirant après hors son est mach âme, Je me le planteroeïs jusqu'aux gardes moi -même, E je vous ie -vous pri de ne m'en parler plus.
Madame, ce ne ſont que tour propos perdus.	Madame, ce ne sont que tour propos perdus.
Didaime.	Didaime.
Et bien puis qu'en cela vos propos ſont ſi fermes, Ie n'en viendray iamais auec vous à ces termes, Mais ie vous ſuppliray que pour mon ſonge affreux, Vous éuitiez auoins ce iour malencontreux, Sans ſortir, iuſqu'à tant que le ciel ſe diſpoſe A quelque effet ineilleur.	Et bien puis qu'en cela vos propos sont si fermes, Je n'en viendrai jamais avec vous à ces termes, Mais jour vous supplirai que pour mon songe affreux, Vous évier au ce jour malencontreux, Sans sortir, jusqu'à tant que le ciel se dispose A quelque effet ineilleur.
Pyrrhe.	Pyrrhe.
Cela eſt autre choſeIe vous veux obeir en ce que ie pourray, Cunin, ſuamid dum pan, a ceci ue fiy.	Cela est autre choseIe vous veux obéir en ce que ie pourrai, Cunin, suamid du pan, à ceci ue fi.
Didaime.	Didaime.
Pestois morte à demy, n'eftoit voſtre paro le, Qui m'eſuuit le cœur, & mon ame conſole.	Pétais morte à demi, n'estait votre paro le, Qui m'esuuit le cœur, et mon âme console.
mauis;	mavis;
iJimi enn pil nima detuoon, Tandis qu’à veſtre aycul ie le feray ſçauoir.	iImi en pil nima detuon, Tandis qu'à vêtre aicul ie le ferai savoir.
Macaré.	Macaré.
Cet aduis là eſttrop à nos deſſeins nuiſible, Il le faut renuerſer du tout sil eſt poſlible, Et vſer en ce fait de tant d’innention, Que ie vons meine en fin à mon intention.	Cet avis là esttrop à nos desseins nuisible, Il le faut renverser du tout sil est poslible, Et user en ce fait de tant d'innention, Que ra vons mène en fin à mon intention.
Commẽt Prince, auriez-vous ſi pen de cœur & d’ame De vous laiſſer conduire au propos d’une ſemme?	Commêt Prince, auriez-vous si pen de cœur et d'âme De vous laisser conduire au propos d'une semme?
Et croire qu’il vous deuſt uenir quelque danger, Sous ombre qu'elle a veu vn ſonge menſonger?	Et croire qu'il vous dût ouvenir quelque danger, Sous ombre qu'elle a vu un songe mensonger?
De trois choſes il faut vous en reſoudre à l'vne, Ou l’on peut preſager la mauuaiſe ſortune, Ou bien l’on ne ſçaurois:	De trois choses il faut vous en résoudre à l'une, Ou l'on peut présager la mauvaise sortune, Ou bien l'on ne saurais:
ſi l’on ne ſçauroit pas, De put ce qu’elle a dit ne faut faire aucun cas.	si l'on ne saurait pas, De put ce qu'elle a dit ne faut faire aucun cas.
Que ſi l'on peut préuoir le deftin aduerſaire, Et que la prĺuoyance en ſoit ſi neceſſaire, Qu’il ne puiſſe aduenir que comme il eſt préueu:	Que si l'on peut prévoir le destin adversaire, Et que la prĺuoyance en soit si nécessaire, Qu'il ne puisse avenir que comme il est prévu:
C'eſt eſtre entierement de bon ſens deſpourueu, De penſer par raiſon eſtciner à l'encontre.	C'est être entièrement de bon sens dépourvu, De penser par raison estciner à l'encontre.
Mais i'il y a moyen que noſtre mælencontre Eſtant préueus luite, en eſt il vn meilleur, Ree de prier æux Dienx qu’ils chaſſeni le malhem, Et puis penſez combien i'appreſterois à rire Au peuple qui attend, ſi ie luy allois dire, Le Roy vne autre fois ſacrifira aux Dieux, Quana jamra anra fait desſonzu pio manms	Mais j'il y a moyen que notre mælencontre Étant prévus luite, en est il un meilleur, Re de prier æux Dienx qu'ils chasseni le malhem, Et puis pensez combien j'apprêterais à rire Au peuple qui attend, si tu tu allais dire, Le Roi une autre fois sacrifira aux Dieux, Quana jamra anra fait des pio manms
Pyrrhe.	Pyrrhe.
Encor fallit-il bien la rendre ſutisfaire, Et pour la contenter trouuer quelque deffaite:	Encor fallit-il bien la rendre sutisfaire, Et pour la contenter trouver quelque défaite:
Car ſi i'euſſe vonlu en tout luy refiſter, Nous ſerionrmeintenant encor à conteſter.	Car si j'eusse vonlu en tout notre résister, Nous serionrmeintenant encor à contester.
Ceſte peur ne lus vient que d’amitié trop grande, Mais ne laiſſons d'aller preſenter noſtre offrande, Afin de deſtourner le malheur importun, Si ces ſonges aumoins en preſageoyent aucun.	Cette peur ne lus vient que d'amitié trop grande, Mais ne laissons d'aller présenter notre offrande, Afin de détourner le malheur importun, Si ces songes aumoins en présageaient aucun.
Macaré.	Macaré.
Hà traiſtre ie te tiens là où ie te deſire, On te fera ſentir maintenant la iuſle ire De Phæbus, que tu at impieux offencé, Ayais vn pourtrait d’homme auprés du ſien dreſt'	Hà traître nom te tiens là où tu te désire, On te fera sentir maintenant la jusle ire De Phæbus, que tu at yeux offensé, Aïrait un pourtrait d'homme auprès du sien drest'
Pilade.	Pilade.
Le Meſſager.	Le Messager.
Oreſté.	Oresté.
Pyrrhe.	Pyrrhe.
Pylade.	Pylade.
My, que cent fois plus que mm ame ie priſe, Ie doute grandement que de naſtre entrepriſe Nous ne veninns iamais au but iant deſiré, Et que nous ne ſoyons trahis par Macaré.	Mi, que cent fois plus que mm homme ie prise, Je doute grandement que de nastre entreprise Nous ne veninns jamais au but jant désiré, Et que nous ne soyons trahis par Macaré.
Voyez, ie vous ſuppli', combien ꝓu poururte.	Voyez, Madame vous suppli, combien poururte.
Orcite.	Orcite.
Pour neant craignez-vous, car Macaré n’a garde De nous iouer iæmais d'un ſi malheureux trait.	Pour néant craignez-vous, car Macaré n'a garde De nous jouer æmais d'un si malheureux trait.
Prrrhe luy deſplaiſt trop à cauſe du portrait -·- Qu'il a fait eſteuer à Achille ſon pere, Et auquel il luy veut en la meſme maniere Qu'à celuy de Phœbus faire ſacrifier, Epaartenmjanparduy nout asners	Prrhe lui déplaît trop à cause du portrait -ell- a fait est fait éteuer à Achille son père, Et auquel il lui veut en la même manière Qu'à celui de Phœbus faire sacrifier, Epaartenmjanparduy nout âners
Pylade.	Pylade.
Pourquoy donc nous fait il ſi longuement attendrè Veus qu’il auois premis qu’il s'en alloit, pour prendre, Eplamouenemamemmues epumpuſarrois Dant le temple amenl, qu’il nour aduertiroiti	Pourquoi donc nous fait il si longuement attendré Verts qu'il avais premis qu'il s'en allait, pour prendre, Eplamouenemamemmues eupumpusarrais Dant le temple amenl, qu'il nour aduertiroiti
Oreſte.	Oreste.
Vous verrez, ſi vn peu vous auez patience, Que vous entrez à tort en ceſte deffiance, Attendez vn petit, ie voy le meſſager Qui accourt deners nous & d'un pas bien leger.	Vous verrez, si un peu vous avez patience, Que vous entrez à tort en cette défiance, Attendez un petit, ie voy le messager Qui accourt deners nous et d'un pas bien léger.
Le Meſſager.	Le Messager.
Macaré m'a enioint de vous aduertir, Sire, a Nuous demandez a vous venger de Pyrrin, Sans ſaire aucun ſeiour vous veniez tous venant, Pour ce qu’il vient d’entrer au remple maimienans.	Macaré m'a enioint de vous avertir, Sire, a Nuous demandez à vous venger de Pyrrin, Sans zaïre aucun seiour vous veniez tous venant, Pour ce qu'il vient d'entrer au remple maimienants.
Oreſte.	Oreste.
llons, Prlade, allons venger le tort extréme:	llons, Prlade, allons venger le tort extrême:
Que nous auons recen, nous voilà ore à meſme.	Que nous avons recen, nous voilà ôte à même.
Allons, donnons dedans, & de grande vertu Trempons inſqu’an pommeau nostre glaine pointu Dans le ſang ennemy.	Allons, donnons dedans, et de grande vertu Trempons insqu'an pommeau notre glaine pointu Dans le sang ennemi.
O lame vengereſſe!	Ô la vengeresse!
C’eſt toy, c’eſt toy qui doit chaſſer l’ame traiſtreſſe Du corps de te cruel, & barbare larron, Pour le faire tomber aux rines d’.	C'est toi, c'est toi qui doit chasser l'âme traîtresse Du corps de te cruel, et barbare larron, Pour le faire tomber aux rines d'.
Acheron.	Acheron.
Le Meſſager.	Le Messager.
O rage!	Ô rage!
ô cruautté!	ô cruauté!
ô fureur indomile De l’ame d’vn mortel, quand elle eſt tranſporile D'appuit de vengeance, & d’amonreux deſir,	ô fureur indomile De l'âme d'Hô mortel, quand elle est transporile D'appuit de vengeance, et d'amonreux désir,
De froid, d'effror, d'horreus ie me ſens tout ſaiſir Le corps, le cœur, le ſang, vryant la violence Qui ſi legerement ces deux hommes eſlance, Pour voir leur ennemy à leurs pieds maſſacré.	De froid, d'effror, d'horreus apprendre me sens tout saisir Le corps, le cœur, le sang, vriant la violence Qui si légèrement ces deux hommes élance, Pour voir leur ennemi à leurs pieds massacré.
Mais les voilà entrez dans le temple ſacré L'eſpè nuë en la main.	Mais les voilà entrez dans le temple sacré L'espè nue en la main.
Dieux que la populace, Fuyant de toutes parts s'écarte cej leur fait placs, Plus viste qu’on ne voit vne troupe d'oiſearar Deſployer tout d'un coup ſes timides cerceaux, Et deçà, & delà tonte deſſeſſemblée, Pour éuiter le coup, prendre en l’air ſa volée, Qnand vn dard elle entend dans l'erbre deſlaches, On elle eſtoit venne enſemble ſe percher.	Dieux que la populace, Fuyant de toutes parts s'écarte cej leur fait placs, Plus vite qu'on ne voit quelque troupe d'oisearar Desployer tout d'un coup ses timides cerceaux, Et deçà, et delà ton dessessemblée, Pour éviter le coup, prendre en l'air sa volée, Qnand un dard elle entend dans l'erbre délaches, On elle taît venne ensemble se percher.
Mais las voicy venir deçà le pauure Pyrrhe, Qui tout chargí de coms à grand peinerlſpirs, Et r'il fait toutesfois encor' tout ſon effors, Pour tarder tant qu’il peut l'inéuitable mors.	Mais las voici venir deçà le pauvre Pyrrhe, Qui tout chargí de coms à grand peinerlspirs, Et rèr tant fait toutefois encor tout son effort, Pour tarder tant qu'il peut l'inévitable mors.
Cõme vn puiſſant Lion, lors qu'uns tourbe eſp d De vencurs fq de chient Jαaνς coſtez le preſſe, De dents, d’abois, de cris, de lances fes de dardi, Se vire, ſgremné, & tourne en mille parts.	Comme un puissant Lion, lors qu'uns tourbe ép Que vencurs fq de chient Jαaνς côté le presse, De dents, d'abois, de lis, de lances fes de dardi, Se vire, sgremné, et tourne en mille parts.
Tanfoſt en ſe ruaut au milieu de la troupe Tranſporté de ſin cur il monte ſur la croupe Des cheuaux de ceux-cy, & puis redeſcendant Il va dans les eſpieur des aitres ſe dardant:	Tanfôt en se ruaut au milieu de la troupe Transporté de sin cur il monte sur la croupe Des chevaux de ceux-cy, et puis redescendant Il va dans les épieur des aitres se dardant:
La gucule & Ie mu eau lery blanchiſſent d’eſcame, Son poil rougit de ſang, de ſueur ſon corps fume, Mais il a beau ſa force & fureur rellonbler, Du grand nombre de coups il ſe ſent ccabler, Et le ſang à la fin luy defaillant, ex veines, Luy fait perdre ſa vie, & ſes coleres vaines.	La gucule et Je mu eau lery blanchissent d'écame, Son poil rougit de sang, de sueur son corps fume, Mais il a beau sa force et fureur rellonbler, Du grand nombre de coups il se sent câbler, Et le sang à la fin lui défaillant, ex veines, Lui fait perdre sa vie, et ses colères vaines.
Ainſi Pyrrhe accablé de mille & mille comri Employe pour neant ſa force & ſon couroux:	Ainsi Pyrrhe accablé de mille et mille comri Emploie pour néant sa force et son courroux:
Caris voy que deſià les genoux luy chancellen, 2 ru ſes dixeκππτις ſεκς ενέκε le ταστιεlἐηι, Tam que le ſang ſuiux pær teus liy va corden  MyJuanaualacaa *	Caris vois que déjà les genoux Seigneur chancellen, 2 ru ses dixeκππτις sεκς ενέκε le ταστιεlἐηι, a que le sang suiux r teus l va corden MyJuanaualacaa *
Pyrrhe.	Pyrrhe.
Hὰtναιſιε Μασαν́, abeπineblepeſte, Que tu ls diloyel, & toypœirς Oreſte, Couσd l, eſſecinι, ce ſons là de testηρς, D'vſer de trahiſon, & de ſraude rouſiners.	Hὰtναιsιε Sommes, abeineblepeste, Que tu lois diloi, et toipœir Oreste, Coud lou, essecinι, ce sons là de testηρς, D'user de trahison, et de sraude rousiners.
Mais s'il y ades Dieux, ie les prens d uengeoncs,	Mais s'il y ades Dieux, On les prends d' engeoncs,
Oreſte.	Oreste.
Ceſt noy πeſue maudiee & deteſtable engeαnc Privſe de larcin, de del & trahiſem:	Cest noi πesue maudie et détestable engeαnc Privse de larcin, dé l et trahisem:
αἰειὺίηιεηπς ταculε πεrιρ́ guerdοα Paore ⁊mla raωs il fam q aron eſtie, Tetraherſaut le ceur, deς τonſangſeit trercpιι, DeupimeMOsre Qrure Poiulloit us corte dprde lubricite, DfllaMndrienrmua	αἰειὺίηιεηπς ταculε πεrιρ́ guerdοα Paore -mla ra il Tam q aron estie, Tetrahersaut le cûr, de τonsangseit trercpιι, DeupimeMOsre Qrure Poivllait us corte dprde lubricité, DfllaMndrienrmua
Pylade.	Pylade.
Veσκbιεκ υρας ſur vη ποrι uoſire celeνe eſtειιdει	Veσκbιεκ été est été ποrι ur vendre §
Ou.	Ou.
Rege d' υηpεω, Dοαlολ, dιl leſleruieraneus	Rege d' υηpεω, Dοαlολ! dιl lesleruieraneus
Le Meſſager.	Le Messager.
Ouy, ie τριεſεποτιεω τεςθινος τααδεπετ.	Oui, Seigneur τριεsεποτιεω τεςθινος τααδεπετ.
Oreſte.	Oreste.
Oν ναδπεσόδ αα ἰἰολ Hεηεετις φηο, εſη ἀ παιν εσὶ σοαdι πεη ſerlaterrε, Celiry qui lay afæ,aras dexerare antres ſeis.	 ναδπεσόδ ἰἰολ Hεηεετις , παιν εσὶ σοαdι πεη serlaterrε, Celiry quimmes φ, dexerare antres §.
Lανbανe, d datmel, cl tomepenſeiSil lο ſirεi, qixoai ienedaſſe Vε α εενdιſεσς:	LObe, d atmel, cl omepenseiSil l sirεi, qixoai ienedasse εενdιsεσς!
topmιſοι qiεfιy Peπσ σ ιων, ierφ, T'υaισbaiyſ Enmes iours de Madaπς, & m'en oſtaſt le fruit, Mais tu as à tss dar eſpronné le contraire, Ta noort t'a fait ſentir ce que ie pomueis faire, Et que lors que quel qu’un me viendra oupager, Ie ſçay coummmi il faut an double ne'en venger.	topmιsοι qiεfιy Le σ Ta , trouver, T' υaισbaiys Enmes jours de Madalle, et m'en ôtât le fruit, Mais tu as à tss dar espronné le contraire, Ta noort t'a fait sentir ce que sans pomueis faire, Et que lorsque lorsque quel qu'un me viendra oupager, Je sais coumi il faut an double ne ne venger.
Tu m’auois pour vn temaps ſait perdre mon muie, Maais ir i’ay pour iamais faait perdre amie & vie.	Tu m'avais pour un temps sait perdre mon muie, Maais ir j'ai pour jamais faait perdre amie et vie.
Tous ler hanames viuans, & ceux-là qui vieradron.	Tous ler hanâmes vivants, et ceux-là qui vieradron.
Encores apres mous à ta perte apprendront, Et à la mort außſi dEgiſthe ton ſemublable, Qne la couche d’autruy doit eſtre innielable.	Encores après mous à ta perte apprendront, Et à la mort aussi dEgisthe ton semblable, Qne la couche d'autrui doit être innielable.
Le Meſſager.	Le Messager.
Hermione.	Hermione.
Oreſte.	Oreste.
Le Mcuſager.	Le Mcusager.
Adame, veſtre eſpoux deuers veus m'a trant M mis, Paur vous faire ſçauoir promptememt qu’il a mis Voflre ennemoy à mort, qui ſur la terre dure leinuaſaaamololausagumes Il vous mande pær moy que veus veus en veri q;	Adame, votre époux devers veux m'a trant M mis, Paur vous faire savoir promptemât qu'il a mis Voflère ennemoi à mort, qui sur la terre dure leinuasaaamololausagumes Il vous mande pæræ moi que us veus en veryme;
Affu que luy inyeux, Prrhe mont voru veyox.	Affu que Seigneur inïeux, Prrhe mont voru veinox.
Lieimione, Il ε̃ſtiort l'αντοxα:	Lieimione, Il ε̃stiort l'αντοxα:
la qui en ay de ieyel Mais ec eß mon Oreſte?	la qui en ai de ieyel Mais ec essi mon Oreste?
helus que ie le vere.	hélus que personne le vere.
ogels Mad ane le veild.	ogels Mad ane le veild.
Herm.	Herm.
Orefle men auareMer delices, mon ceur,πon ame hà que ceiour M'eſt agreablé & deux tant iadis i'eus de crainte, De ne ioyyr iamais de noſire auiut ſainte.	Orefle men avareMer délices, mon ceur, âme hà que cejour M'est agréablé et deux tant jadis j'eus de crainte, De ne joyyr jamais de nosire aujut sainte.
Oreſte.	Oreste.
Neus voilà iœes amouri ſaius & ſauſs, Dien muerci, Fuis enſeriblement ſans crainte & ſaniſouci Et voilà conme il ſaut celmy qui a causée Tuir noſit dinda es spſepaſe.	Nus voilà jœes amouri saius et sauss, Dien muerci, Fuis enseriblement sans crainte et sanisouci Et voilà conme il saut celmi qui a causée Tuir nos dinda ès spsepase.
Hermione.	Hermione.
Hà muuin arregant, Immtue rempli d'orgneil, Te ſoutienisetu conbien tu m’as cansé de ducil?	Hà muin arrégant, Imtue rempli d'orgneil, Te soutienisetu conbien tu m'as cansé de ducil?
Ne te ſouuien:	Ne te souvien:
il plus, cruel, de tes audaces?	il plus, cruel, de tes audaces?
Ne te ſourient il plur de ces firres menaces, Dont tis t’eſtais vanté autresſois ſi ſouuent Deaue ſaire changer men cep d’oreſnanam Par ferce, onοες πηωλὲνeς paroles ſoüt vrapes, Cereca a& ipandu, tafollure ;	Ne te sourient il plur de ces firres menaces, Dont tis t'étais vanté autressais si souvent Deaue zaïre changer men cep d'oresnanam Par ferce, on πηωλὲνeς paroles soüt vrapes, Cereca ipandu, tafollure ;
tes playes, Er ta ndrt a mon cuur uairerieut fait changer, Non conme tu penſois, barbare, l'eſtranger Demon loral eſpoux, pour t'eſtre fauerable:	tes plaies, Er ta nourt a mon cuvr uairerieut fait changer, Non conme tu pensais, barbare, l'étranger Démon loral époux, pour t'être favérable:
Ains du dueil qu'il auoit en ioye perdurable.	Ain du il qu'il avait en joie perdurable.
Mair d’où uirns que tu es ninienantabain.	Mair d'où uirns que tu es ninienantabain.
Par un hoiume couard, qui na, ce diſoii-te, Ni force, ni ceurage?	Par un hoivme couard, qui na, ce disoii-te, Ni force, ni ceurage?
Où ſontor ces brauades?	Où sontor ces bravades?
Uon eſt ce frout haruain?	Oùon est ce frout haruain?
ces ſacrouches cilladis Et ces propos eujlez, que iu ſoulois rerair, Quærd tu le noenæceis qil n'oſeroit venir, Sans y perdre la vie, en ces lienx me pourſuiure?	ces sacrouches cilladis Et ces propos eujlez, que ju soûlais rerair, Quræd tu le noenæceis q n'oserait venir, Sans y perdre la vie, en ces lienx me poursuivre?
Le vollà den mu toy, fais-luy perdre le uiure.	Le vollà den mu toi, fais-lui perdre le uivre.
Hà crud, tane ſçeus iamais rien exd leirer, Ta plus belle vertis eſtoit dere vamier, -Aſu de ſaire perxr pær vaine exrrænidence A cexx que turemeis ſeus tonebeiſſance, Dai meuimmairuenant de re crener les pœui De rex pre pedl à peil ta larbe El ios chacia?	Hà crud, tane sçeus jamais rien exd irer, Ta plus belle vertis était de vamier, -Asu de zaïre perx pær vaine exrænidence A cex que tureme zeus tonebeissance, Dai meuimmairuenant de re créner les pœui De rex pré préds à peil ta larbe Él jos chacia?
Petui.	Petui.
nele ccηc, & iacundles purun, Pour aſſouuir mon ire, & ns vengeanct pridrn	nele cèc, et jacundles purun, Pour assouvir mon Frère, et ns vengeanct pridrn
Oreſte.	Oreste.
Leiſſez, laiſſez, Madame, il ne merire par r2 cuimumaqmny oyoun di	Lissez, laissez, Madame, il ne mérire par r2 cuimumaqmny oyoun di
Hermione.	Hermione.
Doulon, nire d’icy cente charongne ruorte, Mais tranche luy premier la teſte, & pais la ſomq Acclie qui nous a dans ſon ventre prodiait Vn ſi pernicicux & deteſlable ſuis:	Doulon, nire d'ici cente charongne ruorte, Mais tranche était premier la tête, et pais la somq Acclie qui nous a dans son ventre prodiait Un si pernicux et déteslable suis:
Aſin qu'elle ait ſa part au dueil qu'elle incrite, D'auoir ſiur terre mis cette engeance nacadite.	Asin qu'elle ait sa part au deuil qu'elle incrite, D'avoir siur terre mis cette engeance nacadite.
Le Chœur des ſilles Theſſaliennes M	Le Chœur des silles Thessaliennes M
PLerons, plorons aruereres, I Mes Coupagnes, ie vous ſupplie, Reſpandons tautes largemens De nos yeux vne honide pluye:	PLérons, plorons aruereres, I Mes Coupagnes, je vous supplie, Respandons tautes largements De nos yeux une honide pluie:
Car iemais cruellez doulerr:	Car immais cruellez doulerr:
N'aurens plus grand beſoin de pleurs.	N'aurends plus grand besoin de pleurs.
Verſons donc de moſtre priuiiut Vne ſonrce d’ondeéremelle.	Versons donc de montre priviut Ône sonrce d'ondeéremelle.
Plorens le maſſacn?	Plorents le massacn?
crud Dus Rey Prirli noſtre bon Princq, Es qu en regres cortirud Geneiſſe tource la prerrince:	crud Dus Rei Prirli notre bon Princon, Es qu' en regres cortirud Généisse tource la près:
Cer elle aparde pær ſaror L'eſpoir, l'hoαπα ε le ſiρes.	Cer elle aparde pær saror L'espoir, l'hohoù le sies.
Verſens denc de noſtre praellePue ſece δεπdοδυηεl.	Vers denc de notre préellePue sece δεπdοδυηεl.
lalmde Do ſa ſagetie inlπit ble Prince fius renplide vern,	lalamde Do sa sagetie inlit blé Prince fius renplide vern,
