Chez BARBIN, au Palais, vis à vis le grand Portail de lu Sainté Chapelle, au ſigne de la Croix.	Chez BARBIN, au Palais, vis -à -vis le grand Portail de lu Sainté Chapelle, au signe de la Croix.
Le Troſne pour vous deux auoit trop peu de place, Il falloit entre vous mettre vn plus grand eſpace, Et que le Ciel vous miſt pour finir vos diſaords, L’vn parmy les viuans, l’autre parmy les morts.	Le Trône pour vous deux avait trop peu de place, Il fallait entre vous mettre un plus grand espace, Et que le Ciel vous mit pour finir vos disaords, L'un parmi les vivants, l'autre parmi les morts.
Infortanez tous deux, dignes qu’on vous déplore, Moins mal-heureux pourtant que ie ne ſuis encore, Puiſque de tous les maux qui ſont tombez ſur vous, Vous n’en ſentez aucun, & que je les ſens tous.	Infortanez tous deux, dignes qu'on vous déplore, Moins malheureux pourtant que sans ne suis encore, Puisque de tous les maux qui sont tombez sur vous, Vous n'en sentez aucun, et que je les sens tous.
Quand on eſt au tombeau tous nos tourmens s’appaiſent, Quand on eſt furieux tous nos crimes nous plaiſent, Des plus cruels mal-heurs le trépas vient à bout, La fureur ne ſent rien, mais la douleur ſent tout.	Quand on est au tombeau tous nos tourments s'apaisent, Quand on est furieux tous nos crimes nous plaisent, Des plus cruels malheurs le trépas vient à bout, La fureur ne sent rien, mais la douleur sent tout.
Cette viue douleur dont ie ſuis la victime Reſſent la mort de l’vn, & de l’autre le crime, Le ſort de tous les deux me deſchire le cœur, Et praignant le vamcu, je pleure le vainqueur.	Cette vive douleur dont votre suis la victime Ressent la mort de l'un, et de l'autre le crime, Le sort de tous les deux me déchire le cœur, Et praignant le vamcu, je pleure le vainqueur.
A ce cruel Vainqueur quel acüeil dois-je faire?	À ce cruel Vainqueur quel acueil dois-je faire?
S’il eſt mon Frere, Olympe, il a tué mon Frere, La nature eſt confuſe & ſe taiſt aujourd’huy, Elle n’oſe parler pour luy, ny contre luy.	S'il est mon Frère, Olympe, il a tué mon Frère, La nature est confuse et se taît aujourd'hui, Elle n'ose parler pour lui, ni contre lui.
OLYMPE.	OLYMPE.
Mais pour vous ce malheur eſt vn moindre ſuplice, Que ſi la mort vous euſt enleué Polinice, Ce Prince eſtoit l’objet qui faiſoit tous vos ſoins, Les intereſts du Roy vous touchoient beaucoup moins.	Mais pour vous ce malheur est un moindre suplice, Que si la mort vous eût enlevé Polinice, Ce Prince était l'objet qui faisait tous vos soins, Les intérêts du Roi vous touchaient beaucoup moins.
ANTIGONE.	ANTIGONE.
Il eſt vray je l’aimois d’vne amitié ſincere, Ie l’aimois beaucoup plus que ie n’aimois ſon Frere, Et ce qui le rendoit agreable à mes yeux, Il eſtoit vertueux, Olympe, & mal-heureux.	Il est vrai je l'aimais d'une amitié sincère, Je l'aimais beaucoup plus que sans n'aimais son Frère, Et ce qui le rendait agréable à mes yeux, Il était vertueux, Olympe, et malheureux.
Mais helas!	Mais hélas!
ce n’eſt plus ce cœur ſi magnanime, Et c’eſt vn criminel qu’à couronné ſon crime, Son Frere plus que luy commence à me toucher, Deuenant mal-heureux, il m’eſt deuenu cher.	ce n'est plus ce cœur si magnanime, Et c'est un criminel qu'à couronné son crime, Son Frère plus que sans commence à me toucher, Deuvenant malheureux, il m'est devenu cher.
Creon vient.	Creon vient.
OLYMPE.	OLYMPE.
ANTIGONE.	ANTIGONE.
Il eſt triſte, & j’en connois la cauſe, Au couroux du Vainqueur la mort du Roy l’expoſe, C'eſt de tous nos mal-heurs l’autheur pernicieux.	Il est triste, et j'en connais la cause, Au courroux du Vainqueur la mort du Roi l'expose, C'est de tous nos malheurs l'auteur pernicieux.
SCENE III.	SCÈNE III.
ANTIGONE, CREON.	ANTIGONE, CREON.
ATIALE, OLIMPE.	ATIALE, OLYMPE.
CREON.	CREON.
Adame, qu’ay-je appris en entrant dans ces Mlieux;	Adame, qu'ai-je appris en entrant dans ces Mlieux;
Eltin viay que laRenie.	Éltin viai que laRénie.
ANTIGONE.	ANTIGONE.
Oüy, Creon elle-eſt morte.	Oui, Creon elle-est morte.
CREON.	CREON.
O Dieux!	Ô Dieux!
Puis-je ſçauoir de quelle eſtrange ſorte, Ses iours infortunez ont eſteint leur flambeau ?	Puis-je savoir de quelle étrange sorte, Ses jours infortunés ont éteint leur flambeau ?
OBIMTE.	ÔBIMTE.
Elle-meſme, Seigneur, s’eſt ouuert le tombeau, Et s’eſtant d'vn poignard en vn moment Idiſie, Elle en a terminé ſes mal-heurs & ſa vie.	Elle-même, Seigneur, s'est ouvert le tombeau, Et s'étant d'un poignard en un moment Idisie, Elle en a terminé ses malheurs et sa vie.
ANTIGONE.	ANTIGONE.
Elle a ſceû preuenir la perte de ſon Fils.	Elle a su prévenir la perte de son Fils.
CREON.	CREON.
Ah!	Ah!
Madame, il eſt vray que les Dieux ennemis.	Madame, il est vrai que les Dieux ennemis.
ANTIGONE.	ANTIGONE.
N’imputez qu’à vous ſeul la mort du Roy mon Frere, Et n’en accuſez point la céleſte colere, A ce combat fatal vous ſeul l’auez conduit, Il a crû vos conſeils, ſa mort en eſt le fruit.	N'imputez qu'à vous seul la mort du Roi mon Frère, Et n'en accusez point la céleste colère, À ce combat fatal vous seul l'avez conduit, Il a cru vos conseils, sa mort en est le fruit.
Ainſi de leur, flatteurs les Rois ſont les Victimes, Vous auancez leur perte en approuuant leur crimes, De la cheute des Rois vous eſtes les Auteurs, Mais les Roys en tombant entraiſnent leurs flateurs.	Ainsi de leur, flatteurs les Rois sont les Victimes, Vous avancez leur perte en approuvant leur crimes, De la chute des Rois vous êtes les Auteurs, Mais les Rois en tombant entraînent leurs flatteurs.
Vous le voyez, Creon, ſa diſgrace mortelle, Vous eſt funeſte autant qu’elle nous eſt cruelle, Le Ciel en le perdant s’en eſt vangé ſur vous, Et vous auez peut-eſtre à pleurer comme nous.	Vous le voyez, Creon, sa disgrâce mortelle, Vous est funeste autant qu'elle nous est cruelle, Le Ciel en le perdant s'en est vengé sur vous, Et vous avez peut-être à pleurer comme nous.
CREON.	CREON.
Madaſe, je l’auoue, de les ueſtmis contraires, Me font pleurer deux Fils ſi vous pleurez deux Freres.	Madase, je l'avoue, de les uestmis contraires, Me font pleurer deux Fils si vous pleurez deux Frères.
ANTIGONE.	ANTIGONE.
Mes Freres & vos Fils Dieux que veut ce diſcours?	Mes Frères et vos Fils Dieux que veut ce discours?
Quelqu’autre qu’Eteocle à t’il finy ſes iours.	Quelqu'autre qu'Éteocle à t'il fini ses jours.
CREON.	CREON.
Mais ne ſçauez-vous pas cette ſanglante hiſtoire.	Mais ne savez-vous pas cette sanglante histoire.
AIIGonu.	ÀIIGonu.
I’ay ſceû que Polinice a gaigné la Victoire, Et qu’Hemon a voulu les ſeparer en vain.	J'ai su que Polinice a gagné la Victoire, Et qu'Hémon a voulu les séparer en vain.
CREON.	CREON.
Madame ce combat eſt bien plus inhumain.	Madame ce combat est bien plus inhumain.
Vous ignorez encor mes pertes & les voſtres, Mais horusiapprenen les viles d les amires.	Vous ignorez encor mes pertes et les vôtres, Mais horusiappren les viles d les amires.
ANTIGONE.	ANTIGONE.
Rigoureuſe Fortune, acheue ton couroux, Ah!	Rigoureuse Fortune, achève ton courroux, Ah!
ſans doute voicy le dernier de tes coups.	sans doute voici le dernier de tes coups.
CREON.	CREON.
Vous auez veu, Madame, auec quelle furie, Les deux Princes ſortoient pour s’arracher la vie, Que d’vne égale ardeur ils y couroient tous deux, Et que jamais leurs cœurs ne s’accorderent mieux.	Vous avez vu, Madame, avec quelle furie, Les deux Princes sortaient pour s'arracher la vie, Que d'une égale ardeur ils y couraient tous deux, Et que jamais leurs cœurs ne s'accordèrent mieux.
La ſoif de ſe baigner dans le ſang de leur Frere, Faiſoit ce que jamais le ſang n’auoit ſçeu faire, Par l’excez de leur haïne ils ſembloient reünis, Et preſts à s’égorger ils paroiſſoient amis.	La soif de se baigner dans le sang de leur Frère, Faisait ce que jamais le sang n'avait su faire, Par l'excès de leur haïne ils semblaient réunis, Et prêts à s'égorger ils paraissaient amis.
Ils ont choiſi d’abord pour leur champ de bataille, Vn lieu prés des deux camps, au pied de la muraille;	Ils ont choisi d'abord pour leur champ de bataille, Un lieu près des deux camps, au pied de la muraille;
C’eſt-là que reprenant leur premiere fureur, Ils commencent enfin ce combat plein d’horreur.	C'est-là que reprenant leur première fureur, Ils commencent enfin ce combat plein d'horreur.
D'vn geſte menaſſant, d’vn œil brûlant de rage, Dans le ſein l’vn de l’autre ils cherchent vn paſſage Et la ſeule fureur precipitant leur bras, Tous deux ſemblent courir au deuant du trépas.	D'un geste menaçant, d'un œil brûlant de rage, Dans le sein l'un de l'autre ils cherchent un passage Et la seule fureur précipitant leur bras, Tous deux semblent courir au devant du trépas.
Mon Fils qui de douleur en ſoûpiroit dans l’ame, Et qui ſe ſouuenoit de vos ordres, Madame, Se iette au milieu d’eux & meſpriſe pour vous, Leurs ordres abſolus qui nous retenoient tous.	Mon Fils qui de douleur en soupirait dans l'âme, Et qui se souvenait de vos ordres, Madame, Se jette au milieu d'eux et méprise pour vous, Leurs ordres absolus qui nous retenaient tous.
Il leur retient le bras, les repouſſe, les prie, Et pour les ſeparer s’expoſe à leur furie, Mais il s’efforce en vain d’en arreſter le cours, Et ces deux Furieux ſe r’aprochent touſiours.	Il leur retient le bras, les repousse, les prie, Et pour les séparer s'expose à leur furie, Mais il s'efforce en vain d'en arrêter le cours, Et ces deux Furieux se raprochent toujours.
Il tient ferme pourtant & ne perd point courage, De mille coups mortels il deſtourne l’orage, Iuſqu’à ce que du Roy le fer trop rigoureux, Soit qu’il cherchaſt ſon Frere, ou ce Fils mal-heureux.	Il tient ferme pourtant et ne perd point courage, De mille coups mortels il détourne l'orage, Jusqu'à ce que du Roi le fer me rigoureux, Soit qu'il cherchât son Frère, ou ce Fils malheureux.
Le renuerſe à ſes pieds preſt à rendre la vie.	Le renverse à ses pieds prêt à rendre la vie.
ANTIGONE.	ANTIGONE.
Et la douleur encor ne me l’a pas rauie!	Et la douleur encor ne me l'a pas ravie!
CREON.	CREON.
I’y cours, je le releue, & le prens dans mes bras, Et me reconnoiſſant, ie meurs, dit il, tout bas, Trop heureux d’expirer pour ma belle Princeſſe, En vain à mon ſecours voſtre amitié s’empreſſe, C’eſt à ces furieux que vous deuez courir Séparez-les, mon Pere, & me laiſſez mourir.	J'y cours, je le relève, et le prends dans mes bras, Et me reconnaissant, ie meurs, dit -il, tout bas, Trop heureux d'expirer pour ma belle Princesse, En vain à mon secours votre amitié s'empresse, C'est à ces furieux que vous devez courir Séparez-les, mon Père, et me laissez mourir.
Il expire à ces mots.	Il expire à ces mots.
Ce barbare ſpectacle, A leur noire fureur n’apporte point d’obſtacle, Seulement Polinice en paroiſt affligé, Attens Hémon, dit-il, tu vas eſtre vangé.	Ce barbare spectacle, À leur noire fureur n'apporte point d'obstacle, Seulement Polinice en paraît affligé, Atends Hémon, dit-il, tu vas être vengé.
En effet ſa douleur renouuelle ſa rage, Et bien-toſt le combat tourne à ſon auantage, Le Roy frappé d’vn coup qui luy perce le flanc.	En effet sa douleur renouvelle sa rage, Et bientôt le combat tourne à son avantage, Le Roi frappé d'H coup qui avait perce le flanc.
Luy cede la Victoire & tombe dans ſon Sang.	Lui cède la Victoire et tombe dans son Sang.
Les deux Camps auſſi-toſt s’abandonent en proye, Le noſtre à la douleur & les Grecs à la joye, Et le Peuple allarmé du trépas de ſon Roy, Sur le haut de ſes tours teſmoigne ſon effroy.	Les deux Camps aussitôt s'abandonent en proie, Le nôtre à la douleur et les Grecs à la joie, Et le Peuple alarmé du trépas de son Roi, Sur le haut de ses tours témoigne son effroi.
Polinice tout fier du ſuccez de ſon crime, Regarde auec plaiſir expirer ſa Victime, Dans le ſang de ſon Frere il ſemble ſe baigner, Et tu meurs, luy dit-il, & moy ie vais regner.	Polinice tout fier du succès de son crime, Regarde avec plaisir expirer sa Victime, Dans le sang de son Frère il semble se baigner, Et tu meurs, avait dit-il, et mo ie voudrais régner.
Regarde dans mes mains l’Empire & la Victoire, Va rougir aux Enfers de l’excez de ma gloire, Et pour mourir encore auec plus de regret, Traiſtre ſonge en mourant que tu meurs mon Sujet.	Regarde dans mes mains l'Empire et la Victoire, Va rougir aux Enfers de l'excès de ma gloire, Et pour mourir encore auec plus de regret, Traître songe en mourant que tu meurs mon Sujet.
En acheuant ces mots, d’vne démarche fiere, Il s’approche du Roy couché ſur la pouſſiere, Et pour le deſarmer il auance le bras.	En achevant ces mots, d'une démarche fière, Il s'approche du Roi couché sur la poussière, Et pour le désarmer il avance le bras.
Le Roy qui ſemble mort obſerue tous ſes pas, Il le voit, il l’attend, & ſon ame irritée, Pour quelque grand deſſein ſemble s’eſtre arreſtée, L’ardeur de ſe vanger flate encor ſes deſirs, Et retarde le cours de ſes derniers ſouſpirs.	Le Roi qui semble mort observe tous ses pas, Il le voit, il l'attend, et son âme irritée, Pour quelque grand dessein semble s'être arrêtée, L'ardeur de se venger flatte encor ses désirs, Et retarde le cours de ses derniers soupirs.
Preſt à rendre la vie il en cache le reſte, Et ſa mort au Vainqueur eſt vn piege funeſte, Et dans l’inſtant fatal que ce Frere inhumain, Luy veut oſter le fer qu’il tenoit à la main, Il luy perce le cœur, & ſon ame rauie, En acheuant ce coup abandonne la vie.	Prêt à rendre la vie il en cache le reste, Et sa mort au Vainqueur est un piège funeste, Et dans l'instant fatal que ce Frère inhumain, Lui veut ôter le fer qu'il tenait à la main, Il lui perce le cœur, et son âme ravie, En achevant ce coup abandonne la vie.
Polinice frappé pouſſe vn cry dans les airs, Et ſon ame en couroux s’enfuit dans les Enfers.	Polinice frappé pousse un cri dans les airs, Et son âme en courroux s'enfuit dans les Enfers.
Tout mort qu’il eſt, Madame, il garde ſa colere, Et l’on diroit qu’encore il menace ſon Frere, Son viſage où la mort a répandu ſes traits, Demeure plus terrible & plus fier que jamais.	Tout mort qu'il est, Madame, il garde sa colère, Et l'on dirait qu'encore il menace son Frère, Son visage où la mort a répandu ses traits, Demeure plus terrible et plus fier que jamais.
F ij	F ij
ANTIGONE.	ANTIGONE.
Fatale ambition, aueuglement funeſte, D'vn Oracle cruel ſuite trop manifeſte, De tout le ſang Royal il ne reſte que nous, Et pluſt aux Dieux, Creon, qu’il ne reſtaſt que vous.	Fatale ambition, aveuglement funeste, D'vn Oracle cruel suite trop manifeste, De tout le sang Royal il ne reste que nous, Et plaît aux Dieux, Creon, qu'il ne restât que vous.
Et que mon deſeſpoir préuenant leur colere;	Et que mon désespoir prévenant leur colère;
Euſt ſuiuy de plus prés le trépas de ma mere.	Eût suivi de plus près le trépas de ma mère.
CREON.	CREON.
Il eſt vray que des Dieux le couroux embrazé, Pour nous faire perir ſemble s’eſtre eſpuisé;	Il est vrai que des Dieux le courroux embrasé, Pour nous faire périr semble s'être épuisé;
Car enfin ſa rigueur, vous le voyez, Madame, Ne m’accable pas moins qu’elle afflige voſtre ame, En m’arrachant mes Fils.	Car enfin sa rigueur, vous le voyez, Madame, Ne m'accable pas moins qu'elle afflige vôtre âme, En m'arrachant mes Fils.
ANTIGONE.	ANTIGONE.
Ah!	Ah!
vous regnez, Créon, Et le Troſne aiſément vous conſole d’Hémon.	vous régnez, Créon, Et le Trône aisément vous console d'Hémon.
Mais laiſſez-moy de grace vn peu de ſolitude, Et ne contraignez point ma triſte inquietude, Auſſi bien mes chagrins paſſeroient iuſqu’à vous, Vous treuuerez ailleurs des entretiens plus doux.	Mais laissez-moi de grâce un peu de solitude, Et ne contraignez point ma triste inquiétude, Aussi bien mes chagrins passeraient jusqu'à vous, Vous trouverez ailleurs des entretiens plus doux.
De Prome vous attend, le Peuple vous appeſle, Gouſtez tout le plaiſir d’vne grandeur nouuelle, Adieu, nous ne faiſons tous deux que nous geſner, Ie veux pleurer, Creon, & vous voulez regner.	De Prome vous attend, le Peuple vous appêle, Goûtez tout le plaisir d'une grandeur nouvelle, Adieu, nous ne faisons tous deux que nous gêner, Je veux pleurer, Creon, et vous voulez régner.
CREON, arreſtant Antigone.	CREON, arrêtant Antigone.
Ah!	Ah!
Madame, regnez & iiontez ſur le Troſne, Ce haut rang n’apartient qu’à l’illuſtre Antigone.	Madame, régnez et jiontez sur le Trône, Ce haut rang n'appartient qu'à l'illustre Antigone.
ANTAGONE.	ANTAGONE.
Il me tarde déja que vous ne l’occupiez, La Couronne eſt à vous.	Il me tarde déjà que vous ne l'occupiez, La Couronne est à vous.
CREON.	CREON.
Ie la mets à vos pieds.	Je la mets à vos pieds.
ANTIGONE.	ANTIGONE.
Ie la refuſerois de la main des Dieux meſme, Et vous oſez, Creon, m’offrir le Diadéme.	Je la refuserais de la main des Dieux Dieux, Et vous osez, Creon, m'offrir le Diadème.
CREON.	CREON.
Ie ſçay que ce haut rang n’a rien de glorieux, Qui ne cede à l’honneur de l’offrir à vos yeux.	Je sais que ce haut rang n'a rien de glorieux, Qui ne cède à l'honneur de l'offrir à vos yeux.
D'vn ſi noble deſtin ie me connois indigne, Mais ſi l’on peut pretendre à cette gloire inſigne, Si par d’illuſtres faits on la peut meriter, Que faut-il faire enfin, Madame?	D'un si noble destin ie me connais indigne, Mais si l'on peut prétendre à cette gloire insigne, Si par d'illustres faits on la peut mériter, Que faut-il faire enfin, Madame?
ANTICONE.	ANTICONE.
M’imiter.	M'imiter.
CREON.	CREON.
Que ne ferois-ie point pour vne telle grace, Ordonnez ſeulement ce qu’il faut que ie faſſe, Ie ſuis preſt.	Que ne ferais-je point pour une telle grâce, Ordonnez seulement ce qu'il faut que ie fasse, Je suis prêt.
ANTIGONE en s'en allant.	ANTIGONE en s'en allant.
Nous verrons.	Nous verrons.
CREON la ſuiuant.	CREON la suivant.
I’attens vos loix icy.	J'attends vos lois ici.
ANTIGONE en s’en allant.	ANTIGONE en s'en allant.
Attendez.	Attendez.
F iij	 Fij
SCENE IV.	SCÈNE IV.
CREON, ATTALE.	CREON, ATTALE.
ATTALE.	ATTALE.
OOn couroux ſeroit-il adoucy?	ON courroux serait-il adouci?
Croyez-vous, la fléchir?	Croyez-vous, la fléchir?
CREON.	CREON.
Oüy oüy mon cher Attale, Il n’eſt point de fortune à mon bon-heur égale, Et tu vas voir en moy dans ce iour fortuné, L’ambitieux au Troſne & l’amant couronné.	Oui oui mon cher Âtale, Il n'est point de fortune à mon bonheur égale, Et tu vas voir en moi dans ce jour fortuné, L'ambitieux au Trône et l'amant couronné.
Ie demandois au Ciel la Princeſſe & le Trolne, Il me donne le Sceptre, & m’accorde Antigone, Pour couronner ma teſte, & ma flamme en ce iour Il arme en ma faueur & la haine & l’amour:	Je demandais au Ciel la Princesse et le Trolne, Il me donne le Sceptre, et m'accorde Antigone, Pour couronner ma tête, et ma flamme en ce jour Il arme en ma faveur et la haine et l'amour:
Al aſlume pour moy deux paiſtons contralres, Il attendrit la Sœur, il endurcit les Freres, Il aigrit leur couroux, il fléchit ſa rigueur, Et m’ouure en meſme temps & leur troſne & ſon cœur,	Al aslume pour moi deux paitons contralères, Il attendrit la Sœur, il endurcit les Frères, Il aigrit leur courroux, il fléchit sa rigueur, Et m'ouvre en même temps et leur trône et son cœur,
ATTALE.	ATTALE.
ar clt vray , vous auentoute enore ploipele, Et vous ſeriez heureux ſi vous n’eſtiez point Pere, L’ambitions l’amour n’ont rien à deſirer, Mais Seigneur, la nature à beaucoup à pleurer.	ar clét vrai , vous aventoute enore ploipèle, Et vous seriez heureux si vous n'étiez point Père, L'ambitions l'amour n'ont rien à désirer, Mais Seigneur, la nature à beaucoup à pleurer.
En perdant vos deux Fils.	En perdant vos deux Fils.
CREON.	CREON.
Oüy, leur perte m’afflige Ie ſçay ce que de moy le rangde Pere exige, Ie l’eſtois.	Oui, leur perte m'afflige Je sais ce que de moi le rangède Père exige, Je l'étais.
Mais ſun tout, j’eſtois né pour regner, Et je pers beaucoup moins que je ne crois gaigner.	Mais sun tout, j'étais né pour régner, Et je perds beaucoup moins que je ne crois gagner.
Le nom de Pere, Attale, eſt vn titre vulgaire.	Le nom de Père, Atale, est un titre vulgaire.
C’eſt vn don, que le Ciel ne nous refuſe guere, Vn bon-heur ſi commun n’a pour moy rien de doux;	C'est un don, que le Ciel ne nous refuse guère, Un bonheur si commun n'a pour moi rien de doux;
Ce n’eſt pas vn bon-heur s’il ne fait des jaloux.	Ce n'est pas un bonheur s'il ne fait des jaloux.
Mais le Troſne eſt vn bien dont le Ciel eſt auare, Du reſte des Mortels ce haut rang nous ſepare, Bien peu ſont honorez d’vn don ſi pretieux, La Terre a moins de Roys que le Ciel n’a de Dieux.	Mais le Trône est un bien dont le Ciel est avare, Du reste des Mortels ce haut rang nous sépare, Bien peu sont honorez d'un don si prétieux, La Terre a moins de Rois que le Ciel n'a de Dieux.
D’ailleurs tu ſçais qu’Hemon adoroit la Princeſſe, Et qu’elle euſt pour ce Prince vne extrême tendreſſe, S’il viuoit, ſon amour au mien ſeroit fatal, En me priuant d’vn Fils le Ciel m’oſte vn Riual, Ne me parle donc plus que de ſujets de joye, Souffre qu’à mes tranſports je m’abandonne en proye, Et ſans me rappeller des Ombres des Enfers, Dy moy ce que je gaigne, & non ce que je perds.	D'ailleurs tu sais qu'Hémon adorait la Princesse, Et qu'elle eût pour ce Prince une extrême tendresse, S'il vivait, son amour au mien serait fatal, En me privant d'un Fils le Ciel m'ôte un Rival, Ne me parle donc plus que de sujets de joie, Souffre qu'à mes transports je m'abandonne en proie, Et sans me rappeler des Ombres des Enfers, D moi ce que je gagne, et non ce que je perds.
Parle-moy de regner, parle-moy d’Antigone, I'auray bien-toſt ſon cœur, & j’ay dé-ja le Troſne;	Parle-moi de régner, parle-moi d'Antigone, J'aurai bientôt son cœur, et j'ai déjà le Trône;
Tout ce qui s’eſt paſſé n’eſt qu’vn ſonge pour moy, I’eſtois Pere & Sujet, ie iuis Aiſiant & Roy.	Tout ce qui s'est passé n'est qu'un songe pour moi, J'étais Père et Sujet, ie juis Aisiant et Roi.
La Princeſſe & le Trofne ont pour moy tant de charmes, Que.	La Princesse et le Trofne ont pour moi tant de charmes, Que.
mais Olympe vient.	mais Olympe vient.
ATTALE.	ATTALE.
Dieux, elle eſt toute en larmes.	Dieux, elle est toute en larmes.
SCENE V.	SCÈNE V.
CREON, OLYMPE, ATTALE.	CREON, OLYMPE, ATTALE.
V’attendez-vous, Seigneur, la Princeſſe n’eſt plus.	V'attendez-vous, Seigneur, la Princesse n'est plus.
2 CREON.	2 CREON.
Elle n’eſt plus Olympe?	Elle n'est plus Olympe?
OLYMPE.	OLYMPE.
Ah!	Ah!
regrets ſuperflus!	regrets superflus!
Elle n’a fait qu’entrer dans la chambre prochaine, Et du meſme poignard dont eſt morte la Reine, Sans que ie puſſe voir ſon funeſte deſſein, Cette fiere Princeſſe a percé ſon beau ſein.	Elle n'a fait qu'entrer dans la chambre prochaine, Et du même poignard dont est morte la Reine, Sans que deux pusse voir son funeste dessein, Cette fière Princesse a percé son beau sein.
Elle s’en eſt, Seigneur, mortellement frappée, Et dans ſon ſang, helas!	Elle s'en est, Seigneur, mortellement frappée, Et dans son sang, hélas!
elle eſt ſoudain tombée, Iugez à cet obiet ce que i’ay dû ſentir.	elle est soudain tombée, Jugez à cet objet ce que j'ai dû sentir.
Mais ſa belle ame ennfin toute preſte à ſortir.	Mais sa belle âme ennfin toute prête à sortir.
Cher Hémon, c’eſt à toy que ie me Sacrifie, Dit-elle, & ce moment a terminé ſa vie.	Cher Hémon, c'est à toi que deux me Sacrifie, Dit-elle, et ce moment a terminé sa vie.
I’ay ſenty ſon beau corps tout froid entre mes bras, Et i’ay cru que mon aine afloit ſuiure ſes pas, Heureuſe mille fois ſi ma douleur mortelle, Dans la nuit du tombeau, m’euſt plongée auec elle.	J'ai senti son beau corps tout froid entre mes bras, Et j'ai cru que mon aine afflait suivre ses pas, Heureuse mille fois si ma douleur mortelle, Dans la nuit du tombeau, m'eût plongée avec elle.
Elle s’iu va	Elle s'yu va
SCENEVI.	SCENEVI.
CREON,AAIALE.	CREON,AIALE.
CREON.	CREON.
T vous mourez ainſi, beau ſujet de mes feux, C Et vous meſme, cruelle, eſteignez vos beaux yeux, Vous fermez pour iamais ces beaux yeux que i’adore, Et pour ne me point voir vous les fermez encore, Quoy qu’Hemon vous fut cher, vous courez au trépas, Bien plus pour m’éuiter que pour ſuiure ſes pas.	T vous mourez ainsi, beau sujet de mes feux, Ç Et vous même, au, trépas vos beaux yeux, Vous fermez pour jamais ces beaux yeux que j'adore, Et pour ne me point voir vous les fermez encore, Quoi qu'Hémon vous fut cher, vous courez au trépas, Bien plus pour m'éviter que pour suivre ses pas.
Mais dûſſiez vous encor m’eſtre auſſi rigoureuſe, Ma preſence aux enfers vous fuſt elle odieuſe, Dût apres le trépas viure voſtre courroux, Inhumaine ie vais y deſcendre apres vous.	Mais dussiez -vous encor m'être aussi rigoureuse, Ma présence aux enfers vous fût elle odieuse, Dût après le trépas vivre votre courroux, Inhumaine ici vais y descendre après vous.
Vous y verrez touſiours l’objet de voſtre haïne, Et touſiours ſes iouipns vous fednont llia peme, Ou pour vous adoucir, ou pour vous tourmenter, Et vous ne pourrez plus mourir pour m’euiter.	Vous y verrez toujours l'objet de votre haine, Et toujours ses jouipins vous fedont lia peme, Ou pour vous adoucir, ou pour vous tourmenter, Et vous ne pourrez plus mourir pour m'éviter.
Mourons donc.	Mourons donc.
ATTALE, & des Gardes.	ATTALE, et des Gardes.
Ah!	Ah!
Seigneur quelle cruelle enuie.	Seigneur quelle cruelle envie.
CREGN.	CRÉGN.
Ah!	Ah!
c’eſt m’aſſaſſiner que me ſauuer la vie, Amour, rage, tranſports venez à mon ſecours, Venez & terminez mes déteſtables iours, De ces cruels amis trompez tous les obſtacles.	c'est m'assassiner que me sauver la vie, Amour, rage, transports venez à mon secours, Venez et terminez mes détestables jours, De ces cruels amis trompez tous les obstacles.
Toy iuſtifie, ô Ciel, la foy de tes Oracles, Ie ſuis le dernier ſang du mal-heureux Laïus, Perdez-moy, Dieux cruels, ou vous ſerez déceûs.	Toi justifie, ô Ciel, la foi de tes Oracles, Je suis le dernier sang du malheureux Laïus, Perdez-moi, Dieux cruels, ou vous serez déçus.
Reprenez, reprenez cet Empire funeſte, Vous m’oſtez Antigone, oſtez-moy tout le reſte Le Troſne & vos preſens excitent mon couroux, Vn coup de foudre eſt tout ce que ie veux de vous.	Reprenez, reprenez cet Empire funeste, Vous m'ôtez Antigone, ôtez-moi tout le reste Le Trône et vos présents excitent mon courroux, Un coup de foudre est tout ce que je veux de vous.
Accordez-le à mes vœux, accordez-le à mes crimes Alouſtez mon ſupplice à tant d’autres Victimes, Mais en vain ie vous preſſe, & mes propres forfaits.	Accordez-le à mes vœux, accordez-le à mes crimes Aloustez mon supplice à tant d'autres Victimes, Mais en vain encore vous presse, et mes propres forfaits.
Me font dé-ja ſentir tous les maux que j’ay faits.	Me font déjà sentir tous les maux que j'ai faits.
Polinice, Eteocle, Iocaſte, Antigone, Mes Fils, que j’ay perdus pour m’éleuer au Troſne, Tant d’autres mal-heureux d’ont i’ay cauſé les maux Font dé-ja dans mon cœur l’office des bourreaux.	Polinice, Éteocle, Jocaste, Antigone, Mes Fils, que j'ai perdus pour m'élever au Trône, Tant d'autres malheureux d'ont j'ai causé les maux Font déjà dans mon cœur l'office des bourreaux.
Arreſtez, mon trépas va vanger voſtre perte, murouure vu tomioeny la Perre cle olr ouuerte.	Arrêtez, mon trépas va venger votre perte, murouvre vu tomioeni la Perre clé tr ouuerte.
Ie reſſens à la fois mille tourmens diuers, Et ie m’en vais chercher du repos aux Enfers.	Je ressens à la fois mille tourments divers, Et ici m'en vais chercher du repos aux Enfers.
Il tombe entre les mains des Gardes.	Il tombe entre les mains des Gardes.
FIN.	FIN.
