A GENEROSITE ARESIILNNI TRAGEDIE.	À GÉNÉROSITÉ ARESILNNI TRAGÉDIE.
Il peut bien ſans vougir paroiſtrs dans la rie, Et redoute vn tyran ſans redouter ma veuë, Ha homme ſans honneur eſloigne-toy de moy, Porte ailleurs que ceans le debris de de ta foy.	Il peut bien sans vougir paroistrs dans la rie, Et redoute un tyran sans redouter ma vue, Ha homme sans honneur éloigne-toi de moi, Porte ailleurs que céans le débris de de ta foi.
Va chercher dans quelque antre vne retraite promi Et fuy d’vne maiſon que tu remplis de bonte, Tu ne dois plus iamais pretendre à mon amour, Et tu ne deurois pluu enuiſager le iour, De ſouuenir vangeur de ta foibleſſeexttéme.	Va chercher dans quelque antre Roi retraite promi Et fui d'une maison que tu remplis de bonté, Tu ne dois plus jamais prétendre à mon amour, Et tu ne devrais plu envisager le jour, De souvenir vengeur de ta foiblesseexttéme.
Ne te permettra pas de te ſou ffrir toy-meſme, Et ne pouuant fupt l’image de ton Dieu, Ton crime & ton enfer te ſuiuront en tout lieu, Ha que ma vanité ſe trouue bien punie, Du cruel contre-poids de ton ignominie, Moy qui me promettois auant ton repentir Le tiltre glorieux de vefue de martyr, Suis Fim ne d'Apoſtat, & ton laſche tourage 32 Ne concoit point d’horreur d’vn ſi ſenſible outrage.	Ne te permettra pas de te sou ffrir toi-même, Et ne pouvant supt l'image de ton Dieu, Ton crime et ton enfer te suivront en tout lieu, Ha que ma vanité se trouve bien punie, Du cruel contre-poids de ton ignominie, Moi qui me promettais avant ton repentir Le titre glorieux de vefue de martyr, Suis Fim ne d'Apostat, et ton lâche tourage 32 Ne conçoit point d'horreur d'heureur d' outrage.
ADRIAN.	ADRIAN.
Auec moins de trãſport vous mie connoiſtriez mieux	Avec moins de transport vous mie connaîtriez mieux
NATALIE.	NATALIE.
Quoy tu pretends entore impoſer à mes yeux, N’es-tu pas renegat, n’es-tu pas infidelle?	Quoi tu prétends entore imposer à mes yeux, N'es-tu pas renégat, n'es-tu pas infidèle?
N’as-tu pas par fumé d’vne main criminelle, Les Statues des Dieux, & ta timerité, Cenſure les tranſports de nion cœur irrité, Va, ie ne recois point vn deſerteur, vn traiſtre, Qui peut bien me trahir puiſqu’il trahit ſon maiſtre An peui tiangen u amou tomme il a jai de fey.	N'as-tu pas par fumé d'une main criminelle, Les Statues des Dieux, et ta timérité, Censure les transports de nion cœur irrité, Va, Seigneur ne reçois point un déserteur, un traître, Qui peut bien me trahir puisqu'il trahit son maître An y tiangen u amou tomme il a jai de fey.
ADRIAN.	ADRIAN.
Madame encor vn coup de grace eſcoutez-moy, Toutes les morts n’ont rien que mon ame redoute.	Madame encor un coup de grâce écoutez-moi, Toutes les morts n'ont rien que mon âme redoute.
NATALIE.	NATALIE.
Ta preſante en ces lieux ne ſou ffre point qu’on dout Va flatter l’Empereur qui t’a mis hors des ſers, Va donner de l’encens aux Dimons que tu ſers, obise de na coltre, eſclaus d'nne rit, Touſiours d’inquitiuut et ue mai-heurs faihie.	Ta presante en ces lieux ne sou ffre point qu'on dout a flatter l'Empereur qui t'a mis hors des sers, Va donner de l'encens aux Dimons que tu sers, objet de na coltre, éclaus d'nne rit, Touiours d'inquitivut et ue mai-heurs faihie.
ADRIAN.	ADRIAN.
Ha Madame ſortez de cét aueuglement, Ie viens vous inuiter à mon dernier tourment, Et par voſtre preſence animer mon courage, Pour franchir ſans frayeur ce glorieux paſſage, Dieu pour mon aduantage a permis voſtre erveur, Et d’vn ſi beau tranſport a troublé voſtre cœur, C’eſt luy qui vous a mis l’inuectiue à la bouche, Affin que deſormais voſtre exemple me touche, Me ſerue d’aiguinon ſi ma vigueur s’abbat, Et me donne aſſeurance au milieu du combat, Les vingt & trois Chreſtiens que la priſon enferms, Pour arriutr a Ditu n'auront pas plus long teime.	Ha Madame sortez de cet aveuglement, Je viens vous inviter à mon dernier tourment, Et par votre présence animer mon courage, Pour franchir sans frayeur ce glorieux passage, Dieu pour mon avantage a permis votre erveur, Et d'un si beau transport a troublé votre cœur, C'est main qui vous a mis l'inuectiue à la bouche, Affin que désormais votre exemple me touche, Me serve d'aiguinon si ma vigueur s'abat, Et me donne assurance au milieu du combat, Les vingt et trois Chrétiens que la prison enfermoi, Pour arrive à Ditu n'auront pas plus long ue.
Les Bourreaux ſont tous preſts, & on n’attend qu vous.	Les Bourreaux sont tous prêts, et on n'attend qu vous'
Ha mon frere!	Ha mon frère!
THEODORE.	THÉODORE.
ADRIAN.	ADRIAN.
Oüy Madame il endure auec nous.	Oui Madame il endure auec nous.
THEODORE.	THÉODORE.
Dieux!	Dieux!
que n’arrachez-vous cette vie importune, Qui fait viure auec moy ma mauuaiſe fortune, Filandrieres du ſort, impitoyables ſœurs Couppez auec mes iours le fil de mes mal-heurs, Ne vous obſtinez plus à traiſner ma fuſée.	que n'arrachez-vous cette vie importune, Qui fait vivre avec moi ma mauvaise fortune, Filandrières du sort, impitoyables sœurs Coupez esprit mes jours le fil de mes malheurs, Ne vous obstinez plus à traîner ma fusée.
Que tant d’aduer ſitez deurotent auoir vſets, Et toy paſſe bien toſt vieux nocher rigoureux.	Que tant d'aver sitez devrotent avoir usets, Et toi passe bien tôt vieux nocher rigoureux.
L’infortunét ſœur d’vn frere mal-heureùx, Helas ie n’en puis plus, la force m’abandonne.	L'infortunét sœur d'un frère mal-heureùx, Hélas notre n'en puis plus, la force m'abandonne.
NATALIE.	NATALIE.
Fauſte tiens-toy tonſieurs aupres de ſa perſonne, Taſche de rappelur ſa premiure vigueur, erù aualarceuna, tal ua peojeitanr, Et vous mon cher Eſpoux excuſez ma ſurpriſt.	Fauste tiens-toi tonsieurs auprès de sa personne, Tâche de rappelur sa premivre vigueur, erù avalarceuna, tal peojeitanr, Et vous mon cher Espoux excusez ma surprît.
ADRIAN.	ADRIAN.
Adieu mon cher valet, le Ciel te fauoriſe, Mon Auge auançons nous nous perdons trop de tẽps.	Adieu mon cher valet, le Ciel te favorise, Mon Auge avançons nous nous perdons trop de temps.
Et ie difſere trop le bon-heur que i’attends.	Et ici difsere trop le bonheur que j'attends.
aairrlldrar Oüy genereux Martir courez à la victoire.	aairrlldrar y généreux Martir courez à la victoire.
Aux palmis, aux lauriers, au triomphe, à la gloire.	Aux palmis, aux lauriers, au triomphe, à la gloire.
ADRIAN.	ADRIAN.
Dites-moy, mop ſoucy car apres mondetez Vos biens ſeront en proye, ou du moins en procez, Quel ordre auez Pous mis pour preuenir leur perte?	Dites-moi, mop souci car après mondetez Vos biens seront en proie, ou du moins en procès, Quel ordre avez Pous mis pour prévenir leur perte?
NATALIE.	NATALIE.
A de trop bas penſers voſtroiame s’eſt ouuerte, Magnanime Adnan, firmez tes yeux du corps, Et ne receuez plus ces objeis de debors Dans l’eſpoir des threſors que le Ciel nou prepare, Et deſquels à bon dopict l’homme peut eſtre auare, On ne peut ſans ſoibleſſe indigne d’va Chreſſitu, Conceuoir des regrets pour la perte du bien, Portεz portez plus hauc voſtςe ame genεrεuſο, Vors le ſouuerain bien qui ia doit rentre heureeſe, Attachez voſtre idée à ce diuin obiet, Etne vous troublez plus d’vn ſoin laſche & abiect.	À de trop bas pensers vostroime s'est ouverte, Magnanime Adans, firmez tes yeux du corps, Et ne recevez plus ces obéis de debors Dans l'espoir des trésors que le Ciel nou prépare, Et desquels à bon dopict l'homme peut-même avare, On ne peut sans soiblesse indigne d'une Chressitu, Concvoir des regrets pour la perte du bien, Portés portez plus hauc vosthe âme genεrεusο, Vors le souuerain bien qui ja doit rentre heuremes, Attachez votre idée à ce divin objet, à ce divin plus et a battuin objet.
SCENEFAVSTE, THEODORE.	SCENEFAUSTE, THEODORE.
THEODORE.	THÉODORE.
A Ciel inexοrablel ha fortane contrdire E I qui m’oſtez pour iamais la veuë de mon fiert N’eſperez plas de moy, ny victimes, ny vœlx, Helas que m'a ſeruj de coupper mis uheueux;	A Ciel inexοrablel ha fortane contrdire I qui ôtez pour iamais la veuë de mon fiert espérez plas de moi, À Cie, ni vœlx, Helas que ha fortane coupper ire Eveux;
Ne valloit-il pas mieux que ma main toute preſte, A vanger ma douieur aax uejpens uc um teſse, Eut le ſoulagement d’en faire à ſon plaiſit, Et ſoiure la fureur qui me vient de ſaiſis.	Ne vallait-il pas mieux que ma main toute prête, A venger ma douieur ax uejpens uc um tesse, Eut le soulagement d'en faire à son plaisit, Et soivre la fureur qui me vient de saisis.
2	2
FAVSTE.	FAUSTE.
Daus les plus grands mal-heurs da tonſtance eſt pl bell THEODORE.	Dans les plus grands malheurs da tonstance est plutôt bell THÉODORE.
Dans la pezte des ſiens da conſtance eſt cruelle, Et d'vn frere ſur tout qui n’aucit point d’eſgal, Peut-eſtre a-t’il deſia receu le coup faral.	Dans la pale des siens da constance est cruelle, Et d' frere sur tout qui n'aucit point d'égal, Peut-être a-t-il déjà reçu le coup faral.
Et l’auare Bourtau qui ræuir ſa deſpoüille, Le traiſne incor mourant & dans ſon ſang ſe ſoit Ha frire mal heureux!	Et l'avare Bourtau qui ræuir sa dépouille, Le traîne incor mourant et dans son sang se soit Ha frire mal heureux!
ha mal-heureuſe ſœur?	ha malheureuse sœur?
FAVSTE.	FAUSTE.
Mon deſtin n’agit pas auet pius αο boιteuτ, Et ſans douta l'ennuy m'aracherois des plainees.	Mon destin n'agit pas auet pius âme boûteu, Et sans douta l'ennui m'archerais des plainees.
Si la foy n’arreſſez ſes plus iuſtes atteintes, C’eſt elle qui tend l’homme inſenſible aux douleuis.	Si la foi n'arrête ses plus justes atteintes, C'est elle qui tend l'homme insensible aux douleuis.
Qui de ſa viue ardeur ſeche toutes les pleurs, Et qui me découurant la glotre de mon Maiſſte, Fait auorter le deüil que ſa mort euſt fait naiſtre.	Qui de sa vive ardeur seche toutes les pleurs, Et qui me découvrant la glotre de mon Maisste, Fait auorter le deuil que sa mort eût fait naître.
THEODORE.	THÉODORE.
Ie ne m’eſlonne pas ſi vos tœurs endurcis Ne donnent point d’entrée aux plus iuſtes ſoucis.	Je ne m'élonne pas si vos tœurs endurcis Ne donnent point d'entrée aux plus justes soucis.
Dans le ſangdes Enfans dont vos Autels rougiſſent, Vous noyez la pitié, vos fureurs s’eſtableſſent, Par ces objets d’horreur & voſtre fermeté, Tient moins de la vertu que de la truautté, Barbares meurtriers d'innotemtes victimes, Cegte ne cenſurer mes traaſparts legitimes, De vos faſchaux conſeuls it ne prens point le loy, Et le deſeſpoir ſaul eſt eſcoutό de πoy.	Dans le sangdes Enfants dont vos Autels rougissent, Vous noyez la pitié, vos fureurs s'établessent, Par ces objets d'horreur et votre fermeté, Tient moins de la vertu que de la truauté, Barbares meurtriers d'innoteme victimes, Cegte ne censurer mes traasparts legitimes, De vos faschaux conseuls ne prens point le loi, Et le désespoir saul est escoutό de .
FAVSTE.	FAUSTE.
Voyla de vos Docteurs les laſches calomoies, On ne voit rien d’impur dans nos ceremonies, Le ſangdes avimaux en eſt meſme banny O grand Dieu qui.	Voilà de vos Docteurs les lâches calomoies, On ne voit rien d'impur dans nos cérémonies, Le sangdes avimaux en est même banni Ô grand Dieu qui.
brυſtez d'νη amοuν infiny, Pour la naiure bumaine éclairez Thcodore, Monſtrez-luy joſire face & qu’elle vous adore, Et par ces douxvajons qui penetrens les cœurs, Illuminez ſon ame & tariſſez ſes pleurs.	brûtez d'ils amοuν infini, Pour la naiure bumaine éclairez Thcodore, Montrez-lui josire face et qu'elle vous adore, Et par ces douxvajons qui penetrens les cœurs, Inez son âme et tarissez ses pleurs.
THEODORE.	THÉODORE.
Va, laiſſe-moy pleurez, ie ſuis incouſalable, Elle entend vn oſelat de tonnerre.	Va, laisse-moi pleurez, on suis incousalable, Elle entend un osélat de tonnerre.
Tene ſçay d’où prouient cét eſclat effroyable, Le viſage du Ciil n’en ſembloit point parler,	Tene sais d'où provient cet éclat effroyable, Le visage du Ciil n'en semblait point parler,
FAVSTE.	FAUSTE.
Il ne procede point des qualitez de l’aïr, C’eſt vne nouueauté dont i'ignore la cauſe.	Il ne procède point des qualités de l'aïr, C'est une nouveauté dont j'ignore la cause.
THEODORE.	THÉODORE.
Helas mon triſte cœur veut eſperer & n’oſe, Si le bon luppiter attendry par mes pleurs Faiſoit choir ſes carreaux ſur les executeurs, S’il ouuroit pour la ſuitte vn chemin à mon frere, Et combatioit pour luy;	Hélas mon triste cœur veut espérer et n'ose, Si le bon lupiter attendri par mes pleurs Faisait choir ses carreaux sur les exécuteurs, S'il ouvrait pour la suite un chemin à mon frère, Et combatiait pour lui;
mais qu’eſt-ce que i’eſpere, Mon frerɇ eſt le plus grand de tous ſes ennemis, Et quand meſine le Ciel a mus deſir ſoubmis Auroit voulu laiſſer ſa ſuste en ſa puiſſance Son courage brutal y feroit reſiſtauce, Et malgré ſa faueur atteudroit les bourreaix Pour offrir derethef ſa teſſe à leurs couteaux;	mais qu'est-ce que j'espère, Mon frer est le plus grand de tous ses ennemis, Et quand mesine le Ciel a mus désir soumis Aurait voulu laisser sa suste en sa puissance Son courage brutal y ferait résistauce, Et malgré sa faveur atteudrait les bourreaix Pour offrir derethef sa tesse à leurs couteaux;
Ha ce n’eſt paint pour luy que groudoit la tempiſte Sacolere pluſlot eſclattoit ſaz la teſte Des inſelens Chreſtiens qui de leur echaffaux, Vomſſoient à l’enuy dis blaſphemes nouueaux, Et d’vne bouthe impie excitoient cẽt orage, Dont la furie arreſie & leur vis, & leur rage, Le tonnerre eſt toufiours meſſager demal-heurs	Ha ce n'est phaint pour lui que groudait la tempistère Sacolère pluslot éclatait sa ra teste Des inselens Chrétiens qui de leur échaffauts, Vomssaient à l'envi dis blasphèmes nouveaux, Et d'une bouthe impie excitaient cent orage, Dont la furie arrésie et leur vis, et leur rage, Le tonnerre est toufiours messager demalheurs
SCEN E.	SCEN E.
SCENE FAVSTE, NATALIE, THEODORE,	SCÈNE FAUSTE, NATALIE, THÉODORE,
NATALIE.	NATALIE.
Voy ie vous trouute encor plongée dans les pleurs!	Vo ie -vous trouvte encor plongée dans les pleurs!
Parmy tant de ſujets d’vne iuſte allegreſſe Voſre ame ſans raiſon s'obſtine en la triſſeſſe, A quoy bon ces ſouſpirs?	Parmi tant de sujets d'une juste allégresse Votre âme sans raison s'obstine en la trissesse, À quoi bon ces soupirs?
THEODORE.	THÉODORE.
ul viun mon prue ijr mert.	ul viun mon prue ijour mert.
NATALIE.	NATALIE.
Il vit dans l’Empirée.	Il vit dans l'Empirée.
THEODORE.	THÉODORE.
Ha foible reconfort, Pire que douleur mon mal eſt veritable, Et pour le ſoulager on m’allegue vne fable Allez porter ailleuts vos conſolations, Ie ne me repais pas de ſuperſtitions, Voſtre force d’eſprit n’a point pour moy de charmes;	Ha faible réconfort, Pire que douleur mon mal est véritable, Et pour le soulager on m'allégue une fable Allez porter ailleuts vos consolations, Je ne me repais pas de superstitions, Votre force d'esprit n'a point pour moi de charmes;
Et ie trouue ma gloire à me norer de larmes, La peine diminuë à plaindre ſa rigueur, Et l’ame par les pleurs décharge ſa douleur, Pleurez doncques mes yeux malgré leur reſiſtante, Vangez moy de leur fiere & barbare conſtance, Et deußiez vous enfin ſouffrir l’aueuglement, Vuidez toute l’humeur qui vous ſert d’alimene, Ie dois ce ſacrifict au x manes dt mon frere,	Et petit trouve ma gloire à me norer de larmes, La peine diminue à plaindre sa rigueur, Et l'âme par les pleurs décharge sa douleur, Pleurez donc mes yeux malgré leur résistante, Vengez moi de leur fière et barbare constance, Et deviez vous enfin souffrir l'aveuglement, Videz toute l'humeur qui vous sert d'allimène, Je dois ce sacrifict au x mânes dût mon frère,
NATALIE.	NATALIE.
D’vn tonnerre impreutu l’eſelatante colere, N’a t’elle point ietté l’alarme in vos eſprits.	D'un tonnerre impreutu l'éelatante colère, N'a t'elle point jeté l'alarme in vos esprits.
THEODORE.	THÉODORE.
Ce changement de temps nous a tous deux ſurpris,	Ce changement de temps nous a tous deux surpris,
NATALIE.	NATALIE.
En vain l’idolatrie apres cette tempeſte, D’vn temeraire effort voudra leuer la teſte, Le ciel d’vn coup de foudre a renuerſé ſes Dieux, Et ſes feux ont offert la lumiere à vos jeux, Nul ne peut reuoquer ce grand miracle en doute, Dila vine un ques venjer eg enderoase, Mais auant ſur ce point contenter ves deſirs, Sçachez comment ſont moris nos genereux martyrs.	En vain l'idolâtrie après cette tempête, D'un téméraire effort voudra leuer la tête, Le ciel d'un coup de foudre à renversé ses Dieux, Et ses feux ont offert la lumière à vos jeux, Nul ne peut révoquer ce grand miracle en doute, Dila vine un ques venjer ég enderoase, Mais avant sur ce point contenter vez désirs, Scachez comment sont moris nos généreux martyrs.
THEODORE.	THÉODORE.
Que i’eſcoute vne hiſtoire, & cruelle & funeſte, Qui m’arrache des yeux ce peu d’humeur qui reſte Ou que degenerant dans veſtre cruauté li lepauſt ae janx matanoſia.	Que j'écoute une histoire, et cruelle et funeste, Qui m'arrache des yeux ce peu d'humeur qui reste Ou que dégénérant dans vêtre cruauté li lepaust ae janx matanosia.
Ha!	Ha!
ne redoublez point mes ſanglots & mes plaintes, Mon ame a reſſenty d’aſſez viues ateintes, Et le moindre ſurcroiſt me mettroit au cercueïl.	ne redoublez point mes sanglots et mes plaintes, Mon âme a ressenti d'assez vives ateintes, Et le moindre surcroît me mettrait au cercueil.
NATALIE.	NATALIE.
Ie n’ay pas fait deſſein d’accroiſtre voſtre deüil, Qui loing de s’eſueiller au bruit de mon hiſtoire, N’oſtra plus paroiſtrb uuprenue tant de gloire, Et ſe dißipera comme vn nuage eſpa is,	Je n'ai pas fait dessein d'accroître votre deuil, Qui loin de s'éveiller au bruit de mon histoire, N'ôtra plus paroistrb uprenue tant de gloire, Et se dissipera comme un nuage épa is,
Que le pere du iour a battu de ſes rais, Noſtre inuincible Heros ſans changer de courage, Vit les preparatifs d’vn terrible carnage, Des eſchaffaux de fer, d’horrible achereaux, Et la cruauté peinte en les jeux des Bourreaux, Tout eſtoit deſia preſt, les Chreſtiens s’entr'exbortent, Et montent tous enſemble où leurs zeles les porte, Ha!	Que le père du jour a battu de ses rais, Notre invincible Héros sans changer de courage, Vit les préparatifs d'un terrible carnage, Des eschaffaux de fer, d'horrible achèreaux, Et la cruauté peinte en les jeux des Bourreaux, Tout était déjà prêt, les Chrétiens s'entr'exbortent, Et montent tous ensemble où leurs zèles les porte, Ha!
qu’il faiſoit beau voir ces martyrs eſtendus, Les mains iointes en Croix, les yeux au Ciel tendus, Appuyer ſans effroy les iambes ſur l’enclume, Sur le front des Bourreaux la colere s’allume, Ils retrouſſent les bras, & les haches en main, Chaſſent à leur eſclat tout ſentiment humain, A peine eus-je apperceu le tranchant de leur lamo Qu’vne injuſte frayeur s’empara de monau Ie me repreſentay leurs effroyables coups Capables d’arreſter l’ardeur de mon Eſpoux, Et mon zele accourrant pour ſouſtraire à ſa viuë, Tout ce qui peut troubler vne ame irreſolue, I’exhorte les bourreaux de commençer par luy;	qu'il faisait beau voir ces martyrs étendus, Les mains jointes en Croix, les yeux au Ciel tendus, Appuyer sans effrois les jambes sur l'enclume, Sur le front des Bourreaux la colère s'allume, Ils retroussent les bras, et les haches en main, Chassent à leur éclat tout sentiment hum, À peine eus-je aperçu le tranchant de leur lamot Qu'une injuste frayeur s'empara de mon Je me représentai leurs effroyables coups Capables çoups Ça de mon Espoux,Le mon d' accourrant pour soustraire sa viuë, Tout ce qui peut troubler l' irrésolue, Eexhorte les mo de commençer par lui;
Quand l’vn deux retirant ſa hache de l’eſtuy En faict en ſe tournant vne rude deſcharge;	Quand l'un deux retirant sa hache de l'étui En fait en se tournant une rude décharge;
Des troncs & des tronçons découle vn ruiſſeau large, Courage cher Eſpoux luy dis-ie en l’ambraſſant Le ciel ne ſe prend pas d’vn eſſort languiſſant, Ie ſus-Chriſt combatit pour auoir la victoire, Il luy fallut ſouffrir pour entrer dans ſa gloire, Et fraier vn chemin que ſon ſang arroſa.	Des troncs et des tronçons découle un ruisseau large, Courage cher Espoux quelque dis-je en l'ambrassant Le ciel ne se prend pas d'ils essort languissant, Je sus-Christ combatit pour avoir la victoire, Il tu fallut souffrir pour entrer dans sa gloire, Et frayer un chemin que son sang arrosa.
Luy ſoudain s’eſleuant m'embraſſe & me baiſa, Puu me tendant la main, ie l’accepte luy dis-je, Ce preſent cher Eſpoux me conſole & m’oblige, Couppez dis je aux Bourreaux ce gage pretioux, Que mon mary me laiſſe auant fermer les yeux, Et puis ie l’enueloppe entor toute ſanglante, Cependant qu'Adrian d’vne œillade mourante Enuiſage le Ciel & vend ſon ame à Dieu, I’entends ſes compagnons qui me crient adieu.	Lui soudain s'élevant m'embrasse et me baisa, Pu me tendant la main, une l'accepte était dis-je, Ce présent cher Époux me console et m'oblige, Coupez dis -je aux Bourreaux ce gage prétioux, Que mon mari me laisse avant fermer les yeux, Et puisque l'enveloppe entor toute sanglante, Cependant qu'Adrian d'une œillade mourante Envisage le Ciel et vend son âme à Dieu, J'entends ses compagnons qui me crient adieu.
Et me tournant vers eux, lumiire des fid elles, Oiſeaux de paradis ſans pieds, mais non ſans aiſtes, Volez αω-je à iamau vers l’obict deſiré.	Et me tournant vers eux, lumiire des fid elles, Oiseaux de paradis sans pieds, mais non sans aistes, Volez -je à jamau vers l'obict désiré.
Tout nage dans le ſang & leur cœur alteré, Se ſeiche & s’eſtraißt, la mort paſle & deffaicte.	Tout nage dans le sang et leur cœur altéré, Se seiche et s'estraisst, la mort pâle et défaite.
Imprimt ſur le front vne image par faitte.	Imprimt sur le front une image par faitte.
De ſes funeſtes traits, leurs membres diſperſez Par vn barbare effort l’vn ſur l’autre entaſſez, Großiſſout vn bueher, la flâme impatiente Semble deſia baiſſer leur perruque ſanglante, Les iorc̈hes des bourreaux irritent ſa chaleur, Quand le Ciel ſe courrouce & changeant de touleus, Fait reſſoudre en torreuts les vaſtes torps des nuës, Tous les venis déchainez vent parcourir les ruës, Esbraulent les maiſons & ſe char geant de clair, S'eſtorçent de chaſſer l’ebſcurité de l’air, Les Tonnerres font bruit les foudres & la greſte A l’entour du bucher arriuent peſle meſle, Les Bourreaux effrayez cherchent à ſe ſeuuer, Pendant que les Chreſſiens ſe haſtent d’enlener, Les corps ſaincts des Martyis & qu’encor bors d’haleine, Ie viens par ce recit ſoulager voſtre peine, mM Et prenez auet nous part à voſtre bon-heur.	De ses funestes traits, leurs membres dispersés Par un barbare effort l'un sur ère entassez, Grossissout un bueher, la flamme impatiente Semble déjà baisser leur perruque sanglante, Les iorc̈hes des bourreaux irritent sa chaleur, Quand le Ciel se courrouce et changeant de toulus, Fait résoudre en torreuts les vastes torps des nues, Tous les venis déchainez vent parcourir les rues, Et les maisons et se char géant de ur, S'estorçent de ma y de air, Les Tonnerres et bruit se foudres et hagreste A entour du bûcher arriuent pèle air, Les Sor effrayez cherchent de seuuer, Pendant que les Chasse se hâtent enlener, Les ' ai des Martyis et encor bs haleine, Ie viens par l' ai soulager vôtre peine, mM Et prenez auet nous part vôtre bon-heur.
THEODORE.	THÉODORE.
Oüy malgré les refus de mon ame obſtinée, Ie gouſte le bon-heur de noſtre deſtinée, Vn attraict inconnu s’empare de mon cœur.	Oui malgré les refus de mon âme obstinée, Je goûte le bonheur de notre destinée, Un attrait inconnu s'empare de mon cœur.
Et remplit mon eſprit d’vn iour plein de douceur, Vos myſteres pour moy n'ont plus meſme viſage, Leur eſclat me ſurprend & leur beauté m'engage.	Et remplit mon esprit d'une jour plein de douceur, Vos mystères pour moi n'ont plus même visage, Leur éclat me surprend et leur beauté m'engage.
Tout m’y paroiſt ſublime & la mort des Martyrs, Qui vient de m’arracher tant d’iniuſtis ſouſpirs, Au lieu de m’afſliger me donne de l'enuie, Et mon ſoul deſplaiſir eſt d’eſtre encore en vie, Mais que n’allons nous rendre à leurs membres eſpars Tous les honneurs qu’on rend à ceux de nos Cœſars, Que n'auons nou par toui tonpleje tes orfeures, Que n’allons nous coller nos bouches ſur leurs leures, Et nous ſanct fier par lèurs attouchemens, Auant mettre leurs corps dedans le monumint.	Tout m'y paraît sublime et la mort des Martyrs, Qui vient de m'arracher tant d'injustis soupirs, Au lieu de m'afsliger me donne de l'envie, Et mon soul déplaisir est d'être encore en vie, Mais que n'allons nous rendre à leurs membres épars Tous les honneurs qu'on rend à ceux de nos Cœsars, Que n'avons nou par touches tonpleje tes orfèvres, Que nallons us coller nos bouches sur leurs bouches, Et nous sanct fier par livres attouchements, Avant mettre leurs corps dedans le sort.
Natalie decouurant la main de ſon mary.	Natalie découvrant la main de son mari.
Commencez dés te lieu, is porte vne relique, De mon cher Adrian preſent ſi magnifique, Que le fiecle preſent & la poſterité, Vanterent à l’enuy ſa liberalité.	Commencez dès te lieu, is porte une relique, De mon cher Adrian présent si magnifique, Que le siècle présent et la postérité, Vantèrent à l'envi sa libéralité.
THEODORE.	THÉODORE.
O main dont la preſence excite mes tendreſſes.	Ô main dont la présence excite mes tendresses.
FAVSTE.	FAUSTE.
O main dont chaque iour eſclaira les largeſſes, Mais touſiours employée aux grandés actions.	Ô main dont chaque jour éclaira les largesses, Mais toujours employée aux grandés actions.
Commence à receuoir des adorations.	Commence à recevoir des adorations.
THEODORE.	THÉODORE.
C’eſt donc toy belle main, qu’on voyoit dans l’armẽe, D’vn courage inuincible aux combax animée, Faire tomber ſous ſoy les plus hardie Gueniers.	C'est donc toi belle main, qu'on voyait dans l'armène, D'un courage invincible aux combax animée, Faire tomber sous soi les plus hardie Gueniers.
Et d’vn loüable effort arrucher.	Et d'un louable effort arrucher.
leurs laur?	leurs laur?
ers.	ers.
NATALIE.	NATALIE.
Mais pluſtoſt qu’on vesra dans le Ciel Empirẽe, Des palmes de Martyrs à iamau bonorée, O glorieuſe main traiſnez aou Apns vous, Quand vous ſerez remiſe au brus de mon eſpoux, Qu'à ce moment heureux Dieu, vniſſe à noſtre ame Vous au bras d’Adrian, Adrian à ſa femme, Et qu’en cette vnion nous rions des tyrans, Et contions ſans vieillir vn nombre infiny d’ans, Mais vous chere couſine à qui Oieu fait la grace De n’auoir plus ce tœur enuironné de glace, De n’auoir plus des yeux ſi rebelles au iour, Qui vous laiſſez ſurprẽdre aux traits de ſon amour, Qui deteſtez l’erreur & ces ſales images, Qui n’a gueres de vous receugient des hommages, Et rompez les liens qui vous ont arreſté, Qui troyεz- vouς aulheur de voſtre liberté,	Mais plutôt qu'on véra dans le Ciel Empirée, Des palmes de Martyrs à jamau bonorée, Ô rieuse main traînez aou Apns vous, Quand vous serez remise au brus de mon époux, Qu'à ce moment heureux Dieu, quelque âme à notre Âme au bras d'Adrian, Adrian à sa femme, Et qu'en cette Amion nous rions des tyrans, Et contions sans vieillir un nombre infini d'ans, Mais vous chère cousine à qui Oieu fait la grâce De 'avoir plus ce tœur environné de glace, De n'avoir plus des yeux si rebelles a voir, Qui vous laissez surprẽdre aux traits de son yeux, Qui et l'erreur et ces sales images, Su a guères de vousprêt des hommages, à rompez les liens qui vous ont a, Qui mo- vouς aulheur de vôtre liberté,
THEODORE.	THÉODORE.
Dieu ſeul en eſt l'autheur ſon bras ſeul eſt capable, D’abbaiſſer nos eſprits ſous ſon ioug adorable.	Dieu seul en est l'auteur son bras seul est capable, D'abaisser nos esprits sous son joug adorable.
NATALIE.	NATALIE.
Mais encore quelqu’vn vous moyenne ce bien,	Mais encore quelqu'un vous moyenne ce bien,
AlLobene.	AlLobène.
Les iugemens de Dieu ſont au deſſus du mien,	Les jugements de Dieu sont au dessus du mien,
NATALIE.	NATALIE.
