A TRESILLVSTRE ET TRES-GENEREVX Prince Monſeigneur de Vaudemont.	À TRESILLVSTRE ET TRÈS-GÉNÉREUX Prince Monseigneur de Vaudemont.
car les Aſtres, & les mõſtres qui naiſſoient l'en menaçoient, Herodian luy en parlh, vi Hermite tenant vn glaiue nud en ſa main 6 ct en ſigne de iuſtice luy predict, & les auã, n courriers de ſes malheurs arriuoient de toutes pars, toutefois il luy reſtoit encon I quelque eſperãce de vaincre ces deſaſtres re & regaigner le deſſus, par le moyen de ſon de armée qui estoit debout en Myſie, ſoule ſe la conduicte de Pierre ſon frere, quandi la entendit les nouuelles que la plus grandi tre part d’icelle ſ'eſtoit reuoltée, & auoit eſle fic pour Empereur vn certain Capitaine Cè uo tenier nommé Phocas, & que le reſte qu'ba n’auoit voulu receuoir Phocas, auoit eſles tou Theodoſe ſon fils pour gouuerner l’Empàme re, ou à ſon refus Germain ſon beau Pere ret ce qui le fit craindre & l’irrita tellemen ua ste de car m at enc uſt de A uan a P Argument de la Tragœdie u’il procura d’oſter la vie à Germain, & conçeut preſque vn meſme mal-talent cõtre ſon fils qu’il voulut faire fuſtiger de verges, ſoupçonnãt que tous deux auroiét, prenant l’occaſion par les cheueux au milieu de ſes calamitez, aspiré à la courõne, mais (comme il eſt impoſsible de forcer le deſtin, & de deſtourner la vengeance qui uit le peché) ſes propres ſubiects ſe banderent contreluy, ſi bien qu’il fut contrainct d'abſenter la ville de Constantinople, & e retirer en vn port de mer, qui eſtoit en la coſte de Nicomedie, & penſant qu’il trouueroit peut estre plus de cõſtance & fidelité ſur les ondes inconſtantes qu’il n’auoit trouué en ſes propres ſubiects) ſ'emparqua ſur la mer, mais les gouttes qui le ourmentoient l’ayans cõtraincts de ſe renettre au port, au ſçeu de Phocas, il fut etiré de là, & amené auec ſa famille detant le Tyran (qui peu au parauãt eſtoit de Maurice l Empereur.	car les Astres, et les mõstres qui naissoient l'en menaçoient, Herodian lui en parlh, vi Hermite tenant glaiue en sa main 6 en signe de iustice lui predict, et les auã, courriers de ses malheurs arriuoient de toutes pars, toutefois il lui restoit encon I quelque esperãce de vaincre ces désastres re et regaigner le dessus, par le moyen de son de armée qui estoit debout en Mysie, soule se la conduicte de Pierre son frère, quandi la entendit les nouuelles que la plus grandi part icelle s'estoit reuoltée, et auoit esle fic pour Empereur certain Capitaine tenier nommé Phocas, et que le reste qu' çauoit les receuoir Phocas, et les mon Theodose qui nais pour gouuerner l'Ena re, et ôsonprou Germain son du Monde , qui le fit sai et Hermite tellemen a site un car m nu en sa main A ct a N Signe de ju Tragœdie même prédôter et les a Vance, et conçeut presque de ses mal-talent ur son fils arril voulut de toute de pars, tout que fois il auroiét, ait eoccasion par les que au milieu de es calamité, aspiré la courõne, a née il est impossible de forcer le ces, et dé détourner la vengeance qui le ce) ses propres et re gagner le, m bien ail , contrainct d'absenter le moyen de Son, et ébout en port M mer, si estoit se la conduite de Pierre, et quan dil trouueroit es ente plus de cõstance et dit sur les ondes inconstantes il nauoit re en te propres subiects) s'emparqua sur lamer, mais les gouttes que la ourmentoient lus cõtraincts de se renettre au part, d' elle s' Phocas, il fut re de là, et et auec ' il detant le Tyran (qui peu au , et de Maurice l Empereur.
entré en triomphe en la ville Imperiale Roy & ſ'estoit faict couronner Empereur des ſeule Romains au gré meſme de Germain qui' ſpye ſ'estoit rendu du coſté du plus fort) ou tron eſtant apres pluſieurs reproches qu’il fit Maurice ſ'allumant de brutalle rage, fu maſſacrer aux yeux du Pere, & de le Mere dolente, ſept ieunes Princes ſes fils dont le dernier ietta du laict au lieu de ſang, ayant penſé eſtre ſauué parſa nourrice qui auoit ſuppoſé ſon propre enfant ſoubs le couteau du meurtrier, & à meſme inſtant apres ce funeſte carnage fit trancher la teſte à Maurice qui endura le ſupplice außsi conſtamment cõme il auoit au parauant veus ſans moüiller ſes yeux le mort de ſes enfans, le Tyran differa le mort de Conſtantine ſon eſpouſe iuſques, quelque temps apres, dans lequel il extu pa peu à peu toute la race de Maurice, en v.	entré en triomphe en la ville Impériale Roi et s'était fait couronner Empereur des seule Romains au gré même de Germain qui spye 'était rendu du côté du plus fort) ou tron étant après plusieurs reproches qu'il fit Maurice s'allumant de brutalle rage, fu massacrer aux yeux du Père, et de le Mère dolente, sept jeunes Princes ses fils dont le dernier jeta du lait au lieu de sang, ayant pensé être sauvé par nourrice qui auoit supposé son propre enfant ô le couteau du meurtrier, et même instant apres ce funeste carnage fit trancher la teste Maurice qui endura le supplice ausssi constamment cõme il auoit au parauant veus sans moüiller ses yeux le mort de ses enfans, le Tyran différa le mort de Constantine son épouse iusques, quelque temps apres, dans lequel il extu peu peu toute la race de Maurice, en .
ale trant ainſi plein de ſang, en ſon nouues	ale trant ainsi plein de sang, en son nouves
Fautes à l’impreſſion.	Fautes à l'impression.
Page 8o.	Page 8o.
v.	v.
22.	22.
campagnes.	campagnes.
liſez compagnes.	lisez compagnes.
85.	85.
v.	v.
7.	7.
les eitoyens.	les éitoyens.
l.	l.
ſes citoyens.	ses citoyens.
104.	104.
v.	v.
2 le premiers.	2 le premiers.
l.	l.
les premiers.	les premiers.
D.	D.
a lles fils.	a lles fils.
l.	l.
tes fils, et v.	tes fils, et v.
6.	6.
les mains.	les mains.
l.	l.
tes mains.	tes mains.
108.	108.
v.	v.
7& eſtoufer.	7 estoufer.
l.	l.
eſtouffer.	étouffer.
113.	113.
v.	v.
17.	17.
de la griffe.	de la griffe.
l.	l.
de ſa giſſe.	de sa gisse.
116.	116.
v.	v.
7.	7.
emporte.	emporte.
l.	l.
empourpre.	empourpre.
ACTE PREMIER.	ACTE PREMIER.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
MAVRICE.	MAURICE.
LARDY.	LARDY.
PHILIPIQVE.	PHILIPIQUE.
MAVRICE.	MAURICE.
S Deceueurs appas de fortune muable, QO des Roys enſceptrez deſtin ineuitable Que me ſert de porter ce Diademe au front, Ce ſceptre dans la main ainſi que les Roys font, Puis que preßé du ſort qui de prez me talonne Il faut que ie ſois veuf, d’honneur, & de couronne.	 Seceuteurs appas de fortune muable, QO des Rois ensceptrez destin inévitable Que me sert de porter ce Diade au front, Ce sceptre dans la main ainsi que les Rois font, Puis que pressé du sort qui de prés me talonne Il faut que sans sois veuf, d'honneur, et de couronne.
O dangereux honneur, ô vaine vanité » Que d’estre gouuerneur en la ronde cité, » Trompeuſe vanité, qui d’vn ſorcier breuuage » Meſle parmy le ſuc d’vn petit aduantage » Mille maux, mille effrois, mille, & mille dangers, » Et nous fais comme fols du bon ſens eſtrangers.	Ô dangereux honneur, ô vaine vanité " Que d'être gouverneur en la ronde cité, " Trompeuse vanité, qui d'un sorcier breuage " Mêle parmi le suc d'un petit avantage " Mille maux, mille effrois, mille, et mille dangers, " Et nous fais comme fols du bon sens étrangers.
» Tantost pertez plus haut, ſur le vent de tes eſles » Nous ſemblons approcher ues tuiejres emandelles, " Puis tout ſoudain voilant nos yeux de ton bandeas, » Tu nous met außi bas que l’infernal caueau.	" Tantôt pertez plus haut, sur le vent de tes esles " Nous semblons approcher Œues tuyères emandelles, " Puis tout soudain voilant nos yeux de ton bandeas, " Tu nous met aussi bas que l'infernal caveau.
Ie dis cecy pour moy, qui plein de ta fumée N'aguerre commandois ſur la gent Romulée	Je dis ceci pour moi, qui plein de ta fumée N'aguerre commandais sur la gent Romulée
Tenant le ſceptre en main, ſuperbe en mon orgueil Ie ſemblois rayonner ainſi que le Soleil.	Tenant le sceptre en main, superbe en mon orgueil Je semblais rayonner ainsi que le Soleil.
Maintenant deſolé, mon decharné viſage De l’effroyable mort porte peinte l’image.	Maintenant désolé, mon décharné visage De l'effroyable mort porte peinte l'image.
O quiconque tu ſois, en ſes blandices pris A ſes charmés propos amuſant tes espris, 27 22 22 * 25 29 92 Prend garde à toy ſoigneus ſa richeſſe importune Traine apres ſoy touſiours vne aduerſe fortune, Elle tire en riant ſon ſanglant coutelas Pour retrencher ton heur, & cauſer ton treſpas, Et quant d’vn gay ſous-ris de ſes bras elle enlace.	Ô quiconque tu sois, en ses blandices pris À ses charmés propos amusant tes épris, 27 22 22 * 25 29 92 Prend garde à toi soigneus sa richesse importune Traine après soi toujours une adverse fortune, Elle tire en riant son sanglant coutelas Pour retrencher ton heur, et causer ton trépas, Et quant d'un gay sous-tris de ses bras elle enlace.
Mignardement ton col, c’eſt lors qu’elle menace Te tenant incertain, ſ'elle te veut baiſer, 2.	Mignardement ton col, c'est lors qu'elle menace Te tenant incertain, s'elle te veut baiser, 2.
Ou ſ'elle veut ton cœur d’vne dague percer Si ie iette les yeux ſur la pompeuſe gloire Et ſur le char orné de ſuperbe victoire D’Alexandre vainqueur, des Ceſars orgueilleux, Qui ont faict abaiſſer tout ce monde ſonbz eux, Ce n’eſt qu’vne couleur qui paroiſt en la nïe Ceſte freſle grandeur eſt vn rien deuenüe, De fortune vn eſclat dardé deſſus leurs chefz Leurs à cauſé des maux, des extremes meſchefz.	Ou s'elle veut ton cœur d'une dague percer Si ie iette les yeux sur la pompeuse gloire Et sur le char né de superbe victoire D'Alexandre vainqueur, des Césars orgueilleux, Qui ont fait abaisser tout ce monde sonbz eux, Ce n'est qu'une couleur qui paraît en la nue Cette frêle grandeur est un rien devenue, De fortune un éclat dardé dessus leurs chefsus Leurs ch causé des maux, des extrêmes mêchefs.
C’eſt toy Seigneur, c’eſt toy, qui veus par ta puiſſance Combatre & renuerſer la mondaine arrogance, Quand ne voulant porter le dous ioug de tes loys Enihonſtres que tu es le Roy deſſus les Roys, Faiſant tomber a bas l’audacieuſe teſte, Qui ne redoute plus les tretz de ta tempeſte.	C'est toi Seigneur, c'est toi, qui veux par ta puissance Combatre et renverser la mondaine arrogance, Quand ne voulant porter le dous joug de tes lois Enihonstres que tu es le Roy dessus les Rois, Faisant tomber a bas l'audacieuse tête, Qui ne redoute plus les tretz de a tempête.
Ceux qui faiſoient leurs noms eſcrire dans les Cieux, Et empruntoiẽt l’hõneur qui n'appartiẽt qu'aux Dieus Ont estez renuerſez ſoubz la lame poudrenſe Atterrez par l’effort de la parque traiſtreuſe.	Ceux qui faisaient leurs noms écrire dans les Cieux, Et empruntaient l'honneur qui n'appartiment qu'aux Dieus Ont estez renversez sous la lame poudrense Atterrez par l'effort de la par traistreuse.
O bon heur incertain, ô deplaiſans plaiſirs O plaiſirs compagnons de mille deplaiſirs, Que me ſert, que me ſert, ma Thyare entourée Des plus rares treſors de l’Indique contrée, Que me ſert, que me ſert, qu’au ſortir de ma voix Le peuple obeyſſant ſe range ſoubs mes loix, Qne ie parois plus haut ſur la tourbe menüe Que ſur les arbriſſeaux le Sapin baiſe-nüe.	Ô bon heur incertain, ô déplaisants plaisirs Ô plaisirs compagnons de mille déplaisirs, Que me sert, que me sert, ma Thare entourée Des plus rares trésors de l'Indique contrée, Que me sert, que me sert, qu'au sortir de ma voix Le peuple obéissant se range sous mes lois, Qne rien parais plus haut sur la tourbe menue Que sur les arbrisseaux le Sapin baise-nüe.
Si te ne puis chaſſer de mon cœur le ſoucy Qui touſiours me remord, & qui me mange ainſy.	Si te ne puis chasser de mon cœur le souci Qui toujours me remord, et qui me mange ainsy.
Que faict l’Aigle foudrier, le larron Promethée, da puemter, n'y detour ma peme nest ojree.	Que fait l'Aigle foudrier, le larron Promethée, da puemter, n'y détour ma peme nest ojre.
Le tombeau peut luy ſeul amortir mes trauaux Et bien toſt Atropos y enclorra mes maux.	Le tombeau peut lui seul amortir mes travaux Et bien tôt Atropos y enclorra mes maux.
LARDY.	LARDY.
Sire, que couuez vous au profond de voſtre ame, Qn'elle ardente douleur voz moüelles enflamme, » Decelez vostre mal:	Sire, que couvez -vous au profond de votre âme, Qu'elle ardente douleur volés mouelles enflamme, " Décolez votre mal:
quant le fiel d’vn ſoucy » Se perce à deſcouuert, il est plus adoucy.	quant le fiel d'un souci " Se perce à découvert, il est plus adouci.
MAVRICE.	MAURICE.
Làs ie ne veux plus vcoir la face de ce monde, N’y les feus ſcintillans dans ſa courtine ronde.	Làs ie ne veux plus vécoir la face de ce monde, N'y les feus scintillans dans sa courtine ronde.
Puis que i’ay traitrement, aueuglé d’vn deſir D'amaſſer des treſors, butte de mon plaiſer, De mes pauures Soudars les innocentes ames:	Puis que j'ai traitrement, aveuglé d'un désir J'amasser des trésors, butte de mon plaiser, De mes pauvres Soudars les innocentes âmes:
Faict paſſer par le fil des plus tranchantes lames, Non Seigneur non, il faut que le feu puniſſeur Que tu darde ſur nous teſmoing de ta fureur, Vienne tomber ſur nous, & nons reduire en cendre, Puis au ſoufler des vents, par le Ciel nous espandre.	Fait passer par le fil des plus tranchantes lames, Non Seigneur non, il faut que le feu punisseur Que tu darde sur nous témoing de ta fureur, Vienne tomber sur nous, et nons réduire en cendre, Puis au souffler des vents, par le Ciel nous épandre.
Perſonne ne ſçauroit ce mal cuiſant guerir, Il n'y a que la mort qui me peut ſecourir.	Personne ne saurait ce mal cuisant guérir, Il n'y a que la mort qui me peut secourir.
PHILIPIQVE.	PHILIPIQUE.
Helas Sire quel ſoing en voſtre cœur ſ'eſleue, Que ne luy donnez vous pour le moins quelque treue, vous vons fatetes mouiti, & ſene vontez pas La playe nous monſtrer, qui vous guide au treſpas.	Hélas Sire quel soing en votre cœur s'esleue, Que ne lui donnez -vous pour le moins quelque trouve, vous vons fatetes mouiti, et séné vontez pas La plaie nous montrer, qui vous guide au trépas.
MAVRICE.	MAURICE.
Gouuerneur eternel de la campagne aſtrée, Enuoyez moy la bas en la paſle contrée Des ombres de la nuict, pour eſtre tourmenté » Au forfaict il eſt d’eu le tourment merité Ie paſſeray, content, par le fer de cent piques, Par le feu meurtriſſant des manoirs Plutoniques, Là où il vous plairra, pitoyable Seigneur Ie courberé le dos ſoubs voſtre bras vengeur.	Gouverneur éternel de la campagne astrée, Envoyez moi la bas en la pâle contrée Des ombres de la nuit, pour être tourmenté " Au forfait -il est d'eu le tourment mérité Je passerai, content, par le fer de cent piques, Par le feu meurtrissant des manoirs Plutoniques, Là où il vous plaira, pitoyable Seigneur Je courberé le dos soubs votre bras vengeur.
PIITCIPIQVE.	PIITCIPIQUE.
Ah Prince genereux.	Ah Prince généreux.
MAVRICE.	MAURICE.
Ie me meurs, PHILIPIQVE.	Je me meurs, PHILIPIQUE.
Voſtre face A force de pleurer terniſt toute ſa grace.	Votre face A force de pleurer ternît toute sa grâce.
MAVRICE.	MAURICE.
La nuict que le ſommeil ſe coule aux animaux, renorepojepoim, i’endure mille maux, Mille ſonges errants ſe meſlent dans mon ame, Ie ſuis touſiours bruſlé d’vne ſecrette flame, Mon horrible peché ſe preſente à mes yeux Comme vn Demon ſortant des antres ſtygieux, Il le faut appaiſer, ſus ſus dextre bourelle, Il faut plomber de coups ta poitrine cruelle, Et faire ruiſſeler de tes yeux tant de pleurs, Que tu puiſſe à iamais eſteindre mes douleurs,	La nuit que le sommeil se coule aux animaux, renorepojepoim, j'endure mille maux, Mille songes errants se mêlent dans mon âme, Je suis toujours brûlé d'une secrète flamme, Mon horrible péché se présente à mes yeux Comme un Démon sortant des antres stygieux, Il le faut apaiser, sus sus dextre boulle, Il faut plomber de coups ta poitrine cruelle, Et faire ruisseler de tes yeux tant de pleurs, Que tu puisse à mes éteindre il douleurs,
LARDY.	LARDY.
Quelle cauſe vous meut à verſer tant de larmes.	Quelle cause vous meut à verser tant de larmes.
MAVRICE.	MAURICE.
Seigneur iettés ſur moy vos foudroyantes armes, Et que ce mien forfaict en bas precipite N’irrite iamais plus voſtre diuinité.	Seigneur jetez sur moi vos foudroyantes armes, Et que ce mien forfait en bas précipite N'irrite jamais plus votre divinité.
LARDY.	LARDY.
Faictes nous ſ'il vous plaiſt voſtre ſoucy entendre.	Faites -nous s'il vous plaît votre souci entendre.
MAVRICE.	MAURICE.
Mon ſoncy ne ſe peut de perſonne comprendre.	Mon sonci ne se peut de personne comprendre.
LARDY.	LARDY.
Il faut forcer ſon dueil.	Il faut forcer son deuil.
MAVRICE.	MAURICE.
Ie ne puis, ie ne puis.	Je ne puis, Seigneur ne puis.
Dans mon cœur affiigé ie trouue trop d’ennuis, Ennuy qui viuement ma pauure ame poinçottes!	Dans mon cœur affiigé der trouve trop d'ennuis, Ennui qui vivement ma pauvre âme pointes!
Et me traine ce ſemble en des obſeures grottes Ou il me faict reuoir les innocens espris, Que i'ay par mon mesfaict cruellement meurtris.	Et me traine ce semble en des obseures grottes Ou il me fait revoir les innocents épris, Que j'ai par mon méfait cruellement meurtris.
PHILIPIQVE.	PHILIPIQUE.
v'oſtre parolle encor ſe couure d'vne nué, Et ne voulez vous pas quelle nous ſoit cognüe Parlez apertement?	v'otre parole encor se couvre d'une nué, Et ne voulez -vous pas quelle nous soit connue Parlez apertement?
quels esprits quels Soudars Ont iamais abreué les poinctes de vez dars?	quels esprits quels Soudars Ont jamais abreué les pointes de vez dars?
MAVRIGE.	MAURIGE.
Les bandes qui ſoubs moy d’vne vaillante audace, Auoient pour mon honneur endoßé la cuiracs,	Les bandes qui sous moi d'une vaillante audace, Avaient pour mon honneur endossé la cuiracs,
B iij Ont eſté le but in du Soldat eſtranger Qui les a mis à mort, & i’ay preſté le fer Ie tremble ie fremis, las, à ceſte parolle,	 Bij Ont à cette but in du Soldat étranger Qui les a mis à mort, et j'ai prêté le fer Je tremble sans frémis, las, à cette parole,
LARDY.	LARDY.
Faicte que ce ſoucy de vostre cœur ſ'en vole, v du gtes, jejuijr, com queyyaamee;	Faite que ce souci de votre cœur s'en vole, v du gîtes, jejuijour, com queyyaamee;
Que vous n'exprimés pas le mal qui vous eſtrainct.	Que vous n'exprimez pas le mal qui vous estrainct.
MAVRICE.	MAURICE.
Que diray-ie bon Dieu!	Que dirai-je bon Dieu!
mon crime eſt manifeſte Digne du creux ſeiour, et de l’ire celeſte, C’eſt trop long temps tardé, vengez vous de ce tort, Vengez Seigneur vengez, ceſte innocente mort, Ie ſuis cauſe de tout, helas, ie le confeſſe, Cagane leur donna la mortelle detreſſe, Moy iaydois à pouſſer le meurtriſſant couteau Dedans leurs estomacs, à guiſe de bourreau.	mon crime est manifeste Digne du creux séjour, et de l'ire celeste, C'est trop long temps tardé, vengez vous de ce tort, Vengez Seigneur vengez, cette innocente mort, Je suis cause de tout, hélas, je le confesse, Cagane leur donna la mortelle detresse, Moi iaydois à pousser le meurtrissant couteau Dedans leurs estomacs, à guise de bourreau.
