TAVTE DETI MERMET	TAUTE DETI MERMET
Ce Ialous, cét emporté, ce Furieux, paroiſt tour radoucy, il ne parle que du deſr qu’il a de faire du Bien à ſa Maiſtreſſe:	Ce Jalous, cet emporté, ce Furieux, paraît tour radouci, il ne parle que du dér qu'il a de faire du Bien à sa Maîtresse:
& cqui eſt admirable, eſt qu’il luy dit toutes ces choſes auant qu’elle ſe ſoit iuſtifiée;	et cy est admirable, est qu'il lui dit toutes ces choses avant qu'elle se soit justifiée;
& lors qu’elle luy dit qu’il a raiſon d’eſtre Ialous.	et lors qu'elle avait dit qu'il a raison d'être Jalous.
C’eſt faire voir ce que peut l’Amour ſur le cœur de tous les Hommes:	C'est faire voir ce que peut l'Amour sur le cœur de tous les Hommes:
& ſaire connoiſtre, en meſme temps, par vne adreſſe que l’on ne peut aſſez admirer, ce que pȩuuent les Femme ſur leurs Amans, en changeant, ſeulement, le ton de leurs voix, & prenant vn air qui paroiſt enſemble, & fier, & attirant.	et zaïre connaître, en même temps, par une adresse que l'on ne peut assez admirer, ce que pȩuuent les Femme sur leurs Amants, en changeant, seulement, le ton de leurs voix, et prenant un air qui paraît ensemble, et fier, et attirant.
Pour moy, ie ne puis aſſez m’eſtonner, quand ie voy vne Coquette ramener, auant que s’eſtre iuſtifiée, non pas vn Amant ſoûmis, & languiſſant mais vn Miſantrope?	Pour moi, Seigneur ne puis assez m'étonner, quand on vois une Coquette ramener, avant que s'être justifiée, non pas un Amant soumis, et languissant mais ainsi Misantrope?
& l’obliger, non ſeulement, à la priere de ſe iuſtifier, mais encore à des proteſſations d’Amour, qui n’ont pour but que le bien de l’Obiet aimé;	et l'obliger, non seulement, à la prière de se justifier, mais encore à des protessations d'Amour, qui n'ont pour but que le bien de l'Objet aimé;
&, cependant, demeurer ferme apres l’auoir ramené;	et, cependant, demeurer ferme après l'avoir ramené;
& ne le point éclaircir, pour auoir le plaiſir de s’applaudit d’vn plein triomphe.	et ne le point éclaircir, pour avoir le plaisir de s'applaudit d'un plein triomphe.
Voila ce qui s’appelle manier des Scenes:	Voilà ce qui s'appelle manier des Scène:
voila ce qui s’appelle trauailler auec Art;	voilà ce qui s'appelle travailler avec Art;
& repreſenter, auec des traits delicats, ce qui ſe paſſe, tous les iours, dans le Monde.	et représenter, avec le traits délicats, ce qui se passe, tous les jours, dans le Monde.
Ie ne croy pas que les beautez de cette Scene, ſoient connuës de tous ceux qui l’ont veuë repreſenter.	Je ne crois pas que les beautés de cette Scène, soient connues de tous ceux qui l'ont vue représenter.
Elle eſt trop delicatement traitée;	Elle est trop délicatement traitée;
mais ie puis aſſeurer que tout le Monde a remarqué qu’elle eſtoit bien eſcrite, & que les perſonnes d’Eſprit en ont bien ſçeu connoiſtre les fineſſes.	mais personne puis assurer que tout le Monde a remarqué qu'elle était bien écrite, et que les personnes d'Esprit en ont bien su connaître les finesses.
Dans le reſte de l’Acte, le Valetedu Miſantroppe vient chercher ſon Maiſtre, pour l’auertir qu’on luy eſt venu ſignifier quelque choſe qui regarde ſon Piocez.	Dans le reste de l'Acte, le Valetedu Misantroppe vient chercher son Maître, pour l'avertir qu'on luitaît venu signifier quelque chose qui regarde son Piocès.
Commne l’eſprit paroiſt auſſi bien dans les petites choſes, que dans les grandes, on en void beaucoup dans cette Scene, puis que le Valer exerce la patience du Miſantrope;	Commne l'esprit paraît aussi bien dans les petites choses, que dans les grandes, on en void beaucoup dans cette Scène, puis que le Valer exerce la patience du Misantrope;
& que ce qu’il dit feroit moins d’eſtre, s’il eſtoit à vn Maiſtre qui fut d’vn autre humeur, La Scene du Valet, au quatriéme Acte, devoît faire croire que l’on entendroit bien toſt, parler du Procez.	et que ce qu'il dit ferait moins d'être, s'il était à un Maître qui fut d'un autre humeur, La Scène du Valet, au quatrième Acte, devoît faire croire que l'on entendrait bien tôt, parler du Procès.
Auſſi apprend t’on, à louuerture du cinquiéme, qu’il eſt perdu;	Aussi apprend t'on, à louuerture du cinquième, qu'il est perdu;
& le Miſantrope agit ſelon que i’ay dit au premier.	et le Misantrope agit selon que j'ai dit au premier.
Son chagrin, qui l’oblige à ſe promenet, & reſver, le fait retirer dans vn coin de la chambre, d’où il void auſſi toſt entrer ſa Maîtreſſe, accompagnée de l’homme auec qui il a eu Demeſlé pour le Sonnet.	Son chagrin, qui l'oblige à se promenet, et rêver, le fait retirer dans un coin de la chambre, d'où il voit aussi tôt entrer sa Maîtresse, accompagnée de l'homme avec qui il a un Demeslé pour le Sonnet.
Il le preſſe de ſe declarer, & de faire vn chois entre luy, & ſes Riuaux;	Il le presse de se déclarer, et de faire un chois entre vain, et ses Rivaux;
ce qui donne lieu au Miſantrope, de faire vn action qui eſt bien d’vn Homme de ſon caractere.	ce qui donne lieu au Misantrope, de faire un action qui est bien d'un Homme de son caractère.
Il ſort de l’endroit où il eſt, & luy fait la meſme priere.	Il sort de l'endroit où il est, et lui fait la même prière.
La coquette agit, touſiours, en femme adroite, & ſpirituelle;	La coquette agit, toujours, en femme adroite, et spirituelle;
& par vn Procedé qui paroiſt honneſte;	et par un Procedé qui paraît honnête;
leur dit, qu’elle ſçait bien quel chois elle doit faire, qu’elle ne balance pas;	leur dit, qu'elle sait bien quel chois elle doit faire, qu'elle ne balance pas;
mais qu’elle ne veut point ſe declarer en preſence de celuy qu’elle ne doit pas choiſir.	mais qu'elle ne veut point se déclarer en présence de celui qu'elle ne doit pas choisir.
Ils ſont interrompus par la Prude, & par les Marquis, qui apportent, chacun, vne Lettre qu’elle a écrite contre’eux:	Ils sont interrompus par la Prude, et par les Marquis, qui apportent, chacun, une Lettre qu'elle a écrite contre eux:
Ce que l’Autheur a preparé dés le troiſisme Acte en leur faiſant promettre qu’ils ſe montreroient ce qu’ils receuroient de leur Maîtreſſe.	Ce que l'Auteur a préparé dès le troisisme Acte en leur faisant promettre qu'ils se montreraient ce qu'ils recevraient de leur Maîtresse.
Ce Scene eſt fort agreable.	Ce Scène est fort agréable.
Tous les Acteurs ſont raillez dans les deux Lettres;	Tous les Acteurs sont raillez dans les deux Lettres;
& quoy que cela ſoit nouueau au Theatre, il fait voir, neantmoins, la veritable maniere d’agir des coquettes miouirantes qui panent, & ecrinent;	et quoi que cela soit nouveau au Théâtre, il fait voir, néanmoins, la véritable manière d'agir des coquettes miouirantes qui panent, et ecrinent;
conrinuellement, contre ceux qu’elles voyent tous les iours, & à qui elles font bonne mine.	conrinuellement, contre ceux qu'elles voient tous les jours, et à qui elles font bonne mine.
Les Marquis la quittent, luy témoignent plus de mépris, que de colere.	Les Marquis la quittent, Seigneur témoignent plus de mépris, que de colère.
La coquette paroiſt vn peu mortifiée dius cette Scene.	La coquette paraît un peu mortifiée dius cette Scène.
Ce n’eſt pas, quelle demente ſon caractere?	Ce n'est pas, quelle démente son caractère?
mais la ſurpriſe qu’elle a de ſe voir abandonnée, & le chagrin d’apprendre que ſon jeu eſt découuert.	mais la surprise qu'elle a de se voir abandonnée, et le chagrin d'apprendre que son jeu est découvert.
luy cauſent vn ſecret dépit qui paroiſt iuſques ſur ſon viſage.	Ne causent un secret dépit qui paraît jusques sur son visage.
Cet endroit eſt tout à fait iudicieux.	Cet endroit est tout à fait judicieux.
Comme la Mediſance eſt vn Vice, il eſtoit neceſſaire, qu’à la fin de la Comedie, elle eût quelque ſorte de punition:	Comme la Médisance est un Vice, il était nécessaire, qu'à la fin de la Comédie, elle eût quelque sorte de punition:
& l’Autheur a trouué le moyen de la punir & de luy faire, en meſme temps, ſoûtenir ſon caractere.	et l'Auteur a trouvé le moyen de la punir et de lui faire, en même temps, soutenir son caractère.
Il ne faut point d’autre preuue, pour montrer qu’elle ſoûtient, que le refus qu’elle fait d’épouſer le Miſantrope, & d’aller viure dans ſon Deſer.	Il ne faut point d'autre preuve, pour montrer qu'elle soutient, que le refus qu'elle fait d'épouser le Misantrope, et d'aller vivre dans son Déser.
Il ne tient qu’à elle de le faire;	Il ne tient qu'à elle de le faire;
mais leurs humeurs eſtans incompatibles, ils ſeroient trop malaſſortis;	mais leurs humeurs étants incompatibles, ils seraient trop malassortis;
& la coquette peut ſe corriger, en demeurant dans le monde, ſans choiſir vn Deſert pour faire r’enitence;	et la coquette peut se corriger, en demeurant dans le monde, sans choisir un Desert pour faire renitence;
ion crime, qui ne pait que dvn Eſprit encor ieune, ne demandant pas qu’elle en faſſe vne ſi grande.	ion crime, qui ne paît que dvn Esprit encor jeune, ne demandant pas qu'elle en fasse une si grande.
Pour ce qui regade le Miſantrope, on peu dire qu’il ſoûtient ſon Caractere iuſques au bout, Nous en voyons, ſouuent, qui ont bien de la peine à le garder pendant le cours d’vne Comedie:	Pour ce qui régade le Misantrope, on peu dire qu'il soutient son Caractère jusques au bout, Nous en voyons, souvent, qui ont bien de la peine à le garder pendant le cours d'une Comédie:
mais ſi, toinme i’ay dit tantoſt, celuy-cy à rait connoiſtre le ſien, autant que parler, il fait voir en finiſſant, qu’il le conſeruera toute ſa vie en ſe retirant du Monde.	mais si, toinme j'ai dit tantôt, celui-cy à rait connaître le sien, autant que parler, il fait voir en finissant, qu'il le conservera toute sa vie en se retirant du Monde.
Voila, Monſieur, ce que ie penſe de la Comedie du Miſantrope Amoureux, que ie trouue d’autant plus admirable, que le Heros en eſt le Plaiſant, ſans eſtre trop Ridicule;	Voilà, Monsieur, ce que je pense de la Comédie du Misantrope Amoureux, que je trouve d'autant plus admirable, que le Héros en est le Plaisant, sans chang trop Ridicule;
& qu’il fait rire les Honneſtes Gens, ſans dire des Plaſſanteries fades & baſſe.	et qu'il fait rire les Honnêtes Gens, sans dire des Plassanteries fades et basse.
comme l’on a accouſtumé de voit dans les Pieces Comiques, celles de cette nature me ſemblent plus diuertiſſantes, encor que ron y rie moins haut;	comme l'on a accoutumé de voit dans les Pièces Comiques, celles de cette nature me semblent plus divertissantes, encor que ron y rie moins haut;
& ie croy qu’elles diuertiſſent dauantage, qu’elles attachent, & qu’elles font continuellement rire dans l’Ame.	et un crois qu'elles divertissent davantage, qu'elles attachent, et qu'elles font continuellement rire dans l'Âme.
Le miſantrope, malgré ſa folie, ſi l’on peut ainſi appeler ſon humeur, a le caractére d’vn Honneſte Homme, & beaucoup de fermeté, comme l’on peut connoiſtre dans l’affaire du Sonnet.	Le misantrope, malgré sa folie, si l'on peut ainsi appeler son humeur, à le caractére d' Honnête Homme, et beaucoup de fermeté, comme l'on peut connaître dans l'affaire du Sonnet.
Nous voyons de grands Hommes, dans des pieces Heroïques, qui en ont bien moins, qui n’ont point de caractére, & démentent ſouuent, au Theatre, par leur raenete, ia bome ôpinion que l’Hiſtoire a fait conceuoir deux.	Nous voyons de grands Hommes, dans des pièces Héroïques, qui en ont bien moins, qui n'ont point de caractére, et démentent souvent, au Théâtre, par leur raenete, ja bôme ôpinion que l'Histoire a fait concevoir deux.
L’Autheur ne repreſente pas, ſeulement, le Miſanrrope, ſous ce caractére, mais il fait, encor, parler à ſon Héros, d’vne partie des mœurs du temps:	L'Auteur ne représente pas, seulement, le Misanrope, sous ce caractère, mais il fait, encor, parler à son Héros, d'une partie des mœurs du temps:
& ce qui eſt admirable, eſt, que bien qu’il paroiſſe, en quelque façon, ridicule, il dit des choſes fort iuſtes.	et ce qui est admirable, est, que bien qu'il paraisse, en quelque façon, ridicule, il dit des choses fort justes.
Il eſt vray qu’il ſemble trop exiger;	Il est vrai qu'il semble trop exiger;
mais il faut demander beaucoup, pour ebtenir quelque choſe, & pour obliger les Hommes à ſe corriger vn peu de leurs defauts, il eſt neceſſaire de les leur faire paroiſtre bien grands.	mais il faut demander beaucoup, pour ébtenir quelque chose, et pour obliger les Hommes à se corriger un peu de leurs défauts, il est nécessaire de les leur faire paraître bien grands.
Moliere, par vne adreſſe qui luy eſt particuliere.	Molière, par une adresse qui lui est particulière.
laiſſe, par tout, deu ner plus qu’il ne dit:	laisse, par tout, du ner plus qu'il ne dit:
& n’imiee pas ceux qui parlent beaucoup, & ne diſent rien	et n'imie pas ceux qui parlent beaucoup, et ne disent rien
Ou peut aſſeurer, que cette Piece eſt vpe perpetüelle, & dinertiſſante inſtruction, qu’il y a des tours, & des dêuicateſſe inimitables;	Ou peut assurer, que cette Pièce est vu perpétueelle, et dinertissante instruction, qu'il y a des tours, et des dêuicatesse inimitables;
que les Vers ſont fort beoux, au ſentiment de tout le Monde les eceney oren toninees, a vien maice;	que les Vers sont fort beoux, au sentiment de tout le Monde les ecèney oren toninées, a vien maice;
a que l’oſ ne peut ne la pas trouuer bonne, ſans ſaite voir que l’on n’eſt pas de ce Monde, & que l’en igpore la maniere de viure de la Cour, & celle des plus illuſtres perſonnes de la Ville.	a que l'os ne peut ne la pas trouver bonne, sans saite voir que l'on n'est pas de ce Monde, et que l'en igore la manière de vivre de la Cour, et celle des plus illustres personnes de la Ville.
