A PARIS, .	À PARIS, .
Ce grand Cardinal, au ſentiment duquel tous les noſtres ſe doiuent aſſujettir, ne l’a-t’il pas honorée de ſon aſſiſtance, & de ſon approbation?	Ce grand Cardinal, au sentiment duquel tous les nôtres se doivent assujettir, ne l'a-t-il pas honorée de son assistance, et de son approbation?
& ne luy a!	et ne notre a!
t’il pas de ſa propre bouche donné ce glorieux eloge, que c’eſtoit la Paſtorelle la plus iuſte & la mieux trauaillée qu’on euſt encore veuë?	t'il pas de sa propre bouche donné ce glorieux éloge, que c'était la Pastorelle la plus juste et la mieux travaillée qu'on eût encore vue?
Apres vn ſi raiſonnable iugement, en peut-on faire des contraires ſans violer le ſens commun, ou ſans ſe preparer à vne honteuſe palinodie?	Après un si raisonnable jugement, en peut-on faire des contraires sans violer le sens commun, ou sans se préparer à une honteuse palinodie?
Ce n’eſt pas que ie ne ſçache bien qu’il y a des eſprits delicats qui feront difficulté de receuoir cette rare piece pour vn exemplaire Tragicomique, à cauſe de l’auſterité des regles auſquelles elle ſe treuue aſſujettie, & principalement de celle de vingtquatre heures, durant le cours deſquelles il faut que toutes les actions du Theatre puiſſent eſtre executées.	Ce n'est pas que ie ne sache bien qu'il y a des esprits délicats qui feront difficulté de recevoir cette rare pièce pour un exemplaire Tragicomique, à cause de l'austérité des règles auxquelles elle se trouve assujettie, et principalement de celle de vingtquatre heures, durant le cours desquelles il faut que toutes les actions du Théâtre puissent être exécutées.
La peine qu’il y a de ioindre en ſi peu d’heures tous les euenemens qui ſont neceſſaires pour rendre la repreſentation accomplie ſans offenſer l’imagination du ſpectateur, qui ne peut ſouffrir ny la cõtrainte ny l’affectation de ſon object, eit la faſſon ordinaire qu’ils alleguent contre cette maxime.	La peine qu'il y a de joindre en si peu d'heures tous les événements qui sont nécessaires pour rendre la représentation accomplie sans offenser l'imagination du spectateur, qui ne peut souffrir ni la ain si l'affectation de son object, éit la fasson ordinaire qu'ils alléguent contre cette maxime.
LREFACE.	LREFACE.
De plus ils nous oppoſent les Anciens, qui ne l’ont pas touſiours gardée, & font leur plus grand bouclier de deux exemples, dont l’vn eſt la Tragedie de l’Antigone de Sophocle, & l’autre eſt vne Comedie de Terence, dont la durée ſurpaſſe à leur cõte celle que les Anciens nous ont preſcrite.	De plus ils nous opposent les Anciens, qui ne l'ont pas toujours gardée, et font leur plus grand bouclier de deux exemples, dont l'un est la Tragédie de l'Antigone de Sophocle, et l'autre est une Comédie de Terence, dont la durée surpasse à leur compte celle que les Anciens nous ont prescrite.
D’ailleurs ils ſouſtiẽnent que cette loy n’eſt pas ſi neceſſaire qu'vn bon autheur ne s’en puiſſe quel ques fois diſpenſer, & que ces grãds maiſtres du teinps paſſé ne l’euſſent 1 pas violée s’ils l’euſſent reconnuë eſſentielle:	D'ailleurs ils soustiẽnent que cette loi n'est pas si nécessaire qu'un bon auteur ne s'en puisse quel ques fois dispenser, et que ces grands maîtres du teinps passé ne l'eussent 1 pas violée s'ils l'eussent reconnues essentielle:
que c’eſt vne tyrannie pour le Poëte qui ne peut eſclorre ſes inuentions ny ſes penſées que dans la liberté de ſon eſprit:	que c'est quelque tyrannie pour le Poète qui ne peut éclorre ses inventions ni ses pensées que dans la liberté de son esprit:
que ces bornes ſont trop eſtroites pour y receuoir les beaux ſujets & pour y reſſerrer la diuerſité des effects que l’on doit accorder à l’humeur de noſtre nation:	que ces bornes sont trop étroites pour y recevoir les beaux sujets et pour y resserrer la diversité des effets que l'on doit accorder à l'humeur de notre nation:
en vn mot que cette regle peut cauſer vne infinité de repugnances à la grace & à la majeſté de noſtre Scene.	en un mot que cette règle peut causer une infinité de répugnances à la grâce et à la majesté de notre Scène.
Mais toures ces raiſons ſont obliques:	Mais toures ces raisons sont obliques:
elles ne choquent pas directement noſtre maxime, & ne peuuent eſtre priſes en tout cas que pour vne excuſe des Autheurs qui l’ont deſia violée, & non pour la iuſtification de ceux qui ne l’approuuent pas.	elles ne choquent pas directement nôtre maxime, et ne peuvent être prises en tout cas que pour une excuse des Auteurs qui l'ont déjà violée, et non pour la justification de ceux qui ne l'approuvent pas.
C’eſt vne queſtion de droict, & non pas de faict;	C'est assez question de droit, et non pas de fait;
l’on ne diſpute pas ſi touſiours les Anciens ont gardé les regles punctuellemẽt;	l'on ne dispute pas si toujours les Anciens ont gardé les règles puntuellement;
mais bien ſi le precepte & l’exemple dont ils l’ont authoriſée nous y doiüent obliger & ſouſmettre.	mais bien si le précepte et l'exemple dont ils l'ont autorisée nous y doivent obliger et sousmettre.
Pour le regard du precepte, Ariſtote, cette grande lumiere de la raiſon numaine, ayant deſcouuert que le bien & le mal, vrays ou apparents, eſtoient les cauſes motiues de toutes nos paſſions, & ſçachãt que la Poëſie Dramatique où l’on nous repreſente les bonnes & les mauuaiſes actions des hommes, n’eſtoit inuentée que pour nous remplir de deux ſortes d’émotions, à ſçauoir de la douleur & de la ioye:	Pour le regard du précepte, Aristote, cette grande lumière de la raison numaine, ayant découvert que le bien et le mal, vrais ou apparents, étaient les causes motives de toutes nos passions, et sachant que la Poésie Dramatique où l'on nous représente les bonnes et les mauvaises actions des hommes, n'était inventée que pour nous remplir de deux sortes d'émotions, à savoir de la douleur et de la joie:
que la plus noble eſpece de ce genre de Poëme, à ſçauoir la Tragedie, n’eſtoit compoſée que pour nous repreſenter des ſanglantes & funeſtes executions, afin de nous eſmouuoir ou de compaſſion ou d’horreur;	que la plus noble espèce de ce genre de Poème, à savoir la Tragédie, n'était composée que pour nous représenter des sanglantes et funestes exécutions, afin de nous émouvoir ou de compassion ou d'horreur;
& que l’autre eſpece que l’on appelle Comedie, n’eſtoit qu’vn artifice propre à feindre des effets agreables & facetieux pour nous donner du plaiſir & de la ioye;	et que l'autre espèce que l'on appelle Comédie, n'était qu'un artifice propre à feindre des effets agréables et facétieux pour nous donner du plaisir et de la joie;
ce grand homme, dy-ie, veid bien que pour acheminer ces deux ſortes de repreſentations à leur principal but, il falloit taſcher de ſurprendre & de tromper l’imagination de l’aſſiſtant par la vray-ſemblance des effets que l'on veut executer en ſa preſence.	ce grand homme, dis-je, veid bien que pour acheminer ces deux sortes de représentations à leur principal but, il fallait tâcher de surprendre et de tromper l'imagination de l'assistant par la vraiisemblance des effets que l'on veut exécuter en sa présence.
C’eſt pourquoy entre les reigles qui peuuent ſeruir à cette maniere d’illuſion il en obſerua trois principales, à ſçauoir celle du lieu, de l’action, & du temps;	C'est pourquoi entre les règles qui peuvent servir à cette manière d'illusion il en observa trois principales, à savoir celle du lieu, de l'action, et du temps;
& pour ce qu'elles ſont communos à toutes ſortes de Poëmes Dramatiques, il en a recommandé fort eſtroitement la vray-ſemblance, & pour cet effect il nous apprend premierement que le lieu doit eſtré vnique, etita dite que i l'on veut repreſenter vne effuſion de ſang dans -4 - 36.	et pour ce qu'elles sont communos à toutes sortes de Poèmes Dramatiques, il en a recommandé fort étroitement la vraiisemblance, et pour cet effet il nous apprend premièrement que le lieu doit estré unique, etita dite que y j'on veut représenter une effusion de sang dans - 36.
.	.
.	.
.	.
.	.
ACE.	ACE.
Conſtantinople, qu’on ne doit rien executer de cette entrepriſe ailleurs, de peur d’égarer & de contondre la penſée & la memoire de l’auditeur.	Constantinople, qu'on ne doit rien exécuter de cette entreprise ailleurs, de peur d'égarer et de contondre la pensée et la mémoire de l'auditeur.
Secondement il nous enſeigne que l’execution principale, que l'on appelle Cataſtrophe, ſoit vne ſeule & ſimple action, à laquelle tous les intrigues & tous les Epiſodes du Poëme ſe puiſſent rapporter:	Secondement il nous enseigne que l'exécution principale, que l'on appelle Catastrophe, soit une seule et simple action, à laquelle tous les intrigues et tous les Episodes du Poème se puissent rapporter:
ainſi dans noſtre Paſtorelle il n’y a qu’vne action principale, à ſçauoir le mariage de Filis auec Tirſis, au reſpect duquel celuy de Celie auec Niſe;	ainsi dans notre Pastorelle il n'y a qu'une action principale, à savoir le mariage de Filis avec Tirsis, au respect duquel celui de Celieu avec Nise;
n’eſt conté que pour vne Epiſode, c’eſt à dire vne circonſtance inuentée par l’Autheur pour l’enrichiſſement de ſon ſujet.	n'est conté que pour une Épisode, c'est à dire une circonstance inventée par l'Auteur pour l'enrichissement de son sujet.
Et finalemẽt il nous aduertit que le temps, doit eſtre obſerué de telle ſorte que ſa tropcourte ou trop longue durée ne deſtruiſe point la bien-ſeance de toute l’exccution.	Et finalement il nous avertit que le temps, doit être observé de telle sorte que sa trop ou trop longue durée ne détruise point la bienséance de toute l'excution.
En quoy il ſemble qu’Ariſtote ait voulu meſurer l’eſpace du temps auquel peuuent arriuer les euenemens d’vne piece à celuy qu’on employe à leur repreſentation, qui ne peut eſtre tout au plus que de trois heures ſeulement.	En quoi il semble qu'Aristote ait voulu mesurer l'espace du temps auquel peuvent arriver les événements d'une pièce à celui qu'on emploie à leur représentation, qui ne peut être tout au plus que de trois heures seulement.
C’eſt pourquoy les maiſtres qui ſont venus apres luy treuuans cette durée trop courte pour la perfection de leur ouurage, l'ont eſtendue de tout le temps que l’on peut dérober inſenſiblement à l’imagination de l’auditeur, qu’ils ont renfermé dans les bornes de vingt-quatre heures, à cõter depuis l’apreſdinée du iour que l’on commence la Scene, iuſques au lendemain à la meſme heure:	C'est pourquoi les maîtres qui sont venus après avoir trouvant cette durée trop courte pour la perfection de leur ouvrage, l'ont étendue de tout le temps que l'on peut dérober insensiblement à l'imagination de l'auditeur, qu'ils ont renfermé dans les bornes de vingt-quatre heures, à compter depuis l'apresdinée du jour que l'on commence la Scène, jusqu' au lendemain à la même heure:
& à ce compte il ſe treuue preſque deux iours & vne nuict de temps pour la naiſſance des diuers effects que l’on peut inuẽter, qui eſt toute l’eſtendue que les Anciens les plus licentieux ont vſurpée.	et à ce compte il se trouve presque deux jours et une nuit de temps pour la naissance des divers effets que l'on peut inventer, qui est toute l'étendue que les Anciens les plus licentieux ont usurpée.
Voila dans peu de mots les raiſons qui peuuent auoir obligé les premiers lurez de l'art à nous preſcrire les regles de l'vnité du lieu, de celle de l’action, & des vingt-quatre heures du tẽps, & qui ſans doute ont encore pouſſé les plus celeItaliens, à les auoir depuis religieuſement obſeruées.	Voilà dans peu de mots les raisons qui peuvent avoir obligé les premiers lurez de l'art à nous prescrire les règles de l'unité du lieu, de celle de l'action, et des vingt-quatre heures du temps, et qui sans doute ont encore poussé les plus cléleItaliens, à les avoir depuis religieusement observées.
