RAPINIER OU L'INTERESSE', COMEDIE.	RAPINIER OU L'INTERÈSSE', COMÉDIE.
Ou par de vains procés, leur chicane homicide Luncoutcuueneoymnerepaouquide, Il en eſt d’un tuteur, à l’égard d’un mineur, Comne d'un Imtenuaut, aupres d'un grano seigueurs L’un ordinairement eſt ruiné par l’autre.	Ou par de vains procès, leur chicane homicide Luncoutcuueneoymnerepaouquide, Il en est d'un tuteur, à l'égard d'un mineur, Comne d'un Imtenuaut, auprès d'un grano seigueurs L'un ordinairement est ruiné par l'autre.
LA RAPINIERE.	LA RAPINIERE.
Devez-vous, Léonore, en dîre autant du vôtre?	Devez-vous, Léonore, en dître autant du vôtre?
LEONORE.	LEONORE.
Au contraire, & bien loin de me plaindre de vous, Mon oncle, ſur ce poinct, j’oſe dire entre nous, Que pour le conſerver, vôtre amitié fidelle va juiques a Terces, que l’ardeur de ce zele, Ce grand attachement, & ces généreux ſoins, Un peu moins empreſſez ne me plairoient pas moins.	Au contraire, et bien loin de me plaindre de vous, Mon oncle, sur ce point, j'ose dire entre nous, Que pour le conserver, votre amitié fidèle va juiques à Terces, que l'ardeur de ce zèle, Ce grand attachement, et ces généreux soins, Un peu moins empressez ne me plairaient pas moins.
Je ne ſuis.	Je ne suis.
Dieu-mercy, prodigue ny oüeuſe.	Dieu-merci, prodigue ni oüeuse.
LA RAPINIERE.	LA RAPINIERE.
Vous en êtes auſſi d’autant plus vertueuſe.	Vous en êtes aussi d'autant plus vertueuse.
LEONORE.	LEONORE.
Je ne ſouhaitte point de ſomptueux habits;	Je ne souhaite point de somptueux habits;
Mais.	Mais.
4.	4.
L'A RAPINTERE.	L'A RAPINTERE.
C’eit aſſéz d’Avoir & brocard & tabis.	C'éit assuré d'Avoir et brocard et tabis.
LEONORE.	LEONORE.
Tous ces meubles pompeux, routes ces pierteries, Tous ces rares tàbſeaux & ces tapiſſeries *16*v Dont nôtté ſexe faſt aujourd'hui ſes plaiſirs, Jamals trop tortement n’ont émeu mes deſirs:	Tous ces meubles pompeux, routes ces pierteries, Tous ces rares tabseaux et ces tapisseries *16*v Dont nôtté sexe fât aujourd'hui ses plaisirs, Jamals trop tortement n'ont ému mes désirs:
Dé moindres orſemens j’aurois été contente.	Dé moindres orsements j'aurais été contente.
Mais je ſuis.	Mais je suis.
L'ARAPINIERE.	L'ARAPINIÈRE.
C'eſt par la que le diable nous tente.	C'est par la que le diable nous tente.
Cet tableaux, ces bijoux, rous ces meubles dorez, Ces grands apbartemens richement décorez, Cerſuſtres ?	Cet tableaux, ces bijoux, rous ces meubles dorés, Ces grands apartements richement décorez, Cersustres ?
ces chenets, ces bras, ces giraudoles.	ces chenets, ces bras, ces giraudoles.
Sçachez que tout ce la n’eſt fait que pour des tolles, 111 .	Sachez que tout ce la n'est fait que pour des tollés, 111 .
Qui ne ſçachaut combien I’afyent coûte à gagner Ne ſça veſt fas auſſ comme il faut l'épargner.	Qui ne sachaut combien J'afyent coûte à gagner Ne sa vêt sas aussi comme il faut l'épargner.
Sa mered dνoιt pas cette ſotte manle.	Sa mered do pas notre sotte manle.
tOc.	tOc.
A fars.	A fars.
4 2	4 2
LECASRI Muig extore voir-on quelquefois compagnie, Et Ton feçoit les pens Tvec indignite t.	LECASRI Muig extore voir-on quelquefois compagnie, Et Ton feçoit les pens Ait indignité t.
.	.
en.	en.
u.	u.
F14.	F14.
1 Dans des ljeux mal ornez ſelon leur qualſté.	1 Dans des lieux mal ornez selon leur qualsté.
2tιαv-τ 52l	2tιαv- 52l
LTRAPINIFRE.	LTRAPINIFRE.
Vous ſçaurez quelque jour ſi je ſonge à vous plaire.	Vous saurez quelque jour si je songe à vous plaire.
a7.	a7.
L.	L.
267 EAARTAN Monſieur eſt généreux, allez, laiſſez-le faire.	267 EARTAN Monsieur est généreux, allez, laissez-le faire.
En ménageant ainſi ſagement vôtíe bien, Peut-être qu’il y veut encor joindte le ſien.	En ménageant ainsi sagement ôtée bien, Peut-être qu'il y veut encor jointe le sien.
Déja voũs connoiſſez a quel poinct Il vous aime.	Déjà voũs connaissez a quel point Il vous aime.
11	11
de 26 L'A RAPINTERE?	de 26 L'A RAPINTERE?
Sams doute, j’ai pour elle une tendreſſe extreme Et pour la contentef y le, ferai mon pouvoir, Pourveu qu'ell Sea il- I0s4s i:	Sams doute, j'ai pour elle une tendresse extrême Et pour la contente y le, ferai mon pouvoir, Pourvu qu'elle Avait il- I0s4s y:
3	3
BE L2A LETRI.	BE L2A LETRI.
e7ila- Monneur, voicy qu'on vien vaus xon	E7ila- Monneur, voici qu'on viens vaus 
LE RAPINIERE bas.	LE RAPINIERE bas.
muple.	muple.
voicy celuy qui me tient en cervelle.	voici celui qui me tient en cervelle.
Jrteta s .	Jrteta s .
u Tſabelle?	Tu Tsabelle?
are:	are:
te	te
ei-CaMHn BEAIRIX.	Ei-CaMHann BEAIRIX.
ouy, Monſigur.	oui, Monsigur.
12 5 aer4, ss L.	12 5 aer4, ss L.
dij e PrelEA Meuiihi .	dij e RelEA Muihihi .
Ce l’eſt la?	Ce l'est la?
A *ATRIX.	À *ATRIX.
Seeit-il pas bien toumé?	Seit-il pas bien toumé?
Vous ne vîtes jamais Gentilhomme mieux né.	Vous ne vîtes jamais Gentilhomme mieux né.
LA RAVINIERE.	LA RAVINIÈRE.
.	.
.	.
ba.	ba.
Rentrons, pour leu:	Rentrons, pour lu:
cache:	cache:
mon embarras extreme.	mon embarras extrême.
Ma niéce, s’il vous plaît, recevez-les vous-même:	Ma nièce, s'il vous plaît, recevez- vousmême:
Irlaut que j’aille voir ce que lont mes Commis.	Jrlaut que j'aille voir ce que lont mes Commis.
2	2
9 SCENE L Rnv (a.	9 SCÈNE LE Rnv (a.
112) -MN 2A DORANIEE, LERR.	112) -MN 2A DORANIE, LERR.
MMM.	MMM.
ES *.	ES *.
ISABELLE, LEONORE,  Mlas S.	ISABELLE, LEONORE, Mlas S.
24	24
1.	1.
ISA,BELLE.	ISA,BELLE.
E¬.	ELLE.
132.	132.
Reſt Adame, on vient, xoua oir, contme on-vous AvY a promis.	Rest Adame, on vient, xoua oir, contme on-vous AvY a promis.
’es.	’es.
e R* Et	Je R* Et
LE'ONORIF.	LE'ONORIF.
Vôite bonté.	Vosite bonté.
Madama, eſt poor moi ſinguliere, μυ ou caSAu dEPau vihia?	Madama, est poor moi singulière, μυ ou caSAu dEPau vihia?
y, Vaus ignores pourquoi Monſieur la Rapiniere Vous a diaboil quirrée,, xn nous oy aur venn?	y, Vaus ignores pourquoi Monsieur la Rapinière Vous a diaboil quirrée, nous venn?
DORANT.	DORANT.
E.	E.
C’eſt ce dont Fernand nous vient d’entretenir, dous	C'est ce dont Fernand nous vient d'entretenir, dous
ISABELLE.	ISABELLE.
Juſtement, c’eſt le nœud de l’affaire.	Justement, c'est le nœud de l'affaire.
Madame, en peu de mots, vous ſçaurez que mon frere Paſſa dans ce quartier, hier ſur la fin du jour, Eſpérant nous trouver & nous joindre au retour.	Madame, en peu de mots, vous saurez que mon frère Passa dans ce quartier, hier sur la fin du jour, Espérant nous trouver et nous joindre au retour.
Il y vid arriver Monſieur la Rapiniere, Et l'aborda, dit-il, d’une honnête maniere;	Il y vit arriver Monsieur la Rapinière, Et l'aborda, dit-il, d'une honnête manière;
Mais ce brutal croyant qu’il venoit l’affronter, Pour tout diſcours, luy dit, je n’ai rien à prêter, Serviteur,	Mais ce brutal croyant qu'il venait l'affronter, Pour tout discours, Seigneur dit, je n'ai rien à prêter, Serviteur,
LEONORE.	LEONORE.
Saus vouion ccouter ua vamtage?	Saus vouion coûter ua vamthage?
FERNAND.	FERNAND.
Pas ſeulement un mot.	Pas seulement un mot.
BEATRIX.	BEATRIX.
Le courtois perſonnage!	Le courtois personnage!
FERNAND.	FERNAND.
A ne vous point mentir, j'en fus mortifié.	À ne vous point mentir, j'en fus mortifié.
Mais qui d’un tel accueil ſe ſeroit défié?	Mais qui d'un tel accueil se serait défié?
Je n’aurois jamais ciû que le ſiecle où nous ſommes Pût produire entre nous de ſi bizares hommes, Dans un Etat fameux, où la civilité Régne avec taut d’éelat & tant de pureté.	Je n'aurais jamais ciu que le siècle où nous sommes Pût produire entre nous de si bizares hommes, Dans un État fameux, où la civilité Reine avec taut d'éelat et tant de pureté.
Qu'un homme comme moy pût ſe trouver en bute Aux traits.	Qu'un homme comme moi pût se trouver en bute Aux traits.
DORANTE.	DORANTE.
Il ne ſaut pas que tela vous rebute, Femnand, ces gens-là ſont ſiop audenous de yous Pour atteindré jamais à vous mertre en courroux.	Il ne saut pas que tela vous rebute, Femnand, ces gens-là sont siop audenous de y Pour atteindré jamais à vous montre en courroux.
Je trouveray moyen, malgré ſa reſiſtance, De vous faire lier avec luy connoiſſance.	Je trouverai moyen, malgré sa résistance, De vous faire lier avec tu connaissance.
Pourva Pourvû que l'intéret s'en mêle, aſſurément eipeic d en veun à vout Iacncien.	Pourva Pourvu que l'intéret s'en mêle, assurément éjpeic d en veun vout Iacncien.
FERNAND.	FERNAND.
S’il ne tient qu'à cela, je vous donne paroſe.	S'il ne tient qu'à cela, je vous donne parose.
FERNIND.	FERNIND.
Deranie.	Déranie.
Laiſſez-moy faire, allez, je joûrai bien mon rolle, Tout menune quincie, je preceuajourd’huy Vous faire entretenir ſeul à ſeul avec luy.	Laissez-moi faire, allez, je jourai bien mon rolle, Tout enune quincie, je preceuajourd’hui Vous faire entretenir seul à seul avec tu.
TANNANU.	TANNANU.
Quoy, vous croyez qu’ayant l’ame ſi peu courtoiſe.	Quoi, vous croyez qu'ayant l'âme si peu courtoise.
DORANTE.	DORANTE.
Il n’eſt rien ſi farouche, enfin;	Il n'est rien si farouche, enfin;
qu’on n’apprivo ſe.	qu'on n'apprivo se.
Et chacun n’a-t’il pas ſon foible?	Et chacun n'a-t-il pas son faible?
FERNAND.	FERNAND.
Ouy, mais ce fon A moins d’humanité ceut fois, qu’un loup-garou.	Oui, mais ce son A moins d'humanité ceut fois, qu'un loup-garou.
D'ailleurs, étant déja prévenu.	D'ailleurs, étant déjà prévenu.
DORANTE.	DORANTE.
Vous dis-je, encor un coup.	Vous dis-je, encor un coup.
Lumnee faire,	Lumnée faire,
FERNAND.	FERNAND.
Bien.	Bien.
DORANTE.	DORANTE.
J’en fais mon affaire.	J'en fais mon affaire.
Je lui ferai tantôt boire aprés ſon dîner, Un trait, que ſur le champ je viens d’imaginer:	Je lui ferai tantôt boire après son dîner, Un trait, que sur le champ je viens d'imaginer:
Il ſera bien ruſe s’il en pare l’atteinte, Pourvſt que vous prêtiez la main à cette feinte.	Il sera bien ruse s'il en pare l'atteinte, Pourvût que vous prêtiez la main à cette feinte.
FERNAND.	FERNAND.
Pour ſoy-même on ne fut jamais fort négligent.	Pour soi-même on ne fut jamais fort négligent.
DORANTE.	DORANTE.
Je lui dirar tantôt, qu’ayant beaucoup d’argent, Et que prés d’un départ, craignant les avantures, Vous cherchiez un endroit,pour le mettre en mains ſures, Et que vous me laiſſiez maître des intérets Juſqu’à vôtre retour.	Je lui dirar tantôt, qu'ayant beaucoup d'argent, Et que près d'un départ, craignant les aventures, Vous cherchiez un endroit, le mettre en mains sûres, Et que vous me laissiez maître des intérets Jusqu'à votre retour.
Lui qui ſçait cent ſecrets Pour faire profiter le talent, quelle joye!	Lui qui sait cent secrets Pour faire profiter le talent, quelle joie!
Il croira que vers lui, ſon Ange vous envoye, It ne pourra jamais me laiſſer en repos, Qu'il ne vous ait parlé.	Il croira que vers lui, son Ange vous envoie, It ne pourra jamais me laisser en repos, Qu'il ne vous ait parlé.
Mais changeons de proT.	Mais changeons de proT.
7 J’entens ſes eſpions.	7 J'entends ses épions.
BEATRIX.	BEATRIX.
Ils ont une caſſette, Qu’ils viennent de ſaiſir au fond d’une charette Toute pleine de pains, qu’ils ont fait décharger, Et traînent ſans pitié le pauvre boulanger.	Ils ont une cassette, Qu'ils viennent de saisir au fond d'une charette Toute pleine de pains, qu'ils ont fait décharger, Et traînent sans pitié le pauvre boulanger.
ISABELLE.	ISABELLE.
Madame, nous viendrons vous voir l’aprésdînée,	Madame, nous viendrons vous voir l'aprésdînée,
LEONORE.	LEONORE.
Vous me ſerez plaiſir:	Vous me serez plaisir:
toute cette journée, de ne lois poiut a’icy, pour plane a mon tuceur.	toute cette journée, de ne lois poiut a'ici, pour plane a mon tuceur.
SCENE VI, A JASMIN, LA ROCHE, LA FLEUR e boulanger.	SCÈNE VI, A JASMIN, LA ROCHE, LA FLEUR e boulanger.
JASMIN vêtu en Commis.	JASMIN vêtu en Commis.
Uoy?	Uoi?
tu veux reſiſter, malheureux infr cteur:	tu veux résister, malheureux infr cteur:
Ta crois impuncment frauder les droits du Prince.	Ta crois impuncment frauder les droits du Prince.
LA FLEUR.	LA FLEUR.
Ah!	Ah!
meſſieurs, doucement, ma camiſolle eſt m 1:	messieurs, doucement, ma camisolle est m 1:
ce:	ce:
.	.
i.	y.
.	.
Vous me pincei.	Vous me pincei.
.	.
.	.
ii.	ji.
2	2
LA ROCHE.	LA ROCHÉ.
aiComment?	aiComment?
LA FLEUR.	LA FLEUR.
Ah!	Ah!
s’il vous plaît, tout doux vous ais-je encor un coup.	s'il vous plaît, tout doux vous ais-je encor un coup.
LA ROCHE.	LA ROCHÉ.
Tu te mocques de nous Allons, marche en priſon.	Tu te moques de nous Allons, marche en prison.
LA FLEUR.	LA FLEUR.
Quoy?	Quoi?
que penſez-vous faire Je vous ueclale au moms;	que pensez-vous faire Je vous eclale au moments;
que je n’ai poiit d’affaif Avecque la Juſtice.	que je n'ai poiit d'affaif Avec la Justice.
LA ROCHE.	LA ROCHÉ.
On ne s'en fait donc point, En voulant nous tromper?	On ne s'en fait donc point, En voulant nous tromper?
LA FLEUR.	LA FLEUR.
Ce n’eſt pas là le poinct C'eſt qu’aux jours de marché, nous venons à la hall Apponter notre pain.	Ce n'est pas là le point C'est qu'aux jours de marché, nous venons à la hall Apponter notre pain.
LA ROCHE.	LA ROCHÉ.
Hé bien?	Hé bien?
LA FLEUR.	LA FLEUR.
Puis on l'étalle, On le vend, on reçoit l’argent, & puis adieu.	Puis on l'étalle, On le vend, on reçoit l'argent, et puis adieu.
ASAIN Ie reenant.	ASAIN Je revenant.
Tu crois donc de la ſorte échapper de ce liea?	Tu crois donc de la sorte échapper de ce liea?
Ma foy, mon pauvre amy * tu ſçais peu le grimoire.	Ma foi, mon pauvre ami * tu sais pu le grimoire.
LA FLEUR.	LA FLEUR.
Meſſieui.	Messieui.
, pounioie ou pas;	, pounioie ou pas;
en tous donnant pour boire, S’il vous plaît, eſpérer un peu plueit douceur?	en tous donnant pour boire, S'il vous plaît, espérer un peu plueit douceur?
1a	1a
ASMIN.	ASMIN.
Quoy?	Quoi?
pour qui nous pleuds-tu?	pour qui nous pleuds-tu?
LA FLEUR.	LA FLEUR.
Pour des hommes d’honneur.	Pour des hommes d'honneur.
t Il luy fait ſigne de donner de l’argent.	 Il avait fait signe de donner de l'argent.
Meſſieurs, je vous lairrai de bon cœur la caſſette;	Messieurs, je vous lairrai de bon cœur la cassette;
Mais laiſſez-moi du moins emmener ma charette:	Mais laissez-moi du moins emmener ma charette:
Que vous ie viendroit-n de confiſquer mon pain?	Que vous me viendrait-n de confisquer mon pain?
LA ROCHE.	LA ROCHÉ.
Luue e one pour les droits de Monſieur du Jaſmin.	Luve e one pour les droits de Monsieur du Jasmin.
Tenez.	Tenez.
LA FLEUR.	LA FLEUR.
21M IAye.	21M IAye.
Donne pour ceux de Monſieur de la Roche.	Donne pour ceux de Monsieur de la Roche.
Encor?	Encor?
LATLEO N.	LATLEO N.
LA ROCHE.	LA ROCHÉ.
Aſſurément.	Assurément.
Foüille dans l’autre poche.	Fouille dans l'autre poche.
LA FLEUR.	LA FLEUR.
Tenez, me bien lemeus, n'etesvous pas cona tens?	Tenez, me bien lémus, n'etesvous pas cona tends?
Plaît.	Plaît.
il?	il?
LA ROCHE.	LA ROCHÉ.
He, nous pourtons l'etre dans peu de têms, Il ne reſte à préſent qu’à payer la ſaiſie.	He, nous pourtons l'être dans peu de têms, Il ne reste à présent qu'à payer la saisie.
TTUR.	TTUR.
Encor?	Encor?
voila des gens bien pleins de courtoiſie!	voilà des gens bien pleins de courtoisie!
LRROCAAB.	LROCAB.
Ce Ducat eſt-il bon?	Ce Ducat est-il bon?
LA FLEUR.	LA FLEUR.
Ouy Monſieur.	Oui Monsieur.
LA ROCHE.	LA ROCHÉ.
Seruiteus.	Seruiteus.
DIASMIN.	DIASMIN.
Ie oette piaſtue au moins, peſe-t’elle?	Je oette piâtue au moins, pèse-t-elle?
LA EIFUR Ouy Moaſieur.	LA EIFUR Oui Moasieur.
SCENE VII.	SCÈNE VII.
EMROEE, JASMIN.	ÉMROE, JASMIN.
LA ROCHE.	LA ROCHÉ.
IE bien, l’amy?	JE bien, l'ami?
1I JASMIN.	1I JASMIN.
Ma foy, ſi ceſa continue, J'aurai dequoi payer ce ſoir, ma bienvenuë.	Ma foi, si ces continue, J'aurai dequoi payer ce soir, ma bienvenue.
LA ROCHE.	LA ROCHÉ.
Allez, laiſſez-moi faire, avant la fin du jour.	Allez, laissez-moi faire, avant la fin du jour.
vos jeux ieiont temoms, n jeiçai pius d’un tour;	vos jeux imiont témoms, n jeiçai pius d'un tour;
Vous ſçaurez les profits, qu’on fait à cette porte.	Vous saurez les profits, qu'on fait à cette porte.
Mais motus.	Mais motus.
JASMIN.	JASMIN.
Ah!	Ah!
je veux que le diable m’emporte Sur l’heure, ſi jamais j’en dis le moindre mot.	je veux que le diable m'emporte Sur l'heure, si jamais j'en dis le moindre mot.
Non, non, ne craignez rien.	Non, non, ne craignez rien.
Je ſerois un grand ſot.	Je serais un grand sot.
LA ROCHE.	LA ROCHÉ.
Nous ſerions révoquez :	Nous serions révoqués :
j’y perdrois ma recepte.	j'y perdrais ma reste.
Et vous vôtre controlle.	Et vous votre controlle.
Ou vrons cette caſſette, Encore par plaiſir.	Ou vrons cette cassette, Encore par plaisir.
JASMIN.	JASMIN.
Io ddumo.	Jo dumo,
LA ROCHE.	LA ROCHÉ.
Promptemeut.	Promptemut.
Ah, le galant luſtoir!	Ah, le galant lûtoir!
ah, le beau paſſement?	ah, le beau passement?
Le joli coffre!	Le joli coffre!
JASMIN.	JASMIN.
C’eſt un quarté de toillette, Tout garni de bijoux.	C'est un quarté de toillette, Tout garni de bijoux.
LAROCHE.	LAROCHÉ.
La belle caſſolette!	La belle cassolette!
Par ma foy, je ne vis jamais rien de ſi beau.	Par ma foi, je ne vis jamais rien de si beau.
Quercimue, de poitercen duus un Bureau?	Quercimue, de poitercen du un Bureau?
à pors.	à pors.
ASMIN.	ASMIN.
Dounez vſe, voici nonvele taoiatule.	Dounez use, voici nonvele taoyattule.
LA ROCHE.	LA ROCHÉ.
Nous ſerons en ce jour, bien plus d’une capture.	Nous serons en ce jour, bien plus d'une capture.
Faiſons ſemblant de rien & ne regardons pas:	Faisons semblant de rien et ne regardons pas:
Voici certain valet, qui s’avance à grands pas, Et qui tient dans ſes bras deux bouteilles, je penſe,	Voici certain valet, qui s'avance à grands pas, Et qui tient dans ses bras deux bouteilles, je pense,
SCENE VIII.	SCÈNE VIII.
Me MEM, EARovnE, MASCARILLE yure.	Me MÊ, EARoñE, MASCARILLE ivre.
T moy quand j'ay biin beu, mon bion eſt dans ma panſe.	T moi quand j'ai biin bu, mon bion est dans ma panse.
sans moi nôtre caroſſe aura pris le devant.	sans moi notre carosse aura pris le devant.
DMICUUHE.	DMICUHÉ.
Il le faut artéter.	Il le faut artéter.
MASCARILLe thantant Vous n'uvez que du vent.	MASCARILLe thantant Vous n'évez que du vent.
LA ROCHE.	LA ROCHÉ.
Ariete, qu’ar-tu là?	Ariète, qu'ar-tu là?
Ai ac du ulM M Mi.	Ai ac du ulM M Mi.
Là?	Là?
ce ſont deux bouteilles.	ce sont deux bouteilles.
Pacaues d’un cenain frr.	Pacavez d'un cenain frr.
aque luuthe des meilles.	aque luuthe des meilles.
Mais un jus.	Mais un jus.
envoyé du ciel.	envoyé du ciel.
& tout divin.	et tout divin.
J'en prens de tems en iems.	J'en prends de temps en iems.
il boit.	il boit.
JAem lis Comment, c’eſt donc du vis?	JAm lis Comment, c'est donc du vis?
