POLYEVCTE, Seigneur d’Armenie, gendre de Felix,	POLYEUCTE, Seigneur d'Arménie, gendre de Félix,
Ouy, i’y cours, cher Nearque, Ie brûle d’en porter la glorieuſe marque, Mais, Pauline s’afflige & ne peut conſentir.	Oui, j'y cours, cher Nearque, Je brûle d'en porter la glorieuse marque, Mais, Pauline s'afflige et ne peut consentir.
Tant ce ſonge la trouble, à me laiſſer ſortit.	Tant ce songe la trouble, à me laisser sortit.
NEARQVE.	NEARQUE.
Voſtre retour pour elle en aura plus de charmes, Dans vne heure au plus tard vous eſſuyerez ſes larmes, Et l’heur de vous reuoir luy ſemblera plus doux Plus elle aura pleuré pour vn ſi cher eſpoux:	Votre retour pour elle en aura plus de charmes, Dans une heure au plus tard vous essuierez ses larmes, Et l'heur de vous revoir lui semblera plus doux Plus elle aura pleuré pour un si cher époux:
Allons, on nous attend.	Allons, on nous attend.
POLYEVCTE.	POLYEUCTE.
Appaiſez donc ſa crainte, Et calmez la douieur dont ſon ame eſt atteinte.	Apaisez donc sa crainte, Et calmez la douieur dont son âme est atteinte.
Elle reuient.	Elle revient.
NEARQYE.	NEARQYE.
Fuyez.	Fuyez.
POLYEVCTE.	POLYEUCTE.
Ie ne puis.	Je ne puis.
NEARQVE.	NEARQUE.
Il le faut, Fuyez vn ennemy qui ſçait voſtre defaut, Qui le trouue aiſément, qui bleſſe par la veuë, Et dont le coup mortel vous plaiſt quand il vous tuë.	Il le faut, Fuyez un ennemi qui sait votre défaut, Qui le trouve aisément, qui blesse par la vue, Et dont le coup mortel vous plaît quand il vous tue.
SCENE II.	SCÈNE II.
POLYEVCTE, NEARQVE, PAVLINE, STRATONIGE.	POLYEUCTE, NEARQUE, PAULINE, STRATONIGE.
POLYEVCTE.	POLYEUCTE.
Vyons puiſqu’il le faut, Adieu, Pauline, Adieu Dans vne heure au plus tard ie reuiens en ce lieu.	Vions puisqu'il le faut, Adieu, Pauline, Adieu Dans une heure au plus tard Se reuiens en ce lieu.
AVLINE.	AULINE.
Quel ſujet ſi preſſant à fortir vous conuie?	Quel sujet si pressant à sortir vous convie?
Y va-t-il de l’honneur?	Y va-t-il de l'honneur?
y va-t-il de la vie?	y va-t-il de la vie?
POLYEVCTE.	POLYEUCTE.
Il y va bien de plus.	Il y va bien de plus.
AMVEINE.	AMVEINE.
Quel eſt donc ce ſecret?	Quel est donc ce secret?
POLYEVCTE.	POLYEUCTE.
Vous le ſçaurez vn iour, ie vous quitte à regret, Mais enfin il le faut.	Vous le saurez un jour, je vous quitte à regret, Mais enfin il le faut.
PAVLINE.	PAULINE.
Vous m’aymez!	Vous m'aimez!
POLYEVCTE.	POLYEUCTE.
Ie vous ayme, Le Ciel m’en foit teſmoin, cent fois plus que moy-meſme, Mais.	Je vous aime, Le Ciel m'en soit témoin, cent fois plus que moi-même, Mais.
PAVLINE.	PAULINE.
Mais mon déplaiſir ne vous peut émouuoir, vous auez des lecrets que ie ne puis ſçauoir;	Mais mon déplaisir ne vous peut émouuoir, vous avez des lecrets que personne ne puis savoir;
Quelle preuue d’amour !	Quelle preuve d'amour !
Au nom de l’Hymenée Donnez à mes ſoupirs cette ſeule iournée.	Au nom de l'Hyménée Donnez à mes soupirs cette seule journée.
2 2 POLYEVCTE.	2 2 POLYEUCTE.
tafonge lous lalt feun	tafonge lous lalt feun
PAVLINE.	PAULINE.
Ses preſages ſont vains, Ie le ſçay, mais enfin ie vous ayme & ie crains.	Ses presages sont vains, Je le sais, mais enfin ie vous aime et tu crains.
POLYEVCTE.	POLYEUCTE.
Ne craignez rien de mal pour vne heure d’abſence.	Ne craignez rien de mal pour une heure d'absence.
Adieu, vos pleurs ſur moy prennent trop de puiſſance, Ie ſens deſia mon cœur preſt à ſe reuolter, Et ce n’eſt qu’en fuyant que j’y puis reſiſter.	Adieu, vos pleurs sur moi prennent trop de puissance, Je sens déjà mon cœur prêt à se révolter, Et ce n'est qu'en fuyant que j'y puis résister.
SCENE III.	SCÈNE III.
PAVLINE, STRATONICE.	PAULINE, STRATONICE.
PAV LINE.	PAU LINE.
yA, neglige mes pleurs, cours & te precipite Au deuant de la mort que les Dieux m’ont predite, Suy cét agent fatal de tes mauuais deſtins Qui peut-eſtre te liure aux mains des aſſaſſins.	yA, néglige mes pleurs, cours et te précipite A deuant de la mort que les Dieux m'ont prédite, Sui cet agent fatal de tes mauvais destins Qui peut-être te livre aux mains des assassins.
Voila, ma Stratonice, en ce ſiecle où nous ſommes Noſtre empire abfolu ſur les eſprits des hommes, Voilà ce qui nous reſte & l’ordinaire effet De l’amour qu’on nous offre & des vœux qu’on nous fait Tant qu’ils ne ſont qu’Amans nous ſommes ſouueraines, Et iuſqu’à la conqueſte ils nous traitent en Reynes, Mais apres l’Hymenée ils ſont Rois à leur tour.	Voilà, ma Stratonice, en ce siècle où nous sommes Notre empire absolu sur les esprits des hommes, Voilà ce qui nous reste et l'ordinaire effet De l'amour qu'on nous offre et des vœux qu'on nous fait Tant qu'ils ne sont qu'Amand nous sommes souveraines, Et jusqu'à la conquête ils nous traitent en Reines, Mais après l'Hyménée ils sont Rois à leur tour.
STRATONICE.	STRATONICE.
Polyeucte pour vous ne manque point d’amour.	Polieute pour vous ne manque point d'amour.
S’il ne vous traite icy d’entiere confidence, S’il part malgré vos pleurs, c’eſt vn trait de prudence, Sans vous en affliger preſumez auec moy Qu’il eſt plus à propos qu’il vous cele pourquoy, Aſſeurez-vous ſur luy qu’il en a iuſte cauſe;	S'il ne vous traite ici d'entière confidence, S'il part malgré vos pleurs, c'est un trait de prudence, Sans vous en affliger présumez avec moi Qu'il est plus à propos qu'il vous cèle pourquoi, Assurez-vous sur un qu'il en a juste cause;
Il eſt bon qu’vn mary nous cache quelque choſe Qu’il ſoit quelquefois libre, & ne s’abaiſſe pas A nous rendre touſiours conte de tous ſes pas, On n’a tous deux qu’vn cœur qui ſont meſmes trauerſes, Mais ce cœur a pourtant ſes fonctions diuerſes, Et la loy de l’Hymen qui vous tient aſſemblez N’ordonne pas qu’il tremble alors que vous tremblez, Ce qui fait vos frayeurs ne peut le metrre en peine, Il eſt Armenien & vous eſtes Romaine, Et vous pouuez ſçauoir ce que nos deux nations N’ont pas ſur ce fujet meſmes impreſſions, Vn ſonge en noſtre eſprit paſſe pour ridicule.	Il est bon qu'un mari nous cache quelque chose Qu'il soit quelquefois libre, et ne s'abaisse pas À nous rendre toujours compte de tous ses pas, On n'a tous deux qu'un cœur qui sont mêmes traverses, Mais ce cœur a pourtant ses fonctions diverses, Et la loi de l'Hymen qui vous tient assemblez N'ordonne pas qu'il tremble alors que vous tremblez, Ce qui fait vos frayeurs ne peut le mettrère en peine, Il est Armenien et vous êtes Romaine, Et vous pouvez sçauoir ce que nos deux nations N'ont pas sur ce sujet mêmes impressions, V songe un nôtre esprit semble pour ridicule.
Il ne vous laiſſe eſpoir, ny crainte, ny ſcrupule, Mais il paſſe dans Rome auec authorité Pour fidele miroir de la fatalité.	Il ne vous laisse espoir, ni crainte, ni scrupule, Mais il passe dans Rome au authorité Pour fidèle miroir de la fatalité.
PAVLINE.	PAULINE.
Le mien eſt bien eſtrange, & quoy qu’Armenienne Ie croy que ta frayeur égaleroit la mienne or de tenes nontait c’auoient frappé l’eſprit, Si ie c’en auois fait ſeulement le recit.	Le mien est bien étrange, et quoi qu'Armenienne Je crois que ta frayeur égalerait la mienne or de tenez nontait c'avaient frappé l'esprit, Si tu c'en avais fait seulement le récit.
BIRΠIONICE A raconter ſes maux ſouuent on les ſoulage.	BIRIIONICE A raconter ses maux souvent on les soulage.
PAVLINE.	PAULINE.
Eſcoute, mais il faut te dire dauantage, Et que pour mieux comprendre vn ſi triſte diſcours Tu ſçaches ma foibleſſe & mes autres amours.	Écoute, mais il faut te dire davantage, Et que pour mieux comprendre un si triste discours Tu saches ma faiblesse et mes autres amours.
Vne femme d’honneur peut aduoüer ſans honte Ces ſurpriſes des ſens que la raiſon ſurmonte, Ce n’eſt qu’en ces aſſauts qu’éclate la vertu, Et l’on doute d’vn cœur qui n’a point combatu.	Une femme d'honneur peut avouer sans honte Ces surprises des sens que la raison surmonte, Ce n'est qu'en ces assauts qu'éclate la vertu, Et l'on doute d'un cœur qui n'a point combattu.
Dans Rome où ie naſquis ce malheureux viſage Duir cneuaner Romain captiua le courage, Il s’appelloit Seuere, Excuſe les ſoûpirs Qu’arrathe encor vn nom trop cher à mes deſirs.	Dans Rome où grands nasquis ce malheureux visage Duir cneuaner Romain captiva le courage, Il s'appelait Seuere, Excuse les soupirs Qu'arrathe encor un nom trop cher à mes désirs.
STRATONICE.	STRATONICE.
Eſt-ce luy qui n’aguere aux dépens de ſa vie Sauua des ennemis voſtre Empereur Decie, Qui leuxtira mourant la victoire des mains, Et fit tourner le ſort des Perſes aux Romains?	Est-ce même qui n'aguère aux dépens de sa vie Sauva des ennemis votre Empereur Décie, Qui leuxtira mourant la victoire des mains, Et fit tourner le sort des Perses aux Romains?
Luy qu’entre tant de morts immolez à ſon maiſtre On ne peut rencontrer, ou du moins reconnoiſtre, A qui Decie enfin pour des exploits ſi beaux Fit ſi pompeuſement dreſſer des vains tombeaux?	Lui qu'entre tant de morts immolés à son maître On ne peut rencontrer, ou du moins reconnaître, À qui Décie enfin pour des exploits si beaux Fit si pompeusement dresser des vains tombeaux?
PAVLINE.	PAULINE.
Helas!	Hélas!
c’eſtoit luy-meſme, & iamais noſtre Rome N’a produit plus grand cœur, ny veu plus honneſte homme :	c'était autre-même, et jamais notre Rome N'a produit plus grand cœur, était vu plus honnête homme :
Puiſque tu le connois ie ne t’en diray rien, Ie l’aimay, Stratonice, il le meritoit bien, Mais que ſert le merite où manque la fortune ?	Puisque tu le connais ie ne t'en dirai rien, Je l'aimai, Stratonice, il le méritait bien, Mais que sert le mérite où manque la fortune ?
L’vn eſtoit grand en luy, l’autre foible & commune, Trop inuincible obſtacle, & dont trop rarement Triomphe aupres d’vn pere vn vertueux amant.	L'un était grand en belle, l'autre faible et commune, Trop invincible obstacle, et dont trop rarement Triomphe auprès d'un père un vertueux amant.
STRATONICE.	STRATONICE.
La digne occaſion d’vne rare conſtance!	La digne occasion d'une rare constance!
PAVLINE.	PAULINE.
Dy plutoſt d’vne indigne & folle reſiſtance, Quelque fruit qu’vne fille en puiſſe recueillir Ce n’eſt vne vertu que pour qui veut faillir.	Dis plutôt d'une indigne et folle résistance, Quelque fruit qu'une fille en puisse recueillir Ce n'est une vertu que pour qui veut faillir.
Parmy ce grand amour que j’auois pour Seuere I’attendois vn eſpoux de la main de mon pere, Touſiours preſte à la prendre, & iamais ma raiſon N’auoüa de mes yeux l’aymable rrahiſon, Il poſſedoit mon cœur, mes deſirs, ma penſée.	Parmi ce grand amour que j'avais pour Sévère J'attendais un époux de la main de mon père, Toujours prête à la prendre, et jamais ma raison N'auoüa de mes yeux l'aimable rahison, Il possédait mon cœur, mes désirs, ma pensée.
Ie ne luy cachois point combien j’eſtois bleſſée, Nous ſoûpirions enſemble & pleurions nos malheurs, Mais Mais au lieu d’eſperance il n’auoit que des pleurs, Et malgré des ſouſpirs ſi doux, ſi fauo rables, Mon perè & mon deuoir eſtoient inexorables.	Je ne notre cachais point combien j'étais blessée, Nous soupirions ensemble et pleurions nos malheurs, Mais Mais au lieu d'espérance il n'avait que des pleurs, Et malgré des soupirs si doux, si favou rables, Mon perè et mon devoir étaient inexorables.
Enfin ie quittay Rome & ce parfait amant · Pour ſuiure icy mon Pere en ſon Gouuerne, ment, Et luy deſeſperé s’en alla dans l’Armée Chercher d’vn beau trépas l’illuſtre renommée.	Enfin ici quittai Rome et ce parfait amant Pour suiure ici mon Père en son Gouverne, ment, Et lui désespéré s'en alla dans l'Armée Chercher d'un beau trépas l'illustre renommée.
Le reſte, tu le ſçais, mon abord en ces lieux Me fit voir Polyeucte, & ie plûs à ſes yeux, Et comme il eſt icy le Chef de la Nobleſſe, Mon pere fut rauy qu’il me priſt pour Maiſtreſſe, Et par ſon alliance il ſe erût aſſeuré D’eſtre plus redoutable & plus conſideré.	Le reste, tu le sais, mon abord en ces lieux Me fit voir Polieute, et toujours plus à ses yeux, Et comme il est ici le Chef de la Noblesse, Mon père fut ravi qu'il me prît pour Esse, Et par son alliance il se erût assuré D'être plus redoutable et plus considéré.
Il approuua ſa flame, & conclud l’Hymenée.	Il approuva sa flamme, et conclud l'Hyménée.
Et moy comme à ſon lit ie me vy deſtinée.	Et moi comme à son lit votre me vit destinée,
Ie donnay par deuoir à ſon affection Roue ce que l’autie auoit par inchnation.	Je donnai par devoir à son affection Roue ce que l'autie avait par inchation.
Si tu peux en douter, iuge-le par la crainte Dont encore pour luy tu me vois l’ame atteinte.	Si tu peux en douter, juge-le par la crainte Dont encore pour lui tu me vois l'âme atteinte.
STRATONICE.	STRATONICE.
Ie eroy que vous l’aymez autant qu’on peut aymer, Mais quel ſonge apres tout a pu vous alarmer?	Je erai que vous l'aimez autant qu'on peut aimer, Mais quel songe après tout a pu vous alarmer?
PAVLINE.	PAULINE.
Ie l’ay veu cette nuit, ce malheureux Seuere, La vangeance à la main, l’œil ardent de colere:	Je l'ai vu cette nuit, ce malheureux Sévère, La vengeance à la main, l'œil ardent de colère:
Il n’eſtoit point couuert de ces triſtes lambeaux	Il n'était point couvert de ces tristes lambeaux
Qu’vne ombre deſolée emporte des tombeaux, Il n’eſtoit point percé de ces coups pleins de gloire Qui retranchant ſa vie aſſeurent ſa memoire, Il ſembloit triomphant & tel que ſur ſon char Victorieux dans Rome entre noſtre Ceſar.	Qu'une ombre désolée emporte des tombeaux, Il n'était point percé de ces coups pleins de gloire Qui retranchant sa vie assurent sa mémoire, Il semblait triomphant et tel que sur son char Victorieux dans Rome entre notre César.
Apres vn peu d’effroy que m’a donné ſa veuë, Porte à qui tu voudras la faueur qui m’eſt deüe, Ingrate, m’a-t-il dit, & ce iour expiré Pleure à loiſir l’eſpoux que tu m’as preferé.	Après un peu d'effroi que m'a donné sa vue, Porte à qui tu voudras la faveur qui m'est due, Ingrate, m'a-t-il dit, et ce jour expiré Pleure à loisir l'époux que tu m'as préféré.
