2 TuE LES TESEDROVL L Man.	2 TuE LES TESEDROUL L An.
Ne puſt ſe conſeruer qu'aux yeux de mon amant, La glace de ces eaux en despit de tes voilles, Pourroit ſi bien ſeruir de miroir aux eſtoilles, Qu'on verroit vn aueugle auecque leſommeil Peindre la ialouſie aux rayons du Soleil, Et ce Roy de nos iours, qu’adorent toutes choſes, Nous deſpeint ſon amour dans la face des roſes, Pour deuenir, poßible, aueugle de l’amour, En nous voyant tous deux eſloignez de ſon iour.	Ne pût se conserver qu'aux yeux de mon amant, La glace de ces eaux en dépit de tes voilles, Pourrait si bien servir de miroir aux étoilles, Qu'on verrait un aveugle avec lesommeil Peindre la jalousie aux rayons du Soleil, Et ce Roi de nos jours, qu'adorent toutes choses, Nous dépeint son amour dans la face des roses, Pour devenir, poses, aveugle de l'amour, En nous voyant tous deux éloignez de son jour.
Mais ie vois le Printemps & les pleurs de l’Aurore, Faire icy les amours de Zephir & de Flore, Ainſi malgré l’hyuer ſous ce petit portal, Que nature a basty d’argent & de cristal, On diroit proprement qu'vn celeſte gente Apprend à ces oyſeaux l’amoureuſe mante, Et que les animaux vomiſſent le poiſon Qu'amour inSpire aux cœurs pour oſter la raiſon;	Mais ie vois le Printemps et les pleurs de l'Aurore, Faire ici les amours de Zéphir et de Flore, Ainsi malgré l'hiver sous ce petit portal, Que nature a bâti d'argent et de cristal, On dirait proprement qu'un este gente Apprend à ces oiseaux l'amoureuse mante, Et que les animaux vomissent le poison Qu'amour inSpire aux cœurs pour ôter la raison;
Tout iouyt de l’amour, & ſeule ie demeure Dans des lieux où la mort ne veut pas que ie meure:	Tout jouit de l'amour, et seule ie demeure Dans des lieux où la mort ne veut pas que ne meure:
Ce n'eſt pas que mon cœur adore des appas Où l’honneur obeyſſe à la loy du trespas, Quand mon reſſentiment veut bien que ie ſoupire, L’amour & l’innocence eſgallent leur empire;	Ce n'est pas que mon cœur adore des appas Où l'honneur obéisse à la loi du trépas, Quand mon ressentiment veut bien que je soupire, L'amour et l'innocence égalent leur empire;
Ie ne veux pas dimer pour iouyr ſeulement, Mais ie veux bien iouyr pour atmer conſtamment Si mon amant iuroit vn abſence eternelle, Rien ne peur diuertir mon ame d’eſtre telle, Et bien que ſon abſence enſeigne des ennuis Qui m’affligent autant que d’eternelles nuicts, Il est touſiours preſent dedans vne penſee Où la memoire ſuit vne routré inſenſee;	Je ne veux pas dimer pour jouir seulement, Mais je veux bien jouir pour atmer constamment Si mon amant jurait un absence éternelle, Rien ne peur divertir mon âme d'être telle, Et bien que son absence enseigne des ennuis Qui m'affligent autant que d'éternelles nuits, Il est toujours présent dedans vne pensée Où la mémoire suit une routré insensée;
I'apperçois ſes regards, ie regarde en mon ſein Si ſa boûche ou ſa main n’y font point de deſſein;	J'aperçois ses regards, on regarde en mon sein Si sa bouche ou sa main n'y font point de dessein;
I'embraſſe mon cheuet, ie carreſſe ma couche Auecque les ſouspirs du cœur & de la bouche, Ie fais toute la nuict des ſonges amoureux Qui me font iouyſſante, & qui le font heureux;	J'embrasse mon chevet, ie carresse ma couche Avec les soupirs du cœur et de la bouche, Je fais toute la nuit des songes amoureux Qui me font jouissante, et qui le font heureux;
Ie cheris ſon image en ce plaiſantmenſonge, Et n’oze conceuoir que la nuict eſt vn ſonge, Il me ſemble l’aimer d’vn ſi digne ſoucy, Que ſi l’on aime au Ciel, ie crois qu’on aime ainſi, Et ſans cotte pudeur qui punit nos penſees, Deſia ſes paſsions ſeroient recompenſett, Si la gioire d’amont vontoir faire des pœux s Mon ame bastiroit le rombeau de ſes feux.	Je chéris son image en ce plaisantmentsonge, Et n'ose concevoir que la nuit est un songe, Il me semble l'aimer d'un si digne souci, Que si l'on aime au Ciel, je crois qu'on aime ainsi, Et sans cotte pudeur qui punit nos pensées, Désia ses passions seraient récompensett, Si la gioire d'amont vontoir faire des pœux s Mon âme bâtirait le rombeau de ses feux.
CENE IV.	CÈNE IV.
Aronthe Gouuerneur de la ville, vieillard de ſeptante-ſix ans.	Aronthe Gouverneur de la ville, vieillard de septante-six ans.
Idole d’vn ſoucy qu’adorera mon ame Tant qu’amour & vos yeux auront des-traits, de flamme, I’honore-vos liens & reuere le iour la 2 1.	Idole d'un souci qu'adorera mon âme Tant qu'amour et vos yeux auront détraits, de flamme, J'honore-vos liens et révère le jour la 2 1.
Qui reduit ma virilleſſeà vous faire la cour.	Qui réduit ma virillesseà vous faire la cour.
Artenice.	Arténice.
Idole d’vn ſoucy que hayra mon ame Tant qu’il vous ſiera mal de ſeruir vne Dames I’abhorre vos liens, & deteste le iour Qui reduit ma ieuneſſe à ſouffrir vostre amour.	Idole d'un souci que haïra mon âme Tant qu'il vous siéra mal de servir une Dames J'abhorre vos liens, et deteste le jour Qui réduit ma jeunesse à souffrir votre amour.
Aronthe.	Aronthe.
Si la glace & le feu veulent bien qu’on ſe baiſe, Vous en auez aſſez pour eſteindre ma braize.	Si la glace et le feu veulent bien qu'on se baise, Vous en avez assez pour éteindre ma braise.
Vn tour les rayons d’or, dont ces Astres orneß Sont auecque l’amour touſiours enuironnez Seruiront de Comette au bon-heur où i’aspire;	Un tour les rayons d'or, dont ces Astres ornés Sont avec l'amour toujours environnés Serviront de Comette au bonheur où j'aspire;
Enfin ie ſeray.	Enfin ici serai.
Roy de l’amoureux empire, Et voüant vos beautez à man chaſte brandon, Vous ſerez la Venus, & moy le Cupidon:	Roi de l'amoureux empire, Et val vos beautés à man chaste brandon, Vous serez la Venus, et moi le Cupidon:
Deſia ce doux regard a bleſſé ma penſee, Iuſqu’au poinct de la voir doucement inſenſes.	Déjà ce doux regard a blessé ma pensée, Jusqu'au point de la voir doucement insensés.
St vous me permettiez da faire vn petit traict Du miracle antme qui fait voſtre portraict, 22 En l’honneur de vos yeux, ie prendrois vn image Où l’immortalité vous ſeruiroit d’hommage, Des ondes où l’amour en verſant des threſors, Anime la beauté de ſes derniers efforts, E Vn beau ſiege de marbre où l’honneur de la grace A logé les ſecrets de ſa plus belle trace:	St vous me permettiez da faire un petit trait Du miracle antme qui fait votre portrait, 22 En l'honneur de vos yeux, je prendrais un image Où l'immortalité vous servirait d'hommage, Des ondes où l'amour en versant des trésors, Anime la beauté de ses derniers efforts, E n beau siège de marbre où l'honneur de la grâce A logé les secrets de sa plus belle trace:
Deux arcades d’Ebeine où toutes les beautez Comme en de petits Cieux paſſent pour Deitez:	Deux arcades d'Ebeine où toutes les beautés Comme en de petits Cieux passent pour Déitez:
Deux ſources de clarté dont l’attainte eſt fatalle, Auſsi bien que les traicts que decoche Cephalle:	Deux sources de clarté dont l'attainte est fatalle, Aussi bien que les traits que décoche Céphalle:
Deux petits roxelets de graces & d’amours Qui ſe trouuent ſi beaux qu’ils ſe baiſent touſiours;	Deux petits roxelets de grâces et d'amours Qui se trouvent si beaux qu'ils se baisent toujours;
Vne colomne où l’art & la nature aſſemble Tout ce qui peur porter tant de beautez enſemble;	Une colomne où l'art et la nature assemble Tout ce qui peur porter tant de beautés ensemble;
Deux empires d’yuoire où la grace & l’amour Font les vœux eternels d’vn fidelle ſeiour;	Deux empires d'yvoire où la grâce et l'amour Font les vœux éternels d'un fidèle séjour;
Vn port auguste e doux où la gloire ſe-mire, Où la perfection dans ſoy-meſme s’admire:	Un port auguste e doux où la gloire se-mire, Où la perfection dans soi-même s'admire:
Se peuuent appeller mes ſoleils & mes Dieux;	Se peuvent appeler mes soleils et mes Dieux;
Dieux, qui malgré les ſoins d’vne orgueilleuſerarmee, Deuiennent les forciers de ma raiſon charmee.	Dieux, qui malgré les soins d'une orgueilleuserarmée, Deuiennent les sorciers de ma raison charmée.
Artenice.	Arténice.
Vn peu de crin blanchy d’aage, & non de raiſon, Colle deſſus vn os accueilly de poiſon, Où milte vermiſſeaux ont deſia fait vn ſiege Qui ſert à l’odorat de priſon & de piege, Vn parchemin roüillé, qui fut autrefois front, Lons qu'on pouuoit encor y tracer vn affront;	Un peu de crin blanchi d'âge, et non de raison, Colle dessus un os accueilly de poison, Où milte vermisseaux ont déjà fait un siège Qui sert à l'odorat de prison et de piège, Un parchemin rouillé, qui fut autre front, Lons qu'on pouvait encor y tracer un affront;
Deux pertraicts de ces creux d’vn cheual de bagage, Qu'on appelloit ſourcils, en ſeruant au manage;	Deux pertraits de ces creux d'un cheval de bagage, Qu'on appelait sourcils, en servant au manage;
Deux cauernes de cire ou te fais vn ſerment, Que vous en faictes trop pour voſtre enterrement;	Deux cavernes de cire ou te fais un serment, Que vous en faites trop pour votre enterrement;
Vn tuyau de vapeurs dont n’approche perſonne, Parce qu’on tient par pout que la lepre ſe donne:	Un tuyau de vapeurs dont n'approche personne, Parce qu'on tient par pout que la lèpre se donne:
Deux antres vermoulus où l’on vost quelques vers,	Deux antres vermoulus où l'on vost quelques vers,
B A	À .
Qui ne daignent ronger vn mort dans l’vniuers?	Qui ne daignent ronger un mort dans l'univers?
Vn peu de cuir vſé deſfus vne carcaſſe, is 2 2 Qu'on n’oxeroit chocquer, de peur qu’elle ſe caſſe;	Un peu de cuir usé desfus une carcasse, 2 2 Qu'on n'oxerait chocquer, de peur qu'elle se casse;
Deux le vres dont les traits ſont ſi vieux & meurs, Qu' à peine peuuent-ils nous dire vn ie me meurs;	Deux le vres dont les traits sont si vieux et meurs, Qu' à peine peuvent-ils nous dire un ie me meurs;
Vn ſouffle dont l’haleine vn peu contagieuſe, Court içy le danger d’estre littigieuſe;	Un souffle dont l'haleine un peu contagieuse, Court içi le danger d'être littigieuse;
Vn poil tout heriſſé, qu'on n’ozeroit toucher, De peur qu'en le touchant on vint à l’arracher;	Un poil tout hérissé, qu'on n'oserait toucher, De peur qu'en le touchant on vint à l'arracher;
Vn corps qui paſſeroit pour l’ombre d’vn atome Si l’on luy déroboit le citre de fantoſme;	Un corps qui passerait pour l'ombre d'un atome Si l'on était dérobait le citre de fantôme;
Vn port qui r'accourſit enſemble tout le corps, Pour auoir moins de peine à paſſer chez les morts?	Un port qui raccoursit ensemble tout le corps, Pour avoir moins de peine à passer chez les morts?
Enfin vos cheueux gris, ves yeux cauez en teſte, Vos os pareils à ceux de quelque vieille beste, Momanuent uun piutoſt queique prompe moniment Que de vous arreſter à me voir ſeulement.	Enfin vos cheveux gris, vez yeux cavez en tête, Vos os pareils à ceux de quelque vieille bête, Momanuent piutost queique prompe moniment Que de vous arrêter me voir seulement.
Aronthe.	Aronthe.
Vous me despeignez là dans vne belle image.	Vous me dépeignez là dans une belle image.
Artenice.	Arténice.
Sont pourtant les attraits de voſtre beau viſage	Sont pourtant les attraits de votre beau visage
Aronthe.	Aronthe.
Mon courage fournit aſſez tout ce qu’il faut.	Mon courage fournit assez tout ce qu'il faut.
Artenice.	Arténice.
A quoy ſert le courage où la force defaut.	À quoi sert le courage où la force défaut.
Aronthe.	Aronthe.
Mais plutoſt ſans la force où domine noſtre ame, gu quexppautenjenan ta puifeuxe na corps.	Mais plutôt sans la force où domine notre âme, gu quexpautenjenan ta puifeuxe na corps.
Artenice.	Arténice.
Que ſi voſtre genie eſt capable de flamme;	Que si votre génie est capable de flamme;
Ce ſera ſeulement au Royaume des morts.	Ce sera seulement au Royaume des morts.
Aronthe.	Aronthe.
Dans la loy de la mort Amour est ma defence, Afin de me laiſſer le nom de voſtre amass?	Dans la loi de la mort Amour est ma défense, Afin de me laisser le nom de votre amass?
Artenice.	Arténice.
Ie croirois que plutoſt vous entrez en enfance, De vouloir entreprendre vn mestier ſi charmant.	Je croirais que plutôt vous entrez en enfance, De vouloir entreprendre un métier si charmant.
Aronthe.	Aronthe.
Amour & ſa Pſiché gousterent les delices Que nous pourrions tous deux maintenant esprouuer.	Amour et sa Psiché goûtèrent les délices Que nous pourrions tous deux maintenant éprouver.
AAITCHICO.	ÀAITCHICO.
Vn bois ſec comme vous n’est bon qu'a des ſupplices, Que l’amour de tout temps a voulu reprouuer.	Un bois sec comme vous n'est bon qu'a des supplices, Que l'amour de tout temps a voulu réprouver.
Aronthe.	Aronthe.
Vous n’auez iamais veu de matiere ſi viue Où le feu bruſle mieux qu'en vn bois allumé.	Vous n'avez jamais vu de matière si vive Où le feu brûle mieux qu'en un bois allumé.
Artenic:	Artenic:
Si ie puis croire encor que voſtre rage viue, La fie vre de la mort, vous a donc animé.	Si personne puis croire encor que votre rage vive, La fie vre de la mort, vous a donc animé.
Arontrie.	Arontrie.
Tãt qu'on voit vos beaux yeux on ne perd point la vie,	Tant qu'on voit vos beaux yeux on ne perd point la vie,
B iij Et moy ny mon amour, ne pouuons plus mourir,	 Bijou Et y ai mon amour, ne pouvons plus mourir,
Artenice.	Arténice.
S’il ne tient qu’à fuyr, vous la verrez rauie, Et voſtre mort ſera le moyen de guerir.	S'il ne tient qu'à fuir, vous la verrez ravie, Et votre mort sera le moyen de guérir.
Auſſi bien vous ſçauez qu’vne autre m’a bleffee, Et que i'ay de l’amour pour de ieunes esprits.	Aussi bien vous savez qu'une autre m'a bleffee, Et que j'ai de l'amour pour de jeunes esprits.
Aronthe.	Aronthe.
Quelque ieune muguet dont la flamme inſenfee, N’aura de la valleur qu'aux combats de Cipris.	Quelque jeune muguet dont la flamme insensée, N'aura de la valleur qu'aux combats de Cipris.
Artenice.	Arténice.
Amour, Didne & Mars les fuiuent à la trace » Et c’eſt se qui defend à l’aage des vieillards.	Amour, Didne et Mars les suivent à la trace " Et c'est se qui défend à l'âge des vieillards.
Aronthe.	Aronthe.
Mon courage eſt Amour, & puis quand à la chaſſe On eſtime touſiours chaſſe de vieux renards.	Mon courage est Amour, et puis quand à la chasse On estime toujours chasse de vieux renards.
