A v	À v
Ce cœur diuin ſe tient touſiours plus ferme Lors qu’il ſe void plus proche de ſon terme, Sans que l’horreur de ſon treſpas certain Y fiſt paroiſtre vn mouuement humain:	Ce cœur divin se tient toujours plus ferme Lors qu'il se voit plus proche de son terme, Sans que l'horreur de son trépas certain Y fît re un mouvement humain:
L’Eſprit plus fort voyant ſa derniere heure, Et qu’on le preſſe à changer ſa demeure, S’il n’eſt celeſte, ou tout a faict brutal, Quoy qu’il diſcoure il craint le coup fatal.	L'Esprit plus fort voyant sa dernière heure, Et qu'on le presse à changer sa demeure, S'il n'est celeste, ou tout a fait brutal, Quoi qu'il discoure il craint le coup fatal.
Il falloit bien qu’vne diuine eſſence Au grand Socrate euſt donné la naiſſance.	Il fallait bien qu'une divine essence Au grand Socrate eût donné la naissance.
Pour ſe reſoudre à ſouſtenir la mort, Luy dans l’obiect de ſa fin tout proche D'vn front de marbre,& d’vne ame de roche, Montroit de l’œil, du geſte, & du propos, Qu’il demeuroit dans un profond repos;	Pour se résoudre à soutenir la mort, Lui dans l'objet de sa fin tout proche D'un front de marbre,et d'une âme de roche, Montrait de l'œil, du geste, et du propos, Qu'il demeurait dans un profond repos;
Et que pour voir des pleurs à ſon martyre Il euſt fallu quelque choſe de pire, Et ne ſouffrit iamais dans la priſon Qu’vn ſeul ſouſpir fiſt honte à ſa raiſon.	Et que pour voir des pleurs à son martyre Il eût fallu quelque chose de pire, Et ne souffrit jamais dans la prison Qu'un seul soupir fît honte à sa raison.
A ſes genoux ſa femme deſolée, Les yeux troublez, affreuſe, eſcheuelée, Qui ne pouuoit à force de douleurs Se ſoulager d’vne goutte de pleurs, Tenant le fils vnique de Socrate Luy reprochoit vne ame preſque ingrate, De ne laiſſer aux bords du monument A tous les ſiens vn ſouſpir ſeulement.	À ses genoux sa femme désolée, Les yeux troublés, affreuse, échevelée, Qui ne pouvait à force de douleurs Se soulager d'une goutte de pleurs, Tenant le fils unique de Socrate Lui reprochait une âme presque ingrate, De ne laisser aux bords du monument A tous les siens soupir seulement.
Mon cher eſpoux, Socrate, diſoit-elle, Pourquoy ne m’eſt cette heure auſſi mortelle?	Mon cher époux, Socrate, disait-elle, Pourquoi ne m'est cette heure aussi mortelle?
Helas!	Hélas!
apres que le dernier ſommeil Taura priué des clartez du Soleil, Dans les horreurs du Cocyte effroyable, Tes triſtes yeux n’auront rien d’agreable;	après que le dernier sommeil Taura privé des clartés du Soleil, Dans les horreurs du Cocyte effroyable, Tes tristes yeux n'auront rien d'agréable;
Fuſſions nous meſme en ces lieux pleins d’effroy, Tu ne verras ny tes amys, ny moy.	Fussions nous -même en ces lieux pleins d'effroi, Tu ne verras était tes amis, ni moy.
Socrate fans s'elmouuoir pour la deſolation de ſa femme, comme du tout inſenſible à ſa perte, & à la douleur des ſiens:	Socrate fans s'elmouuoir pour la désolation de sa femme, comme du tout insensible à sa perte, et à la douleur des siens:
Ie vous prie, dit-il, ramenez moy cette femme en la maiſon.	Je vous prie, dit-il, ramenez moi cette femme en la maison.
Vn des domeſtiques de Criton qui ſe trouua là, la conduiſit chez elle.	Un des domestiques de Criton qui se trouva là, la conduisit chez elle.
Puis il s’aſſit, & tout ſe repoſant, D'vn eſprit graue & d'onugtents piugante	Puis il s'assit, et tout se reposant, D'un esprit grave et d'onugtents piugante
Auant Auant ſe taire il nous fit prendre enuie De l'aller ſuiure au fortir de la vie.	Avant Avant se taire il nous fit prendre envie De l'aller suivre au sortir de la vie.
Tout au meſme inſtant qu’on luy eut oſté les fers, il porta les mains ſur les meurtriſſeures qui luy demangeoient, & gouſtant ſans eſtre diuerty la douceur de ce ſoulagement.	Tout au même instant qu'on lui eut ôté les fers, il porta les mains sur les meurtrissures qui était démangeaient, et goûtant sans être diverti la douceur de ce soulagement.
Voyez (dit-il) comme au plus grand malheur La volupté ſuit de prés la douleur, Iay ce ſoulas a cauſe de la chaiſne, Et ce plaiſir à cauſe de ma peine.	Voyez (dit-il) comme au plus grand malheur La volupté suit de près la douleur, Iay ce soûlas a cause de la chaîne, Et ce plaisir à cause de ma peine.
Que c’eſt vne choſe merueilleuſe, difoit-il, que ce ſentiment que les hommes appellent plaiſir, & qu’il a vn eſtrãge rapport à la douleur qui sẽble eſtre ſon cõtraire:	Que c'est assez chose merveilleuse, disfait-il, que ce sentiment que les hommes appellent plaisir, et qu'il a un étrange rapport à la douleur qui somme être son comtraire:
car ils ne peuuẽt eſtre enſemble, & ſi nous ne ſçaurions gouſter de l’vn sãs participer à l’autre, & s’entretouchẽt tous deux, comme s’ils tenoient à quelque bout.	car ils ne peuvent être ensemble, et si nous ne saurions goûter de l'Un sãs participer à l'autre, et s'entretouchẽt tous deux, comme s'ils tenaient à quelque bout.
Æſope sãs doute, s’il euſt iamais reſvé là deſſus, euſt faict quelque fable de cette meditation.	Nesopeussy doute, s'il eût jamais rêvé là -dessus, eût fait quelque fable de cette méditation.
Que Dieu voulant accorder deux choſes ſi ennemies, & n’en faire qu’vne comme il ne le peut du tout, au moins les auroit il fait ioindre par leurs extremitez, ſi bien que l’vn ſe trouuaſt touſiours à la fuitte de l’autre, ce qui me vient d’arriuer tout maintenant:	Que Dieu voulant accorder deux choses si ennemies, et n'en faire qu'une comme il ne le peut du tout, au moins les aurait il fait joindre par leurs extrémités, si bien que l'Un se trouvât toujours à la fuite de l'autre, ce qui me vient d'arriver tout maintenant:
car les chaiſnes qui me faiſoient mal aux pieds, n’ont pas eſté ſi toſt laſchées, que i’en ay eu de la ioye, & de l’allegement.	car les chaînes qui me faisaient mal aux pieds, n'ont pas été si tôt lâchées, que j'en ai eu de la joie, et de l'allégement.
Là deſſus vn de ſes amis nommé Cebes, l’interrompit pour ſçauoir de luy, à quel ſujet il s’eſtoit amusé à faire des vers en la priſon:	Là -dessus un de ses amis nommé Cebes, l'interrompit pour savoir de lui, ces sujet il s'était amusé à faire des vers en la prison:
car il y en auoit faict depuis peu, ce qui ne luy eſtoit arriué iamais auparauant.	car il y en avait fait depuis peu, ce qui ne lui était arrivé jamais auparavant.
Cebes l’interrogeoit de cela, & pour ſa curioſité, & pour celle de quelques autres, mais notamment d’vn certain Euenus Poëte, qui l’auoit loit phle de s’en enquenr.	Cebes l'interrogeait de cela, et pour sa curiosité, et pour celle de quelques autres, mais notamment d'un certain Euenus Poète, qui l'avait loit phle de s'en enquenr.
Tu reſpondras à Euenus, dit Socrate, que ce que i’en ay faict, n’a eſté ny pour luy pliare, ny pour faire des vers à l’enuy de luy, ce qui n’eſtoit pas aisé:	Tu répondras à Euenus, dit Socrate, que ce que j'en ai fait, n'a été ici pour lui pliare, ni pour faire des vers à l'envi de Seigneur, ce qui n'était pas aisé:
mais ſeulement pour me purger l’ame, & pour tirer experience de quelque ſonge qui m’auoit ordonné de faire des chanſons, car vn ſonge qui m’eſt reuénu ſouuent, tantoſt d’vne forme, tantoſt d’vne autre, m’a touſiours dit, fay Socrate, fay Socrate, fay des vers.	mais seulement pour me purger l'âme, et pour tirer expérience de quelque songe qui m'avait ordonné de faire des chansons, car un songe qui m'est revenu souvent, tantôt d'une forme, tantôt d'une autre, m'a toujours dit, fais Socrate, fais Socrate, fay des vers.
Moy ſans cognoiſtre l’aduenture De ces myſteres trop couuerts, Ie voulois voir ſi ma nature Seroit propre au meſtier des vers.	Moi sans connaître l'aventure De ces mystères trop couverts, Je voulais voir si ma nature Serait propre au métier des vers.
Lors les Deeſſes des Poëtes, Auparauant pour moy muëttes, Pouſſerent leurs charmantes voix, Et paſſans dans ma fantaſie Firent vn peu de Poëſie, Donpen de jareus que t'auois.	Lors les Déesses des Poètes, Auparavant pour moi muettes, Poussèrent leurs charmantes voix, Et passants dans ma fantaisie Firent un peu de Poésie, Donpen de jareus que t'avais.
Plus cette viſion reuenoit à moy pour me ſolliciter à ceſt exercice, plus ie me trouuois diſposé à l’entreprendre.	Plus cette vision revenait à moi pour me solliciter à cet exercice, plus quelque me trouvais disposé à l'entreprendre.
Comme des bouts de la barriere.	Comme des bouts de la barrière.
Ceux qui vont courir pour le prix Sont ſuiuis auecques des cris Iuſqu’à la fin de la carriere, Cette importune viſion D’vne preſſante affection Me commendoit que i’eſcriuiſſe, Et me parloit à tout propos Des douceurs de mon exercice, Sans me donner iamais repos.	Ceux qui vont courir pour le prix Sont suivis avec des cris Jusqu'à la fin de la carrière, Cette importune vision D'une pressante affection Me commendait que j'écrivisse, Et me parlait à tout propos Des douceurs de mon exercice, Sans me donner jamais repos.
Si bien que m’eſtant reſolu de luy obeyr, & voulant auſſi que mon eſprit ſe rendiſt net auant que partir du monde, i’ay prins le temps de verſifier pendant les feſtes qui ont retardé l’execution de mon arreſt, i’ay commencé mon Poëme par Appollon, à qui on faiſoit alors des ſacrifices.	Si bien que m'étant résolu de Seigneur obéir, et voulant aussi que mon esprit se rendît net avant que partir du monde, j'ai prins le temps de versifier pendant les fêtes qui ont retardé l'exécution de mon arrêt, j'ai commencé mon Poème par Apollon, à qui on faisait alors des sacrifices.
Et cette influence elle meſme Qui nous met les vers dans le ſein, Comme ayant forme mon deſſein, A receu mon premier Poëme.	Et cette influence elle même Qui nous met les vers dans le sein, Comme ayant forme mon dessein, A reçu mon premier Poème.
Apres ie me mis à eſcrire des fables, iugeant qu’vn Poëte doit trauailler en cette matiere pluſtoſt qu’en autre diſcours & m’en reſſouuenant de quelques vnes, ie les ay traittées en l’ordre qu’elles me ſont venuës à la memoire, ce ſont des fables que i’ay priſes d’Æſope:	Après ie me mis à écrire des fables, jugeant qu'un Poète doit travailler en cette matière plutôt qu'en autre discours et m'en ressouvenant de quelques Émes, Seigneur les ai traitées en l'ordre qu'elles me sont venues à la mémoire, ce sont des fables que j'ai prises d'Hsope:
car de moy, ie ne me trouue point l’eſprit inuentif pour cela, c’eſt ce que tu as à reſpondre à Euenus, ſaluë-le de ma part.	car de moi, Madame ne me trouve point l'esprit inventif pour cela, c'est ce que tu as à répondre à Évenus, saluë-le de ma part.
Et de grace conſeille luy, Que s’il eſt ſage, il me doit ſuiure, Car ſans plus, c’eſt pour auiourd’huy Que ie veux acheuer de viure.	Et de grâce conseille lui, Que s'il est sage, il me doit suivre, Car sans plus, c'est pour aujourd'hui Que ie veux achever de vivre.
s’aduança ſur les bords de la couchette tout aſſis, & appuyant ſes pieds à terre, il continuë à s’entretenir auec nous.	s'avança sur les bords de la couchette tout assis, et appuyant ses pieds à terre, il continue à s'entretenir avec nous.
Comment accordes-tu cela, luy dit Cebes, qu’vne perſonne ne ſe doiue point donner la mort, & qu’vn Philoſophe doiue deſirer de ſuiure celuy qui s’en va mourir?	Comment accordes-tu cela, tu dit Cebes, qu'une personne ne se doive point donner la mort, et qu'un Philosophe doive désirer de suivre celui qui s'en va mourir?
SOCRATE.	SOCRATE.
N’auez vous iamais rien appris de cecy en conferant auec Philolaux, qui vous a eſté ſi familier?	N'avez -vous jamais rien appris de ceci en conférant avec Philolaux, qui vous a été si familier?
SIMIAS.	SIMIAS.
Rien pour tout d’aſſeuré, ny de facile.	Rien pour tout d'assuré, Seigneur de facile.
SOCRATE.	SOCRATE.
Ny moy non plus;	Ni moi non plus;
car i’en parle par ouy dire, & ne laiſſeray de vous en dire de bon cœur tout ce que i’en ay ouy, auſſi ne ſera il point hors de propos, que ſur le poinct de mon depart, ie ſonge vn peu quel il doit eſtre, & m’imagine ce que ie dois penſer de l’autre ſejour:	car j'en parle par ouï dire, et ne laisserai de vous en dire de bon cœur tout ce que j'en ai oui, aussi ne sera il point hors de propos, que sur le point de mon départ, Seigneur songe un peu quel il doit être, et m'imagine ce que je dois penser de l'autre séjour:
c’eſt la plus ſeante, & la plus vtile occupation qui nous puiſſe entretenir depuis le matin iuſqu’à la nuict.	c'est la plus santé, et la plu tile occupation qui nous puisse entretenir depuis le matin jusqu'à la nuit.
enne den pona jaxser diantas Et de tous les diſcours des hommes, Ce ſont ſans doute les meilleurs De penſer touſiours d’où nous ſommes.	enne den pona jaxser diantas Et de tous les discours des hommes, Ce sont sans doute les meilleurs De penser toujours d'où nous sommes.
CEBES.	CEBES.
Et pourquoy, Socrate, n’eſt-il pas permis de ſe tuer?	Et pourquoi, Socrate, n'est-il pas permis de se tuer?
car il eſt vray que Philolaux & d’autres, m’ont dit autresfois qu’il ne le faut pas faire;	car il est vrai que Philolaux et d'autres, m'ont dit autrefois qu'il ne le faut pas faire;
mais ils ne m’en ont point laiſsé de raiſon qui me contente.	mais ils ne m'en ont point laissé de raison qui me contente.
SOCRATE.	SOCRATE.
Ils faut que vous m’eſcoutiez attentiuement, meſme apres m’auoir bien entendu, ne doutez pas que vous ne trouuiez eſtrange pourquoy c’eſt vne choſe pure, ſimple, & ſans exemple, & qui eſt ſeule ſans arriuer iamais à l’hõme, que la permiſſion de ſe tuer, comme luy arriuent toutes autres choſes, veu meſme qu’il eſt meilleur à quelques vns de mourir, que de viure.	Ils faut que vous m'écoutiez attentivement, même après m'avoir bien entendu, ne doutez pas que vous ne trouviez étrange pourquoi c'est une chose pure, simple, et sans exemple, et qui est seule sans arriver jamais à l'homme, que la permission de se tuer, comme est arrivent toutes autres choses, veu beaucoup qu'il est meilleur à quelques uns de mourir, que de vivre.
Lors que nos deſtins ſont preſſez Des malices de la fortune, Et que nos yeux ſont offenceZ Du Soleil qui nous importune:	Lors que nos destins sont pressez Des malices de la fortune, Et que nos yeux sont offencés Du Soleil qui nous importune:
Que iamais l’Aſtre du malheur Ne ſe peut laſſer de nous nuire, Et qu’au lieu de nous ſecourir, Noſtre eſprit taſche à nous deſtruire, Se doit-on point faire mourir?	Que jamais l'Astre du malheur Ne se peut lasser de nous nuire, Et qu'au lieu de nous secourir, Notre esprit tâche à nous détruire, Se doit-on point faire mourir?
Et pourquoy des mains eſtrangere Me gueriront-elles demain, Puis qu’auiourd’huy ma propre main, Peut finir toutes mes miſeres?	Et pourquoi des mains étrangère Me guériront-elles demain, Puis qu'aujourd'hui ma propre main, Peut finir toutes mes misères?
