A PARIS, Chez TOVSSAINT QVINET, au Palais dans la petite Salle ſous la montee de	À PARIS, Chez TOUSSAINT QUINET, au Palais dans la petite Salle sous la monte de
I’en demeure d’acort baiſe moy ſeulement, Sans eſtre ton mary ie ſeray ton amant.	J'en demeure d'acort baise moi seulement, Sans être ton mari tu serai ton amant.
LA SAGE MONDAINE.	LA SAGE MONDAINE.
Vous eſtes bien plaiſant que de parler ainſi, Ie vous eſtime fort exempt de ce ſoucy, lamais le repentir d’vne flame nouuelle Neme pourra rauir le beau nom de pucelle.	Vous êtes bien plaisant que de parler ainsi, Je vous estime fort exempt de ce souci, lamais le repentir d'une flamme nouvelle Neme pourra ravir le beau nom de pucelle.
FIN.	FIN.
CALISTEA TIRCIS.	CALISTEA TIRCIS.
E faut-il pas qu’vn criminel Y NSouffre le tourment eternel De l’amour & de l’inconſtance, Le nomd’Amant eſt deffendu, Si vous ne faittes penitence, Du cœur que vous aueZ perdu.	E faut-il pas qu'Hô criminel Y NSouffre le tourment éternel De l'amour et de l'inconstance, Le nomd'Amant est défendu, Si vous ne faites pénitence, Du cœur que vous avez perdu.
Ces fers qui cauſent vos ſoupirs Portés ſur l’aiſle des Zephirs N’ont qu'vne douce violence, Leur plainte ſe peut deguiſer Deſſous le tombeau du ſilence, Qui doit ſeruir à m’abuſer.	Ces fers qui causent vos soupirs Portés sur l'aisle des Zéphirs N'ont qu'une douce violence, Leur plainte se peut déguiser Dessous le tombeau du silence, Qui doit servir à m'abuser.
Ie ſçay bien que la gueriſon Que l’on attend de la raiſon Eſt facille à voſtre penſee Mais croyez qu’il n'eſt pas permis A cette fureur inſenſee, D’approcher de ſes ennemis,	Je sais bien que la guérison Que l'on attend de la raison Est facille à votre pensée Mais croyez qu'il n'est pas permis À cette fureur insensée, D'approcher de ses ennemis,
Apprenez donc que la beauté Doit naiſtre de la cruauté, Non de l’amour qui nous enflame, Ce feu qui bruſle les mortels Ne ſortira point de voſtre ame, Fumant au pied de mes autels.	Apprenez donc que la beauté Doit naître de la cruauté, Non de l'amour qui nous enflamme, Ce feu qui brûle les mortels Ne sortira point de vôtre âme, Fumant au pied de mes autels.
Conſoler ſans affliction, C’eſt pluſtoſt vne fiction Qu'vnreſſentiment veritable;	Consoler sans affliction, C'est plutôt une fiction Qu'unressentiment véritable;
Celuy des dieux dont vous parlez N'a iamais este qu'vne fable Des ſiecles qui ſont eſcouleZ.	Celui des dieux dont vous parlez N'a jamais este qu'une fable Des siècles qui sont écoulés.
Ie ſuis bien aiſe que mes yeux Ont mis le langage des dieux En vne bouche ſi feconde, Si i’auois cette vanité Caliſte ſeroit ſans ſeconde Dans l’arreſt de l’eternité.	Je suis bien aise que mes yeux Ont mis le langage des dieux En ra bouche si féonde, Si j'avais cette vanité Caliste serait sans seconde Dans l'arrêt de l'éternité.
Le tourment que vous teſmoigne?	Le tourment que vous témoigne?
A l’amitié que vous feigneZ Sur mes vœux n’auront point de force, Voſtre ſœur a bien merité Que l’on deſpoüille ſon eſcorce, Pour deſcouurir la verité.	À l'amitié que vous feigneZ Sur mes vœux n'auront point de force, Votre sœur a bien mérité Que l'on dépouille son écorce, Pour découvrir la vérité.
STANCES.	STANCES.
E me tiens plus heureux que ceux du firmament M* De voir deux beaux Soleils marcher egalement, Et parfaire icy bas la terreſtre carriere, Le Soleil qui nous luit ſouffre l’obſcurité, Car luy-meſme rauy par ſi douce lumiere Eſt contraint de ceder à leur diuinité.	E me tiens plus heureux que ceux du firmament M* De voir deux beaux Soleils marcher également, Et parfaire ici bas la terrestre carrière, Le Soleil qui nous luit souffre l'obscurité, Car m-même ravi par si douce lumière Est contraint de céder à leur divinité.
Ses bruits, ſes mouuemens, ſes trompettes de Mars, Qui fontvaincre les cœurs au milieu des hazars N’ont point d’autre ſubjet de declarer la guerre, Chacun en ſon party ſe vante d’vn ſoleil Pour moy ie ſuis d’aduis qu’on ſepare la terre Puis que de tous les deux le miracle eſt pareil.	Ses bruits, ses mouvements, ses trompettes de Mars, Qui fontvaincre les cœurs au milieu des hasards N'ont point d'autre sujet dé déclarer la guerre, Chacun en son parti se vante d'un soleil Pour moi avec moi d'avis qu'on sépare la terre Puis que de tous les deux le miracle est pareil.
Beaux yeux faittes ceſſer tant decontes diuers, N’eſtes vous pas contens d’auoir tout l’vniuers Sans contrainte captif du ioug de voſtre empire, PermetteZ que ie ſois du nombre des guerriers, Pourueu que ſeulement pres de vous le ſoupire, Ie pourray couronner ma teſte de lauriers.	Beaux yeux faites cesser tant décontes divers, N'êtes -vous pas contents d'avoir tout l'univers Sans contrainte captif du joug de votre empire, Permette que sans sois du nombre des guerriers, Pourvu que seulement pres de vous le soupire, Je pourrai couronner ma tête de lauriers.
LE TOMBEAV DE LA	LE TOMBEAU DE LA
BELLE CHARON.	BELLE CHARON.
Rreſte vn peu Charon, ne preſſe point ta A barque, Sans cognoiſtre l’objet de celle que la parque Te veut faire paſſer.	Rreste un peu Charon, ne presse point ta A barque, Sans connaître l'objet de celle que la par Te veut faire passer.
Cette ialouZe main qui t’a voulu ſurprendre Ne doit pas effacer Le conſeil de celuy qui te le veut aprendre.	Cette ialouZe main qui t'a voulu surprendre Ne doit pas effacer Le conseil de celui qui te le veut apprendre.
Sçaches donc que iamais ſa fureur ne fut telle Sans porter le reſpect à ta race immortelle, Tu vois deuant tes yeux, Celle de qui le nom merite la dispence, De ſes funeſtes lieux, Voyla de ton labeur l’iniuſte recompence.	Saches donc que jamais sa fureur ne fut telle Sans porter le respect à ta race immortelle, Tu vois devant tes yeux, Celle de qui le nom mérite la dispense, De ses funestes lieux, Voila de ton labeur l'injuste récompense.
Afin de te venger de l’iniure preſente, Quitte là ſon Minos & le fier Radamante, Rallume ce flambeau, Cette fille n’eſt point Leuridice d’Orphee, Triumphe du tombeau, Pour reparer l’affront de tagloire etoufee.	Afin de te venger de l'injure présente, Quitte là son Minos et le fier Radamante, Rallume ce flambeau, Cette fille n'est point Leurice d'Orphe, Trimphe du tombeau, Pour réparer l'affront de tagloire étouffée.
Rehauſſant vne fois la tombe qui l’enſerre Tu ſeras adoré comme vn Dieu de la terre, F4 Qui commande à la mort Les Nymphes d’alentour te feront ſacrifice Et beniront l’abort De celuy qui voulut vaincre ce bon office.	Rehaussant une fois la tombe qui l'enserre Tu seras adoré comme un Dieu de la terre, F4 Qui commande à la mort Les Nymphes d'alentour te feront sacrifice Et béniront l'abort De celui qui voulut vaincre ce bon office.
Que ce corps ſoit encor en ſa beauté premiere, Et de reuoir ſes yeux estre pleins de lumiere, Ie meurs au ſouuenir:	Que ce corps soit encor en sa beauté première, Et de revoir ses yeux être pleins de lumière, Je meurs au souvenir:
Charon ne tarde plus viens luy rendre la vie, C’eſt trop la retenir, Si tu ne faits ſouffrir celle qui l’a rauie.	Charon ne tarde plus viens avait rendre la vie, C'est trop la retenir, Si tu ne faits souffrir celle qui l'a ravie.
I’abuſe mes regrets d’vne feinte friuolle, Ce qui me fait pleurer, c’eſt ce qui me conſole, Mon espoir eſt perdu, Ne cherchons la pitié dans ce cœur inflexible Mon cry n'est entendu Qu'au ſeiour qui ſouffrit cette perte ſenſible.	J'abuse mes regrets d'une feinte frivolle, Ce qui me fait pleurer, c'est ce qui me console, Mon espoir est perdu, Ne cherchons la pitié dans ce cœur inflexible Mon cri n'est entendu Qu'au séjour qui souffrit cette perte sensible.
Sauigny ie ſçaybien que le deuoir m’inuité, Pour eſpandre des pleurs à te donner viſite, Cognoiſſant ta douleur.	Savigni Princes sçaybien que le devoir m'invité, Pour épandre des pleurs à te donner visite, Connaissant ta douleur.
Helas pardonne moy, ſi i’vſe de l’abſence Croyant que ton malheur Doit faire qu’vn chacun eſuite ta preſence.	Hélas pardonne moi, si j'une de l'absence Croyant que ton malheur Doit faire qu'un chacun évite ta présence.
Au fort de nos ſouſpirs, & de l’inquietude Nous treuuons le repos parmy la ſolitude, N’es-tu pas ſatisfait, Puiſque dedans ton ſein le Ciel auoit fait naiſtre Ceſtouurage parfait;	Au fort de nos soupirs, et de l'inquiétude Nous trouvons le repos parmi la solitude, N'es-tu pas satisfait, Puisque dedans ton sein le Ciel avait fait naître Cestouurage parfait;
Il te rend auiourd huy le tribut de ſon eſtre.	Il te rend aujourd' hui le tribut de son être.
F iiij	 Fijà
MIBsn d ds	MIBs d ès
ELEGIE.	ÉLÉGIE.
E pouuant plus ſouffrir l’abſence de vos yeux Voyant au bien du iour ſes tenebres aux cieux, Priué de tout espoir, i’ay recours à la plainte Soulageant la douleur dont mõ ame eſt atteinte, Mais ie ne puis ſçauoir qui ie dois attaquer, Ie ne puis iuſtement treuuer qui me piquer, Car l’amour, la beauté, le temps, la deſtinee Se ſemblent oppoſer à mon cher Hymenee.	 pouuant plus souffrir l'absence de vos yeux Voyant au bien du jour ses ténèbres aux cieux, Privé de tout espoir, j'ai recours à la plainte Soulageant la douleur dont mien âme est atteinte, Mais je ne puis savoir qui sans dois attaquer, Je ne puis justement trouver qui me piquer, Car l'amour, la beauté, le temps, la destine Se semblent opposer à mon cher Hymène.
Toutefois me plaignant l’vn & l’autre ſe plaint Si i’accuſe l’amouril dira qu’il est ſaint Et que l’ardant deſir qui bruſle me poictrine Ne peut pas eſtre eſteint de la main de Cyprine;	Toutefois me plaignant l'un et l'autre se plaint Si j'accuse l'amouril dira qu'il est saint Et que l'ardent désir qui brûle me poittrine Ne peut pas être éteint de la main de Cyprine;
Si du fatal deſtin i’accuſe la rigueur Il accuſe pluſtoſt l’audace de mon cœur,	Si du fatal destin j'accuse la rigueur Il accuse plutôt l'audace de mon cœur,
Demandant ſi ie veux, effronté temeraire Rompre les ſaintes loix de l’arreſt ordinaire, Si ie me plains au temps pour attendre touſiours, Pour meſurer les ans & les ſiecles aux ioilrs.	Demandant si belle veux, effronté téméraire Rompre les saintes lois de l'arrêt ordinaire, Si grande me plains au temps pour attendre toujours, Pour mesurer les ans et les siècles aux joils.
Il ſe rit de mes pleurs, diſant que la natdre N'eſt propre qu'à couler au gré de l’aduanture C’eſt donc à la beaute que ie dois m’adreſſer, C’eſt elle que ie puis ſans hazart effencer.	Il se rit de mes pleurs, disant que la natdre N'est propre qu'à couler au gré de l'aventure C'est donc à la beauté que je dois m'adresser, C'est elle que je puis sans hasard effencer.
De ceſte part tes yeux ſi puiſſante rendué, Qu’on diroit que lunon eſt du Ciel deſcenduë:	De cette part tes yeux si puissante rendué, Qu'on dirait que lunon est du Ciel descendue:
Melidor he pourquoy vomis-tu ces regrets, Ses charmes, ſes apas, ſont myſteres ſecrets, Ne ſçais tu que les Dieux l’ont fait naiſtre en ce monde, Pour ſiege de beauté qui n’a point de ſeconde.	Mélidor hères pourquoi vomis-tu ces regrets, Ses charmes, ses appas, sont mystères secrets, Ne sais tu que les Dieux l'ont fait naître en ce monde, Pour siège de beauté qui n'a point de seconde.
Las ie n’en doute point, mais l’extreme douleur Qui me preſſe touſiours augmente mon malheur.	Las ici n'en doute point, mais l'extrême douleur Qui me presse toujours augmente mon malheur.
213 jaa contraint d’admirer en l’abſence Celle de qui mon cœur adore la preſence.	213 ja contraint d'admirer en l'absence Celle de qui mon cœur adore la présence.
Preſence qui m’eſt plus mille fois que le iour, Que ie cheris encor plus que le meſme amour.	Présence qui m'est plus mille fois que le jour, Que tu chéris encor plus que le même amour.
Sans laquelle mes ſens ſont priueZ de leur ame, Inſenſibles viuans glaçons en toute flamme:	Sans laquelle mes sens sont privés de leur âme, Insensibles vivants glaçons en toute flamme:
Viens donc Aſtre benin, mon vnique flambeau Viens retirer ſoudain vn amant du tumbeau:	Viens donc Astre bénin, mon unique flambeau Viens retirer soudain un amant du tombeau:
Car vne obſcure nuicta fermé ſa paupiere, Qui tient en ſa noirceur la clairté priſonniere.	Car une obscure nuita fermé sa paupière, Qui tient en sa noirceur la clairté prisonnière.
Quel ſub iet te retient en ſes lieux ſi deſerts Que tu meſpriſe ainſi l’esprit de l’vniuers, La maiſon du plaiſir, des beautez le parterre Ce Paris l’abbregé du reſte de la terre:	Quel su jet te retient en ses lieux si déserts Que tu méprise ainsi l'esprit de l'Hivers, La maison du plaisir, des beautés le parterre Ce Paris l'abrégé du reste de la terre:
Si cela ne t’eſmeut du moins que mes ſouſpirs Puiſſent voler à toy ſur l’aile des zephirs, Qui te diront qu’il faut à la fin que ie meure Si ton œil fait encor plus tardiue demeure.	Si cela ne t'émut du moins que mes soupirs Puissent voler à toi sur l'aile des zéphyrs, Qui te diront qu'il faut à la fin que ie meure Si ton œil fait encor plus tardive demeure.
L'HERMITE SOLITAIRE.	L'HÉRMITE SOLITAIRE.
Ombien tu dois eſtre contente De voir l’eſpoir de ton attente * Tout preſt de ſurgir à bon port.	Ombien tu dois être contente De voir l'espoir de ton attente * Tout prêt de surgir à bon port.
Et qu'a linſtant de ta diſgrace Contre l’affluence du ſort, Tu vas deſcendre au val de grace.	Et qu'a linstant de ta disgrâce Contre l'affluence du sort, Tu vas descendre au val de grâce.
Ce refus donne l’aduantage D’auoir vn plus digne partage, Qu’en la premiere eſlection, Puis que la plus ſaincte des belles Pa porter ſon ambition Aux pieds de ſes ames fidelles.	Ce refus donne l'avantage D'avoir vn plus digne partage, Qu'en la première élection, Puis que la plus sainte des belles Pa porter son ambition Aux pieds de ses âmes fidèles.
L’eſpoux dont l’objet adorable Se rend à tes veux fauorable Tira l’epreuue de ton cœur, Le bras de ſa toute-puiſſance Ne reçoit point d’autre vaincœur Que noſtre aueugle obeiſſance.	L'époux dont l'objet adorable Se rend à tes veux favorable Tira l'épreuve de ton cœur, Le bras de sa toute-puissance Ne reçoit point d'autre vaincœur Que notre aveugle obéissance.
Si tu veux faire ton entree Dedans cette heureuſe contree Va deſpouiller ta volonté, Et par l’oubly du premier estre Prens l’vſage de la bonté Pour le ſeruice de ton maiſtre.	Si tu veux faire ton entrée Dedans cette heureuse contrée Va dépouiller ta volonté, Et par l'oubli du premier être Prends l'usage de la bonté Pour le service de ton maître.
Il faut que l’eſprit ne s’applique Qu'à quelque penſee Angelique Rauiſſant l’ame de ſon corps, Puis faire voir que la nature Malgré ſes impiteux effors N’eſt rien en nous qu’vne peinture.	Il faut que l'esprit ne s'applique Qu'à quelque pensée Angélique Ravissant l'âme de son corps, Puis faire voir que la nature Malgré ses impiteux essors N'est rien en nous qu'une peinture.
Que l’vnion de ta penſee Se tienne touſiours aduancee Pers celuy que tu veux aymer, Bruſlante d vn amour extreme Le deſir qui vient t’emflamer, Ne peut ſortir que de Dieu meſme.	Que l'vnion de ta pensée Se tienne toujours avance Pers celui que tu veux aimer, Brûlante d un amour extrême Le désir qui vient t'emflamer, Ne peut sortir que de Dieu même.
Nous voyons les gloires futures Dans le miroir des creatures Par vn moyen proche des yeux, Mais l’excés d’vne ſainte flame S’eſleue iuſque dans les cieux, Pour ouurir la porte à noſtre ame.	Nous voyons les gloires futures Dans le miroir des créatures Par un moyen proche des yeux, Mais l'excès d'une sainte flamme S'élevée jusque dans les cieux, Pour ouvrir la porte à notre âme.
Celuy qui dormit à ſon aiſe Deſſus cette chaude fournaiſe Receut l’effet de ſon Amour Malgré le trepas & l’enuie Tonts les Anges iuy ſont la cour, N’ayant point quitté ceſte vie.	Celui qui dormit à son aise Dessus cette chaude fournaise Rect l'effet de son Amour Malgré le trépas et l'envie Tonts les Anges jui sont la cour, N'ayant point quitté cette vie.
L’on tient qu’il a telle dispence Pour luy ſeruir de recompence, De n’auoir ſouillé ſon deſir, Et par vn eſchange contrair:	L'on tient qu'il a telle dispense Pour lui servir de récompense, De n'avoir souillé son désir, Et par un échange contrair:
Il vit au ſeiour du plaiſir,	Il vit au séjour du plaisir,
Où mourut noſtre premier pere.	Où mourut notre premier père.
Ma ſœur il faut que ie finiſſe, Noſtre bon ſeigneur te beniſſe Au dela de l Eternité, Parlant ainſi que de couſtume, Le bon iour de l’Eternité Te ſoit donne ſans amertume.	Ma sœur il faut que ici finisse, Notre bon seigneur te bénisse Au déla de l Eternité, Parlant ainsi que de coutume, Le bon jour de l'Éternité Te soit donne sans amertume.
ADVIS DE L’HERMITE Solitaire à la Nymphe Madonthe Aal lefetour duDiMde ROMaIII.	ADVIS DE L'HÉRMITE Solitaire à la Nymphe Madonthe Aal lefetour duDiM ROMaIII.
Quey donc?	Quei donc?
que direz vous apres ſi bon office Vous ne ſçauriez iamais luy faire vn ſacrifice, Qui ſoit digne de luy ſinon de voſtre cœur?	que direz -vous après si bon office Vous ne sauriez jamais lui faire un sacrifice, Qui soit digne de Seigneur sinon de votre cœur?
Ouurez belle pluſtoſt cette blanche poitrine Pleine d’humilité ſans aucune rigueur, Permettez ce qu’on fait au temple de Cyprine.	Ouvrez belle plustost cette blanche poitrine Pleine d'humilité sans aucune rigueur, Permettez ce qu'on fait au temple de Cyprine.
STANCES.	STANCES.
Ymphe treue de pleurs, vous reuerreZ vn homme (Rome, Qui prefere vos yeux à la ville de N’ayant autre deſir que de vous adorer, Satisfait d’auoir veu le portrait du S.	Ymphe trouve de pleurs, vous réverrez un homme (Rome, Qui préfère vos yeux à la ville de N'ayant autre désir que de vous adorer, Satisfait d'avoir vu le portrait du S.
Pere, 1.	Père, 1.
° oaun puo fememen fatong temps diſferer, Le voila de retour, au plaiſir ordinaire.	ô oaun puo fememen fatong temps disférer, Le voilà de retour, au plaisir ordinaire.
Honorons ce ſaint corps ſi remply de myſtere Meſme pour moy qui ſuis l’hermite ſolitaire, Ie me tiens obligé d’eriger vn autel A tiré par la voix de ſa douce faconde Sans ſcrupule d’erreur le iugeant immortel, I’ay quitté mon deſert pour reuenir au monde.	Honorons ce saint corps si rempli de mystère Même pour moi qui suis l'hermite solitaire, Je me tiens obligé d'ériger un autel A tiré par la voix de sa douce faconde Sans scrupule d'erreur le jugeant immortel, J'ai quitté mon désert pour revenir au monde.
Ie ne luy puis offrir victime qu’il agree Si ce n’eſt en vn lieu d'vne foreſt ſacree, Tout à fait eſloigne du vulgaire ignorant, Acompagnes mes pas, afin que ie m'aduance, Ie ſçay bien qu’au mespris d’vn parfum odoCestle.	Je ne lui puis offrir victime qu'il agréée Si ce n'est en un lieu d'une forêt sacre, Tout à fait éloigne du vulgaire ignorant, Acompagnes mes pas, afin que sans m'avance, Je sais bien qu'au mépris d'un parfum odoCestle.
Il voudroit vn baiſer ſous l’vmbre du ſilence.	Il voudrait un baiser sous l'une du silence.
C’eſt l'heure que ſoudain il faut qu’on ſe retire, Moy ie promets cent fois de ſouffrir le martyre Pluſtoſt que reueler vn ſegret ſi caché.	C'est l'heure que soudain il faut qu'on se retire, Moi était promets cent fois de souffrir le martyre Plutôt que révéler un segréter si caché.
Tous deux viuez contens, vous n’auez rien à creindre Luy meſme de ſa main efface le peché, Et le feu trop bruſlant vonme pomex ejumure.	Tous deux vivez contents, vous n'avez rien à crindre Lui même de sa main efface le péché, Et le feu trop brûlant vonme pomex éjumure.
Si quelSi quelque curieux veut venir par miracle Dedans l’obſcurité conſulterſon oracle, Ie ſeray voſtre Argus, qui veillera touſiours, Mon œil n’eſt point ſubiet au charmexe Morphee, Vous pourrez ſeurement poſſeder vos amours Car contre le ſommeil nous auons vn Orphee.	Si quelSi quelque curieux veut venir par miracle Dedans l'obscurité consulterson oracle, Je serai votre Argus, qui veillera toujours, Mon œil n'est point sujet au charmexe Morphe, Vous pourrez sûrement posséder vos amours Car contre le sommeil nous avons un Orphée.
MITRIDATTE.	MITRIDATTE.
J Ainqueur de ville aßiegee Ie tiens ma fortune changee, Puis que ie ſuis captif d’amour qui m’a veineu Ie veux ſeruir à ſa victoire Sans me vouloir ayder de mon brillant eſcu Ie cede aux armes de ſa gloire.	 Jinqueur de ville assiegee Je tiens ma fortune change, Puis que sans suis captif d'amour qui m'a veinu Je veux servir à sa victoire Sans me vouloir aider de mon brillant écu Je cède aux armes de sa gloire.
Pour auoir gaigné la muraille, Mon cœur a perdu la bataille, Ne pouuant plus ſouffrir le trait qui l’a bleſſé Cette beauté victorieuſe Sans congnoiſtre celuy qu’elle tient renuerſé Rend ſa force plus gl rieuſe.	Pour avoir gagné la muraille, Mon cœur a perdu la bataille, Ne pouvant plus souffrir le trait qui l'a blessé Cette beauté victorieuse Sans connaître celui qu'elle tient renversé Rend sa force plus gl rieuse.
Quittons ſes liens & ſes chaiſnes Qui ſont la cauſe de mes geſnes, Du libre que i’eſtois eſclaue deuenu Mon bonheur fait que ie ſouspire, Meſme que cet enfant qui me pareſt tout nu D’vn coup a rauy mon empire.	Quittons ses liens et ses chaînes Qui sont la cause de mes gênes, Du libre que j'étais esclaue devenu Mon bonheur fait que personne soupire, Même que cet enfant qui me parêt tout nu D'un coup a ravi mon empire.
Toutefois ie creins qu’vne ingratte Triumphe ainſi de Mitridatte, Sans le recompenſer en ſa captiuité;	Toutefois Seigneur crèneins qu'une ingrate Trivmphe ainsi de Mitridatte, Sans le récompenser en sa captivité;
De viure aux pieds de cette belle, C’eſt plus que d’adorer vne diuinité.	De vivre aux pieds de cette belle, C'est plus que d'adorer une divinité.
Qui n'eſt point ſi puiſſante qu'elle.	Qui n'est point si puissante qu'elle.
Quoy n’ay-je pas tort de me plaindre Puis que celle qui me fait creindre Vient pareſtre à mes yeux comme vnluyſant Soleil Toute la trouppe de ſes dames Iugeant que leur climal n’auoit rien de pareil, Lojſre biciims de mesſiames.	Quoi n'ai-je pas tort de me plaindre Puis que celle qui me fait craindre Vient paraître à mes yeux comme vnluysant Soleil Toute la troupe de ses dames Jugeant que leur climal n'avait rien de pareil, Lojsre biciims de messiames.
ONNET.	ONNNET.
E bouquet de Laurier teſmoigne la victoire Que Daphnis doibt auoir au combat amoureux, Qui ſe doibt publier au rang des bien heureux, Si Clorinde ſe met compagne de ſa gloire.	E bouquet de Laurier témoigne la victoire Que Daphnis doibt avoir au combat amoureux, Qui se doibt publier au rang des bien heureux, Si Clorinde se met compagne de sa gloire.
Les differens obiets qu’il a dans ſa memoire Cauſent le changement à ſon cœur vigoureux, Toutefois ce berger eſt par trop genereux Pour esperer vn bien qui ne ſe puiſſe croire.	Les différents objets qu'il a dans sa mémoire Causent le changement à son cœur vigoureux, Toutefois ce berger est par trop généreux Pour espérer un bien qui ne se puisse croire.
G Ie creins que le Dieu Pan ialoux de ce bonheur Deſire partager la moitié de l’honneur, Voulant participer à ſi belle aduenture,	G Je crèins que le Dieu Pan jaloux de ce bonheur Désire partager la moitié de l'honneur, Voulant participer à si belle aventure,
Mais le respect humain le deffend aux mortels, Les Dieux ne ſont ſubiets au loix de la nature.	Mais le respect humain le défend aux mortels, Les Dieux ne sont sujets au lois de la nature.
Puis qu'Amour le permet aux pieds de ſes autels.	Puis qu'Amour le permet aux pieds de ses autels.
LES REGRETS DE L’AV rore ſur la mort de Tithon.	LES REGRETS DE L'AU rore sur la mort de Tithon.
ODE.	ODE.
L n’eſt plus temps que ie ſouſpire, Mes yeux ont trop ietté de pleurs, Tithon finiſſant ſon martyre Met fin à toutes mes douleurs, Et ceſt importun Hymenee, Qui m'auoit preſque deſtinee Pour mourir viue dans ſes fers A changé mon triste ſeruage En vn deſirable veufuage, De l’auoir conduit aux enfers.	 L'est plus temps que ainsi soupire, Mes yeux ont trop jeté de pleurs, Tithon finissant son martyre Met fin à toutes mes douleurs, Et cet importun Hymène, Qui m'avait presque destine Pour mourir vive dans ses fers A changé mon triste servage En un désirable veufuage, De l'avoir conduit aux enfers.
Depuis l’heure malencontreuſe Que ie fus miſe entre ſes mains N’eſtois-ie pas plus malheureuſe, Que tout le reſte des humains:	Depuis l'heure malencontreuse Que ie pu mise entre ses mains N'étais-je pas plus malheureuse, Que tout le reste des humains:
I’ay bruſlé d’amoureuſe flame, Toutefois au temps que mon ame Deuoit esperer du ſecours, Ce fut lors que ie fus contrainte C upuure en inutile plainte Ct pius bel Auril de mes iours,	J'ai brûlé d'amoureuse flamme, Toutefois au temps que mon âme Deuait espérer du secours, Ce fut lors que sans fus contrainte Ç upuvre en inutile plainte Ct pius bel Auril de mes jours,
Helas c’eſt pourquoy ie regrette D’auoir tant de fois differé Pouuant d’vne couche ſecrette Obtenir le bien deſiré, Mais ceſt honneur imaginaire Par ſon apparence ordinaire, Tenant mon deſir abuſé;	Hélas c'est pourquoi quelque regrette D'avoir tant de fois différé Pouvant d'une couche secrète Obtenir le bien désiré, Mais cet honneur imaginaire Par son apparence ordinaire, Tenant mon désir abusé;
Fist ſecher ma fleur printaniere Sans plaiſir, ſans iour, ſans lumiere, Sous ce vieil arbre tout vſe.	Fît sécher ma fleur printanière Sans plaisir, sans jour, sans lumière, Sous ce vieil arbre tout .
Si faut-il pourtant de ſa ſouche Faire naiſtre vn beau rejeton Qui puiſſe animer vne bouche, Et qui rehauſſe le menton, Ie veux dire vn autre Cephale A qui perſonne ne s'égale, Preſt à combattre l’ennemy;	Si faut-il pourtant de sa souche Faire naître un beau rejeton Qui puisse animer une bouche, Et qui rehausse le menton, Je veux dire un autre Céphale À qui personne ne s'égale, Prêt à combattre l'ennemi;
Il faut donc qu’Amour me le monſtre Euitant pareille rencontre Uu premier qui fur endormx	Il faut donc qu'Amour me le montre Étant pareille rencontre Uu premier qui fur endormx
Quelque deuoir retient encore L’exces de ſon affection Ne permettant à ſon aurore De teſmoigner ſa paßion;	Quelque devoir retient encore L'excès de son affection Ne permettant à son aurore De témoigner sa passion;
Attendant que l’vmbre paſſee Soit de la memoire effacee, Sans iamais plus y reuenir;	Attendant que l’ imbre passe Soit de la mémoire effacée, Sans jamais plus y revenir;
Si ce n’eſt la ſeule eſperance D’vne agreable differance, Qui conſerue le ſouuenir.	Si ce n'est la seule espérance D'une agréable différance, Qui conserve le souvenir.
Combien heureuſe la iournee D’vn ſi parfait acouplement De voir ſoubs le ioug d’Hymenee L'Amante auecque ſon amant Dedans l’amoureuſe carriere L’Aurore pleine de lumiere Pareſtra la nuict & le iour.	Combien heureuse la journe D'un si parfait acouplement De voir sous le joug d'Hymène L'Amante auecque son amant Dedans l'amoureuse carrière L'Aurore pleine de lumière Parêtra la nuit et le jour.
L’amant d’vn adreſſe ſubtile Parſemant ſa terre inutile, Des fruicts de la mere dAmour.	L'amant d'un adresse subtile Parsemant sa terre inutile, Des fruits de la mère dAmour.
ANECTORSE veut remarier à la belle Clec nice.	ANCTORSE veut remarier à la belle Cléc nice.
TANCES.	TANCES.
Ector ſur ſes vieilles annees IN Pour ſatisfaire aux deſtinees Veut encor le nom de mary Sans ſçauoir que ſa Cleonice Deſia retient vn fauory Pour le ietter au precipice.	Étor sur ses vieilles années IN Pour satisfaire aux destinées Veut encor le nom de mari Sans savoir que sa Cléonice Déjà retient un fauory Pour le jeter au précipice.
Ne pouuant ſouffrir qu’on l’abuſe Ie luy veux dire cette ruſe Afin de le mieux diuertir, Mais ie crains que ſon ame epriſe De la poſſeder en chemiſe Paxaideaeſstie repentu.	Ne pouvant souffrir qu'on l'abuse Je lui veux dire cette ruse Afin de le mieux divertir, Mais ie Sains que son âme éprise De la posséder en chemise Paxaideaésstie repentu.
Puiſque donc ie l’ay voulu dire Ma volonte luy doit ſuffire Pour le reſpect de l’amitié;	Puisque donc rien l'ai voulu dire Ma volonté lui doit suffire Pour le respect de l'amitié;
Si ſa teſle deuient cornuë, Eetse.	Si sa télé devient cornue, Eetse.
Pourra ſe tourner en pitié.	Pourra se tourner en pitié.
Pluſtost que d’epandre des larmes Il faut auoir recours aux ormes, Et le ſecourir au beſoing;	Plutôt que d'épandre des larmes Il faut avoir recours aux ormes, Et le secourir au besoin;
Ie promets qu’eſtant en magarde, Crainte que pas vn la regarde, D'auoir touſiours le Zeſtau poing.	Je promets qu'étant en magarde, Crainte que pas un la regarde, D'avoir toujours le Zétau poing.
