LES GALANTES JERTVEVSES.	LES GALANTES JERTUEUSES.
Quel acc ident eſtrange, Depuis ſi peu de temps vous conſeille le chãge?	Quel acc ident étrange, Depuis si peu de temps vous conseille le changé?
Qus t’a fait Clarigene?	Qus t'a fait Clarigène?
& de quel traitement, As-tu pû rebuter vn fi gentil Amant?	et de quel traitement, As-tu pu rebuter un fi gentil Amant?
DORANTE.	DORANTE.
Que dy tu Liliane?	Que dis tu Liliane?
LILIANE.	LILIANE.
A-t’il a tes merueïlles, Treuué des qualitez & des graces pareilles, n eni en les dueours, où uans quelque action, Manqué de couttoiſie ou de diſcretion?	A-t-il a tes merveilles, Treué des qualités et des grâces pareilles, n' y en les deuours, où uans quelque action, Manqué de couttoisie ou de discrétion?
DORANIE.	DORANIE.
Cela m’importe peu,	Cela m'importe peu,
LILIANE.	LILIANE.
Son reſpect & ſa flame, Eſtoient-ils ou ſuſpects, ou capables de blâme, Tes yeux n’eſtoient-ils pas les vainqueurs abIolus, De ce cœur orgueilleux qu’ils ne poſſedent plus?	Son respect et sa flamme, Étaient-ils ou suspects, ou capables de blâme, Tes yeux n'étaient-ils pas les vainqueurs abIolus, De ce cœur orgueilleux qu'ils ne possèdent plus?
DORANTE.	DORANTE.
Quoy jadis Clarigene a mon ame embraſée, murdie je tant orune lans eu eitle aduiſée 2̀	Quoi jadis Clarigène a mon âme embrasée, murdie je tant orune lans eu eitle avisée 20
CLARIGENE.	CLARIGENE.
Ne vous oencer point de mon afrection, Ie donne vn autre objet à mon ambition.	Ne vous occer point de mon afrection, Je donne un autre objet à mon ambition.
LILIANE.	LILIANE.
Dorante toutesfois a beaucoup de merites.	Dorante toutefois a beaucoup de mérites.
CLARIGENE.	CLARIGENE.
muy nanuis le luy les loin que ramour m'a preſcriptes.	mui nanuis le Roi les loin que ramour m'a prescriptes.
Et quoy qu’elle ait des traits qu’on ne puiſſe hayr, re les dois meſpr iſer ſi ie veux obeyr,	Et quoi qu'elle ait des traits qu'on ne puisse haïr, re les dois mépr iser si grande veux obéir,
DORANTE.	DORANTE.
Oboyſſex Monſieur, ie verray ſans enuie, Voſtre ame par vne autre heureufement rauie.	Oboissex Monsieur, votre verrai sans envie, Votre âme par une autre heureusement ravie.
Et pour ne point troubler vn entretien ſi doux, Souffrez que ie vous laiſſe.	Et pour ne point troubler un entretien si doux, Souffrez que je vous laisse.
Elle ſort.	Elle sort.
SCENE III.	SCÈNE III.
CLARIGENE, LILIANE.	CLARIGENE, LILIANE.
CLARIGENE.	CLARIGENE.
MRE bien me croirez vouss Ne vous ay-je pas dit que trop opiniſtre, Vous vous forgiez vn monſtre afin de le combattre?	MRE bien me croirez -vous Ne vous ai-je pas dit que trop opinistre, Vous vous forgiez un monstre afin de le combattre?
Et qu’vne aueugle erreur abufant vos eſprits, Portoit voſtre rigueur à d’iniuſtes meſpris?	Et qu'une aveugle erreur abusant vos esprits, Portait votre rigueur à d'injustes mépris?
Bruſle-je pour quelqu’autre?	BrÎle-je pour quelque autre?
en doutez voug encore?	en doutez voug encore?
Dorante eſt-elle enfin la beauté que i’adore?	Dorante est-elle enfin la beauté que j'adore?
Non, non, ayez Madame vn meilleur ſentiment, Et de voſtre merite, & de mon iugement, Retirant de vos fers mon ame priſonniere, Ie perdray quant & quant le bien de la lumieré.	Non, non, ayez Madame un meilleur sentiment, Et de votre mérite, et de mon jugement, Retirant de vos fers mon âme prisonnière, Je perdrai quant et quant le bien de la lumier.
LILIANE.	LILIANE.
Doncques pour ce deſlein conſerue-toy le iour, Tu ne m’es plus ſuſpect, ie connoy ton amour, Rare objet de mes voux, vainqueur de ma franchiſe, Charmant & digne autheur de ma premiere priſe, Ordonne à mes rigueurs vn ſupplice inhumain, Ce cœur te plairra-t’il arraché de ma main?	Donc pour ce délein conserve-toi le jour, Tu ne m'es plus suspect, ie connoy in amour, Ma in de mes voux, vainqueur de ma franchise, Charmant et digne auteur de ma première prise, Ordonne à mes rigueurs un supplice inhumain, Ce cœur te plaira-t-il arraché de ma main?
N’eſpargne point mon ſang, & fend ce ſein barbare, Qui rebutoit l’honneur d’vne amitié ſi rare, Laiſſe à ce cœur ingrat le deſſein de mourir.	N'épargne point mon sang, et fend ce sein barbare, Qui rebutait l'honneur d'une amitié si rare, Laisse à ce cœur ingrat le dessein de mourir.
CLARIGENE.	CLARIGENE.
Quoy donc ſi prés du port vous parlez de perir?	Quoi donc si près du port vous parlez de périr?
Et d’vn feu qui nourrit vne amitié ſi tendre, Vous ne m’en voulez rien conſeruer que la cendre?	Et d'un feu qui nourrit une amitié si tendre, Vous ne m'en voulez rien conserver que la cendre?
Ah Madame!	Ah Madame!
perdez ce funeſte deſſein.	perdez ce funeste dessein.
L’ILIANE.	L'ILIANE.
Il ne faut pas de vray que ton amour ſoit vain, Iouys donc des faueurs qu’enfin le Ciel t’envoye, ne conmdinuu cheur partuge auſſi ma joye, Mais Dieux!	Il ne faut pas de vrai que ton amour soit vain, Jouis donc des faveurs qu'enfin le Ciel t'envoie, ne conminu cheur partuge aussi ma joie, Mais Dieux!
tu parois froid, te plaints-tu du deſtin, Et ſens-tu tes deſirs refroidis par leur fin?	tu parais froid, te plaints-tu du destin, Et sens-tu tes désirs refroidis par leur fin?
CLARIGENE.	CLARIGENE.
Pareil au crimine!	Pareil au crimine!
qui la face bandée, Lors qu’il attend le coup void ſa mort retardée.	qui la face bandée, Lors qu'il attend le coup void sa mort retardée.
Son bandeau détaché.	Son bandeau détaché.
ſes iuges ſatisfaits, Le peuple ſoubs riant & ſes liens deffaits, Tel les ſens eſtonnez, & le cœur tout de glace, Ie demeure confus au moment de ma grace, et dans ce mefme temps ie ſens à ton aſpect, Que ie bruſſe d’amour, & tremble de reſpect:	ses juges satisfaits, Le peuple soubs riant et ses liens défaits, Tel les sens étonnés, et le cœur tout de glace, Je demeure confus au moment de ma grâce, et dans ce même temps ie sens à ton aspect, Que je brusse d'amour, et tremble de respect:
Soulage donc vn peu cette ardeur de ma flame, Laiſſe ſur ce beau ſein éuanouïr mon ame, Et ne me deffends point ces innocens plaiſirs, Que tu peux accorder à mes iuſtes deſirs.	Soulage donc un peu cette ardeur de ma flamme, Laisse sur ce beau sein évanouir mon âme, Et ne me défends point ces innocents plaisirs, Que tu peux accorder à mes justes désirs.
Delicieux tranſports!	Délicieux transports!
Liliane, mon Ange, Ah!	Liliane, mon Ange, Ah!
qu’icy mon amour heureuſement ſe vange, Et que cette faueur apres tant de meſpris, Donne à mes paſſions vn agreable prix!	qu'ici mon amour heureusement se venge, Et que cette faveur après tant de mépris, Donne à mes passions un agréable prix!
Ceſſez de murmurer amoureuſes penſées, Liliane aujourd huy vous a recompenſées, Et ſa bonté pourtant vous permet d’eſperer, Vn bien que les Dieux ſeuls ont droit de deſirer.	Cessez de murmurer amoureuses pensées, Liliane aujourd' hui vous a récompensées, Et sa bonté pourtant vous permet d'espérer, Un bien que les Dieux seuls ont droit de désirer.
LILIANE.	LILIANE.
Ouy ie te le promet & mon ame eſt rauïe, De ſe voir ſoubs tes loix doucement aſſeruie, Et ſi ta volonté reſpond à mes ſouhaits, Nos deſirs dedans peu ſe v rront ſatisfaits, Ayme enfin Liliane, & meſpriſe Dorante, Reconnoy la fidelle, & punit l’inconſtante, C’eſt l’vnique bon-heur que i’attens deſormais.	Ou ie te le promet et mon âme est rauïe, De se voir sous ces lois doucement asservie, Et si ta volonté répond à mes souhaits, Nos désirs dedans peu se v ont satisfaits, Aime enfin Liliane, et méprise Dorante, Reconnoy la fidèle, et punit l'inconstante, C'est l'unique bonheur que j'attends désormais.
CLARIGENE.	CLARIGENE.
Ta beauté me l’ordonne & ie te le promets,	Ta beauté me l'ordonne et Seigneur te le promets,
SCENE IV.	SCÈNE IV.
CLARIGENE, ſeul E' bien cruel Amour que fera Clarigene.	CLARIGENE, seul E' bien cruel Amour que fera Clarigène.
H De nouueaux mouuemens renouuellens ma peine, D'vn erernel reflus mon eſprit agité.	H De nouveaux mouvements renouvellents ma peine, D'un erernel reflus mon esprit agité.
Va ſans ceſſe de l’vne à l'autre extremité, Et me force d’errer de riuage en riuage, Pour trouuer vn écueil digne de mon naufrage, A quoy donc me reſoudre?	Va sans cesse de l'une à l'autre extrémité, Et me force d'errer de rivage en rivage, Pour trouver un écueil digne de mon naufrage, À quoi donc me résoudre?
ah!	ah!
ſans plus conſulter.	sans plus consulter.
Choiſiſſons les ſiens les plus doux à porter, Liliane me rit, m’ayme me fauoriſe, Et ſa diuine humeur à beaucoup de franchiſe, Ses beautez ſont pour moy d’agreables moiſſons, N’allons point ſans eſpoir ſen er ſur des glacons, Ah!	Choisissons les siens les plus doux à porter, Liliane me rit, m'aime me favorise, Et sa divine humeur à beaucoup de franchise, Ses beautés sont pour moi d'agréables moissons, N'allons point sans espoir sen er sur des glaçons, Ah!
penſers importuns, conſeillers infidelles, Vous offencez Doraute, & vous m’eſtes rebelles, Prez d’elle Liliane à peu de doux attraits, Et mon cœur cederoit à de trop foibles traits, Ainſi que ſa beauté, ſa naiſſance eſt commune, Et ie puis aſpirer plus haut que ſa fortune:	pensers importuns, conseillers infidèles, Vous offensez Doraute, et vous m'êtes rebelles, Prez d'elle Liliane à peu de doux attraits, Et mon cœur céderait à de trop faibles traits, Ainsi que sa beauté, sa naissance est commune, Et g puis aspirer plus haut que sa fortune:
Inutile diſcours à mon cœur dement ma voix, re ne me puis ranger ſoubs de plus dignes loix, Pour guerir mon tourment, i’en meſpriſe la cauſe, Mais a ce ſentiment ſon merite s’oppoſe, Liliane eſt charmante.	Inutile discours à mon cœur dément ma voix, re ne me puis ranger sous de plus dignes lois, Pour guérir mon tourment, j'en méprise la cause, Mais à ce sentiment son mérite s'oppose, Liliane est charmante.
& les maux que ie ſens, Sont vn leger effet de ſes charmes puiſſaus, Tout priſe, tout reuere vne beauté ſi rare, Et qui s’en peut deffendre, eſt aueugle ou barbare:	et les maux que je sens, Sont un léger effet de ses charmes puissaus, Tout prise, tout révère une beauté si rare, Et qui s'en peut défendre, est aveugle ou barbare:
Qu'elle ſoit donc enfin l’objet de noſtre amour, Si Dorante a vaintu qu’elle vainqu’à ſon tour, Et ſans continuer vne laſche contrainte, Cſangcons en venſte cequi n'eſtoit que feinte.	Qu'elle soit donc enfin l'objet de notre amour, Si Dorante a vaint qu'elle vainqu'à son tour, Et sans continuer une lâche contrainte, Csangcons en venste cequi n'était que feinte.
SCENE V.	SCÈNE V.
DORANTE, CLARIGENE, NERINE.	DORANTE, CLARIGENE, NERINE.
& DOIMIVIL.	et DOIMIVIL.
Ur quoy pouuez vous ſeul meditel en ct heu ?	Or quoi pouvez -vous seul méditel en ct heu ?
CLARIGENE.	CLARIGENE.
Vous le fcaurez bien toſt s mais on m’attend, Adieu u ſons	Vous le faurez bien tôt s mais on m'attend, Adieu sons
SCENE VI.	SCÈNE VI.
NERINE, DONANAE, LILIANE.	NERINE, DONANAE, LILIANE.
L NERINE.	L NERINE.
Ieux!	Jeux!
que viens-je de voir?	que viens-je de voir?
qu’elle eſt cette retraitte?	qu'elle est cette retraite?
LILIANE, les interrompant.	LILIANE, les interrompant.
Comment vous trouuez-vous d’auoir fait la coquette?	Comment vous trouvez-vous d'avoir fait la coquette?
Vous auez tant de grace à ſouffrir vn refus, Que perſonne apres vous ne s’en meſlera plus;	Vous avez tant de grâce à souffrir un refus, Que personne après vous ne s'en mêlera plus;
Apres tout ie vous plaints, ce courage farouche, Ne vous eſt eſchappé qu’à faute d’vne mouche, Encore vn aſſaſſin vous luy perciez le cœur,	Après tout cela vous plaints, ce courage farouche, Ne vous est échappé qu'à faute d'une mouche, Encore un assassin vous lui perciez le cœur,
DORANTE.	DORANTE.
Liliane ceſſez ce langage mocqueur.	Liliane cessez ce langage moqueur.
Vous n’eſtes pas encore où vous penſez atteindre, Clarigene eſt vn homme, & tout homme ſcayt feindre, La nature pour nous luy preſcrit des reſpects, Qui pour eſtre profonds, ne ſont pas moins ſuſpects, Toutes ont des appas, toutes ſemblent luy plaire.	Vous n'êtes pas encore où vous pensez atteindre, Clarigène est un homme, et tout homme scayt feindre, La nature pour nous lui prescrit des respects, Qui pour être profonds, ne sont pas moins suspects, Toutes ont des appas, toutes semblent quelque plaire.
Et ſon ſexe luy rend ce vice neceſſaire, Il priſe vn viſage, & complaiſant qu’il eſt, il prile auſſi ſouuent celuy qui luy deplaiſt.	Et son sexe amour rend ce vice nécessaire, Il prise un visage, et complaisant qu'il est, il prile aussi souvent celui qui lui déplaît.
LIISIANE.	LIISIANE.
Ma fortune eſt meilleure & i’ay cét aduantage, Que ſi i’ay de l’amour ſon ame le partage, le poneue res veeux, & ce fidelle Amant, Me conſidere ſeule, ou feint ſubtilement.	Ma fortune est meilleure et j'ai cet avantage, Que si j'ai de l'amour son âme le partage, le ponève rés veeux, et ce fidèle Amant, Me considère seule, ou feint subtilement.
DOTANTE.	DOTANTE.
Quelle ſi forte preuue à diſſippé vos craintes?	Quelle si forte preuve à dissipé vos craintes?
Vous.	Vous.
LILIANE.	LILIANE.
DORANTE.	DORANTE.
Que vous eſtes neufue en matiere de feintes Ie vous veux détromper Madame croyez moy, Pauois a lon amoul ipolt cette loy, Et s’il vous à tantoſt flattée en ma preſence, Ie l’ay porté moy-meſme à cette complaiſance.	Que vous êtes neuve en matière de feintes Je vous veux détromper Madame croyez moi, Pavais à lon amoul ipolt cette loi, Et s'il vous à tantôt flattée en ma présence, Je l'ai porté moi-même à cette complaisance.
LILIANE.	LILIANE.
En ces occaſions qui peut toſt obeyr, Peut auſſi promptement & changer & trahir.	En ces occasions qui peut tôt obéir, Peut aussi promptement et changer et trahir.
Et telle croit ſouuent tromper vne riuale, Qui s’égare ſoy-meſme en ce faſcheux dédale, Quand vn cœur diſſimule, & n’eſt qu’officieux, Il eſt bien rarement d’accord auec ſes yeux, Mais lors que les ſouſpirs ſe font de la partie, Ils ont en leurs effets beaucoup de ſympathie, Et ie ſeray touſiours attachée à ce point, Qu'on exprime bien mal ce qu’on ne reſſent point, Dorante croyez-moy le cœur de Clarigene, Auſſi bien que ſes yeux m’a parlé de ſa peine, Et malgré voſtre addreſſe & voſtre eſprit jaloux Ses deſirs & les miens le rendront mon eſpoux, Conſultez là deſſus.	Et telle croit souvent tromper une rivale, Qui s'égare soi-même en ce fâcheux dédale, Quand un cœur dissimule, et n'est qu'officieux, Il est bien rarement d'accord avec ses yeux, Mais lors que les soupirs se font de la partie, Ils ont en leurs effets beaucoup de sympathie, Et ie serai toujours attachée à ce point, Qu'on exprime bien mal ce qu'on ne ressent point, Dorante croyez-moi le cœur de Clarigène, Aussi bien que ses yeux m'a parlé de sa peine, Et malgré ale adresse et votre esprit jaloux Ses désirs et les miensal rendront mon époux, Et les dessus.
Elte s en vai	Élte s en vay
SCENE VII.	SCÈNE VII.
DORANTE, NERINE,	DORANTE, NERINE,
9 2 Pres tant d’apparences I’aurois pour cet ingrat de vaines eſperances, Ie ne cognois que trop que ſon cœur eſt chãg Mais par ſon changement le mien ſera vangé, Il eſt le criminel & ie ſuis ſa complice, La raiſon veut auſſi qu’il ait part au ſupplice, Et que le meſme vent qui luy promet le port, Reduiſe ſon eſpoir aux termes de la mort, Quoy l’ingrat m’a trahie!	9 2 Pres tant d'apparences J'aurais pour cet ingrat de vaines espérances, Je ne connais que trop que son cœur est chôg Mais par son changement le mien sera vengé, Il est le criminel et un suis sa complice, La raison veut aussi qu'il ait part au supplice, Et que le rendre vent qui avait promet le port, Réduise son espoir aux termes de la mort, Quoi l'ingrat m'a trahie!
ô penſer homicide!	ô penser homicide!
O Dieux!	Ô Dieux!
comme ay-je pû me rendre à ce perfide?	comme ai-je pu me rendre à ce perfide?
Il gouuernoit mon cœur, par des homages feints, Ce Tyran de mes vœux rõpoit tous mes deſſeins, I’immolois des ſouſpirs à cet eſprit volage, Et ma laſche raiſon cheriſſoit ſon ſeruage, Il me quitte pourtant, & ie voy ſes deſdains?	Il gouvernait mon cœur, par des hommages feints, Ce Tyran de mes vœux rõpoit tous mes desseins, J'immolais des soupirs à cet esprit volage, Et ma lâche raison chérissait son servage, Il me quitte pourtant, et ie voy ses dédains?
Sanis ariſer contie inoy ina Iuieur ny mes mains, Mais i’ay l’eſprit plus fort & cette indigne rage.	Sanis ariser contie inoi ina Iuieur ni mes mains, Mais j'ai l'esprit plus fort et cette indigne rage.
Eſt capable de tout ſinon en mon courage, Vn genereux deſſein peut vaincre ſes douleurs, Et ie ſuis preparée à des pires malheurs.	Est capable de tout sinon en mon courage, Un généreux dessein peut vaincre ses douleurs, Et Seigneur suis préparée à des pires malheurs.
NERINE.	NERINE.
Si ie voy cét ingrat, d que la fepentence, donſtre quelque fegret de ion peu de conſtance.	Si ici vois cet ingrat, d que la fépentence, donstre quelque fégret de ion peu de constance.
DORANTE.	DORANTE.
C’eſt aſſez qu’vne fois il ait pû m’enflammer.	C'est assez qu'une fois il ait pu m'enflammer.
Qu’il ayme ma riuale, ou qu’il ceſſe d’aymer.	Qu'il aime ma rivale, ou qu'il cesse d'aimer.
NERINE.	NERINE.
ti l’œil mouïllé de pleurs il implore ſa grace?	ty l'œil mouïllé de pleurs il implore sa grâce?
Do le dn ll.	Do le dîn l.
Hé bien en cet eſtat que faut-il que ie faſſe?	Hé bien en cet état que faut-il que ie asse?
NERINE.	NERINE.
l l’a doit obtenir par ſon affection, Mais qu’vn peu de froideur ſoit ſa punition.	 l'a doit obtenir par son affection, Mais qu'un peu de froideur soit sa punition.
DORANTE.	DORANTE.
Qu’il ſuiue tes aduis, & qu'en cette eſperance, l tente mon amour, & ma perſeuerance, Le perfide apprendra par mes iuſtes meſpris, Comme ie ſcay punir les volages eſprits, Les viſibles effets d’vne peine infinie, La voix de tout le monde en ſa faueur vnie.	Qu'il suive tes avis, et qu'en cette espérance, l ente mon amour, et ma persévérance, Le perfide apprendra par mes justes mépris, Comme ie scai punir les volages esprits, Les visibles effets d'une peine infinie, La voix de tout le monde en sa faveur unie.
Ses yeuxqui m’ont trahy, ces laſches criminels, Changez par ſes remords en ruiſſeaux eternels.	Ses yeuxqui m'ont trahi, ces lâches criminels, Changez par ses remords en ruisseaux éternels.
Son viſage mourant, ſa main, & ſon eſpée.	Son visage mourant, sa main, et son épée.
Dans ſon perfide ſang deuant mes yeux trempée, Son cœur mis en mes mains, l’inſtãt de ſon trépas Lt ſon dernier ſouſpir ne m’eſbranleroit pas, Je verrois d’vn meſme œil ſes meſpris, & ſa peine, Mon cœur comme en l’amour eſt conſtant en la haine, Porte-le de ma part à ne le voir iamais, Cet aduis eſt encor vn bien que ie luy faits.	Dans son perfide sang devant mes yeux trempée, Son cœur mis en mes mains, l'instant de son trépas L son dernier souspir ne esbranleroit pas, Je verrois même ses mépris, et sa peine, Mon cœur comme en amour est constant en la haine, Porte-le de ma part ne le voir iamais, Cet aduis est encor bien que ie lui faits.
NERINE.	NERINE.
O Dieux quelle fureur agite ſa penſée?	Ô Dieux quelle fureur agite sa pensée?
t quel trouble ſaiſiſt vne Amante offencée?	t quel trouble saisît une Amante offensée?
ſais quel aſtre malin nous eſclaire aujourd’huy G 2 Voicy bien le moyen de finir ſon ennuy, Tyrinthe ſuit Arbane, & ſans doute il eſpere, De s’acquerir la fille ayant gaigné le pere, Mais ce ne ſera pas de ſon conſentement.	sais quel astre malin nous éclaire aujourd'hui GRO 2 Voici bien le moyen de finir son ennui, Tyrinthe suit Arbane, et sans doute il espère, De s'acquérir la fille ayant gagné le père, Mais ce ne sera pas de son consentement.
SCENEVIII.	SCENEVII.
DORANTE,ARBANE, TYRINTHE, NERINE DORANTE, ſurpriſe.	DORANTE,ARBANE, TYRINTHE, NERINE DORANTE, surprise.
B ARBANE.	 BRBANE.
Dorante approchez:	Dorante approchez:
voyez vous cét Amant, C’eſt celuy deſormais que le Ciel vous deſtine, Aymez-le ie le veux.	voyez -vous cet Amant, C'est celui désormais que le Ciel vous destine, Aimez-le ie du veux.
DORANTE.	DORANTE.
y felay Je nralines,	y fêlai Je nralines,
N ERINE.	 ÉRINE.
Diſſimulez Madame, & d’vn courtois accueil, Trompez leurs paſſions.	Dissimulez Madame, et d'un courtois accueil, Trompez leurs passions.
AKBANE.	ABANE.
D’où te vient cét orgueil, Leue nout nos yeux & recoy ſans murmure, Ce preſent de ma main,	D'où te vient cet orgueil, Leue nout nos yeux et recoi sans murmure, Ce présent de ma main,
DORANTE.	DORANTE.
O deuoirs!	Ô devoirs!
ô nature!	ô nature!
Que vous me contraignez à de ſeueres loix!	Que vous me contraignez à de sévères lois!
TYRINTHE.	TYRINTHÉ.
Madame, apres m’auoir meſpriſé tant de fois, Quittez, quittez enfin ce cœur inexorable, Et ſouffrez qu’vne fois il me foit fauorable, Ie ne vien pas icy troubler voſtre repos, N’y remplir voſtre eſprit d’inutiles propos, Mais auec que la foy que mon amour vous dõne, Ie viens vous preſenter mes biens, & ma perſõne, Dcesuen les Golunter e ne lerules puos L’homage que ie faits à vos chaſtes appas,	Madame, après m'avoir méprisé tant de fois, Quittez, quittez enfin ce cœur inexorable, Et souffrez qu'une fois il me soit favorable, Je ne viens pas ici troubler votre repos, N'y remplir votre esprit d'inutiles propos, Mais avec que la foi que mon amour vous donne, Je viens vous présenter mes biens, et ma persõne, Desuen les Golunter ne l' lerules puos L'hommage que sans faits à vos chastes appas,
DORANTE.	DORANTE.
Vous m’honorez Monſieur, m’offrãt vôtre ſeruice, Mais vous me reprochez auec peu de iuſtice, Que ie vous ay traitté trop rigoureuſement, Pour n’auoir pas flatté, ny plaint voſtre tourmẽt.	Vous m'honorez Monsieur, m'offrant votre service, Mais vous me reprochez avec peu de justice, Que ie vous ai traité trop rigoureusement, Pour n'avoir pas flatté, Seigneur plaint votre tourment.
Tyrinthe ces froideurs ſont de fort bonne grace, Da vertu dans nos caurs Iait nane cette glace, Et la meſme vertu ſcait bien quand il eſt temps, D’amollir ſa rigueur.	Tyrinthe ces froideurs sont de fort bonne grâce, Da vertu dans nos caurs IT nane cette glace, Et la même vertu sait bien quand il est temps, D'amollir sa rigueur.
TYRINTHE, C’eſt le bien que i’attends, Madame, & c’eſt auſſi la vertu qui me porte, A vous ſolliciter aujourd’huy de la ſorte.	TYRINTHE, C'est le bien que j'attends, Madame, et c'est aussi la vertu qui me porte, À vous solliciter aujourd'hui de la sorte.
DORANTE.	DORANTE.
I’approuue ce deſſein ainſi que voſtre amour, Mais Dorante n’eſt pas la conqueſte d’vn iour, Pour me rendre ſi-toſt ie ſuis trop aduiſée, On meſpriſe touſiours vite rictone ances On rit de l’ennemy qui tombe au premier coup, Et l’on cherit vn bien qu’on achepte beaucoup, C’eſt donc du temps ( Monſieur) qu’il vous fout tout attendre.	J'approuve ce dessein ainsi que votre amour, Mais Dorante n'est pas la conquête d'un jour, Pour me rendre sitôt ie suis trop avisée, On méprise toujours vite rictone ances On rit de l'ennemi qui tombe au premier coup, Et l'on chérit un bien qu'on achette beaucoup, C'est donc du temps ( Monsieur) qu'il vous fut tout attendre.
ARBANE.	ARBANE.
Ce ſont là des détours que ie ne puis comprẽdre:	Ce sont là des détours que ici ne puis comprendre:
Mais ie lis dans ton cœur.	Mais ici lis dans ton cœur.
G?	G?
DORANTE.	DORANTE.
l'leuit aux Dieux!	l'levit aux Dieux!
ARBANE.	ARBANE.
Le projet Que ton petit eſprit forme ſur ce ſujet;	Le projet Que ton petit esprit forme sur ce sujet;
Tu penſes reculer ou rompre cette affaire, tuais tu rerpouſeras quoy que te puines faire, Et ſi tu l’aymeras.	Tu penses reculer ou rompre cette affaire, tuais tu repouseras quoi que te puînés faire, Et si tu l'aimeras.
NERINE.	NERINE.
Il n’eſt force ny loy, Qui puiſſe faire aymer vn eſprit malgré ſoy, L.	Il n'est force rien loi, Qui puisse faire aimer un esprit malgré soi, L.
volonté qui fait & l’amour & la hayne, Ne ſe laiſſe forcer qu’à l’objet qui l’entraine.	volonté qui fait et l'amour et la haine, Ne se laisse forcer qu'à l'objet qui l'entraine.
ARBANE.	ARBANE.
Que de moralité!	Que de moralité!
qui t’en a tant appris?	qui t'en a tant appris?
Voyez vn peu l’orgueil de ces ieunes eſprits, Soncce.	Voyez un peu l'orgueil de ces jeunes esprits, Soncce.
là tes lecons?	là tes leçons?
bien bien qu’elle s’y fie, Ie renuerſeray bien cette Philoſophie, ni ii ion cœur altier ne me veut pas ceder, Ie ſcay le vray moyen de la perſuader:	bien bien qu'elle s'y fie, Je renverserai bien cette Philosophie, ni ji ion cœur altier ne me veut pas céder, Je sais le vrai moyen de la persuader:
arrloits il d’is demam ene n'eit ſcioiue, Ie proteſte d’vſer de puiſſance abſoluë.	arrlaits il d'is demam ène n'éit scioive, Je proteste d'user de puissance absolue.
DORANTE.	DORANTE.
Ie preuiendray Monſieur, cet abſolu pouuoir.	Je préviendrai Monsieur, cet absolu pouvoir.
ARBANE.	ARBANE.
Bien :	Bien :
prepare-toy donc à ce iuſte deuoir.	prépare-toi donc à ce juste devoir.
TYRINTHE.	TYRINTHÉ.
Vous me reſuſcitez auec cette eſperance.	Vous me ressuscitez avec cette espérance.
DORANTE, bas.	DORANTE, bas.
Et tu me faits mourir.	Et tu me faits mourir.
Viuez en aſſeurance, Mon treſpas ſeulement vous oſteta ce bien, Adieu.	Vivez -en assurance, Mon trépas seulement vous ôteta ce bien, Adieu.
qui promet tout, ſouuent ne donne rien.	qui promet tout, souvent ne donne rien.
Ils ſortent.	Ils sortent.
SCENE IX.	SCÈNE IX.
DORANIE, NERINE,	DORANIE, NERINE,
DORANTE.	DORANTE.
4 Elas ſeray-je donc l'exemple déplorable, e De la ſeuerité d’vn pere inexorable, Si l’on peut toutesfois donner vn nom ſi beau, A qui vend ſon enfant, & le met au tombeau.	4 Élas serai-je donc l'exemple déplorable, e De la sévérité d'un père inexorable, Si l'on peut toutefois donner un nom si beau, À qui vend son enfant, et le met au tombeau.
O nature imprudente & iuſtement blâmable, Si tu n’as mis en moy quelque choſe d’aymable, Que pour m’aſſujettir au pouuoir d’vn mary, En qui tu ne fis rien digne d’eſtre chery, D'vn ſtupide, & mal-fait qui pour tout aduãtage, Me ſe ſcauroit vanter que d’vn riche heritage, Et qui pout tout diſcours qu’il m’ait iamais tenu N’a pû m’entretenir que de ſon reuénu:	Ô nature imprudente et justement blâmable, Si tu n'as mis en moi quelque chose d'aimable, Que pour m'assujettir au pouvoir d'un mari, En qui tu ne fis rien digne d'être chéri, D'un stupide, et malhait qui pour tout avantage, Me se saurait vanter que d'un riche héritage, Et qui pout tout discours qu'il m'ait jamais tenu N'a pu m’entretenir que de son revenu:
Mais ſi l’on me contraint de puiſſance abſoluë, On ſcaura que ie porte vne ame reſoluë, Parens par vn treſpas dans mon cœur arreſté, Ie vous rendlaj le lour que vous m auez preſté, Et ce coup que fera voſtre rigueur extréme, M’acquittant enuers vous m’obligera moy-méme.	Mais si l'on me contraint de puissance absolue, On saura que ie mme âme résolue, Parents par un trépas dans mon cœur arrêté, Je vous rendaj le lour que vous m avez prêté, Et ce coup que fera votre rigueur extrême, M'acquittant envers vous m'obligera moi-même.
Fin du quatrieſme Acte.	Fin du quatrième Acte.
ACTE SCENE I.	ACTE SCÈNE I.
DORANTE, dans ſa chambre.	DORANTE, dans sa chambre.
Yrans des cœurs, bourreau des ames, Ql.	Yrants des cœurs, bourreau des âmes, Ql.
